"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","400687","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","Liene","3869","1958","06","17","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca, Açude da Solidao","-43.289299","-22.962139","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400687","NY00400687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","400682","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","P. J. M. Maas","3300","1977","10","18","South America","Brazil","Rio de Janeiro",NA,"Serra Macahé",NA,NA,"sheet","(see alcohol coll.) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92596' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400682","NY00400682_01","1100","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","2191","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","W. W. Thomas","11261","1996","11","14","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Trail to peak of Monte Pascoal. Upper slopes and top of Monte Pascoal.","-40.5747","-15.2647","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002191","NY00002191_01","250","536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","2192","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","W. W. Thomas","11261","1996","11","14","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Trail to peak of Monte Pascoal. Upper slopes and top of Monte Pascoal.","-40.5747","-15.2647","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=92601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002192","NY00002192_01","250","536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01806211","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","P. J. M. Maas","W. W. Thomas","13773","2004","02","01","South America","Brazil","Bahia","Mun. Camacan","Fazenda Serra Bonita, Reserva Serra Bonita, 9.7 km W of Camacan on road to Jacarecí, then 6 km SW on road to RPPN Serra Bonita and Embratel tower.","-39.5652778","-15.3918056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2153977' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806211","NY01806211_01","835","835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01091218","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","J. A. Kallunki","M. M. M. Lopes","312","2005","11","21","South America","Brazil","Bahia","Barro Preto","Serra da Pedra Lascada. 13.7 km de Barro Preto, na estrada que passa pela Fazenda São Miguel, em direção à serra.","-39.2028","-14.7703","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1229788' target='other'> <mi>dwc_moreinfo</mi></a>","NY01091218","NY01091218_01","600","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-08 17:45:21-03","EAO","IAN","31591","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Zingiberaceae","Renealmia","longipes","Renealmia longipes","K.Schum.",NA,"Hieronymus, PGL","249",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN031591","IAN031591_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-10-09 11:29:21-03","UFBA","ALCB","115757","PreservedSpecimen","Plantae","Monocotyledon",NA,"Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Mascarenhas, AAS","Ferreira, PA","35","2011","11",NA,"Southern America","Brasil","Bahia","Ubaíra","Ponto 48","-39.670278","-13.121667",NA,"Folhas discolores. Inflorescência apresentando brácteas vermelhas, apresentando odor forte.; Floresta ombbrófila submontana","ALCB020436","ALCB020436",NA,NA,"2015","04","20","-39.670278","-13.121667",NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775859","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.",NA,"Ule EHG",NA,"1897","07","01","Southern America","Brazil",NA,NA,"Destrito Federal: 'Na floresta da Tijuca'.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775859 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775859","NL-U1775859",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"20","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1605739","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Mariano Neto E; et al.",NA,"1996","01","31","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1605739 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1605739","NL-U1605739",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142556",NA,NA,NA,NA,NA
"21","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1605740","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Mariano Neto E; et al.",NA,"1996","01","31","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1605740 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1605740","NL-U1605740",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142557",NA,NA,NA,NA,NA
"22","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1605741","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Mariano Neto E; et al.",NA,"1996","01","31","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1605741 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1605741","NL-U1605741",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142558",NA,NA,NA,NA,NA
"23","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1605782","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Thomas WW; Amorim AM; Fiaschi P; Paixao JL; Sant'Ana SC da",NA,"2004","02","01","Southern America","Brazil","Bahia",NA,NA,"-39.565278","-15.391667",NA,"Montane tropical moist forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1605782 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1605782","NL-U1605782",NA,NA,NA,NA,NA,"-39.565278","-15.391667","Magnoliopsidae","U 0239221",NA,NA,NA,NA,NA
"24","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1605783","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Thomas WW; Amorim AM; Fiaschi P; Paixao JL; Sant'Ana SC da",NA,"2004","02","01","Southern America","Brazil","Bahia",NA,NA,"-39.565278","-15.391667",NA,"Montane tropical moist forest.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1605783 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1605783","NL-U1605783",NA,NA,NA,NA,NA,"-39.565278","-15.391667","Magnoliopsidae","U 0239220",NA,NA,NA,NA,NA
"25","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775836","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.",NA,"Araujo D; Almeida J",NA,"1973","08","22","Southern America","Brazil",NA,NA,"Est. da Guanabara, Floresta da Tijuca, estrada de Corcovado antes de Paineiras.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775836","NL-U1775836",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"26","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775837","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.",NA,"Araujo D; Almeida J",NA,"1973","08","22","Southern America","Brazil",NA,NA,"Est. da Guanabara, Floresta da Tijuca, estrada de Corcovado antes de Paineiras.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775837 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775837","NL-U1775837",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"27","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775838","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.",NA,"Araujo D; Almeida J",NA,"1973","08","22","Southern America","Brazil",NA,NA,"Est. da Guanabara, Floresta da Tijuca, estrada de Corcovado antes de Paineiras.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775838 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775838","NL-U1775838",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"28","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775839","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.",NA,"Maas PJM; Araújo D; Carauta JPP",NA,"1977","10","18","Southern America","Brazil",NA,NA,"Brasiliensis, Edo. Rio de Janeiro. Serra Macahe.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775839 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775839","NL-U1775839",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775840","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM; Maas-van de Kamer H","Pinheiro RS",NA,"1971","06","14","Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775840 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775840","NL-U1775840",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0116881",NA,NA,NA,NA,NA
"30","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775841","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM; Maas-van de Kamer H","Mori SA; Santos TS dos",NA,"1978","06","06","Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775841 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775841","NL-U1775841",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0116880",NA,NA,NA,NA,NA
"31","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775842","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM; Maas-van de Kamer H","Lombardi JA; et al.",NA,"2003","02","22","Southern America","Brazil","Minas Gerais",NA,NA,"-40.833333","-16.016667",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775842 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775842","NL-U1775842",NA,NA,NA,NA,NA,"-40.833333","-16.016667","Magnoliopsidae","U 0117853",NA,NA,NA,NA,NA
"32","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775843","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM; Maas-van de Kamer H","Lombardi JA; et al.",NA,"2003","08","24","Southern America","Brazil","Minas Gerais",NA,NA,"-40.05","-16.4",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775843 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775843","NL-U1775843",NA,NA,NA,NA,NA,"-40.05","-16.4","Magnoliopsidae","U 0117859",NA,NA,NA,NA,NA
"33","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775844","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM; Maas-van de Kamer H","Stehmann JR; et al.",NA,"2004","02","10","Southern America","Brazil","Minas Gerais",NA,NA,"-41.95","-17.6",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775844 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775844","NL-U1775844",NA,NA,NA,NA,NA,"-41.95","-17.6","Magnoliopsidae","U 0117861",NA,NA,NA,NA,NA
"34","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775845","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM; Maas-van de Kamer H","Stehmann JR; et al.",NA,"2004","02","10","Southern America","Brazil","Minas Gerais",NA,NA,"-41.95","-17.6",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775845 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775845","NL-U1775845",NA,NA,NA,NA,NA,"-41.95","-17.6","Magnoliopsidae","U 0117860",NA,NA,NA,NA,NA
"35","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775846","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM; Maas-van de Kamer H","Lombardi JA; et al.",NA,"2003","08","23","Southern America","Brazil","Minas Gerais",NA,NA,"-40.05","-16.4",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775846 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775846","NL-U1775846",NA,NA,NA,NA,NA,"-40.05","-16.4","Magnoliopsidae","U 0117864",NA,NA,NA,NA,NA
"36","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775847","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM; Maas-van de Kamer H","Lombardi JA; et al.",NA,"2003","08","23","Southern America","Brazil","Minas Gerais",NA,NA,"-40.05","-16.4",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775847","NL-U1775847",NA,NA,NA,NA,NA,"-40.05","-16.4","Magnoliopsidae","U 0117863",NA,NA,NA,NA,NA
"37","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775848","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Catharino ELM; Rossi L",NA,"1994","07","19","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775848","NL-U1775848",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142293",NA,NA,NA,NA,NA
"38","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775849","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Catharino ELM; Rossi L",NA,"1994","07","19","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775849 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775849","NL-U1775849",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142292",NA,NA,NA,NA,NA
"39","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775850","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Catharino ELM; Rossi L",NA,"1994","07","19","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775850 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775850","NL-U1775850",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142291",NA,NA,NA,NA,NA
"40","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775851","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Kirizawa M; Lopes EA",NA,"1996","10","15","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775851 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775851","NL-U1775851",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142560",NA,NA,NA,NA,NA
"41","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775852","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Kirizawa M; Lopes EA",NA,"1996","10","15","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775852 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775852","NL-U1775852",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142559",NA,NA,NA,NA,NA
"42","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775853","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Simão-Bianchini R; et al.",NA,"1994","09","04","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775853 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775853","NL-U1775853",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142562",NA,NA,NA,NA,NA
"43","2020-02-08 10:39:15-03","NBC","NL-BOTANY","U.1775854","PreservedSpecimen","Plantae",NA,"Zingiberales","Zingiberaceae","Renealmia","petasites","Renealmia petasites","Gagnep.","Maas PJM","Simão-Bianchini R; et al.",NA,"1994","09","04","Southern America","Brazil","São Paulo",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1775854 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1775854","NL-U1775854",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0142561",NA,NA,NA,NA,NA
