"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","typeStatus","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","376706","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","J. O. Mendonça",NA,NA,NA,"J. O. Mendonça","2","1993","11","09","Brazil","Paraná","Curitiba","-49.22","-25.37",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368101' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376706","NY00376706_01","Universidade Federal do Paraná, Capao",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","376703","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","14904","1966","10","16","Brazil","Paraná","Uniao da Vitória","-51.0864","-26.23",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368100' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376703","NY00376703_01","Estr. p/ Pto. Vitória",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","376701","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.",NA,NA,NA,NA,"M. Sobral","4432",NA,NA,NA,"Brazil","Rio Grande do Sul","Alegrete","-55.7919","-29.7831",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376701","NY00376701_01","Arroio Regalado",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","376704","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","M. Sobral",NA,NA,NA,"M. Sobral","5123","1986","09",NA,"Brazil","Rio Grande do Sul","Sao Vicente do Sul","-54.6792","-29.6919",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368088' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376704","NY00376704_01","Cerro Loreto",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","376698","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"A. A. Beetle","1966","1952","08","15","Brazil","Rio Grande do Sul","Sao Leopoldo","-51.1469","-29.7606",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368097' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376698","NY00376698_01","San Leopoldo at Collegio Cristo Rei. Tree in tropical forest",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","376691","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"W. G. F. Herter","94085","1933","12","02","Uruguay",NA,NA,NA,NA,NA,NA,"Ex Herb. Hert. No. 94085 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376691",NA,"Galgo","200","200","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 11:50:00-03","NY","NYBG","376692","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites",NA,"T. C. Plowman",NA,NA,NA,"T. M. Pedersen","4289","1956","11","14","Paraguay","Misiones",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368096' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376692",NA,NA,NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 11:50:00-03","NY","NYBG","376690","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites",NA,NA,NA,NA,NA,"Legname","7776","1980","11","18","Argentina","Misiones",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368104' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376690",NA,"Camino de Eldorado a San Pedro, a + o - 5 km. de Eldorado","135","135","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02448347","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","J. L. da Costa Lima",NA,NA,NA,"A. C. Cervi","6432","1997","11","18","Brazil","Paraná","Foz do Iguaçu","-54.58","-25.55",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2626377' target='other'> <mi>dwc_moreinfo</mi></a>","NY02448347","NY02448347_01","Parque Nacional do Iguaçu",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","376699","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"J. E. Leite","558","1941","09",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","-51.143791","-29.75136",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376699","NY00376699_01","Vicinity of Sao Leopoldo",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","376693","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"L. B. Smith","12703","1964","10","18","Brazil","Santa Catarina","Itapiranga","-53.77","-27.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376693","NY00376693_01","Forest above Rio Uruguai, Barra Macaco Branco","150","250","Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","376702","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. C. Plowman",NA,NA,NA,"G. G. Hatschbach","27059","1971","09","25","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=368093' target='other'> <mi>dwc_moreinfo</mi></a>","NY00376702","NY00376702_01","Capao da Imbuia",NA,NA,"Magnoliophyta","Malpighiales","South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","31939","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","1975",NA,NA,"Reitz & Klein","13663","1962","10","27","Brasil","Santa Catarina","Porto União",NA,NA,"9999","9999",NA,"BOTU031939",NA,NA,"750","750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","32156","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","2001","01",NA,"Kinupp, V.F.","66","1996","11","08","Brasil","Paraná","Londrina",NA,NA,"9999","9999",NA,"BOTU032156",NA,"Mata da Confepar.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","17932","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","1976",NA,NA,"Hatschbach, G.","37299","1975","10","09","Brasil","Paraná","Rio Branco do Sul",NA,NA,"9999","9999","Arbusto 2 m de altura, pétalas amarelo-ocre","BOTU017932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","17931","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.",NA,NA,NA,"Hatschbach, G.","37067","1975","09","18","Brasil","Paraná","Piraí do Sul",NA,NA,"9999","9999","Arvoreta 5 m de altura, flor alvacenta","BOTU017931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","31940","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","1975",NA,NA,"Reitz & Klein","16235","1963","09","13","Brasil","Santa Catarina","Capinzal",NA,NA,"9999","9999",NA,"BOTU031940",NA,"Lacerdópolis.","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","31943","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","1975",NA,NA,"Reitz & Klein","14446","1962","12","22","Brasil","Santa Catarina","Anita Garibaldi",NA,NA,"9999","9999",NA,"BOTU031943",NA,"Barra Grande, Rio Pelotas.","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","31942","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","1975",NA,NA,"Reitz & Klein","3839","1956","10","12","Brasil","Santa Catarina","Ibirama",NA,NA,"9999","9999",NA,"BOTU031942",NA,NA,"100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","22340","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Dias, M.C.","1997",NA,NA,"Kinupp, V.F.","785","1997","08","22","Brasil","Paraná","Cambé",NA,NA,"9999","9999","Arvoreta 1.20 m de altura, botões florais e flores amarelas","BOTU022340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","32155","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","2001","01",NA,"Franscisco, E.M.",NA,"1999","11","19","Brasil","Paraná","Londrina",NA,NA,"9999","9999",NA,"BOTU032155",NA,"Patrimônio Regina.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","22337","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Kinupp, V.F.","1998",NA,NA,"Kinupp, V.F.","848","1997","10","26","Brasil","Paraná","Cambé",NA,NA,"9999","9999","Arbusto 0,60 cm de altura, frutos imaturos verdes com interior branco","BOTU022337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","15430","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.",NA,NA,NA,"Reis, D.",NA,"1981","11",NA,"Brasil","Rio Grande do Sul","Camaquã",NA,NA,"9999","9999","Arvoreta","BOTU015430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","17929","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","1976",NA,NA,"Hatschbach, G.","24833","1970","09","27","Brasil","Paraná","São Jerônimo da Serra",NA,NA,"9999","9999","Arbusto 1,25 m de altura, flor amarelo-ocre","BOTU017929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","31941","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral Jr., A.","1975",NA,NA,"Reitz & Klein","5457","1957","10","25","Brasil","Santa Catarina","Bom Retiro",NA,NA,"9999","9999",NA,"BOTU031941",NA,NA,"950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","32154","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.",NA,NA,NA,NA,"Franscisco, E.M.",NA,"1999","11","05","Brasil","Paraná","Ortigueira",NA,NA,"9999","9999",NA,"BOTU032154",NA,"Fazenda Banhado Grande.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","11796","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Sobral, M.","1983","10",NA,"Sobral, M.","2391","1983","10","12","Brasil","Rio Grande do Sul","Camaquã",NA,NA,"9999","9999","Arbusto ca 2 m de altura, flores brancas","BOTU011796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-18 09:29:23-03","UNESP-IBB","BOTU","31982","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.",NA,NA,NA,NA,"Silva, J.M.","3044","1999","09","02","Brasil","Paraná","Capitão Leônidas Marques",NA,NA,"9999","9999",NA,"BOTU031982",NA,"Usina Hidrelétrica de Salto Caxias.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-13 09:19:36-03","UFRJ","RFA","19749","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","T. Plowman","1977",NA,NA,"G.G. Hatschbach","32726","1973","10","18","Brasil","Paraná","Pitanga","-51.7613983154297","-24.7572002410889",NA,NA,"Arbusto 2 metros e 50, flor amarela ocre, margens rio.","RFA40204",NA,"Rio Bonito",NA,NA,NA,NA,NA,NA,"37178","auto",NA,NA,NA,NA,NA
"40","2020-11-24 17:10:38-03","UTFPR","DVPR","2714","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Kinupp, VF","1998",NA,NA,"Kinupp, VF; Medri, C; Francisco, EM","848","1997","10","26","Brasil","Paraná","Cambé","-51.2783012390137","-23.2758007049561",NA,NA,"Arbusto 0,6 cm, frutos imaturos verdes com interior branco.; Mata ciliar.","DVPR002714",NA,"Parque Municipal Danziger Hof.",NA,NA,"Magnoliophyta",NA,NA,NA,"29438","auto",NA,NA,NA,NA,NA
"41","2020-11-24 17:10:38-03","UTFPR","DVPR","2994","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Dias, MC","1999","03","05","Chagas-Silva, F; Soares-Silva, LH","1872","1995","11","15","Brasil","Paraná","Londrina","-51.1627998352051","-23.3103008270264",NA,NA,"Árvore 6m, botão esverdeado, flores brancas, frequente na área.","DVPR002994",NA,"Arredores da barragem do ribeirão Três Bocas",NA,NA,"Magnoliophyta",NA,NA,NA,"63728","auto",NA,NA,NA,NA,NA
"42","2021-03-30 12:37:58-03","EAO","IAN","87395","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Loiola, MIB","2002","03","13","Beetle, AA","1966","1952","08","15","Brasil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"IAN087395",NA,"At San Leopoldo at Collegio Cristo Rei Tree in Tropical forest.",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:37:58-03","EAO","IAN","186968","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Amaral, A","2001",NA,NA,"Francisco, EM","28710","1999","11","19","Brasil","Paraná","Londrina","-51.1627998352051","-23.3103008270264",NA,NA,"Árvore 3m; botões florais e flores amarelas.","IAN186968",NA,"Patrimônio Regina; mata ciliar do Rio Cafezal.",NA,NA,"Dicotiledônea",NA,"Southern America",NA,"63728","auto",NA,NA,NA,NA,NA
"44","2019-12-04 15:25:08-03","PUCPR","HUCP","11012","S","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Mendonça, JO",NA,NA,NA,"Bidá, A","665","1992","10","24","Brasil","Paraná","Curitiba","-49.2731018066406","-25.4277992248535",NA,NA,NA,"HUCP00010666","HUCP00010666","Politécnico",NA,NA,"Eudicotiledonea",NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"45","2019-12-04 15:25:08-03","PUCPR","HUCP","11937","S","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Silva, SM; Borgo, M",NA,NA,NA,"Isernhagen, I; Borgo, M","139","1997","10","04","Brasil","Paraná","Três Barras do Paraná","-53.1808013916016","-25.4188995361328",NA,NA,NA,"HUCP00010623","HUCP00010623","Canyon do Rio Guarani",NA,NA,"Eudicotiledonea",NA,NA,NA,"20611","auto",NA,NA,NA,NA,NA
"46","2020-11-26 18:07:50-03","CPAN-UFMS","COR","585","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.",NA,NA,NA,NA,"Sobral, M.","2365","1983","10","12","Brasil","Rio Grande do Sul","Camapuã",NA,NA,NA,NA,"Com Flor: branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-11-26 18:07:50-03","CPAN-UFMS","COR","590","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.",NA,NA,NA,NA,"Sobral, M.","2391","1983","10","12","Brasil","Rio Grande do Sul","Camapuã",NA,NA,NA,NA,"Arbusto 2m; Com Flor: branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-11-26 18:07:50-03","CPAN-UFMS","COR","10140","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.",NA,NA,NA,NA,"Ieda M. Bortolotto, Geraldo A. Damasceno-Júnior, Iria H. Ishii, Elton M. de Assis, Celso Rosso, Valdemar Magalhães","1517","2004","11","03","Brasil","Mato Grosso do Sul","Corumbá","-57.6533012390137","-19.0091991424561",NA,NA,"Com fruto:verdes quando imaturos.",NA,NA,"morro nos fundos da casa do Sr. Valdemar. Comunidade do Amolar. sub-bosque da mata seca; ; base do morro.",NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"49","2020-02-08 09:46:50-03","NBC","NL-BOTANY","U.1275810","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Lindeman JC",NA,NA,NA,"Lindeman JC; Haas JH de",NA,"1967","01","24","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1275810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1275810","NL-U1275810",NA,NA,NA,NA,"Malpighiales","Southern America",NA,NA,NA,"Magnoliopsidae","U 0106149",NA,NA,NA
"50","2020-02-08 09:46:50-03","NBC","NL-BOTANY","U.1275811","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","myrsinites","Erythroxylum myrsinites","Mart.","Plowman TC",NA,NA,NA,"Lindeman JC; Irgang BE",NA,"1971","10","17","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1275811 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1275811","NL-U1275811",NA,NA,NA,NA,"Malpighiales","Southern America",NA,NA,NA,"Magnoliopsidae","U 0106150",NA,NA,NA
