"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","coordinatePrecision","geoFlag","class","typeStatus","eventTime","fieldNumber","individualCount","relatedCatalogItem"
"15","2021-03-15 16:37:00-03","NY","NYBG","01093083","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"M. N. S. Stapf","2004","10","22","Brazil","Bahia","Ilhéus","Estrada Pontal - Buerarema km 22.","-39.1403","-14.9097",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1247026' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093083","NY01093083_01","Magnoliophyta","Boraginales","342","South America","135","135","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","866803","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","S. R. Hill",NA,NA,NA,"P. J. M. Maas","1971","05","18","Brazil","Acre","Porto Walter","Aldeota between Porongaba and Papagaio, Rio Juruá-Mirim.","-72.7439","-8.2686",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00866803","NY00866803_01","Magnoliophyta","Boraginales","P13095","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","448512","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","J. S. Miller",NA,NA,NA,"A. M. V. de Carvalho","1993","07","03","Brazil","Bahia","Ilhéus","Estrada Pontal/Buerarema, coletas entre os kms 23 e 30","-39.1540879","-14.9163078",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448512","NY00448512_01","Magnoliophyta","Boraginales","4264","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","2147895","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"M. G. da Silva","1978","11","14","Brazil","Pará","Itaituba","Km 85 da estrada Itaituba, Jacarecanga, Parque Nacional do Tapajós (I.B.D.F.); Reserva Biológica, ramal do Pau Rosa. Mata de terra firme, solo argiloso.","-55.059354","-3.3969062",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2297729' target='other'> <mi>dwc_moreinfo</mi></a>","NY02147895","NY02147895_01","Magnoliophyta","Boraginales","3733","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","448511","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","N. Laroda",NA,NA,NA,"G. G. Hatschbach","1966","01","18","Brazil","Paraná","Antonina","Caixa D'Agua","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230623' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448511","NY00448511_01","Magnoliophyta","Boraginales","13533","South America","50","50","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","448513","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","L. B. Smith",NA,NA,NA,"R. M. Klein","1955","01","04","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230628' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448513","NY00448513_01","Magnoliophyta","Boraginales","1005","South America","10","10","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","448510","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","N. Laroda",NA,NA,NA,"R. Reitz","1958","02","28","Brazil","Santa Catarina","Sao Francisco do Sul","Três Barras, Garuva","-48.6381","-26.2433",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230637' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448510","NY00448510_01","Magnoliophyta","Boraginales","6504","South America","200","200","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","448517","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","L. B. Smith",NA,NA,NA,"R. M. Klein","1955","04","14","Brazil","Santa Catarina","Itajaí","Cunhas","-48.6617","-26.9081",NA,NA,"flor da mesma árvore sob R. Klein nr. 1005 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230629' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448517","NY00448517_01","Magnoliophyta","Boraginales","1290","South America","8","8","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","2147894","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"G. T. Prance","1968","07","27","Brazil","Rondônia",NA,"Basin of Rio Madeira, 1 km south of Riberao, road Abuna-Guajara-Mirim","-65.291358","-10.263266",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2297728' target='other'> <mi>dwc_moreinfo</mi></a>","NY02147894","NY02147894_01","Magnoliophyta","Boraginales","6566","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","448514","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","I. M. Johnston",NA,NA,NA,"P. K. H. Dusén","1911","12","28","Brazil","Paraná","Guaratuba","Rio Cubatao","-48.5744","-25.8831",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448514","NY00448514_01","Magnoliophyta","Boraginales","13649","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","448506","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","J. A. Kallunki",NA,NA,NA,"R. Reitz","1950","01","18","Brazil","Santa Catarina","Orleans","Rio Minador","-49.2914","-28.3592",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230625' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448506","NY00448506_01","Magnoliophyta","Boraginales","3391a","South America","250","250","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","400892","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","M. N. S. Stapf",NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=265527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400892","NY00400892_01","Magnoliophyta","Boraginales","s.n.","South America",NA,NA,"sheet",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-18 09:29:02-03","UNESP-IBB","BOTU","10502","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","Hatschbach, G.","1983","06",NA,"Hatschbach, G","1982","12","29","Brasil","Paraná","Antonina",NA,NA,NA,"9999","9999","Árvoreta 4 m, flor alva","BOTU010502",NA,NA,NA,"45984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-13 09:19:14-03","UFRJ","RFA","17585","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","1974","01","30","Brasil","Paraná","Morretes","Estrada da Graciosa","-48.834400177002","-25.476900100708",NA,NA,"Arvoreta 5 m de altura. Flor alva","RFA36473",NA,NA,NA,"33779",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"29","2020-11-13 09:19:14-03","UFRJ","RFA","18494","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach; R. Kummrow","1975","01","17","Brasil","Paraná","Morretes","Ilha do Malha. Mata da Ilha","-48.834400177002","-25.476900100708",NA,NA,"Arvoreta de 4 m de altura. Flor alva","RFA36474",NA,NA,NA,"35757",NA,NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA
"30","2020-02-08 08:53:00-03","NBC","NL-BOTANY","L.2739217","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Klein RM","1955","01","04","Brazil",NA,NA,"Plantas de Santa Catarina, Cunhas, Itajaí.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2739217 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2739217","NL-L2739217",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"31","2020-02-08 08:53:00-03","NBC","NL-BOTANY","L.2739214","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Klein RM","1956","01","24","Brazil",NA,NA,"Plantas de Santa Catarina, Morro da Ressacada, Itajaí.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2739214 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2739214","NL-L2739214",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"32","2020-02-08 08:53:00-03","NBC","NL-BOTANY","L.2739215","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Klein RM","1954","02","08","Brazil",NA,NA,"Plantas de santa Catarina, Cunhas, Itajaí.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2739215 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2739215","NL-L2739215",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"33","2020-02-08 08:53:00-03","NBC","NL-BOTANY","L.2739216","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Klein RM","1955","04","14","Brazil",NA,NA,"Plantas de Santa Catarina, Cunhas, Itajaí.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2739216 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2739216","NL-L2739216",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"34","2020-02-08 08:53:00-03","NBC","NL-BOTANY","U.1153763","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Reitz R; Klein RM","1958","02","28","Brazil",NA,NA,"Santa Catarina. Tres Barras, Garuva, S. Franciso do Sul. Mata. Arvoreta.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1153763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1153763","NL-U1153763",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"35","2020-02-08 08:53:00-03","NBC","NL-BOTANY","U.1153764","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1966","01","18","Brazil",NA,NA,"Est. Parana, Above Antonio; rainforest near water reservoir in small creek.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1153764 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1153764","NL-U1153764",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"36","2020-02-08 08:53:00-03","NBC","NL-BOTANY","U.1153765","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Silva MG; Rosario C","1978","11","14","Brazil",NA,NA,"Para, Itaituba km 85 da estrada Itaituba, Jacareacanga, Parque National do Tapajos (I.B.D.F) reserva Biologios. Ramal do Pau Rosa.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1153765 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1153765","NL-U1153765",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"37","2020-02-08 08:53:00-03","NBC","NL-BOTANY","WAG.1398451","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Hatschbach GG; Silva JM","1993","11","15","Brazil",NA,NA,"Salto Murato, (mun. Guaragueçaba) Paraná.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1398451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1398451","NL-WAG1398451",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"38","2020-02-08 08:53:00-03","NBC","NL-BOTANY","WAG.1398452","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Hatschbach GG","1974","01","30","Brazil",NA,NA,"Estr. da Graciosa, Ferradura (mun. Morretes) Paraná.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1398452 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1398452","NL-WAG1398452",NA,"Boraginales",NA,"Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"39","2020-11-04 11:03:30-03","ESALQ","ESA","93275","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Destefani, A.C.C. et al.","2005","03","31","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,"ESA093275","ESA093275","Magnoliophyta",NA,"222.0",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:03:30-03","ESALQ","ESA","27633","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen","Sanchez, M.",NA,NA,NA,"Leitão Filho, H.F. et al.","1996","02","05","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,"ESA027633","ESA027633","Magnoliophyta",NA,"34819.0",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:03:30-03","ESALQ","ESA","51963","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Lima, R.A.F.",NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parcela permanente - Parque Estadual de Carlos Botelho","-47.9199981689453","-24.3799991607666",NA,NA,"em clareira","ESA051963","ESA051963","Magnoliophyta",NA,"374.0",NA,"400","400",NA,"34059","auto",NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:03:30-03","ESALQ","ESA","128207","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris",NA,"Souza, V.C.","2013",NA,NA,"Bettinardi, M.L.","2013","04","02","Brasil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha","-47.54551","-24.1571","-47.54551","-24.1571","arbusto. 1,8m de altura. Fruto baga, com cálice persistente, fruto amarelo, inflorescencia espiralada, folha diminuta nas ramificações","ESA128207",NA,"Magnoliophyta",NA,"39.0",NA,"96","96",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:03:30-03","ESALQ","ESA","16424","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen","Hatschbach, G.",NA,NA,NA,"Kummrow, R. et al.","1994","01","20","Brasil","Paraná","Guaratuba",NA,"-48.5746994018555","-25.8827991485596",NA,NA,NA,"ESA016424","ESA016424","Magnoliophyta",NA,"3348.0",NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:03:30-03","ESALQ","ESA","37262","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen","Jarenkow, J.A.",NA,NA,NA,"Jarenkow, J.A.","1994","01","11","Brasil","Rio Grande do Sul","Morrinhos do Sul",NA,"-49.934700012207","-29.3649997711182",NA,NA,NA,"ESA037262","ESA037262","Magnoliophyta",NA,"2379.0",NA,NA,NA,NA,"12766","auto",NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:03:30-03","ESALQ","ESA","93276","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen.",NA,NA,NA,NA,"Destefani, A.C.C. et al.","2005","03","31","Brasil","São Paulo","Cananéia",NA,"-47.9199981689453","-25.0100002288818",NA,NA,NA,"ESA093276","ESA093276","Magnoliophyta",NA,"218.0",NA,NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA
"46","2020-11-04 11:03:30-03","ESALQ","ESA","62164","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen","Maltez, H.M.",NA,NA,NA,"Sampaio, D. et al.","1999","01","12","Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,NA,"ESA062164","ESA062164","Magnoliophyta",NA,"167.0",NA,NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA
"47","2020-11-04 11:03:30-03","ESALQ","ESA","27603","PreservedSpecimen","Plantae","Boraginaceae","Cordia","silvestris","Cordia silvestris","Fresen","Sanchez, M.",NA,NA,NA,"Leitão Filho, H.F. et al.","1996","02","01","Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,"ESA027603","ESA027603","Magnoliophyta",NA,"34757.0",NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA,NA,NA
