"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","class","individualCount"
"11","2020-11-04 11:12:10-03","ESALQ","ESA","485","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Maymone, P.G.",NA,NA,"Brasil",NA,NA,NA,"ESA000485",NA,"1932","01","01","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","auto","Brotto, M.L.","2017",NA,NA,NA,NA,"02","02",NA,NA
"12","2020-11-04 11:12:10-03","ESALQ","ESA","104286","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa",NA,NA,"Aguiar, O.T.","1053.0",NA,"Brasil",NA,NA,NA,"ESA104286","ESA104286","2002","03","14","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","auto","Baitello, J.B.","2002",NA,NA,NA,NA,"03","19",NA,NA
"13","2021-03-01 16:32:49-03","UNICAMP","UEC","139614","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Pedroni, F; Sanchez, M; Laps, RR; Galleti, M; Belinello, R","631",NA,"Brazil","Morro do Corisco.",NA,"Árvore 12, com 6 m de altura.; Mata atlântica de Encosta.","UEC014114","UEC014114","1997","02","04","São Paulo","Picinguaba","-44.8","-23.366667",NA,NA,"Barbosa, TDM","2008","-44.8","-23.366667","300","300","08","20",NA,NA
"14","2021-03-01 16:32:49-03","UNICAMP","UEC","170055","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Rochelle, ALC","J1397",NA,"Brazil","Fazenda Capricórnio - Bairro Taquaral.",NA,"Floresta Ombrófila Densa Submontana.","UEC041667","UEC041667",NA,NA,NA,"São Paulo","Ubatuba","-45.050278","-23.216111",NA,NA,"Baitello, JB","2008","-45.050278","-23.216111","450","450","02",NA,NA,NA
"15","2021-03-01 16:32:49-03","UNICAMP","UEC","133372","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Urbanetz, C; Mariuza; Domingos; Lelo","310",NA,"Brazil","Fazenda Folha Larga, Trilha da Vitória.",NA,"Árvore de 20 m, flores brancas.",NA,NA,"2004","01",NA,"São Paulo","Cananéia","-47.916667","-24.883333",NA,NA,"Brotto, ML","2018","-47.916667","-24.883333","30","155","09",NA,NA,NA
"16","2021-03-01 16:32:49-03","UNICAMP","UEC","133545","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Urbanetz, C; Mariuza; Domingos; Lelo","327",NA,"Brazil","Fazenda Folha Larga, Trilha do Espigão.",NA,"Árvore de 20 m, flores amareladas.","UEC079936","UEC079936","2004","01",NA,"São Paulo","Cananéia","-47.916667","-24.883333",NA,NA,"Brotto, ML","2018","-47.916667","-24.883333","30","155","09",NA,NA,NA
"17","2021-03-01 16:32:49-03","UNICAMP","UEC","133546","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Urbanetz, C; Mariuza; Domingos; Lelo","327",NA,"Brazil","Fazenda Folha Larga, Trilha do Espigão.",NA,"Árvore de 20 m, flores amareladas.","UEC079928","UEC079928","2004","01",NA,"São Paulo","Cananéia","-47.916667","-24.883333",NA,NA,"Brotto, ML","2018","-47.916667","-24.883333","30","155","09",NA,NA,NA
"18","2021-03-01 16:32:49-03","UNICAMP","UEC","142584","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Moraes, PLR","2431",NA,"Brazil","Núcleo Rio Verde.",NA,"Árvore 20 m, frutos imaturos, cúpulas avermelhadas.","UEC014116","UEC014116","2001","05","08","São Paulo","Iguape","-47.231306","-24.548056",NA,NA,"Baitello, JB","2003","-47.231306","-24.548056",NA,NA,"02","11",NA,NA
"19","2019-08-20 10:16:46-03","UNICAMP","UEC","148888","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Aranha, BA","390",NA,"Brazil","Fazenda Capricórnio, Parcela J",NA,NA,"UEC014112","UEC014112","2006","08","12","São Paulo","Ubatuba","-45.084167","-23.366389",NA,NA,"Baitello, JB","2008","-45.084167","-23.366389","380","380","10",NA,NA,NA
"20","2021-03-01 16:32:49-03","UNICAMP","UEC","160913","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Cavalin, PO","25",NA,"Brazil","Fazenda Capricórnio",NA,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","UEC039368","UEC039368","2009","11","12","São Paulo","Ubatuba","-45.092778","-23.396667",NA,NA,"Cavalin, PO","2010","-45.092778","-23.396667","348","395","06",NA,NA,NA
"21","2021-03-01 16:32:49-03","UNICAMP","UEC","161021","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Stefani, EJF; Belinello, R; Galvão, JC","73",NA,"Brazil","Parque Estadual da Serra do Mar.",NA,"Árvore com 19 m.; Mata atlântica.","UEC014108","UEC014108","2010","05","29","São Paulo","Caraguatatuba","-45.525","-23.624167",NA,NA,"Barbosa, TDM","2010","-45.525","-23.624167","50","90","12",NA,NA,NA
"22","2021-03-01 16:32:49-03","UNICAMP","UEC","166993","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Stefani, EJF; Belinello, R; Galvão, JC","262",NA,"Brazil","Parque Estadual da Serra do Mar.",NA,"Árvore com 8 m.; Mata atlântica.","UEC014110","UEC014110","2011","06","30","São Paulo","Paraibuna","-45.548889","-23.598611",NA,NA,"Barbosa, TDM","2011","-45.548889","-23.598611",NA,NA,"10",NA,NA,NA
"23","2021-03-01 16:32:49-03","UNICAMP","UEC","173162","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Urbanetz, C; Mariuza; Domingos; Lelo","310",NA,"Brazil","Fazenda Folha Larga, Trilha da Vitória.",NA,"Árvore de 20 m, flores brancas.","UEC079933","UEC079933","2004","01",NA,"São Paulo","Cananéia","-47.916667","-24.883333",NA,NA,"Brotto, ML","2018","-47.916667","-24.883333","30","155","09",NA,NA,NA
"24","2021-03-01 16:32:49-03","UNICAMP","UEC","173623","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Sanchez, M; Pedroni, F","2373",NA,"Brazil","Picinguaba.",NA,"Árvore número 3 com 3 m de altura, vegetativo.; Mata Atlântica de Encosta. Morro do Corisco.","UEC089712","UEC089712","1996","04","30","São Paulo","Ubatuba","-44.8","-23.366667",NA,NA,"Brotto, ML","2018","-44.8","-23.366667",NA,NA,"09",NA,NA,NA
"25","2021-03-01 16:32:49-03","UNICAMP","UEC","78689","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Godoy, SAP; Ferreira, GMP; Pereira, DL; Silva, LL; Garcia, RJF","597",NA,"Brazil","Camping Ana Paula.",NA,"Árvore ca 12,0m alt, DAP 0,40m. Caule de casca rugosa. Botões florais rosa claro; flores creme esverdeadas. Frutos imaturos verde escuro.; Área ajardinada","UEC138292","UEC138292","1995","06","22","São Paulo","Parelheiros","-46.774444","-23.9",NA,NA,NA,NA,"-46.774444","-23.9",NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:32:49-03","UNICAMP","UEC","91736","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Ivanauskas, NM; Nascimento, RC","77(PQ1)",NA,"Brazil","Estação Experimental do IAC.",NA,"Árvore de 9 m. Tronco branco. Frutos verdes.; Mata Atlântica.","UEC014118","UEC014118","1995","04","23","São Paulo","Pariquera-Açu","-47.885","-24.608333",NA,NA,"Baitello, JB","2000","-47.885","-24.608333",NA,NA,"02","18",NA,NA
"27","2021-03-01 16:32:49-03","UNICAMP","UEC","91752","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Ivanauskas, NM; Maestro, AL","108(PQ1)",NA,"Brazil","Estação Experimental do IAC.",NA,"Árvore de 9 m, tronco liso, cinza. Frutos imaturos, verdes com pintas brancas, cúpula verde.; Mata atlântica.","UEC014098","UEC014098","1995","04","18","São Paulo","Pariquera-Açu","-47.885","-24.608333",NA,NA,"Baitello, JB","2000","-47.885","-24.608333",NA,NA,"02","18",NA,NA
"28","2021-03-01 16:32:49-03","UNICAMP","UEC","95695","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Ivanauskas, NM; Mazine, FF","818",NA,"Brazil","Propriedade de Antonio Povinski",NA,"Árvore de 9m. Frutos.; Floresta atlântica","UEC138560","UEC138560","1996","06","01","São Paulo","Pariquera-Açu","-47.866667","-24.666667",NA,NA,"Baitello, JB","1999","-47.866667","-24.666667",NA,NA,"06","19",NA,NA
"29","2021-03-01 16:32:49-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Urbanetz, C; Mariuza; Domingos; Lelo","310",NA,"Brazil","Fazenda Folha Larga, Trilha da Vitória.",NA,"Árvore de 20 m, flores brancas.",NA,NA,"2004","01",NA,"São Paulo","Cananéia","-47.916667","-24.883333",NA,NA,"Brotto, ML","2018","-47.916667","-24.883333","30","155","09",NA,NA,NA
"30","2021-03-01 16:32:49-03","UNICAMP","UEC","132214","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Vervloet, RR; Bausen, E; Pizziolo, W","2307",NA,"Brazil","Nova Lombardia, Reserva Biológica Augusto Ruschi, Goiapabo-Açu, Boeirão, linha de divisa, Marco 53 a 52. Picada.",NA,"Arvoreto de 8 m, frutos imaturos de cor verde claro. Topo de morro, dossel 12 m.","UEC014104","UEC014104","2004","04","29","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","Barbosa, TDM","2008",NA,NA,NA,NA,"10","27",NA,NA
"31","2021-03-01 16:32:49-03","UNICAMP","UEC","132552","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Kollmann, L; Bausen, E; Pizziolo, W","1875",NA,"Brazil","Terreno do Boza.",NA,"Arbusto 3 m. Flores verdes.; Chapada.","UEC014100","UEC014100","1999","02","09","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","Barbosa, TDM","2008",NA,NA,"750","750","10","27",NA,NA
"32","2021-03-01 16:32:49-03","UNICAMP","UEC","132682","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Kollmann, L; Bausen, E; Pizziolo, W","2297",NA,"Brazil","Valsugana Velha, Estação Biológica de Santa Lúcia (Trilha do sagui).",NA,"Arvoreto 11 m. Dap 18 cm. Fuste 4 m. Flores amarelas.","UEC014106","UEC014106","1999","03","30","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","Barbosa, TDM","2008",NA,NA,"700","700","10","27",NA,NA
"33","2021-03-01 16:32:49-03","UNICAMP","UEC","132268","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Kollmann, L; Bausen, E; Pizziolo, W","1822",NA,"Brazil","Valsugana Velha, Reserva Biológica de Santa Lúcia. Trilha do Sagui.",NA,"Arvoreto 7 m. Dap 6 cm. Fuste 5 m. Flores brancas esverdeadas.","UEC014102","UEC014102","1999","02","04","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","Barbosa, TDM","2008",NA,NA,"700","700","12","09",NA,NA
"34","2021-03-01 16:32:49-03","UNICAMP","UEC","31167","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Silva, AF","9267",NA,"Brazil","Ext experimental de Ubatuba do Inst. Agronomico de Campinas.",NA,"Árvore cerca de 10m de alt, com frutos verdes, em botão.","UEC138295","UEC138295","1978","01","10","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-01 16:32:49-03","UNICAMP","UEC","173161","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Sanches, M; Pedroni, F","31311",NA,"Brazil","Núcleo Picinguaba, margens do Rio da Fazenda.",NA,"Árvore de 8 m de altura, frutos imaturos verdes, cúpula vermelha.","UEC079960","UEC079960","1992","10","06","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto","Brotto, ML","2018",NA,NA,NA,NA,"09",NA,NA,NA
"36","2021-03-01 16:32:49-03","UNICAMP","UEC","88180","S","Plantae","Magnoliopsida",NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Sanches, M; Pedroni, F","31312",NA,"Brazil","Núcleo Picinguaba. Margens do Rio da Fazenda.",NA,"Árvore de 8 m de altura, botões no início do desenvolvimento.","UEC003889","UEC003889","1991","12","02","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto","Baitello, JB","2014",NA,NA,NA,NA,"06","11",NA,NA
"37","2020-12-21 16:31:23-03","MBM","MBM","406315","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Brotto, M.L.","2317","Southern America","Brazil","Reserva Natural Salto Morato, Trilha do Bracinho",NA,"Árvore com 18 m de altura; ritidoma cinza escuro com lenticelas, casca interna castanha, odor suave um tanto cítrico. Flores brancas.; Floresta Ombrófila Densa Submontana.","MBM406315","MBM406315","2016","08","04","Paraná","Guaraqueçaba","-48.277778","-25.166111",NA,NA,"Brotto, M.L.","2016","-48.277778","-25.166111","277","277","08","30",NA,NA
"38","2020-12-21 16:31:23-03","MBM","MBM","406316","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Brotto, M.L.","2318","Southern America","Brazil","Reserva Natural Salto Morato, Trilha do Bracinho",NA,"Árvore com 16 m de altura; ritidoma cinza escuro com lenticelas, casca interna castanha, odor suave um tanto cítrico. Flores brancas.; Floresta Ombrófila Densa Submontana.","MBM406316","MBM406316","2016","08","04","Paraná","Guaraqueçaba","-48.278056","-25.167222",NA,NA,"Brotto, M.L.","2016","-48.278056","-25.167222","270","270","08","30",NA,NA
"39","2020-12-21 16:31:23-03","MBM","MBM","407321","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Brotto, M.L.; Marinero, F.; Marinero, F.","2369","Southern America","Brazil","Reserva Natural Salto Morato, topo do morro",NA,"Árvore com 20 m de altura; fruto na fase final de desenvolvimento com cúpula vermelha. Madeira com odor levemente cítrico de intensidade moderada.; Floresta Ombrófila Densa Submontana.","MBM407321","MBM407321","2016","12","19","Paraná","Guaraqueçaba","-48.293","-25.157444",NA,NA,"Brotto, M.L.","2017","-48.293","-25.157444","330","330","01","10",NA,NA
"40","2020-07-10 09:46:42-03","MBML","MBML-HERBARIO","20467",NA,"Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"R.R. Vervloet; et al","2307",NA,"Brasil","Reserva Biológica Augusto Ruschi - Nova Lombardia",NA,"Arvoreto de 8m, frutos imaturos de cor verde claro. Topo de morro, dossel 12m.","MBML020467","MBML020467","2003","04","29","Espírito Santo","Santa Teresa","-40.553056","-19.9075",NA,NA,"J. Rohwer/Set.2011",NA,"40W33'11","19S54'27",NA,NA,NA,NA,NA,NA
"41","2020-06-15 15:31:00-03","UNESP-RC","HRCB","16227","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Sanchez",NA,NA,"Brasil","Picinguaba",NA,NA,NA,NA,NA,NA,NA,"São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto","Baitello, J.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-06-15 15:31:00-03","UNESP-RC","HRCB","11033","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Ribeiro",NA,NA,"Brasil","Picinguaba",NA,NA,NA,NA,NA,NA,NA,"São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto","Baitello, J.B.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-06-15 15:31:00-03","UNESP-RC","HRCB","20805","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Godoy",NA,NA,"Brasil","Camping Ana Paula",NA,NA,NA,NA,NA,NA,NA,"São Paulo","Parelheiros","-46.774444","-23.9",NA,NA,NA,NA,"46º46'28W","23º54'0S",NA,NA,NA,NA,NA,NA
"44","2020-06-15 15:31:00-03","UNESP-RC","HRCB","23953","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Thomaz, L.D.","1170",NA,"Brasil","Estação Biológica de Santa Lúcia",NA,"Altura 14m, PAP 26 cm, caule interno amarelo, com odor de pitanga, botões verdes",NA,NA,"1993","03","10","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","Barbosa, T.D.M.","2008",NA,NA,"650","650","10","27",NA,NA
"45","2018-10-09 16:31:36-03","UFLA","ESAL","23834","S","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Vervloet, RR; Bausen, E; Pizziolo, W","2307",NA,"Brasil","Nova Lombardia/Reserva Biológica Augusto Ruschi, Goiapabo-açu, Boeirão, linha de divisa, Marco 53 a 52. Picada.",NA,"Doação MBML 20",NA,NA,NA,NA,NA,"Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-07 12:15:10-03","UFG","UFG","62103","S","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Barbieri, D.","s.n.",NA,"Brasil",NA,NA,"Árvore, flores.","UFG0062103","UFG0062103","2002","11","18","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Barretto, E.H.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-09-12 05:00:02-03","US","US","2579601","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"F. C. Hoehne","s.n.","South America - Neotropics","Brazil","Nativa no Jardim Botânico (Parque do Estado)",NA,NA,"US01350454","US01350454_01","1932","2","20","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1"
"48","2019-11-13 11:21:18-03","USP","SPF","103095","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Godoy, SAP","597",NA,"Brasil","Parelheiros. Camping Ana Paula.",NA,NA,"SPF00103095",NA,"1995","06","22","São Paulo","São Paulo","-46.774444","-23.9",NA,NA,"Baitello, JB","2000","-46.774444","-23.9",NA,NA,"06","15",NA,NA
"49","2019-11-13 11:21:18-03","USP","SPF","199382","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Magnago, LFS","1246",NA,"Brasil","Fazenda Caioaba, propr.: Virloni, trilha da divisa.",NA,NA,"SPF00199382",NA,"2006","08","09","Espírito Santo","Santa Leopoldina","-40.470556","-20.059167",NA,NA,"Brotto, ML","2017","-40.470556","-20.059167","250","500","02","06",NA,NA
"50","2019-11-13 11:21:18-03","USP","SPF","199389","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Vervloet, RR","2307",NA,"Brasil","Reserva Biológica Augusto Ruschi, Nova Lombardia. Goipabo-Açu, Boeirão, linha de divisa, Marco 53 a 52.",NA,NA,"SPF00199389",NA,"2003","04","29","Espírito Santo","Santa Teresa","-40.6002998352051","-19.9356002807617","23813","auto","Moraes, PLR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2019-11-13 11:21:18-03","USP","SPF","48756","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","venulosa","Ocotea venulosa","(Nees) Baitello",NA,"Hoehne, FC","s.n.",NA,"Brasil","Nativa no Jardim Botânico (Parque do Estado).",NA,NA,"SPF00048756",NA,"1932","02","20","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Anônimo",NA,NA,NA,NA,NA,NA,NA,NA,NA
