"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","barcode","geoFlag","yearIdentified","monthIdentified","dayIdentified","scientificNameAuthorship","typeStatus","continentOcean","occurrenceRemarks","imagecode","minimumElevationInMeters","maximumElevationInMeters","order","class","individualCount","relatedCatalogItem"
"11","2008-05-27 22:02:00-03","MO","MOBOT","3233990","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","C. M. Taylor","Cintia Chamas","Chamas IFO-051/94","1994","2","25","Brazil","Espírito Santo",NA,"Santa Teresa. Valaugana Velha, Estação Biológica de Santa Lúcia, mata Atlántica de encosta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.H. Kirkbr.",NA,"South America",NA,NA,"500.00000000","950.00000000",NA,NA,NA,NA
"12","2013-08-23 04:12:00-03","MO","MOBOT","3239731","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","H. Q. B. Fernandes","Ludovic Kollmann","Kollmann 2091","1999","3","10","Brazil","Espírito Santo",NA,"Mun e Santa Teresa, Valsugana Velha, Estação Biológica de Santa Lúcia, trilha bonita.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"J.H. Kirkbr.",NA,"South America",NA,NA,"650.00000000",NA,NA,NA,NA,NA
"13","2020-08-31 08:58:05-03","INPA","INPA","201098","S","Plantae","Dicotyledon Asterids","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Hatschbach, GG","61698","1995","07","11","Brasil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo a Vitor Hugo, Rio Jacu Braço Sul","-40.6591987609863","-20.3633003234863",NA,NA,"48150","INPA0201098","auto",NA,NA,NA,"J.H.Kirkbr.","isotype","Southern America",NA,"INPA0201098 INPA0201098_e","700","700","Gentianales",NA,NA,NA
"14","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","10842",NA,"Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","H.Q.B.Fernandes/V.Demuner-1999","L. Kollmann; E. Bausen & W. Pizziolo","2091","1999","03","10","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17",NA,"MBML010842",NA,NA,NA,NA,"J.H.Kirkbr.",NA,NA,"Arvoreto caído. Flores brancas.",NA,NA,NA,NA,NA,NA,NA
"15","2020-09-03 12:03:27-03","MBML","MBML-HERBARIO","10955",NA,"Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"G. Hatschbach; et al","61698","1995","01","17","Brasil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo a Vitor Hugo, Rio Jucu Braço Sul","-40.879722","-20.415278","40W52'47","20S24'55",NA,"MBML010955",NA,NA,NA,NA,"J.H.Kirkbr.","ISOTIPO",NA,"Arvoreta 5m. Flor alva. Petalas internas verdes com larga borda alva. Estamnes alvos. Mata pluvial. Alt.:700m.","MBML010955",NA,NA,NA,NA,NA,NA
"16","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","11335",NA,"Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","D.Zappi & H.Q.B.Fernandes/1999","V. Demuner; et al","186","1999","10","27","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17",NA,"MBML011335",NA,NA,NA,NA,"J.H.Kirkbr.",NA,NA,"Árvore 10m, DAP 25cm, fuste 6m, frutos imaturos de cor verde. Ambiente úmido, beira de riacho.",NA,NA,NA,NA,NA,NA,NA
"17","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","15127",NA,"Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","V. Demuner/08-10-2002","L. Kollmann; et al","4518","2001","09","05","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17",NA,"MBML015127",NA,NA,NA,NA,"J.H.Kirkbr.",NA,NA,"Arvoreto 6m. Frutos verdes.",NA,NA,NA,NA,NA,NA,NA
"18","2020-07-10 09:49:14-03","MBML","MBML-HERBARIO","8210",NA,"Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","D. C. Zappi/Nov.-1999","E. Bausen; W. Pizziolo","96","1998","07","23","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17",NA,"MBML008210",NA,NA,NA,NA,"J.H.Kirkbr.",NA,NA,"Árvore com 9 metros, diâmetro 20cm. Com frutos verdes, meio encosta. Trilha a direita antes da cachoeira.",NA,NA,NA,NA,NA,NA,NA
"19","2021-02-25 10:12:24-03","CVRD","CVRD","15602","PreservedSpecimen","Plantae","Magnoliophyta","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","J.H. Kirbride","Hatschbach, G.","61698","1995","01","17","BRASIL","ES","Domingos Martins",NA,"-40.6591987609863","-20.3633003234863",NA,NA,"48150","CVRD015602","auto",NA,NA,NA,"J.H.Kirkbr.","ISOTYPUS","América do Sul","Arvoreta, 5 m, flor alva, pétalas internas verdes com larga borda alva; estames alvos. Mata pluvial. Alt 700 m. <ll>dwc_commonname:</ll> Arariba jucu","CVRD015602",NA,NA,"Gentianales","Magnoliopsida",NA,NA
"20","2020-09-12 05:00:02-03","US","US","3323519","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"G. Hatschbach, M. M. Hatschbach & J. M. Silva","61698","1995","1","17","Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, proximo a Vitor Hugo, Rio Jucu Braco Sul.","-40.6591987609863","-20.3633003234863",NA,NA,"48150","US00479063","auto",NA,NA,NA,"J.H. Kirkbr.","Isotype","South America - Neotropics",NA,"US00479063_01","700","700","Rubiales","Dicotyledonae","1",NA
"21","2019-11-13 11:30:35-03","USP","SPF","145665","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Fiaschi, P","Fiaschi, P","695","2001","03","10","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.534722","-19.968611","-40.534722","-19.968611",NA,"SPF00145665",NA,"2001","04",NA,"J.H.Kirkbr.",NA,NA,NA,NA,"720","720",NA,NA,NA,NA
"22","2021-03-15 18:29:41-03","USP","SPF","220900","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Hatschbach, G","61698","1995","01","17","Brasil","Espírito Santo","Domingos Martins","Br-262, próximo a Vitor Hugo, rio Jacu Braço Sul.","-40.6591987609863","-20.3633003234863",NA,NA,"48150","SPF00220900","auto",NA,NA,NA,"J.H.Kirkbr.","isotype",NA,"Arvoreta, 5 m, flor alva, pétalas internas verdes com larga borda alva; estames alvos.; Mata pluvial.",NA,"700","700",NA,NA,NA,NA
"23","2021-03-15 18:29:41-03","USP","SPF","126137","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Hatschbach, G","61698","1995","01","17","Brasil","Espírito Santo","Domingos Martins","Br-262, próximo a Vitor Hugo, rio Jacu Braço Sul.","-40.6591987609863","-20.3633003234863",NA,NA,"48150","SPF00126137","auto",NA,NA,NA,"J.H.Kirkbr.","isotype",NA,"Arvoreta, 5 m, flor alva, pétalas internas verdes com larga borda alva; estames alvos.; Mata pluvial.",NA,"700","700",NA,NA,NA,NA
"24","2020-07-23 12:21:25-03","CEPLAC","CEPEC","77179","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","J. H. Kirkbride, Jr.","G. Hatschbach","61698","1995","01","17","Brasil","Espírito Santo","domingos martins","Rod. BR-262, prox. a Vitor Hugo, Rio Jucu Braço Sul.","-40.6591987609863","-20.3633003234863",NA,NA,"48150",NA,"auto",NA,NA,NA,NA,"Isótipo",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995"
"25","2020-11-12 17:00:12-03","UEL","FUEL","16500","PreservedSpecimen","Plantae","Tracheophyta","Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Hatschbach, G; Hatschbach, M; Silva, JM","61698","1995","01","17","Brasil","Espirito Santo","Domingos Martins","Rod. BR-262, Próximo a Vitor Hugo, Rio jucu Branco sul","-40.6591987609863","-20.3633003234863",NA,NA,"48150","FUEL016500","auto",NA,NA,NA,"J.H.Kirbr.","isotype",NA,NA,NA,"700","700","Gentianales",NA,NA,NA
"26","2021-02-23 13:23:08-03","MN","R-TIPOS","228156","PreservedSpecimen","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Hatschbach, G.; Hatschbach, M. 61698",NA,"1995","01","17","Brasil","Espirito Santo","Domingos Martins","Rod. BR-262, próximo a Vitor Hugo","-40.6591987609863","-20.3633003234863",NA,NA,"48150","R000228156","auto",NA,NA,NA,"J.H. Kirkbr.","Isotypus",NA,NA,"R000228156_001","700","700",NA,NA,NA,NA
"27","2014-10-09 13:58:34-03","UHH","HBG","521003","S","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum",NA,"Hatschbach, G., Hatschbach, M. & Silva, J.M.","61698","1995","01","17","Brazil",NA,NA,"Rod. BR-262, próximo a Victor Hugo, Rio Jucu Braco Sul (mun. Domingos Martins, Espítito Santo, mata pluvial",NA,NA,NA,NA,NA,"HBG521003",NA,NA,NA,NA,"J.H. Kirkbr.","Isotype","South America",NA,NA,"700","700",NA,NA,NA,NA
"28","2019-11-21 10:18:39-03","IBt","SP","351398","S","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Fiaschi, P","Fiaschi, P; et al.","695","2001","03","10","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, Trilha do Sagui, caminho para a cachoeira do Rio Timbuí","-40.534722","-19.968611","-40.534722","-19.968611",NA,NA,NA,"2001","04",NA,"J.H.Kirkbr.",NA,NA,NA,NA,"720","720",NA,NA,NA,NA
"29","2019-11-21 10:18:39-03","IBt","SP","477060","S","Plantae",NA,"Rubiaceae","Simira","hatschbachiorum","Simira hatschbachiorum","Kirkbride Jr, JH","Hatschbach, G; Hatschbach, M; Silva, JM","61698","1995","01","17","Brasil","Espírito Santo","Domingos Martins","BR-262, próximo a Vitor Hugo, Rio Jucu Braço Sul","-40.6591987609863","-20.3633003234863",NA,NA,"48150","SP003442","auto",NA,NA,NA,"J.H.Kirkbr.","Isotype",NA,NA,"SP003442","700","700",NA,NA,NA,NA
