"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"12","2021-03-15 16:37:00-03","NY","NYBG","504207","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","lobatus","Croton lobatus gracilis","Müll.Arg.","O. L. M. da Silva","J. B. A. Guillemin","1838","12",NA,"Brazil","Rio de Janeiro",NA,"Rio de Janeiro. Brasil meridional",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504207",NA,"Magnoliophyta","Malpighiales","167","South America","sheet","gracilis","isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","504210","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","lobatus","Croton lobatus","L.",NA,"G. G. Hatschbach","1958","08","06","Brazil","Paraná","Antonina","Rio Faisqueira, Ilha dos Ratos Brancos","-48.7117","-25.4286",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504210",NA,"Magnoliophyta","Malpighiales","4984","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02899252","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","lobatus","Croton lobatus","L.","I. Cordeiro","D. C. Daly","1981","12","05","Brazil","Pará",NA,"Serra dos Carajás, 25-30 Km NW of Serra Norte mining camp","-50.433333","-5.916667",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1326839' target='other'> <mi>dwc_moreinfo</mi></a>","NY02899252","NY02899252_01","Magnoliophyta","Malpighiales","1738","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","03361496","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","lobatus","Croton lobatus","L.","B. M. Torke; J. Beros","V. de F. Mansano","2017","11","15","Brazil","Pará","Belterra","Estrada para Pindobal.","-54.937198638916","-2.63638997077942",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3548320' target='other'> <mi>dwc_moreinfo</mi></a>","NY03361496","NY03361496_01","Magnoliophyta","Malpighiales","1198","South America","sheet",NA,NA,"74752","auto",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-18 09:29:28-03","UNESP-IBB","BOTU","12282","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Ginzbarg, S.","Gemtchújnicov, I.D.","1972","12","21","Brasil","Ceará","Boa vista",NA,NA,NA,"9999","9999",NA,NA,NA,"BOTU012282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989","12",NA,NA,NA,NA,NA,NA
"17","2021-02-18 09:29:28-03","UNESP-IBB","BOTU","8740","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch",NA,"Brantjes, N.B.M.","1978","01","02","Brasil","Pará","Baião",NA,NA,NA,"9999","9999",NA,NA,NA,"BOTU008740",NA,NA,NA,"706409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-02-18 09:29:28-03","UNESP-IBB","BOTU","9879","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch",NA,"Amaral Jr., A.","1975","04","01","Brasil","São Paulo","Botucatu",NA,NA,NA,"9999","9999",NA,NA,"Arbusto de 1,20 cm de altura com flores esverdeadas e frutos verdes","BOTU009879",NA,NA,NA,"2075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-02-18 09:29:28-03","UNESP-IBB","BOTU","11598","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Ginzbarg, S.","Braga, L.M.","1984","05","17","Brasil","São Paulo","Botucatu",NA,NA,NA,"9999","9999",NA,NA,"Arbusto de 1,5 m de altura, com inflorescência verde claro","BOTU011598",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1988","01",NA,NA,NA,NA,NA,NA
"20","2021-02-18 09:29:28-03","UNESP-IBB","BOTU","12283","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Ginzbarg, S.","Gemtchújnicov, I.D.","1969","07",NA,"Brasil","Ceará",NA,NA,NA,NA,"9999","9999",NA,NA,NA,"BOTU012283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1987","12",NA,NA,NA,NA,NA,NA
"21","2021-02-18 09:29:28-03","UNESP-IBB","BOTU","17036","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Cordeiro, I.","Gemtchújnicov, I.D.","1972","12","21","Brasil","Minas Gerais","Boa vista",NA,NA,NA,"9999","9999",NA,NA,NA,"BOTU017036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992","04",NA,NA,NA,NA,NA,NA
"22","2021-02-08 11:08:30-03","UNESP-IBB","BOTU","30152","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch",NA,"Bignotto, R.B.","2004","04","28","Brasil","São Paulo","Botucatu",NA,"-48.433333","-22.866667","48°26'w","22°52's",NA,NA,"Arbusto 1m, pétalas, androceu e gineceu brancos.; Coleção: Jardim Botânico UNESP Botucatu","BOTU030152",NA,NA,NA,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-08 11:08:30-03","UNESP-IBB","BOTU","30976","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch",NA,"Bicudo, L.R.H.","1996","03","27","Brasil","São Paulo","Botucatu","Mata do Moro da Igreja de Santo Antonio Rubião, distrito de Rubião Júnior","-48.916667","-22.916667","48°55'w","22°55's",NA,NA,NA,"BOTU030976",NA,NA,NA,"1782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-06-29 11:30:14-03","UFRJ","RFA","6832","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","I. Cordeiro","P. Occhioni","1960","12","20","Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,"RFA26599",NA,NA,NA,"2101",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-06-29 11:30:14-03","UFRJ","RFA","21508","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","I. Cordeiro","P. Occhioni","1979","12","14","Brasil","Minas Gerais","Caxambu","Morro do Redentor","-44.9324989318848","-21.9771995544434",NA,NA,"1200","1200","Arbusto 1 - 2 m de altura; flores verdes; frequente","RFA17770",NA,NA,NA,"9048",NA,NA,NA,NA,"11683","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-13 09:19:39-03","UFRJ","RFA","32784","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","L.J.S. Pinto","R.C. Lopes; D.M.C.Santos; R.F.Monteiro; A.C.G. Ramos; S.P. Castro; M.R. Melo","2006","12","05","Brasil","Rio de Janeiro","Rio de Janeiro","Av. Estado da Guanabara, próximo ao Quiosque 199","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Erva ca. 50 cm de altura, folhas 3-lobada, inflorescência terminal, flores alvas, frutos 3-lobado","RFA21478",NA,NA,NA,"259",NA,NA,NA,NA,"57442","auto","2014","01","13",NA,NA,NA,NA,NA
"27","2020-11-13 09:19:39-03","UFRJ","RFA","10910","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","lobatus","Croton lobatus","L.","G.G. Hatschbach","G.G. Hatschbach","1970","07","22","Brasil","Paraná","Cerro Azul","Estrela","-49.261100769043","-24.823600769043",NA,NA,NA,NA,"Arbusto de 2 m","RFA10847",NA,NA,NA,"24516",NA,NA,NA,NA,"32006","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-15 11:14:36-03","FUNED","FUNED-POL","4641","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata",NA,NA,"Bastos, E.M.A.F.","2010","12","14","Brasil","MG","Janaúba","Fazenda Coqueiros Mata Seca","-43.463056","-15.709167","43W 27' 47","15S 42' 33",NA,NA,NA,"POL004641","POL004641_p01 POL004641_p02 POL004641_p03 POL004641_p04 POL004641_p05 POL004641_p06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-10-18 16:25:02-02","UNEMAT","TANG","246","S","Plantae","Euphorbiaceae","Croton","lobatus","Croton lobatus","L.",NA,"Guedes, S","2009","10","24","Brasil","Mato Grosso","Tangará da Serra",NA,"-57.4858016967773","-14.6194000244141",NA,NA,NA,NA,",","TANG000000246",NA,NA,NA,"4",NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2018-08-28 10:12:55-03","UNEMAT","TANG","1603","S","Plantae","Euphorbiaceae","Croton","lobatus","Croton lobatus","L.",NA,"Schivinn, TA; Moraes, JQ","2011","02","24","Brasil","Mato Grosso","Tangará da Serra","Fazenda São Marcelo.","-57.4858016967773","-14.6194000244141",NA,NA,NA,NA,"Folhas simples, palmadas, porte herbáceo.","TANG000001603",NA,NA,NA,"35",NA,NA,NA,NA,"175746","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-19 15:43:56-03","UNEB","HUNEB","5738","PreservedSpecimen","Plantae","Euphorbiaceae","Croton","lobatus","Croton lobatus","L.",NA,"Costa, J.","1998","02","14","Brasil","Bahia","Salvador","Parque Metropolitano de Pituaçu.","-38.416389","-12.945556","38W24'59''","12S56'44''",NA,NA,NA,"HUNEB0005738",NA,"Angiospermae","Florideophycidae","138HRB38111",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"32","2021-03-30 12:38:05-03","EAO","IAN","140187","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Pires, JM; Passos, BC dos","1973","08","21","Brasil","Pará",NA,"Serra Norte.",NA,NA,NA,NA,NA,NA,"Vegetação de canga. Arbusto de 2m.","IAN140187",NA,"Dicotiledônea",NA,"13204","Southern America",NA,NA,NA,NA,NA,"2021","01","20",NA,NA,NA,NA,NA
"33","2021-03-30 12:38:05-03","EAO","IAN","152891","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Ribeiro, BGS","1976","06","24","Brasil","Pará",NA,"Serra dos Carajás, Margem da estrada 1-4- Mata alta terra firme.",NA,NA,NA,NA,NA,NA,"Arbusto de 1m. Frutos verdes.","IAN152891",NA,"Dicotiledônea",NA,"1336","Southern America",NA,NA,NA,NA,NA,"2021","01","20",NA,NA,NA,NA,NA
"34","2021-03-30 12:38:05-03","EAO","IAN","162226","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Plowman, T; Rosa, NA","1980","03","16","Brasil","Pará","Tucuruí","Km.25 south of represa Tucurui on road (BR 422) to Breu Branco.","-49.733333","-3.866667","-49.733333","-3.866667",NA,NA,"Herb to 1m. tall in roadside in white sand campina. Flowers cream. Immature fruits shiny green.","IAN162226",NA,"Dicotiledônea",NA,"9634","Southern America",NA,NA,NA,NA,NA,"2021","01","20",NA,NA,NA,NA,NA
"35","2021-03-30 12:38:05-03","EAO","IAN","91839","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Pires, JM; Black, GA; Wurdack, JJ; Silva, NT da","1956","12","17","Brasil","Pará",NA,"Serra do Cachimbo",NA,NA,NA,NA,NA,NA,"Arbusto, em savana.","IAN091839",NA,"Dicotiledônea",NA,"6435","Southern America",NA,NA,NA,NA,NA,"2021","01","20",NA,NA,NA,NA,NA
"36","2021-03-30 12:38:05-03","EAO","IAN","94560","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Pereira, EC","1955","09","20","Brasil","Pará",NA,"Serra do Cachimbo",NA,NA,NA,NA,NA,NA,"Pequeno arbusto, de flor esverdeada.","IAN094560",NA,"Dicotiledônea",NA,"1864","Southern America",NA,NA,NA,NA,NA,"2021","01","20",NA,NA,NA,NA,NA
"37","2021-03-30 12:38:05-03","EAO","IAN","127451","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Silva, NT da","1968","10","01","Brasil","Pará","Almeirim","Rio Jari, Monte Dourado; canteiro de germinacao de gemelina.","-52.5816993713379","-1.52332997322083",NA,NA,NA,NA,"Planta de 35cm.","IAN127451",NA,"Dicotiledônea",NA,"1074","Southern America",NA,NA,NA,"564600","auto","2021","01","20",NA,NA,NA,NA,NA
"38","2021-03-30 12:38:05-03","EAO","IAN","124508","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Oliveira, E","1968","04","22","Brasil","Pará","Almeirim","Rio Jari, Monte Dourado, em frente ao hospital, terra firme.","-52.5816993713379","-1.52332997322083",NA,NA,NA,NA,"Arbustinho, frutos.","IAN124508",NA,"Dicotiledônea",NA,"4279","Southern America",NA,NA,NA,"564600","auto","2021","01","20",NA,NA,NA,NA,NA
"39","2021-03-30 12:38:05-03","EAO","IAN","199500","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Brito, FVS dos","2019","10","09","Brasil","Pará","Ananindeua","Parque Ambiental Antônio Danúbio","-48.372200012207","-1.36556005477905",NA,NA,NA,NA,"Erva de 10, frutos verdes.","IAN199500",NA,"Dicotiledônea",NA,"15","Southern America",NA,NA,NA,"16174","auto","2021","01","20",NA,NA,NA,NA,NA
"40","2021-03-30 12:38:05-03","EAO","IAN","199163","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Cosme, MHT","2019","08","13","Brasil","Pará","Belém","Capoeira do Black","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"Arbustro, Exsudato transparente e botões florais verdes","IAN199163",NA,"Dicotiledônea",NA,"05","Southern America",NA,NA,NA,"48462","auto","2021","01","20",NA,NA,NA,NA,NA
"41","2021-03-30 12:38:05-03","EAO","IAN","198838","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Picanço, L","1998","03","31","Brasil","Pará","Belém","Cemitério Santa Izabel.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"Flores pequenas e brancas. Frutos verdes. Altura 80cm.","IAN198838",NA,"Dicotiledônea",NA,"CSI12","Southern America",NA,NA,NA,"48462","auto","2021","01","20",NA,NA,NA,NA,NA
"42","2021-03-30 12:38:05-03","EAO","IAN","198735","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Oliveira, JCL de","Picanço, L","1998","04","02","Brasil","Pará","Belém","Cemitério São Jorge.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"Cor dos frutos verdes e flores verdes em pendão. Altura 20 cm.","IAN198735",NA,"Dicotiledônea",NA,"48","Southern America",NA,NA,NA,"48462","auto","2019","09","25",NA,NA,NA,NA,NA
"43","2021-03-30 12:38:05-03","EAO","IAN","194516","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Cordeiro, MR","2016","09","05","Brasil","Pará","Belém","Em frente a capoeira do Black. Ao lado do Experimento de cupuaçu. Terra firme Solo argiloso.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"Erva, frutos verdes","IAN194516",NA,"Dicotiledônea",NA,"5093","Southern America",NA,NA,NA,"48462","auto","2021","01","20",NA,NA,NA,NA,NA
"44","2021-03-30 12:38:05-03","EAO","IAN","199463","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Cunha, ELC da; Cordeiro, MR","2019","09","30","Brasil","Pará","Belém","Fazenda velha. Embrapa Amazônia Oriental.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"Erva, flores verdes claro, fruto verde e botões verdes.","IAN199463",NA,"Dicotiledônea",NA,"19","Southern America",NA,NA,NA,"48462","auto","2021","01","20",NA,NA,NA,NA,NA
"45","2021-03-30 12:38:05-03","EAO","IAN","13620","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Silva, MB da","1942","11",NA,"Brasil","Pará","Belém","K. nw. of Instituto Agronomico do Norte, near Sao Joaquim.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,NA,"IAN013620","IAN013620 IAN013620_e","Dicotiledônea",NA,"162","Southern America",NA,NA,NA,"48462","auto","2021","01","20",NA,NA,NA,NA,NA
"46","2021-03-30 12:38:04-03","EAO","IAN","11646","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Archer, WA; Mc Vaugh, R","1942","10","14","Brasil","Pará","Belém","Weed in cult. plot of the I.A.N.","-48.5043983459473","-1.4558299779892",NA,NA,NA,NA,"Sandy soil. Common.","IAN011646","IAN011646 IAN011646_e","Dicotiledônea",NA,"7668","Southern America",NA,NA,NA,"48462","auto","2021","01","20",NA,NA,NA,NA,NA
"47","2021-03-30 12:38:04-03","EAO","IAN","123683","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Cavalcante, PB; Silva, M","1966","12","14","Brasil","Pará","Santarém","Matinha de beira de estrada.","-54.7083015441895","-2.44305992126465",NA,NA,NA,NA,"Arbusto de 1m. ramificacao dicotomica; flor branca, fruto verde, frequente.","IAN123683",NA,"Dicotiledônea",NA,"1750","Southern America",NA,NA,NA,"205258","auto","2021","01","20",NA,NA,NA,NA,NA
"48","2021-03-30 12:38:05-03","EAO","IAN","195261","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Freitas, JC","2013","05","06","Brasil","Pará","Vitória do Xingu","TransCatitu. Sitio Canais e Diques.","-52.0099983215332","-2.88000011444092",NA,NA,NA,NA,"Erva ca. 40 cm alt; Frutos verdes.","IAN195261",NA,"Dicotiledônea",NA,"PSACF387","Southern America",NA,NA,NA,"79439","auto","2021","01","20",NA,NA,NA,NA,NA
"49","2021-03-30 12:38:05-03","EAO","IAN","77116","PreservedSpecimen","Plantae","Euphorbiaceae","Astraea","lobata","Astraea lobata","(L.) Klotzsch","Mendes, JCR","Black, GA; Cordeiro, E","1952","06","20","Brasil","Rondônia","Porto Velho","Rio Sao Miguel, afluente do Guapore; encosta da Serra do Limoeiro.","-63.9039001464844","-8.76194000244141",NA,NA,NA,NA,"Arva.","IAN077116",NA,"Dicotiledônea",NA,"15232","Southern America",NA,NA,NA,"333357","auto","2021","01","20",NA,NA,NA,NA,NA
