"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","typeStatus","relatedCatalogItem"
"11","2021-01-14 15:26:43-03","MN","R","30782","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Diogo, J.C.","681","1917","02","24","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010028919,R010028920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:26:43-03","MN","R","106747","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Castellanos, A.","22374","1959","02","10","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010028926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:26:43-03","MN","R","106748","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Castellanos, A.","22359","1959","02","09","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010028915,R010028916,R010028917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:26:43-03","MN","R","106752","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Castellanos, A.","22376","1959","02","10","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010028918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:26:43-03","MN","R","145860","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Emmerich, M.","4809","1982","09","19","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010028923,R010028924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:26:43-03","MN","R","218585","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Barcia, J.C.C.","306","1970","09","20","Brasil","Rio de Janeiro",NA,"Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA,NA,NA,NA,"R010028927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:26:43-03","MN","R","218586","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Lindeman, J.C.; Barcia, J.C.C.","6392","1971","07","21","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010028922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:26:43-03","MN","R","160510","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Martinelli, G.; Dalcin, E. & Hatton, J.","9946","1984","10","03","Brasil","Rio de Janeiro","Magé",NA,"-43.040599822998","-22.6527996063232",NA,NA,"200","200",NA,"R010028925",NA,NA,NA,NA,NA,NA,"20531","auto",NA,NA,NA,NA,NA
"19","2021-01-14 15:26:43-03","MN","R","223617","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Zappi, D.C. & Taylor, N.P.","1989","04","20","Sucre, D.; Silva, J.F. da","9522","1972","08","22","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"20","2021-01-14 15:26:43-03","MN","R","223616","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Zappi, D.C. & Taylor, N.P.","1992","07",NA,"Sucre, D.","9500","1972","08","15","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"430","430",NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"21","2021-01-14 15:26:43-03","MN","R","91023","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992",NA,NA,"Sampaio, A.J.","1843","1917","03","20","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,"R010028921",NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"22","2021-03-31 13:37:06-03","MN","R","211325","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992","04","29","Glaziou, A.F.M.","1161 a","1867","02","05","Brasil","Rio de Janeiro","Rio de Janeiro","Cosme Velho","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Plantas do Brasil Central","R000211325","R000211325_001",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"23","2021-03-31 13:37:06-03","MN","R","9815","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber","Taylor, N.P. & Zappi, D.C.","1992","04","30","Glaziou, A.F.M.","10888","1879","12","10","Brasil","Rio de Janeiro","Rio de Janeiro","Cosme Velho","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Plantas do Brasil Central","R000009815","R000009815_001",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"24","2019-11-21 14:33:03-03","UFJF","CESJ","65375","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","B.E. Conde","2014","07","06","B.E. Conde","387","2013","06","26","Brasil","Minas Gerais","Santos Dumont","São Bento, Coletada na casa do Sr. Geraldo Inácio","-43.5525016784668","-21.4566993713379",NA,NA,NA,NA,"Herbácea de folhas em forma de bastão e de coloração verde clara. Cultivada em vasos.","CESJ065375",NA,"Angiosperma",NA,"América do Sul",NA,NA,"25699","auto",NA,NA,NA,NA,NA
"25","2021-03-01 16:27:17-03","UNICAMP","UEC","109560","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber","Gonzaga, DR","2015","09","15","Zappi, DC; Amaral, MCE; Costa, CB; Aona, LYS; Belinello, R","367","1999","11","22","Brazil","Rio de Janeiro","Santa Maria Madalena","Subida da Pedra Dubois.","-41.991481","-21.94345","-41.991481","-21.94345","900","1140","Epífita pendente, 3m de comprimento, flores creme. Pericarpelo 2mm de comprimento, segmentos do perianto 10mm, fechados. Álcool.; Mata semidecídua circundando o afloramento de gnaisse.","UEC090999","UEC090999","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:27:17-03","UNICAMP","UEC","85148","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber","Zappi, DC","2001","08",NA,"Leitão Filho, HF; Rodrigues, RR; Borba, EL; Faivre, CH; Bortolotto, IM; Cardamone, RB","34317","1996","02","03","Brazil","São Paulo","Ubatuba","Estrada Ubatuba-Taubaté no sopé da serra - 3 Km à frente da Estação do IAC, nos limites do parque Nacional da Serra do Mar.","-45.120694","-23.389667","-45.120694","-23.389667",NA,NA,"Mata Atlântica, Epífita sobre árvore a 2m. Frutos verdes com ápice vermelho.","UEC091000","UEC091000","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:27:17-03","UNICAMP","UEC","86621","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber","Freitas, MF","1995","09",NA,"Marquete, R; Marquete, N; Valente, MC; Claudio, L; ?","2055","1989","06","29","Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano, caminho para rifa.","-41.991389","-21.943333","-41.991389","-21.943333",NA,NA,"Erva pendente, semi-ciófila, riparia em ambiente úmido, epifita. Caule com casca lisa, cor cinza, filódios cilíndricos de cor verde; flores com cálice verde, corola alva, androceu e geniceu alvos.; Solo arenoso/argiloso, relevo íngrime","UEC041002","UEC041002","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:27:17-03","UNICAMP","UEC","171856","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber","Aona, LYS","2007","03",NA,"Borges, RAX; Amorim, AM; Perdiz, RO; Rocha, WD; Magnavita, LC","327","2006","12","09","Brazil","Bahia","Camacan","RPPN Serra Bonita.&nf;9,7 km deCamacan na estrada para Jacarecí.Daí 6km SWna estrada para a RPPNe torre da Embratel.&nf;15º 23'30''s&nf;39º33'55''w&nf;Alt.:900- 1000m","-39.4958000183105","-15.4191999435425",NA,NA,NA,NA,"Erva epífifita, ramos esverdeados, frutosrósseos. Em árvore de dossel.; Floresta Ombrófila Densa Montana.","UEC045131","UEC045131","Magnoliopsida",NA,NA,NA,NA,"22686","auto",NA,NA,NA,NA,NA
"29","2021-03-01 16:27:17-03","UNICAMP","UEC","85931","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber","Gonzaga, DR","2015","09","15","Shirasuna, RT; Catharino, ELM; Esteves, GL; Rodrigues, EA","81","1994","09","29","Brazil","São Paulo","Bananal","Serra da Bocaina, Alto Vale do Rio Paca (Bracuí).","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,"Epífita, planta robusta, cerca de 2m de comprimento; flores creme.","UEC090904","UEC090904","Magnoliopsida",NA,NA,NA,NA,"26795","auto",NA,NA,NA,NA,NA
"30","2021-03-01 16:27:17-03","UNICAMP","UEC","75801","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber","Taylor, NP; Zappi, DC","2004","07",NA,"Sugiyama, M; Proença, SL; Kiyama, CY; Catharino, ELM","1349","1995","05","09","Brazil","São Paulo","Bananal","Serra da Bocaina, Sede da Fundação Pró-Bocaina.","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,"Epífita ca. 4,0m de altura. Planta robusta com mais de 2,0m de comprimento. Frutos esbranquiçados translúcidos com ápice rosado.","UEC090995","UEC090995","Magnoliopsida",NA,NA,NA,NA,"26795","auto",NA,NA,NA,NA,NA
"31","2021-03-01 16:27:17-03","UNICAMP","UEC","92571","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber","Zappi, DC","2004","03",NA,"shir; Bertoncini, AP; Dário, FR; Lopes, RF; Rodrigues, RR; Souza, VC; Tamashiro, JY","708","1996","12","11","Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar - Núcleo Cunha (S;W). Borda/ trilha do Rio Bonito.","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"Frutos crassos esverdeados.; Floresta Ombrófila Densa com ação antrópica.","UEC090998","UEC090998","Magnoliopsida",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA
"32","2021-03-01 16:27:17-03","UNICAMP","UEC","92600","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber","Aona, LYS","2004","06",NA,"Bertoncini, AP; Dário, FR; Lopes, RF; Rodrigues, RR; Souza, VC; Tamashiro, JY","734","1996","12","12","Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar- Núcleo Cunha (S;W). Entorno da Estrada.","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,"Frutos verdes crassos.; Floresta Ombrófila Densa com ação antrópica.","UEC090997","UEC090997","Magnoliopsida",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA
"33","2020-10-14 10:00:24-03","FURB","FURB","20151","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","Freitas, MF","2010","07","01","Cadorin, T.J.; Grosch, B. & Lopes, C.P.","1153","2010","02","02","Brasil","Santa Catarina","Joinville","Rio Manso.","-49.14","-26.28","-49.1400000","-26.2800000","770","770","Epífita IFFSC e1025a (Acima de 4m). Forófito 3. Habitat: Floresta Ombrófila Densa; Estágio Primário; interior do fragmento Habito: epífita; Fruto marrom;","FURB03946","FURB03946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-16 17:51:31-03","UCS","HUCS","45191","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","Freitas, M.F.","2010","07","01","Cadorin, T.J.","1153",NA,NA,NA,"Brasil","Santa Catarina","Joinville","Rio Manso","-49.14","-26.28","-49.14","-26.28","770","770","Floresta Ombrófila Densa; estágio primário; interior do fragmento; epífita; fruto marrom.",NA,NA,"Angiospermae","Caryophyllales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-06-29 09:29:58-03","UFRRJ","RBR","22228","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber",NA,NA,NA,NA,"M.V.L. Pereira-Moura","641","1993","08","23","Brasil","Rio de Janeiro","Nova Iguaçu","REBIO do Tinguá, Estrada do Comércio. Reserva Biológica do Tinguá","-43.451099395752","-22.7591991424561",NA,NA,NA,NA,NA,"RBR00022228","RBR00022228",NA,NA,NA,NA,NA,"25743","auto",NA,NA,NA,NA,NA
"36","2020-12-21 16:19:48-03","MBM","MBM","105667","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.R.C. Weber","Taylor, N.P.",NA,NA,NA,"Martinelli, G.; et al.; et al.","9946","1984","10","03","Brazil","Rio de Janeiro","Magé","Paraíso, Centro de Primatologia do Rio de Janeiro","-43.040599822998","-22.6527996063232",NA,NA,NA,NA,NA,"MBM105667","MBM105667",NA,NA,"Southern America",NA,NA,"20531","auto",NA,NA,NA,NA,NA
"37","2020-12-21 16:19:48-03","MBM","MBM","202365","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.R.C. Weber","Freitas, M.F.",NA,NA,NA,"Marquete, R.; et al.; et al.","2055","1989","06","29","Brazil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano","-42.0080986022949","-21.9552993774414",NA,NA,NA,NA,NA,"MBM202365","MBM202365",NA,NA,"Southern America",NA,NA,"30526","auto",NA,NA,NA,NA,NA
"38","2015-09-04 16:05:25-03","MNHN","RECOLNAT_MNHN_P","P04557115","PreservedSpecimen",NA,"Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber",NA,NA,NA,NA,"Glaziou, A.|Schwacke",NA,"1892","12","18","Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. Corcovado. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,". . Prélévement Apparil Végétatif pour Pr. Kluge (Allemagne) M. Malplanche 1993. Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04557115' target='other'> <mi>dwc_moreinfo</mi></a>","P04557115","P04557115_01",NA,NA,NA,"hb",NA,"57442","auto","20337",NA,NA,NA,NA
"39","2015-09-04 16:05:25-03","MNHN","RECOLNAT_MNHN_P","P04557114","PreservedSpecimen",NA,"Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A.Weber",NA,NA,NA,NA,"Glaziou, A.",NA,"1879","1","9","Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. Gavea, à Pedra Bonita. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04557114' target='other'> <mi>dwc_moreinfo</mi></a>","P04557114","P04557114_01",NA,NA,NA,"hb",NA,"57442","auto","10888",NA,NA,NA,NA
"40","2020-12-11 11:34:16-03","UFMG","BHCB","77675","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber",NA,"2015","05","14","Leoni, LS","3442","1996","08","09","Brasil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Próximo ao córrego Caparaó","-41.836944","-20.41","-41.836944","-20.41","1300","1300","Epífita, corola alvacenta.","BHCB025703",NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2008-05-27 22:02:00-03","MO","MOBOT","1455709","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C. Weber",NA,NA,NA,NA,"Cyl Farney|et al.","Farney 1226","1986","9","18","Brazil","Rio de Janeiro",NA,"Nova Friburgo, Res. Eco. Mun. de Macae de Cima.","-42.5","-22.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2018-09-12 14:48:06-03","UNIOESTE","UNOP","8243","S","Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","A.A. Weber","Almeida, O.J.G.","2011","04",NA,"Lombardi, J.A.; Taxonomia de campo 2011; Taxonomia de campo 2011","8422","2011","04","15","Brasil","Rio de Janeiro","Guapimirim","Parque Nacional da Serra dos Órgãos, trilha do Poço Verde.","-43.001361","-22.493944","-43.001361","-22.493944","390","390","Mata altântica. Epífita com ramos pêndulos, frutos translúcidos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","13680",NA,"Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","L. Kollmann/16-09-2004",NA,NA,NA,"L. Kollmann; et al","3208","2000","10","13","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,"Flores brancas.","MBML013680","MBML013680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","13726",NA,"Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","L. Kollmann/16-09-2004",NA,NA,NA,"L. Kollmann; et al","3156","2000","10","13","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,"Flores brancas.","MBML013726","MBML013726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","16224",NA,"Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","D.R. Gonzaga/10-06-2015",NA,NA,NA,"L. Kollmann; et al","5384","2002","01","29","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075","40W33'11","19S54'27",NA,NA,"Epífita. Frutos verdes.","MBML016224","MBML016224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","23508",NA,"Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","D.R. Gonzaga/10-06-2015",NA,NA,NA,"L. Kollmann; et al","7146","2004","10","30","Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167","41W6'2","20S31'9",NA,NA,"Rupícola ao sol. Frutos verdes.","MBML023508","MBML023508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","28138",NA,"Plantae","Cactaceae","Rhipsalis","clavata","Rhipsalis clavata","F.A.C.Weber","D.R. Gonzaga/10-06-2015",NA,NA,NA,"L. Kollmann","7359","2005","02","01","Brasil","Espírito Santo","Santa Teresa","Lombardia","-40.553056","-19.820556","40W33'11","19S49'14",NA,NA,"Epífita caída. Frutos brancos.","MBML028138","MBML028138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
