"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem"
"25","2020-07-23 12:21:18-03","CEPLAC","CEPEC","45640","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima",NA,"Paratipo","F. S. Santos","791","1987","12","11",NA,"Brasil","Bahia","SANTA CRUZ CABRÁLIA","Área da Estação Ec ológica do Pau-brasil (CEPLAC), ca.16Km ao W Porto Seguro, Rod. BR-367 (Porto Seguro/Eunápolis).367. Área do Arboreto, quadra nº 943.","-39.133333","-16.383333",NA,"<ll>dwc_commonname:</ll> Genipapinho",NA,NA,"P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,"39W8'","16S23'",NA,"30/12/1999"
"26","2020-07-23 12:21:18-03","CEPLAC","CEPEC","45547","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima",NA,"Paratipo","F. S. Santos","917","2000","12","05",NA,"Brasil","Bahia","SANTA CRUZ CABRÁLIA","Área do arboreto da Estação Ecológica do Pau-brasil (CEPLAC), ca.16km a W de Porto Seguro, Rod. BR-367 (Eunápolis/Porto Seguro, quadra 5316Km ao W Porto Seguro, BR-367, quadra 53.","-39.133333","-16.383333",NA,NA,NA,NA,"P. G. Delprete",NA,NA,NA,NA,NA,NA,NA,NA,"39W8'","16S23'",NA,"30/12/1999"
"27","2020-07-23 12:21:18-03","CEPLAC","CEPEC","128042","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima",NA,NA,"D. Rocha","1050","2010","07","21",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita, área da fitossociologia. Trilha da Pousada","-39.557222","-15.393889",NA,"Casca esfoliante",NA,NA,"Sem Informação",NA,NA,NA,NA,NA,"545","545",NA,"39W33'26","15S23'38",NA,NA
"28","2020-07-23 12:21:18-03","CEPLAC","CEPEC","130476","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima",NA,NA,"R. D. Ribeiro","971","2004","05","02",NA,"Brasil","Espírito Santo","aracruz","Vila do Riacho, Cuias, Fazenda Manuá. Proprietário Sr. Levi Bastos.","-40.158889","-19.662222",NA,NA,NA,NA,"S. J. Silva Neto",NA,NA,NA,NA,NA,NA,NA,NA,"40W9'32","19S39'44",NA,"30/07/2008"
"29","2020-07-23 12:21:18-03","CEPLAC","CEPEC","9605","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima",NA,"Paratipo","R. S. Pinheiro","2227","1973","11","28",NA,"Brasil","Espírito Santo","LINHARES","Km 9 da Rod.Linhares/Regência.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Arariba-preta",NA,NA,"P. G. Delprete","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1999"
"30","2020-07-23 12:21:18-03","CEPLAC","CEPEC","7541","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima",NA,"Paratipo","T. S. dos Santos","2010","1971","09","30",NA,"Brasil","Espírito Santo","LINHARES","Vale do Rio Doce, Km 6 da BR-101, ao S.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"P. G. Delprete","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1999"
"31","2020-07-23 12:21:18-03","CEPLAC","CEPEC","33924","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima",NA,"Paratipo","F. S. Santos","106","1984","01","12",NA,"Brasil","Bahia","SANTA CRUZ CABRÁLIA","Área da Estação Ecologica do Pau-brasil (ESPAB). CEPLAC. Ca. 16Km a W de Porto Seguro, Rod. BR-367 (Porto Seguro/Eunápolis).","-39.0247001647949","-16.2780990600586",NA,"<ll>dwc_commonname:</ll> Jenipapo-bravo",NA,NA,"P. G. Delprete","49584","auto",NA,NA,NA,NA,NA,NA,"0W0'0","0S0'0",NA,"30/12/1999"
"32","2020-07-23 12:21:18-03","CEPLAC","CEPEC","87780","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima",NA,"Isótipo","D. A. Folli","3065","2003","09","17",NA,"Brasil","Espírito Santo","LINHARES","Reserva Florestal de Linhares. Bananal do Sul, Km 13 da estrada Municipal Bebediuro a Regência.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Jenipapo-da-mata",NA,NA,"J. G. Jardim","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"28/02/2003"
"33","2019-11-01 15:09:46-03","UnB","UB","11689","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete","isotype","Folli, DA","3065","1997","09","17","Southern America","Brasil","Espírito Santo","Linhares","Reserva Florestal de Linhares","-40.0722007751465","-19.3910999298096",NA,"Árvore. Flor amarela; Mata de tabuleiro.",NA,NA,"Delprete, PG","48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-08-20 14:56:35-03","UFSC","FLOR","67524","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae","Riodocea","pulcherrima","Riodocea pulcherrima","Delprete",NA,"Kuhlmann, J.G.","6461","1943","11","15",NA,"Brasil","Espírito Santo","Espírito Santo","Rio Doce. Goytacazes.",NA,NA,NA,"Árvore de tronco relativamente fino, de 5-10 metros de altura, flores brancas. Exsicata recebida de RB 62895","FLOR0067524","FLOR0067524","Zappi, D.C.",NA,NA,"2014","07",NA,NA,NA,NA,NA,NA,NA,NA
