"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","class","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"12","2020-12-21 16:24:46-03","MBM","MBM","1734","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Muell. Arg.","Webster, G.L.",NA,NA,NA,"Hatschbach, G.","1967","01","03","Brazil","Paraná","Paranaguá","Morro do Tabaquara","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"MBM001734","MBM001734",NA,NA,"15615","Southern America",NA,NA,"24916","auto",NA,NA,NA,NA,NA
"13","2016-03-09 18:11:21-03","MNHN","RECOLNAT_MNHN_P","P00610020","PreservedSpecimen",NA,"Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Riedel, L.",NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00610020' target='other'> <mi>dwc_moreinfo</mi></a>","P00610020","P00610020_01",NA,NA,NA,NA,"hb",NA,NA,NA,"isotype",NA,NA,NA,NA
"14","1996-01-30 15:04:46-02","MNHN","RECOLNAT_MNHN_P","P00610021","PreservedSpecimen",NA,"Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Riedel, L.",NA,NA,NA,"Brésil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00610021' target='other'> <mi>dwc_moreinfo</mi></a>","P00610021","P00610021_01",NA,NA,NA,NA,"hb",NA,NA,NA,"isotype",NA,NA,NA,NA
"15","2015-09-05 07:36:04-03","MNHN","RECOLNAT_MNHN_P","P04857981","PreservedSpecimen",NA,"Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Glaziou","1878","10","13","Brasil","Rio de Janeiro",NA,"Entre Queiimado e Rio Douro.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04857981' target='other'> <mi>dwc_moreinfo</mi></a>","P04857981","P04857981_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA,"9581",NA,NA,NA
"16","2014-01-06 16:33:19-02","MNHN","RECOLNAT_MNHN_P","P04857982","PreservedSpecimen",NA,"Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Mexia, Y.","1930","10","28","Brasil","Minas Gerais",NA,"Districto Rio Branco, road Viçosa to Barroso, Fazenda de Reserva.",NA,NA,NA,NA,"740",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04857982' target='other'> <mi>dwc_moreinfo</mi></a>","P04857982","P04857982_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA,"5230",NA,NA,NA
"17","2015-09-05 07:36:05-03","MNHN","RECOLNAT_MNHN_P","P04857983","PreservedSpecimen",NA,"Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Glaziou, A.|Saldanha, J.","1878","10","13","Brasil","Rio de Janeiro",NA,"Entre queiomado et Rio Douro.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04857983' target='other'> <mi>dwc_moreinfo</mi></a>","P04857983","P04857983_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA,"9581",NA,NA,NA
"18","2015-09-05 07:36:05-03","MNHN","RECOLNAT_MNHN_P","P04857984","PreservedSpecimen",NA,"Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Glaziou","1878","10","13","Brasil","Rio de Janeiro",NA,"Entre Queimado e Rio Douro.",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04857984' target='other'> <mi>dwc_moreinfo</mi></a>","P04857984","P04857984_01",NA,NA,NA,NA,"hb",NA,NA,NA,NA,"9581",NA,NA,NA
"19","2010-11-13 04:25:00-02","MO","MOBOT","2455403","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.",NA,NA,NA,NA,"Roberto M. Klein","1972","11","27","Brazil","Santa Catarina",NA,"Blumenau. Chácra da Auto Viação Catarinense",NA,NA,NA,NA,"30.00000000",NA,NA,NA,NA,NA,NA,"Klein 10379","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2009-07-17 17:34:00-03","MO","MOBOT","2971202","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.",NA,NA,NA,NA,"Per Dusén","1914",NA,NA,"Brazil","Paraná",NA,"Tacarechy, insilvula.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dusén 15549","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","2971313","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.","P. Dusen",NA,NA,NA,"Per Dusén","1914",NA,NA,"Brazil","Paraná",NA,"Tacarehy, in siloula.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dusén 15549","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2013-05-07 06:03:00-03","MO","MOBOT","2971402","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.","Grady L. Webster",NA,NA,NA,"Ynés Mexia","1930","10","28","Brazil","Minas Gerais",NA,"Road Vicosa to Barroso; Fazenda de Reserva; in understory of tall forest. Districto Rio Branco.",NA,NA,NA,NA,"740.00000000",NA,NA,NA,NA,NA,NA,"Mexia 5230","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-22 14:18:32-03","UNESP-IBILCE","SJRP","23037","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.","I.A. Rodrigues",NA,NA,NA,"Cavalcanti, DC",NA,NA,NA,"Brasil","São Paulo","Guaratinguetá","Reserva Florestal da Escola de Especialistas de Aeronátuca - EEAR","-45.189998626709","-22.8099994659424",NA,NA,NA,NA,"Arvoreta 3 m, flores amareladas.;",NA,NA,"Tracheophyta","Malpighiales",NA,"América do Sul",NA,"Magnoliopsida","27040","auto",NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2564604","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.",NA,NA,NA,NA,"G. Hatschbach","1967","1","3","Brazil","Paraná",NA,"Morro do Tabaquara. Mun Paranagua.",NA,NA,NA,NA,NA,NA,NA,"US02190433","US02190433_01",NA,"Euphorbiales","15615","South America",NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"25","2020-09-12 05:00:02-03","US","US","1619896","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.",NA,NA,NA,NA,"P. K. Dusén","1914","9","26","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Euphorbiales","15549","South America",NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"26","2020-09-12 05:00:02-03","US","US","2959901","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.",NA,NA,NA,NA,"R. M. Klein","1972","11","27","Brazil","Santa Catarina",NA,"Chacara da Auto Viacao Catarinense, Salto Weis.",NA,NA,NA,NA,"30",NA,NA,NA,NA,NA,"Euphorbiales","10379","South America",NA,"Dicotyledonae",NA,NA,NA,NA,"1",NA,NA
"27","2020-09-02 16:35:39-03","Cenargen","CEN","46625","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","E.R.Martins-UFSCar","2012","12",NA,"Margarete Emmerich","1972","05","31","Brasil","RJ","RIO DE JANEIRO","Estrada do Corcovado, Paineiras.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,"Doação do Museu Nacional - cat. geral (157956) - Rio de Janeiro.","CEN00046625","CEN00046625",NA,NA,"3683",NA,"Exsicatas",NA,"57442","auto",NA,NA,"1",NA,NA
"28","2021-03-15 18:29:16-03","USP","SPF","94049","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Martins, ER","2012","10",NA,"Honda, S","1993","10","20","Brasil","São Paulo","São Paulo","Parque Previdência","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Árvore, 5 m de alt., DAP: 15 cm, flores esverdeadas.","SPF00094049",NA,NA,NA,"s.n.",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"29","2021-03-15 18:29:16-03","USP","SPF","32163","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Martins, ER","2012","02",NA,"Rossi, L","1979","08","30","Brasil","São Paulo","São Paulo","Reserva da CUASO, Butantã. Mata da Reserva da Cidade Universitária Armando de Salles Oliveira.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Arvoreta, 6.0 m alt., DAP 15 cm, inflorescências esverdeadas.","SPF00032163",NA,NA,NA,"40",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"30","2019-10-07 09:32:39-03","UEFS","HUEFS","195853","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Lima, H.C.de","2001","11","12","Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Rebio, Tinguá, Picada do Macuco, próximo a trilha do Monjolo.","-43.425556","-22.587222","43W25'32''","22S35'14''","70","150","Ocasional.","HUEFS0195853","HUEFS0195853","Angiospermae","Malpighiales","5888",NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA,NA
"31","2020-01-14 12:45:51-03","F","FMNH-SEEDPLANTS","V0216343F","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus",NA,NA,NA,NA,NA,"Y. Mexía","1931","1","3","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"V0216343F","V0216343F_01","Spermatophyta",NA,"5476","South America",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-25 12:45:24-03","F","FMNH-SEEDPLANTS","V0216344F","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus",NA,NA,NA,NA,NA,"P. Dusén","1915","11","11","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"V0216344F","V0216344F_01","Spermatophyta",NA,"17312","South America",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"33","2020-07-23 12:06:45-03","CEPLAC","CEPEC","6231","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus",NA,"G. L. Webster",NA,NA,NA,"T. S. dos Santos","1970","11","03","Brasil","Bahia","IPIAÚ","Estrada a Itagibá.","-39.7338981628418","-14.1372003555298",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Filanto",NA,NA,NA,NA,"1267",NA,NA,NA,"24789","auto",NA,NA,NA,"07/08/1984",NA
"34","2019-11-01 15:07:46-03","UnB","UB","133058","PreservedSpecimen","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Cordeiro, I","2012","12","11","Anderson, WR","1973","04","19","Brasil","Minas Gerais",NA,"13km by road W of Januária on road to Serra das Araras",NA,NA,NA,NA,NA,NA,"Fruit green.; Shrub 1,5m.",NA,NA,"Dicotyledoneae",NA,"9171","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:12:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Riedel, L",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in silvis humidiusculis prope Rio de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,"P11P2N0004",NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:12:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Pohl, JBE",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in silvis humidiusculis prope Rio de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,"P11P2N0004",NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:12:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Schott, HW",NA,NA,NA,"Brazil","Rio de Janeiro",NA,"Habitat in silvis humidiusculis prope Rio de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,"P11P2N0004",NA,NA,"4606","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2017-09-11 17:12:30-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.",NA,NA,NA,NA,"Riedel, L",NA,NA,NA,"Brazil","São Paulo","Taubaté","inter Taubaté et Mugi prov. S. Paulo.","-45.55","-23.02",NA,NA,NA,NA,NA,NA,"P11P2N0004",NA,NA,"1621","Southern America",NA,NA,"25704","auto",NA,NA,NA,NA,NA
"39","2014-09-23 11:02:06-03","G","G-DC","G00325302","S","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.","CAT.HERB.PRODR.","2011","01","01","Riedel, L.",NA,NA,NA,"Brazil","Rio de Janeiro",NA,NA,"-42.9125","-22.48222222","-42.9125","-22.48222222",NA,NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00325302",NA,NA,NA,NA,"AMERIQUE DU SUD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2014-09-23 11:02:06-03","G","G-DC","G00325303","S","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll. Arg.","CAT.HERB.PRODR.","2011","01","01","Pohl, J. B. E.",NA,NA,NA,"Brazil",NA,NA,NA,"-53.08972222","-10.77305556","-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00325303",NA,NA,NA,NA,"AMERIQUE DU SUD",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-21 10:14:08-03","IBt","SP","75704","S","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Kuhlmann, M","1949","10","03","Kuhlmann, M; Kühn, E","1949","08","03","Brasil","São Paulo","Igaratá","Mata da Fazenda do Sr. Barboza.","-46.1500015258789","-23.2000007629395",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1946",NA,NA,NA,"24798","auto",NA,NA,NA,NA,NA
"42","2019-11-21 10:14:08-03","IBt","SP","474400","S","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Cordeiro, I","2014","11",NA,"Nicolau, SA; Lima, W; Moreira, JA; Souza, TAM; Nagahashi, LS","2008","12","17","Brasil","São Paulo","Pindamonhangaba","Parque Natural Municipal Trabiju, várzea ao lado do quiosque","-45.4599990844727","-22.9200000762939",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3549",NA,NA,NA,"24176","auto",NA,NA,NA,NA,NA
"43","2019-11-21 10:14:08-03","IBt","SP","200315","S","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Kuhlmann, M","1950","10","20","Kuhlmann, M","1950","09","27","Brasil","São Paulo","Santa Isabel","Igaratá. Pasto. Propriedade do Sr. João Barboza Machado.","-46.2200012207031","-23.3099994659424",NA,NA,NA,NA,"Amostra de madeira n¦ 120.",NA,NA,NA,NA,"2562",NA,NA,NA,"15272","auto",NA,NA,NA,NA,NA
"44","2019-11-21 10:14:08-03","IBt","SP","385035","S","Plantae","Phyllanthaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müll.Arg.","Cordeiro, I","2011","12",NA,"Rossi, L","1979","08","30","Brasil","São Paulo","São Paulo","Butantã, mata da reserva da Cidade Universitária Armando de Salles Oliveira","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Arvoreta, 6,0m alt., DAP 15 cm, inflorescências esverdeadas",NA,NA,NA,NA,"40",NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"45","2010-08-16 16:39:11-03","GH","HU-HERB","GH 00048597","PreservedSpecimen","Plantae","Euphorbiaceae","Phyllanthus","riedelianus","Phyllanthus riedelianus","Müller Argoviensis",NA,NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Sheet",NA,NA,NA,"Isotype",NA,NA,NA,"undetermined"
