"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","verbatimLongitude","verbatimLatitude"
"11","2019-08-27 13:27:45-03","IAP","PACA-AGP","70945","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","A. Sehnem","Sehnem, A.",NA,"1973","11","18",NA,"Brasil","RS","Triunfo","Fazenda Delapieve","-51.7181015014648","-29.9433002471924",NA,NA,NA,"VULNERÁVEL Habitat: herba in graminosis subhumidis","PACA070945",NA,"Magnoliatae","1973",NA,NA,"41194","auto",NA,NA,NA,NA
"12","2019-08-27 13:27:45-03","IAP","PACA-AGP","35093","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Pamphalea","maxima","Pamphalea maxima","Less.","Emrich-Rambo","Rambo, B.",NA,"1947","01","13",NA,"Brasil","RS","Vacaria","Fazenda da Ronda","-50.9338989257812","-28.5121994018555",NA,NA,NA,"VULNERÁVEL Habitat: in humidis dumetosis Fenofase: flor","PACA035093",NA,"Magnoliatae","1954","07","05","63451","auto",NA,NA,NA,NA
"13","2021-03-01 16:24:55-03","UNICAMP","UEC","144647","S","Plantae","Magnoliopsida",NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.","Moraes, MD","Moraes, MD","833","2006","11","13",NA,"Brazil","Santa Catarina","Agua Doce","Santa Catarina, 32 km norte de Água Doce.","-51.5560989379883","-26.9978008270264","1300","1300",NA,"Herbácea 0,60-1 m de altura, flores brancas.; Campos e matas ciliares com araucárias.Margens de pequeno rio.Solo úmido, turfoso, com Echinodorus, gramíneas e ciperáceas baixas (ca. 25 cm de altura).","UEC086966","UEC086966",NA,NA,NA,NA,"52743","auto",NA,NA,NA,NA
"14","2021-03-16 17:51:02-03","UCS","HUCS","02556","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.","Sehnem, A.","Sehnem, A.","s.n.","1973","11","18",NA,"Brasil","Rio Grande do Sul","Triunfo","Fazenda Delapieve","-51.7181015014648","-29.9433002471924",NA,NA,NA,"Coleção Sehnem - 13925; Herba in graminosis subhumidis",NA,NA,NA,"1973",NA,NA,"41194","auto",NA,NA,NA,NA
"15","2020-12-21 16:16:49-03","MBM","MBM","168136","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.","Hatschbach, G.","Imaguire, N.","2112","1968","08","21","Southern America","Brazil","Paraná","Piraquara","Fazenda Experimental de Agronomia.","-49.0633010864258","-25.4416999816895",NA,NA,NA,"Capítulos alvos.; Orla de local úmido.","MBM168136","MBM168136",NA,"1994",NA,NA,"12577","auto",NA,NA,NA,NA
"16","2020-12-21 16:16:49-03","MBM","MBM","168137","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.","Hatschbach, G.","Imaguire, N.","3014","1970","10","12","Southern America","Brazil","Paraná","Piraquara","Fazenda Experimental de Agronomia.","-49.0633010864258","-25.4416999816895",NA,NA,NA,"P#?#roximo a orla do bosque.","MBM168137","MBM168137",NA,"1994",NA,NA,"12577","auto",NA,NA,NA,NA
"17","2016-06-03 16:04:19-03","MNHN","RECOLNAT_MNHN_P","P03737191","PreservedSpecimen",NA,NA,NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.",NA,"Reineck, E.M.|Czermak, J.",NA,"1898","10","1",NA,"Brasil","Rio Grande do Sul",NA,"Rio Grande do Sul, Porto Alegre. Rio Grande do Sul, Sul, Brasil, América do Sul",NA,NA,NA,NA,"hb",". . Ded. Dr. Briquet. Genf. Reçu le 18 mai 1911 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03737191' target='other'> <mi>dwc_moreinfo</mi></a>","P03737191","P03737191_01",NA,NA,NA,NA,NA,NA,"280",NA,NA,NA
"18","2015-09-04 07:27:44-03","MNHN","RECOLNAT_MNHN_P","P03737193","PreservedSpecimen",NA,NA,NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.",NA,"Rambo, B.",NA,"1949","11","24",NA,"Brasil","Rio Grande do Sul",NA,"Brasil, Rio Grande. Lagoa dos Barros p. Osorio. Rio Grande do Sul, Sul, Brasil, América do Sul",NA,NA,NA,NA,"hb","Genera et Species Plantarum Argentinarum. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03737193' target='other'> <mi>dwc_moreinfo</mi></a>","P03737193","P03737193_01",NA,NA,NA,NA,NA,NA,"44544",NA,NA,NA
"19","2016-06-03 16:04:19-03","MNHN","RECOLNAT_MNHN_P","P03737192","PreservedSpecimen",NA,NA,NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.",NA,"Smith, L.B.|Klein, R.M.",NA,"1964","12","3",NA,"Brasil","Santa Catarina","Água Doce","Brazil, Santa Catarina. Mun. Água Doce, Campos de Palmas, 28,5 km southeast of Horizonte (Paraná). Água Doce, Santa Catarina, Sul, Brasil, América do Sul","-51.41667","-26.75","1000","1200","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03737192' target='other'> <mi>dwc_moreinfo</mi></a>","P03737192","P03737192_01",NA,NA,NA,NA,NA,NA,"13463",NA,NA,NA
"20","2019-09-04 18:51:44-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima",NA,NA,"F. Sellow","1365",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA
"21","2020-08-20 14:55:15-03","UFSC","FLOR","3427","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.",NA,"Smith, L.B.; Klein, R.M.","13463","1964","12","03",NA,"Brasil","Santa Catarina","Água Doce","Campos de Palmas, 28,5 km southeast of Horizonte (Paraná).","-51.416667","-26.75","1000","1000",NA,NA,"FLOR0003427",NA,NA,NA,NA,NA,NA,NA,NA,NA,"51º25'W","26º45'S"
"22","2017-09-11 17:08:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.",NA,"Sello, HL","1365",NA,NA,NA,"Southern America","Uruguay",NA,NA,"Prope Montevideo.",NA,NA,NA,NA,NA,NA,NA,"P06P3N0108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-09-11 17:08:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Asteraceae","Pamphalea","maxima","Pamphalea maxima","Less.",NA,"Sello, HL","1365",NA,NA,NA,"Southern America","Uruguay",NA,NA,"Habitat in Uruguay prope Montevideo",NA,NA,NA,NA,NA,NA,NA,"P06P3N0108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
