"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","infraspecificEpithet","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","fieldNumber","individualCount","relatedCatalogItem"
"28","2021-04-07 11:42:35-03","UFMS","CGMS","71607","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","D.P.F.L. Maidana; W.L.C. Tabosa, D.P.F.L. Maidana, V.J. Pott.","12","2018","11","06",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Princesinha. Nascente. Nascente do Rio Perdido, próximo ao Parque Nacional da Serra da Bodoquena","-56.8419444","-21.0486111",NA,"Inflorescencia ocre Habitat: Campo aberto transição cerrado - floresta Habito: Planta Aquática Emergente","CGMS1104410",NA,"V.J. Pott","2018","11","06",NA,NA,"jamaicense","-56,8419444","-21,0486111","573","573",NA,NA,NA,NA
"29","2021-04-07 11:42:35-03","UFMS","CGMS","7053","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","V.J. Pott; P. Robson; C. Rosso; H. Araújo","3805","1998","12","02",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda São Geraldo, Rio Sucuri.","-56.5591667","-21.2644444",NA,"Flor com estames brancos. Fruto marrom.","CGMS1016989",NA,"A.C. Araújo","2001",NA,NA,NA,NA,NA,"-56,5591667","-21,2644444","350","350",NA,NA,NA,NA
"30","2021-04-07 11:42:35-03","UFMS","CGMS","66213","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","V.J. Pott","12276","2016","10","20",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda São Francisco. Banhados do Rio da Prata. Estrada interna da fazenda ao longo e dentro das valas de drenagens.","-56.5861111","-21.3797223",NA,"Flor ausente. Fruto ausente.Inflorescência senescente. Habitat: Campo úmido de nascente. Solo hidromórfico orgânico, preto acinzentado escuro. Relevo plano. Habito: Erva aquática emergente, 1,00 m de altura, escapo 1,80 m de comprime","CGMS1099174",NA,NA,"2020",NA,NA,NA,NA,"jamaicense","-56,5861111","-21,3797223","344","344",NA,NA,NA,NA
"31","2021-04-07 11:42:35-03","UFMS","CGMS","69325","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","V.J. Pott; A. Pott; G. Catian","12321","2016","10","21",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda São Francisco.","-56.5794445","-21.3822223",NA,"Flor ausente. Fruto ausente. Habitat: Navalhal, em campo úmido, em área drenada. Solo hidromórfico, orgânico preto acinzentado escuro. Relevo plano. Habito: Erva aquática emergente. Dominante na mancha.","CGMS1102283",NA,NA,"2020",NA,NA,NA,NA,"jamaicense","-56,5794445","-21,3822223","347","347",NA,NA,NA,NA
"32","2021-04-07 11:42:35-03","UFMS","CGMS","51929","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","V.J. Pott; A. Pott; S.N. Moreira; A. Francener","10606","2009","10","08",NA,"Brasil","Mato Grosso do Sul","Corumbá","Fazenda São Carlos, estrada de Guaicurus (MS-243) para São Simão, 40 km SW da Rodovia BR-262.","-57.0958333","-20.0775",NA,"Habitat: Brejo de água corrente represada ao longo de estrada com mata de galeria. Solo orgânico, argiloso. Relevo plano. Esparsa. Habito: Erva aquática emergente, 2,00 m de altura.","CGMS1081916",NA,NA,"2020",NA,NA,NA,NA,"jamaicense","-57,0958333","-20,0775","279","279",NA,NA,NA,NA
"33","2021-04-07 11:42:35-03","UFMS","CGMS","49423","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","V.J. Pott; E. Scremin-Dias; A. Pott","8534","2005","12","11",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Baía das Garças, divisa com Fazenda Princezinha.","-56.8341666","-21.0333333",NA,"Habitat: Brejo. Solo argiloso. Relevo plano. Dominante. Habito: Erva aquática anfíbia. Escapo 2,50 m de altura.","CGMS1079357",NA,NA,"2020",NA,NA,NA,NA,"jamaicense","-56,8341666","-21,0333333",NA,NA,NA,NA,NA,NA
"34","2021-04-07 11:42:35-03","UFMS","CGMS","71612","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","V. Nakamura; D. Cuadrado, R. Fernandes, V.J. Pott","15","2018","11","01",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Princesinha. Próximo ao Parque Nacional da Serra da Bodoquena","-56.8336111","-21.0891666",NA,"folhas com margem avenada, caule oco, espiguetas vermelhas Habitat: Vereda sem Buritis, com presença marcante de Capim Navalha Habito: Aquático","CGMS1104415",NA,"V.J. Pott","2018","11","01",NA,NA,"jamaicense","-56,8336111","-21,0891666","543","543",NA,NA,NA,NA
"35","2021-04-07 11:42:35-03","UFMS","CGMS","71592","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","C.O. Miranda; S.G. Batista, L.E. Silva, V.J. Pott","26","2018","11","03",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Laudeja. Parque Nacional da Serra da Bodoquena","-56.7205556","-21.1216667",NA,NA,"CGMS1104395",NA,"V.J. Pott",NA,NA,NA,NA,NA,"jamaicense","-56,7205556","-21,1216667","5238","5238",NA,NA,NA,NA
"36","2021-04-07 11:42:35-03","UFMS","CGMS","5765","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","U.M. Resende; S. Terrecilha",NA,NA,NA,NA,NA,"Brasil","Mato Grosso do Sul","Bonito","Margem do Rio Sucuri, Fazenda São Geraldo.","-56.4818992614746","-21.1210994720459",NA,"Intensamente frutificada. Habitat: Área periodicamente alagável. Habito: Herbáceo.","CGMS1014559",NA,NA,"2020",NA,NA,"71352","auto","jamaicense",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-07 11:42:35-03","UFMS","CGMS","6095","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","E. Scremin-Dias","191","1995","04","25",NA,"Brasil","Mato Grosso do Sul","Bonito","Nascente do Rio Sucuri; Fazenda São Geraldo.","-56.4818992614746","-21.1210994720459",NA,"Habitat: Palustre/aquática. Habito: Herbáceo.","CGMS1014558",NA,NA,"2020",NA,NA,"71352","auto","jamaicense",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-18 10:22:02-03","UTFPR","HCF","16081","S","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus","(Crantz) Kük.","P. Weber","396","2014","01","18",NA,"Brasil","SC","Florianópolis","Aterro da Baía Sul","-48.52745","-27.634539",NA,"Marisma com entulho (lixo e rochas). Folhas com até 1,5m e colmos com até 2,5m. Frutos.",NA,NA,"P. Weber","2014","01","22",NA,NA,NA,"48°31'38.82 W","27°38'04.34 S","1","1",NA,NA,NA,NA
"39","2020-06-18 10:56:37-03","UFRRJ","RBR","887","S","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","E. Deyrolle","364","1900",NA,NA,NA,"França","Paris","Paris","Rue du Bac, 46",NA,NA,NA,NA,"RBR00000887","RBR00000887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:22:03-03","MBM","MBM","419839","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","Roderjan, C.V.","1443","1997","11","22","Southern America","Brazil","Paraná","Pontal do Paraná","Pontal do Sul","-48.511100769043","-25.6735992431641",NA,"Herbácea até 1,5 m, em manchas densas em áreas úmidas da restinga. Frutos marrons.; Formação Pioneira com Influência Marinha.","MBM419839",NA,"Kozera, C.","1999","07","01","19508","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:22:03-03","MBM","MBM","295880","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","Rieger-Hager, H.; et al.; et al.","591","2003","08","14",NA,"Áustria",NA,NA,NA,NA,NA,NA,NA,"MBM295880","MBM295880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:22:03-03","MBM","MBM","423133","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","Demeda, C.; Gaio, J.; Gonzatti, F.; Gaio, J.; Gonzatti, F.","208","2015","11","22","Southern America","Brazil","Rio Grande do Sul","Osório","Lagoa das Traíras, Margem noroeste","-50.188889","-29.8625",NA,"Erva ereta ca. 2m.; Em área de banhado nas margens da lagoa.","MBM423133",NA,"Demeda, C.","2016","01","25",NA,NA,"jamaicense","-50.188889","-29.8625",NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:22:03-03","MBM","MBM","423169","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus jamaicense","(Crantz) Kük.","Demeda, C.; Gaio, J.; Gonzatti, F.; Gaio, J.; Gonzatti, F.","190","2015","11","21","Southern America","Brazil","Rio Grande do Sul","Osório","Lagoa do Peixoto, Margem oeste","-50.245556","-29.866389",NA,"Erva ereta ca. 2m.; Em uma área de jazida abandonada, banhado.","MBM423169",NA,"Demeda, C.","2015","11","21",NA,NA,"jamaicense","-50.245556","-29.866389","4","4",NA,NA,NA,NA
"44","2015-09-19 12:03:46-03","MNHN","RECOLNAT_MNHN_P","P00272251","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","Glaziou, A.",NA,"1876","12","14",NA,"Brésil",NA,NA,"Ilha de Governador",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00272251' target='other'> <mi>dwc_moreinfo</mi></a>","P00272251","P00272251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9043",NA,NA
"45","2015-09-03 22:04:51-03","MNHN","RECOLNAT_MNHN_P","P00272252","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","Glaziou, A.",NA,"1876","12","14",NA,"Brésil",NA,NA,"Ilha de Governador",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00272252' target='other'> <mi>dwc_moreinfo</mi></a>","P00272252","P00272252_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9043",NA,NA
"46","2015-09-04 07:39:01-03","MNHN","RECOLNAT_MNHN_P","P00272253","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Cladium","mariscus","Cladium mariscus","(L.) Pohl","Glaziou, A.",NA,"1870","2","16",NA,"Brésil",NA,NA,"Gavia (Rio)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00272253' target='other'> <mi>dwc_moreinfo</mi></a>","P00272253","P00272253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4294",NA,NA
