"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","individualCount","identifiedBy","fieldNumber","sex"
"17","2008-05-27 22:02:00-03","MO","MOBOT","405407","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Martín E. Timaná|Nestor Jaramillo","Timaná 3040","1991","11","South America","Peru","Las Piedras. Cusco Amazónico. Inventario Permanente. Plantas colectadas en Plot E, Zona 1.","-69.05","-12.48333","200.00000000",NA,NA,NA,NA,NA,"7","Madre de Dios","Tambopata",NA,NA,NA,NA,NA,"5","M. Timana (CUZ)","129",NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","405479","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Martín E. Timaná|Nestor Jaramillo","Timaná 3593","1991","11","South America","Peru","Las Piedras. Cusco Amazónico. Inventario Permanente. Plantas colectadas en Zona 2, Plot E, cuadrados E-22 al E-25.","-69.05","-12.48333","200.00000000",NA,NA,NA,NA,NA,"29","Madre de Dios","Tambopata",NA,NA,NA,NA,NA,"4","T.D. Pennington (K)","147",NA
"19","2008-12-11 03:32:00-02","MO","MOBOT","405486","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Edgar Gudiño|Carlos Quelal|Ñama Caiga","Gudiño Jara 818","1990","9","South America","Ecuador","Pozo petrolero Moretecocha de ARCO. 75 km al este de Puyo. Bosque húmedo Tropical. Bosque primario; árboles cortados por las obras petroleras.","-77.41666","-1.56666","580.00000000",NA,NA,NA,NA,NA,"28","Pastaza","Pastaza",NA,NA,NA,NA,NA,"10","T.D. Pennington (K)","90-17",NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","406895","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"Percy Núñez V.|O. L. Phillips|Nestor Jaramillo","Núñez Vargas 10526","1989","5","South America","Peru","Cusco Amazónico, Tourist Lodge. Trail 1, 15 km NE of Puerto Maldonado.","-69.05","-12.55","200.00000000",NA,NA,NA,NA,NA,"27","Madre de Dios","Tambopata",NA,NA,NA,NA,NA,"7","M. Timana (MO)","31",NA
"21","2015-03-25 12:08:00-03","MO","MOBOT","406918","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"O. L. Phillips|Percy Núñez V.|Nestor Jaramillo","Phillips 571","1989","6","South America","Peru","Cusco Amazonico. Plants from Biodiversity Project Site (mature floodplain).","-69.05","-12.0833333","200.00000000",NA,NA,NA,NA,NA,"21","Madre de Dios","Tambopata",NA,NA,NA,NA,NA,"3","M. Timana (MO)","41",NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","407667","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Cynodendron","ovale","Cynodendron ovale","(Rusby) Bernardi",NA,"Thomas B. Croat","Croat 20369","1972","9","South America","Peru","Río Tacsha Curaray, off Río Napo.","-73.75","-2.66666",NA,NA,NA,NA,NA,NA,"18","Loreto",NA,NA,NA,NA,NA,NA,"47","George Pilz","323",NA
"23","2020-09-12 05:00:02-03","US","US","1456943","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"G. Klug","2324","1931","10","South America - Neotropics","Peru","Dept. Loreto: Florida, Río Putumayo, at mouth of Río Zubineta; forest",NA,NA,"180",NA,NA,NA,"US02705641",NA,NA,"Loreto",NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2749295","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"J. Schunke Vigo","4630","1971","1","South America - Neotropics","Peru","Dpto San Martín: Prov. Mariscal Caceres, Dtto Tocache Nuevo. A orilla del río en bosque alto. Puerto Pizana (margen derecha del río Huallaga)",NA,NA,NA,NA,NA,NA,"US02705640",NA,"8","San Martin",NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"G. Villa & P. Alvia","1649","2002","12","South America - Neotropics","Ecuador","Prov.: Francisco De Orellana, Estacion Cientifica Yasuni, Río Tiputini, al noroeste de la confluencia con el R. Tivacuno; Este de la carretera Repsol-YPF, km 7 desvío hacia el pozo Tivacuno","-76.5","-0.63","200","300",NA,NA,NA,NA,"9","Orellana",NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","1284189","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby","Isotype","O. E. White","Mulford Expl. 1384a","1922","10","South America - Neotropics","Bolivia","Mapiri",NA,NA,NA,NA,NA,NA,"US00051127","US00051127_01",NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","3570233","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"E. Gudiño, C. Quelal & N. Caiga","818","1990","9","South America - Neotropics","Ecuador","Pastaza, Pozo petrolero ''Moreteococha'' de ARCO. 75 km al este de Puyo. Bosque húmedo Tropical","-77.42","-1.57","580",NA,NA,NA,"US02705637",NA,"28","Pastaza",NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","2787011","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"J. Schunke Vigo","6727","1973","8","South America - Neotropics","Peru","Camino a Santa Rosa (Márgen derecha del río Mishollo) Dpto San Martín Prov. Mariscal Cáceres. Dtto Tocache Nuevo",NA,NA,"350","370",NA,NA,"US02705639",NA,"5","San Martin",NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","2786402","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,"J. Schunke Vigo","7681","1974","7","South America - Neotropics","Peru","Fundo míramar al norte de Tecache márgen Izquierda del río Huallaga, Dpto San Martín, Prov. Mariscal Cáceres, Dtto Tocache Nuevo, al borde del río en bosque alto",NA,NA,"450",NA,NA,NA,"US02705638","US02705638_01","22","San Martin",NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","USw41087","PreservedSpecimen","Plantae",NA,"Ebenales","Sapotaceae","Cynodendron","ovale","Cynodendron ovale",NA,NA,"J. Schunke Vigo et al.","4630","1970","9","South America - Neotropics","Peru","Rio Huallaga, margen Derecha del; Balsa Probana; dtto. Tocache Nuevo",NA,NA,NA,NA,NA,NA,NA,NA,"24","San Martín","Mariscal Cáceres",NA,NA,"Dicotyledonae",NA,NA,"1",NA,NA,NA
"31","2019-11-22 16:07:26-03","UEFS","HUEFS","214553","PreservedSpecimen","Plantae","Angiospermae","Ericales","Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby",NA,NA,"7248","2014","09",NA,"Brasil","Reserva Natural Vale. Estrada Municipal do MME.","-40.075","-19.142222",NA,NA,NA,"Mata de Tabuleiro.","HUEFS0214553","HUEFS0214553 HUEFS0214553_01","02","Espírito Santo","Sooretama","40W4'30''","19S8'32''","Asteranae",NA,NA,NA,NA,NA,NA
"32","2015-04-16 14:07:52-03","F","FMNH-SEEDPLANTS","V0291717F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale",NA,NA,NA,NA,NA,NA,"South America","Peru",NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0291717F","V0291717F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"33","2015-04-16 14:07:54-03","F","FMNH-SEEDPLANTS","V0291719F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale",NA,NA,NA,NA,NA,NA,"South America","Peru",NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0291719F","V0291719F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"34","2015-04-16 14:07:52-03","F","FMNH-SEEDPLANTS","V0291714F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale",NA,NA,NA,NA,NA,NA,"South America","Peru",NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0291714F","V0291714F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"35","2015-04-16 14:07:52-03","F","FMNH-SEEDPLANTS","V0291715F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale",NA,NA,NA,NA,NA,NA,"South America","Peru",NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0291715F","V0291715F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"36","2015-04-16 14:07:52-03","F","FMNH-SEEDPLANTS","V0291716F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale",NA,NA,NA,NA,NA,NA,"South America","Peru",NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0291716F","V0291716F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"37","2018-04-04 16:36:49-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale",NA,NA,"J. Schunke V.","8648",NA,NA,"South America","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Martín",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,"RRC ID Flag","8648",NA
"38","2015-04-16 14:07:53-03","F","FMNH-SEEDPLANTS","V0291718F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale",NA,NA,NA,NA,NA,NA,"South America","Peru",NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0291718F","V0291718F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"39","2015-04-16 14:08:07-03","F","FMNH-SEEDPLANTS","V0291758F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale",NA,NA,NA,NA,NA,NA,"South America","Peru",NA,"-74.14","-9.1839",NA,NA,NA,NA,"V0291758F","V0291758F_01",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"40","2010-08-16 16:43:22-03","GH","HU-HERB","GH 00075580","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","ovale","Chrysophyllum ovale","Rusby","Isotype","O. E. White","1384A","1922","2","South America","Bolivia","Esperanza Falls, 500 feet",NA,NA,NA,NA,"Sheet",NA,NA,NA,NA,"El Beni",NA,NA,NA,NA,NA,NA,NA,NA,"1384A","undetermined"
