"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","sex"
"11","2020-11-04 11:00:13-03","ESALQ","ESA","19061","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.","Lombardi, J.A.","Souza, V.C. et al.","8022.0","1995","03","09",NA,"Brasil","Minas Gerais",NA,"-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,"ESA019061","ESA019061","Ouro Branco","13809","auto",NA,"2009","03","26",NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:00:13-03","ESALQ","ESA","77525","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.","Groppo Jr., M.","Souza, V.C.; Araújo, A.O.; Romão, G.O.; Elias, S.I.; Sampaio, D.","28027.0","2002","02","19",NA,"Brasil","Minas Gerais","Estrada para Ouro Preto, km 169. Campo rupestre.","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Arbusto, ca. 1,5 m alt.; flores creme.","ESA077525","ESA077525","Ouro Branco","13809","auto",NA,"2007","01","01",NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:23:12-03","MN","R","8095","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Glaziou, A.F.M.","15455","1884","06","18",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008095","R000008095_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:15:29-03","UFV","VIC","27684","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Valente, G.E.","Valente, G.E.; et al.","1213","2003","04","16",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Campo Rupestre.","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Árvore com c.a. de 2,0 metros de altura, crescendo entre fresta de pedra. Frtuo negro quando maduro. Folhas jovens avermelhadas.","VIC027684","VIC027684","Ouro Branco","13809","auto",NA,"2003","04","26",NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:15:29-03","UFV","VIC","33342","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Valente, G.E.","Valente, G.E.; et al.","2066","2008","03","11",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Campo rupestre de solo quartzoso.","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Planta com c.a. de 2,0 metros de altura, por entre rochas quartzíticas, na beira da estrada de acesso às torres da EMBRATEL, cerca de 5,0 Km das torres. Com frutos verdes.","VIC033342","VIC033342","Ouro Branco","13809","auto",NA,"2008","03","11",NA,NA,NA,NA,NA,NA
"16","2020-12-20 21:15:29-03","UFV","VIC","19084","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Groppo Júnior, M.","Paula, C.C. de; et al.","545","2002","12","21",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Área 3. Transição entre campo graminóide e mata de galeria.","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Arbusto de 2,40 metros de altura; frequência de 3 indivíduos em um raio de 5,0 metros; folhas com face abaxial verde calro e abaxial verde escuro; sépalas verdes; pétalas brancas; margem das folhas e peciolos marrons; folhas com nervur","VIC019084","VIC019084","Ouro Branco","13809","auto",NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-20 21:15:29-03","UFV","VIC","32120","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Valente, G.E.","Valente, G.E.; et al.","1959","2007","08","19",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Campo rupestre.","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Planta com c.a. de 2,0 metros de altura, a pleno sol, e freta de rocha de quartzito. Botões florais verdolengos.","VIC032120","VIC032120","Ouro Branco","13809","auto",NA,"2007","08","19",NA,NA,NA,NA,NA,NA
"18","2020-12-20 21:15:29-03","UFV","VIC","20521","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Valente, G.E.","Valente, G.E.; Ferreira, A.A.A.","1795","2006","10","06",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Campo Rupestre.","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Planta com cerca de 2,0 metros de altura, crescendo em fresta de rocha. Inflorescência axilar verdolenga de flores pequeninas. Folhas pêndulas com pecíolos vermelho-amarronzados.","VIC020521","VIC020521","Ouro Branco","13809","auto",NA,"2006","10","06",NA,NA,NA,NA,NA,NA
"19","2020-12-20 21:15:29-03","UFV","VIC","8300","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Badini, J.","Moura, L.S. de; Vieira, M.F.","s.n.","1983","05","14",NA,"Brasil","Minas Gerais","Lavras Novas","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto de flores brancas.","VIC008300","VIC008300","Ouro Preto","44599","auto",NA,"1983","07","07",NA,NA,NA,NA,NA,NA
"20","2020-10-21 18:50:19-03","UFJF","CESJ","16499","PreservedSpecimen","Plantae","Angiosperma",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","P. L. Viana","L. Roth","CESJ16499","1965","04","17","América do Sul","Brasil","Minas Gerais",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,"arbusto","CESJ016499","CESJ016499","Ouro Preto","44599","auto",NA,"2005","09",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:30:45-03","UFJF","CESJ","45181","PreservedSpecimen","Plantae","Angiosperma",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","G.M. Magalhães","G.M. Magalhães","5564a","1943","11","30","América do Sul","Brasil","Minas Gerais",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,"Campo arenoso junto a rochas. Arbusto 3 m.","CESJ045181","CESJ045181","Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-18 15:50:33-03","UFOP","OUPR","33400","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Lombardi, J.A.","Souza, V.C.; Miyagi, P.H. & Souza, J.P.","8022","1995","03","09",NA,"Brasil","Minas Gerais","Estrada velha entre Ouro Branco e Ouro Preto, ca. 7Km de Ouro Branco.","-43.638472","-20.507722","1200","1200",NA,"Arbusto esguio, ca. 2,5m alt., pétalas alvas, frutos imaturos verdes. Entre rochas. Campo rupestre.",NA,NA,"Ouro Branco",NA,NA,NA,"2009",NA,NA,"-43.638472","-20.507722",NA,NA,NA,NA
"23","2019-11-05 16:43:22-03","UFOP","OUPR","468","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Serra do Caraça",NA,NA,NA,NA,NA,"Ex Herb. Escola de Minas n. 1567.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-05 16:43:22-03","UFOP","OUPR","497","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Badini, J.","s.n.","1938",NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"Arbusto, flores brancas. Campo.",NA,NA,"Venda do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-05 16:43:22-03","UFOP","OUPR","509","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Damazio, L.B.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Itaculumi",NA,NA,NA,NA,NA,"Ex Herb. Escola de Minas n. 991.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-05 16:43:22-03","UFOP","OUPR","498","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Badini, J.","s.n.","1935",NA,NA,NA,"Brasil","Minas Gerais","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Arbusto, flores pálidas. Campo.",NA,NA,"Ouro Branco","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-05 16:43:22-03","UFOP","OUPR","31951","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Lombardi, J.A.","Pedrosa, L.G.","825","2018","09","20",NA,"Brasil","Minas Gerais","Arredores de Lavras Novas.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, ca. 2m. Folhas fazem barulho característico sob o vento. Flores creme minúsculas. Frutos negros quando maduros. Planta frequente na região. Campo rupestre.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-05 16:43:22-03","UFOP","OUPR","496","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Badini, J.","s.n.","1941",NA,NA,NA,"Brasil","Minas Gerais","Falcão","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores pálidas. Campos pedregosos.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-05 16:43:22-03","UFOP","OUPR","437","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Badini, J.","s.n.","1983","05","15",NA,"Brasil","Minas Gerais","Itacolomy","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores brancas.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-05 16:43:22-03","UFOP","OUPR","499","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Badini, J.","s.n.","1938",NA,NA,NA,"Brasil","Minas Gerais","Itatiaia","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores pálidas. Campo.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-03-12 10:28:54-03","UFOP","OUPR","34568","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Pedrosa, L.G.","Pedrosa, L.G.","2037","2019","10","05",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores alvas. Campo rupestre",NA,NA,"Ouro Preto","44599","auto",NA,"2019","10",NA,NA,NA,NA,NA,NA,NA
"32","2019-11-05 16:43:22-03","UFOP","OUPR","1357","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek","Roschel, M.B.","Roschel, M.B.; Dias, S. & Pereira, W.","s.n.","1994","03","04",NA,"Brasil","Minas Gerais","Parque Estadual do Itacolomi, Serra do Itacolomi.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto ca. 1,5m, flores brancas. Campo rupestre.",NA,NA,"Ouro Preto","44599","auto",NA,"1994","05","17",NA,NA,NA,NA,NA,NA
"33","2019-11-05 16:43:22-03","UFOP","OUPR","6992","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Badini, J.","s.n.","1982","04","12",NA,"Brasil","Minas Gerais","Serra do Itatiaia","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto, flores pálidas. Campo.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:13:06-03","MBM","MBM","63015","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.","Groppo Jr, M.","Leitão Filho, H.F.; et al.; et al.","9730","1978","12","14","Southern America","Brazil","Minas Gerais","Nativo em matas e campos da Serra do Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,"Arbusto até 1,5m; flores brancacetas","MBM063015","MBM063015","Santa Bárbara","33136","auto",NA,"2009","05","25",NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:13:06-03","MBM","MBM","248724","PreservedSpecimen","Plantae",NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart.","Loesener","Gomes, M.","2486","1895","05","12","Southern America","Brazil","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"MBM248724","MBM248724","Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2015-09-04 11:11:02-03","MNHN","RECOLNAT_MNHN_P","P03274682","PreservedSpecimen",NA,NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Claussen",NA,"1843","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03274682' target='other'> <mi>dwc_moreinfo</mi></a>","P03274682","P03274682_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA
"37","2015-09-04 11:11:02-03","MNHN","RECOLNAT_MNHN_P","P03274683","PreservedSpecimen",NA,NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Irwin, H.S.|Harley, R.M.|Onishi, E.",NA,"1971","1","25",NA,"Brasil","Minas Gerais","Summit of Serra do Caraça.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03274683' target='other'> <mi>dwc_moreinfo</mi></a>","P03274683","P03274683_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29133",NA,NA,NA
"38","2015-09-04 11:11:02-03","MNHN","RECOLNAT_MNHN_P","P03274684","PreservedSpecimen",NA,NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Claussen",NA,"1840","10","1",NA,"Brasil","Minas Gerais","Chapada.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03274684' target='other'> <mi>dwc_moreinfo</mi></a>","P03274684","P03274684_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"216",NA,NA,NA
"39","2015-09-04 11:11:02-03","MNHN","RECOLNAT_MNHN_P","P03274685","PreservedSpecimen",NA,NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Claussen",NA,"1843","10","1",NA,"Brasil","Minas Gerais","Chapada.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03274685' target='other'> <mi>dwc_moreinfo</mi></a>","P03274685","P03274685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"216",NA,NA,NA
"40","2015-09-04 11:11:02-03","MNHN","RECOLNAT_MNHN_P","P03274686","PreservedSpecimen",NA,NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Glaziou, A.",NA,"1884","6","18",NA,"Brasil","Minas Gerais","Caraça.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03274686' target='other'> <mi>dwc_moreinfo</mi></a>","P03274686","P03274686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15455",NA,NA,NA
"41","2015-09-04 11:11:02-03","MNHN","RECOLNAT_MNHN_P","P03274687","PreservedSpecimen",NA,NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03274687' target='other'> <mi>dwc_moreinfo</mi></a>","P03274687","P03274687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA
"42","2015-09-04 11:11:02-03","MNHN","RECOLNAT_MNHN_P","P03274688","PreservedSpecimen",NA,NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Claussen",NA,"1841","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03274688' target='other'> <mi>dwc_moreinfo</mi></a>","P03274688","P03274688_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA
"43","2015-09-04 11:11:02-03","MNHN","RECOLNAT_MNHN_P","P03274689","PreservedSpecimen",NA,NA,NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Glaziou, A.",NA,"1888","12","22",NA,"Brasil","Minas Gerais","Serra d´Ouro Branco prés de D. Julião.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03274689' target='other'> <mi>dwc_moreinfo</mi></a>","P03274689","P03274689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17583",NA,NA,NA
"44","2020-12-11 11:32:03-03","UFMG","BHCB","142085","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Oliveira, CT; Viana, PL","179","2008","10","02","Southern America","Brasil","Minas Gerais","RPPN Santuário do Caraça, Subida para o Pico do Inficionado.","-43.461111","-20.136111","1879","1879",NA,"Arbusto de 2m, flores com pétalas creme.",NA,NA,"Catas Altas",NA,NA,NA,NA,NA,NA,"-43.461111","-20.136111",NA,NA,NA,NA
"45","2020-12-11 11:32:03-03","UFMG","BHCB","79","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Sem coletor","s.n.","1904",NA,NA,"Southern America","Brasil","Minas Gerais","Serra do Itacolomi.",NA,NA,NA,NA,NA,"Arbusto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-12-11 11:32:03-03","UFMG","BHCB","41695","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Magalhães, GM","5564a","1943","11","30","Southern America","Brasil","Minas Gerais",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto 3m.; Campo arenoso junto a rochas.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-12-11 11:32:03-03","UFMG","BHCB","3369","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Pinheiro-Sobrinho, JM","s.n.","1948",NA,NA,"Southern America","Brasil","Minas Gerais",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto.; Na mata.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-12-11 11:32:03-03","UFMG","BHCB","55238","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Magalhães Gomes; Schwacke, CAW","2486","1895","05","12","Southern America","Brasil","Minas Gerais","Ad Chapada.","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Frutex. Flor alba.; In campis saxosis.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-12-11 11:32:03-03","UFMG","BHCB","55240","PreservedSpecimen","Plantae","Dicotyledon",NA,"Aquifoliaceae","Ilex","loranthoides","Ilex loranthoides","Mart. ex Reissek",NA,"Badini, J","2945","1934",NA,NA,"Southern America","Brasil","Minas Gerais","Caboclo","-43.5080986022949","-20.2875003814697",NA,NA,NA,"Arbusto. Flor pálida.; Terreno pedregoso.",NA,NA,"Ouro Preto","44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
