"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","typeStatus","recordNumber","year","month","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","class","identifiedBy","day","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","yearIdentified","monthIdentified","dayIdentified"
"11","2014-06-18 05:53:00-03","MO","MOBOT","100596157","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Pierre Ibisch|P. Rojas","South America","Bolivia","Cochabamba","Orilla del rio Ballia",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Ibisch 403","1991","9","Arque","2700.00000000",NA,NA,NA,"T. Krömer","4",NA,NA,NA,NA,"1",NA,NA,NA,NA
"12","2020-10-23 11:27:00-03","MO","MOBOT","101230164","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Santiago Venturi","South America","Argentina","Tucumán","Entre Tapia y Vipos.",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Venturi 1316","1920","5","Trancas","800.00000000",NA,NA,NA,"G.K. Brown","28",NA,NA,NA,NA,"1",NA,NA,NA,NA
"13","2020-10-23 12:17:00-03","MO","MOBOT","101230203","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Harley H. Bartlett","South America","Argentina","Córdoba","Serrezuela.",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Bartlett 19223","1942","12",NA,NA,NA,NA,NA,"G.K. Brown","8",NA,NA,NA,NA,"1",NA,NA,NA,NA
"14","2020-10-23 12:27:00-03","MO","MOBOT","101230210","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Antonio C. Krapovickas|Carmen L. Cristóbal","South America","Argentina","Tucumán","10 km E de Amaicha del Valle.",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Krapovickas 24511","1974","1","Tafí",NA,NA,NA,NA,"G.K. Brown","1",NA,NA,NA,NA,"1",NA,NA,NA,NA
"15","2020-04-30 04:37:00-03","MO","MOBOT","2191708","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","RODRÍGUEZ","South America","Argentina","Salta",NA,NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"RODRÍGUEZ 1252","1913","12","Cafayate","1800.00000000",NA,NA,NA,"Castellanos, A.","27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2009-08-07 05:43:00-03","MO","MOBOT","2292355","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Rosa Subils","South America","Argentina","Santiago del Estero","Los Telares",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Subils 3988","1986","4",NA,NA,NA,NA,NA,"Subils, R.","27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2012-04-06 12:34:00-03","MO","MOBOT","2341593","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Roberto Kiesling|A. A. Sáenz","South America","Argentina","San Juan","Ischigualasto",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Kiesling 4280","1982","11","Valle Fértil",NA,NA,NA,NA,"Kiesling, R.","19",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2010-05-19 22:42:00-03","MO","MOBOT","2404635","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Fernando N. Biurrun","South America","Argentina","San Juan","Ruta prov. Nº 150: Inchigualasto (Reserva provincial), a 4 Km del control de ingreso, rumbo a La Hoyada",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Biurrun 5056","1997","12","Valle Fértil",NA,NA,NA,NA,"Subils, R.","29",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","2427866","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Luis Ariza Espinar","South America","Argentina","La Rioja","Cuevas del Chacho",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Ariza Espinar 633","1959","11","Independencia",NA,NA,NA,NA,"Subils, R.","27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2011-10-25 14:35:00-02","MO","MOBOT","2789921","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Martín Cárdenas","South America","Bolivia","Potosí","near San Antonio",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"Cárdenas Hermosa 93",NA,NA,"Nor Chichas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","3012281","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","TILL","South America","Argentina","La Rioja","Dept. Grl. J. Facundo Quiroga, northern foot of the Sierra de Porongo, c. 4 km. E of Malanzan.",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"TILL 5172","1990",NA,NA,"1000.00000000","1060.00000000",NA,NA,"R.C. Tardivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","3015832","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","TILL","South America","Argentina","Córdoba","Dept. Jesus Maria, 22 km W Ascochinga along the street to La Cumbre, above Las Tres Cascadas, Sierra Chica. On flat granitic rocks, in clusters.",NA,NA,NA,NA,NA,NA,NA,"Ker Gawl.",NA,"TILL 5018","1990",NA,NA,"1220.00000000",NA,NA,NA,"R.C. Tardivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2008-08-07 03:32:00-03","MO","MOBOT","1298121","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides lutea","H. Hromadnik|L. Hromadnik","South America","Bolivia","Chuquisaca","Serranía Inca Huasi, saxicola in rupibus verticalibus prope pagum Muyupampa.",NA,NA,NA,NA,NA,NA,"lutea","L. Hrom.",NA,"Hromadnik 5212","1979","7","Luis Calvo","1300.00000000",NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","3015741","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides lutea","Walter Till","South America","Bolivia","Tarija","47 km east of Palos Blancos.",NA,NA,NA,NA,NA,NA,"lutea","L. Hrom.",NA,"Till 85","1982",NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2013-10-16 05:39:00-03","MO","MOBOT","1298142","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides prolata","Dennis Cathcart","South America","Bolivia","La Paz","Roadside from La Paz to Mecapaca, Valle de la Luna, Río Abajo.",NA,NA,NA,NA,NA,NA,"prolata","H. Luther",NA,"Cathcart s.n.","1995","10",NA,"2500.00000000","3000.00000000",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","2453960","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides xiphioides","Schulz","South America","Brazil","Rio Grande do Sul","San Pedro de Alcántara, Gruta de Lourdes",NA,NA,NA,NA,NA,NA,"xiphioides",NA,NA,"Schulz 767","1950","11",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-07-07 09:52:00-03","MO","MOBOT","2518490","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides xiphioides","J. Chebataroff","South America","Uruguay","San José","Sierra Mahoma",NA,NA,NA,NA,NA,NA,"xiphioides",NA,NA,"Chebataroff s.n.","1939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","3012396","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides xiphioides","* ORORKUS","South America","Argentina","Salta","Cuesta del Obispo.",NA,NA,NA,NA,NA,NA,"xiphioides",NA,NA,"ORORKUS s.n.","1981",NA,"Chicoana","1700.00000000",NA,NA,NA,"W. Till",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","3012460","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides xiphioides","Walter Till","South America","Argentina","Catamarca","Dept. La Puerta, along ruta 1 from Andalgalá to La Puerta, 27 kms N of Dique Las Pirquitas.",NA,NA,NA,NA,NA,NA,"xiphioides",NA,NA,"Till 10261","1993","2",NA,"1100.00000000",NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2008-08-07 03:32:00-03","MO","MOBOT","1298121","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides lutea","H. Hromadnik|L. Hromadnik","South America","Bolivia","Chuquisaca","Serranía Inca Huasi, saxicola in rupibus verticalibus prope pagum Muyupampa.",NA,NA,NA,NA,NA,NA,"lutea","L. Hrom.",NA,"Hromadnik 5212","1979","7","Luis Calvo","1300.00000000",NA,NA,NA,NA,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2008-05-27 22:02:00-03","MO","MOBOT","3015741","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides lutea","Walter Till","South America","Bolivia","Tarija","47 km east of Palos Blancos.",NA,NA,NA,NA,NA,NA,"lutea","L. Hrom.",NA,"Till 85","1982",NA,NA,"800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-09-12 05:00:02-03","US","US","1900557","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides tafiensis","R. Schreiter","South America","Argentina","Tucumán","Managua.",NA,NA,NA,"US00091143",NA,"Bromeliales","tafiensis","L.B. Sm.","Holotype","7176","1931","12","Tafí","2000","2000","US00091143_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"33","2020-09-12 05:00:02-03","US","US","1997584","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","A. Schultz","South America - Neotropics","Brazil","Santa Catarina","On high rather inaccessibile rocks at Gruta de Lourdes near Colonia São Pedro on the borderline of the states of Rio Grande do Sul e Santa Catarina",NA,NA,NA,"US01913521",NA,"Bromeliales",NA,NA,NA,NA,"1950","11",NA,NA,NA,"US01913521_01","Monocotyledonae",NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA
"34","2019-07-09 12:55:22-03","F","FMNH-SEEDPLANTS","V0412246F","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides",NA,"South America","Argentina",NA,NA,NA,NA,NA,"V0412246F","Spermatophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"V0412246F_01","Monocotyledoneae",NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,NA,NA
"35","2019-09-04 17:52:37-03","F","FMNH-SEEDPLANTS","V0045276F","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides arequitae","E. F. André","South America","Uruguay",NA,"Grotte d'Arequita",NA,NA,NA,"V0045276F","Spermatophyta",NA,"arequitae",NA,"Isotype","320","1890","10",NA,NA,NA,"V0045276F_01","Monocotyledoneae",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-07-09 12:55:22-03","F","FMNH-SEEDPLANTS","V0412247F","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides xiphioides",NA,"South America","Argentina",NA,NA,NA,NA,NA,"V0412247F","Spermatophyta",NA,"xiphioides",NA,NA,NA,NA,NA,NA,NA,NA,"V0412247F_01","Monocotyledoneae",NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,NA,NA
"37","2019-07-09 12:55:22-03","F","FMNH-SEEDPLANTS","V0412248F","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides xiphioides",NA,"South America","Argentina",NA,NA,NA,NA,NA,"V0412248F","Spermatophyta",NA,"xiphioides",NA,NA,NA,NA,NA,NA,NA,NA,"V0412248F_01","Monocotyledoneae",NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,NA,NA
"38","2019-07-09 12:55:22-03","F","FMNH-SEEDPLANTS","V0412249F","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides xiphioides",NA,"South America","Argentina",NA,NA,NA,NA,NA,"V0412249F","Spermatophyta",NA,"xiphioides",NA,NA,NA,NA,NA,NA,NA,NA,"V0412249F_01","Monocotyledoneae",NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,NA,NA
"39","2019-09-04 17:52:37-03","F","FMNH-SEEDPLANTS","V0045276F","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides arequitae","E. F. André","South America","Uruguay",NA,"Grotte d'Arequita",NA,NA,NA,"V0045276F","Spermatophyta",NA,"arequitae",NA,"Isotype","320","1890","10",NA,NA,NA,"V0045276F_01","Monocotyledoneae",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-02-08 12:50:47-03","UFRGS","ICN","184872","S","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Melo, EA; Waechter, JL","América do Sul","Brasil","RS","Próx. ao Arroio Carvalho",NA,NA,"Material testemunho; Erva epipétrica; Afloramento arenítico","ICN00030404","Monocotyledon",NA,NA," Ker Gawl.",NA,"EAM23","2015","03","Itati",NA,NA,NA,NA,"Waechter, JL","23","-50.175833","-29.385","-50.175833","-29.385",NA,NA,"2015","03",NA
"41","2021-02-08 12:50:47-03","UFRGS","ICN","195250","S","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Melo, EA; Waechter, JL","América do Sul","Brasil","RS","Próx. ao Arroio Carvalho",NA,NA,"Material testemunho; Erva rupícola; Afloramento arenítico","ICN00032206","Monocotyledon",NA,NA," Ker Gawl.",NA,"EAM39","2017","10","Itati",NA,NA,NA,NA,"Waechter, JL","17","-50.175833","-29.385","-50.175833","-29.385",NA,NA,"2017","10","17"
"42","2020-02-28 17:39:18-03","MCN-FZBRS","HAS","44909","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Waechter, J.L.",NA,"Brasil","Rio Grande do Sul","Colônia São Pedro,",NA,NA,"Epifítica, abundante no local. Cápsulas imaturas, verdes.","HAS0044909","Magnoliophyta",NA,NA,"Ker Gawl.",NA,"1034","1978","11","Torres (Dom Pedro de Alcântara - RS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-02-28 17:39:18-03","MCN-FZBRS","HAS","44910","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","xiphioides","Tillandsia xiphioides","Schultz, A.R.",NA,"Brasil","Rio Grande do Sul","Colônia São Pedro,",NA,NA,NA,"HAS0044910","Magnoliophyta",NA,NA,"Ker Gawl.",NA,"767","1950","11","Torres (Dom Pedro de Alcântara - RS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
