"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","county","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","relationshipType","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1550228","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","camporum","Siparuna camporum","H. S. Irwin","13813","1966","03","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810167' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550228","Goiás","Serra dos Cristais, ca. 25 km S. of Cristalina","-47.6","-16.9759",NA,NA,"1150",NA,"Magnoliophyta","Laurales","(Tul.) A.DC.","S. R. Hill","NY01550228_01","Ipameri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","380572","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","duckeana","Siparuna duckeana","J. Jangoux","1616","1981","08","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763108' target='other'> <mi>dwc_moreinfo</mi></a>","NY00380572","Pará","Rio Curuá, Pacoval.","-55.08","-1.83",NA,NA,NA,NA,"Magnoliophyta","Laurales","Jangoux","J. Jangoux","NY00380572_01",NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1546361","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","duckeana","Siparuna duckeana","M. G. da Silva","3752","1978","02","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1840852' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546361","Pará","Km. 60 de estrada Itaitubam Jacareacanga, Parque Nacional do Tapajós (I.B.D.F.). Reserva Biológica. Morro da Piçarreira","-55.059354","-3.3969062",NA,NA,NA,NA,"Magnoliophyta","Laurales","Jangoux",NA,"NY01546361_01","Itaituba","paratype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1546360","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","duckeana","Siparuna duckeana","M. G. da Silva","3729","1978","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1841028' target='other'> <mi>dwc_moreinfo</mi></a>","NY01546360","Pará","Km. 85 de estrada Itaitubam Jacareacanga, Parque Nacional do Tapajós (I.B.D.F.). Reserva Biológica. Ramal do Pau Rosa","-55.059354","-3.3969062",NA,NA,NA,NA,"Magnoliophyta","Laurales","Jangoux",NA,"NY01546360_01","Itaituba","isoparatype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1550108","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","duckeana","Siparuna duckeana","E. L. Sette Silva","603","1986","08","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807599' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550108","Roraima","Margem da estrada para o Cantá","-60.583333","-2.833333",NA,NA,NA,NA,"Magnoliophyta","Laurales","Jangoux","M.-C.Pignal","NY01550108_01","Bonfim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00934733","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","P. W. Richards","6680","1968","08","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934733","Mato Grosso","Fazenda Xingú, Cachoeira Von Martius",NA,NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.",NA,"NY00934733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","2210235","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","G. T. Prance","26410","1980","11","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2338335' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210235","Pará","Debanda, Gleba Bacaja, lote 88, Basin of Rio Xingu, just below mouth of Rio Bacaja.","-51.7328","-3.535",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.",NA,"NY02210235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00934710","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","G. C. G. Argent","6786","1968","08","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949187' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934710","Mato Grosso","Base Camp gallery c. 1 km SE of Camp","-51.77","-12.82",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.",NA,"NY00934710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","822698","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","A. Euponino","379","1978","11","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=920515' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822698","Bahia","Rod. BR-367, a 10 km a W de Porto Seguro. Folha SE-24 (16-39c). Margem do Rio do Peixe.","-39.1387939","-16.4206361",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","J. Jangoux","NY00822698_01","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00934707","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","D. R. Hunt","5777","1966","06","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934707","Mato Grosso","Xavantina - Cachimbo road, 85 km. from Xavantina.","-52.1583","-14.0503",NA,NA,"600","1000","Magnoliophyta","Laurales","Aubl.",NA,"NY00934707_01","Água Boa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","471183","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","W. W. Thomas","11555","1997","07","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=69141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00471183","Bahia","Parque Nacional Monte Pascoal. Along park road 1 - 2 km. E of path to peak and visitor center","-39.415","-16.8672",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","S. S. Renner","NY00471183_01","Porto Seguro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00894207","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","R. F. Vieira","628","1990","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982535' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894207","Goiás","Chacara a mais ou menos 5 km apos Fazenda Alegre; na beira do Rio Alegre.","-48.02","-15.42",NA,NA,"1050","1050","Magnoliophyta","Laurales","Aubl.","S. S. Renner","NY00894207_01","Padre Bernardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00980117","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","G. M. Barroso","752","1968","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091497' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980117","Goiás","Goiás Velho, caminho para Serra Dourada","-50.1403","-15.9344",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.",NA,"NY00980117_01","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","886878","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","J. G. Jardim","4107","2003","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886878","Bahia","Rod. Camacã/Potiraguá, ca. 18.5 km SW de Camacã. Floresta higrófila perturbada, margens do rio Barras do Rio Pardo.","-39.49528","-15.5565",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","S. S. Renner","NY00886878_01","Camacan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00934673","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","H. S. Irwin","6587","1964","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=948572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934673","Mato Grosso","5 km. S. of Garapú.","-52.57","-13.27",NA,NA,"300","400","Magnoliophyta","Laurales","Aubl.","J. Jangoux","NY00934673_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","1843668","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","E. P. Heringer","2060","1979","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1966249' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843668","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","J. Jangoux","NY01843668_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1550180","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","C. R. Sperling","6355","1982","06","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1808257' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550180","Pará","7 km. west of camp ECB on the ferrovia, ca. 52 km west of road BR 150. Serra dos Carajás.","-49.25","-5.58",NA,NA,"150","150","Magnoliophyta","Laurales","Aubl.","J. Jangoux","NY01550180_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00894204","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","J. Jangoux","1795","1981","12","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982522' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894204","Maranhão","Approximately 25 km along road west from Balsas to fazenda of Sr. Damião.","-46.17","-7.67",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","S. S. Renner","NY00894204_01","Balsas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","1550043","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","E. Forero","6322","1968","07","17","South America","Brazil","sheet",NA,"Projeto Flora Amazonica collections Forero 6300-6431 collected under G. T. Prance collection number series <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807341' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550043","Acre","Quixadá. Road Abuña to Rio Branco, km 242-246, vicinity of campinas","-67.4365202","-10.0994597",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","S. R. Hill","NY01550043_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00934675","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","H. S. Irwin","16301","1966","05","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=948662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934675","Mato Grosso","Ca. 86 km. N. of Xavantina. Serra do Roncador.","-52.08","-13.92",NA,NA,"550","550","Magnoliophyta","Laurales","Aubl.","S. R. Hill","NY00934675_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1550189","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","P. E. Gibbs","2635","1976","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1808994' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550189","Minas Gerais","Rumo a Itumbiara, Km 76 (MG)","-48.9406","-20.0247",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","M.-C.Pignal","NY01550189_01","Frutal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00894205","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","H. S. Irwin","6283","1964","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982529' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894205","Distrito Federal","Cia. Fercal, ca. 20 km. E. of Brasília.","-47.88","-15.58",NA,NA,"700","1000","Magnoliophyta","Laurales","Aubl.","M.-C.Pignal","NY00894205_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-12-16 12:20:00-02","NY","NYBG","229822","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","C. R. Sperling","6439","1982","07","31","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=69136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00229822","Pando","Prov. Nicolas Suarez. Southwest of Cobija on the Rio Naraueda. 1 km west of Rio Naraueda.","-69.13","-11.13",NA,NA,"250","250","Magnoliophyta","Laurales",NA,"S. S. Renner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00934726","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","Y. E. J. Mexia","5079","1930","09","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949085' target='other'> <mi>dwc_moreinfo</mi></a>","NY00934726","Minas Gerais","Viçosa Agricultural College lands. Near eastern boundary","-42.868031","-20.7613428",NA,NA,"685","685","Magnoliophyta","Laurales","Aubl.","P. C. Standley","NY00934726_01","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1065777","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","M. Alves","2368","2002","01","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=915410' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065777","Acre","Reserva Extrativista Chico Mendes, ao longo da estrada do Seringal Pimentiera para Floresta, na colocação Bom Princípio.","-68.5638889","-10.5072222",NA,NA,"231","242","Magnoliophyta","Laurales","Aubl.","S. S. Renner","NY01065777_01","Xapuri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1550136","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","G. T. Prance","14525","1971","07","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1807630' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550136","Amazonas","Rio Curuquetê, Cachoeira Republica.","-65.7102156","-8.8972404",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","S. R. Hill","NY01550136_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1550177","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","S. A. da M. Souza","319","1986","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1808253' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550177","Pará","Rio Xingu. área da nascente do Curica, margem esquerda subindo o rio, em frente a ilha Belo Horizonte. Mata aberta com cipó, solo areno-argiloso. Terra firme.","-52.2064","-3.20333",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","J. Jangoux","NY01550177_01","Altamira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1550276","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","G. Gardner","1843","1838","08",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810257' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550276","Ceará",NA,NA,NA,NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.",NA,"NY01550276_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","886105","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","I. Mimura","229","1962","01","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886105","São Paulo","Ca. 8.0 km SW em linha reta da praça principal de São José dos Campos.","-45.88","-23.1703",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","L. B. Smith; S. F. Smith","NY00886105_01","Sao José dos Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","02450259","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","S. R. Hill","12904","1983","06","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2633011' target='other'> <mi>dwc_moreinfo</mi></a>","NY02450259","Amazonas","Canumã, E side of Rio Canumã.","-59.666667","-4.333333",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.",NA,"NY02450259_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","687225","PreservedSpecimen","Plantae","Monimiaceae","Siparuna","guianensis","Siparuna guianensis","M. Kawall","308","1993","02","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=860229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687225","Rio de Janeiro","Horto Florestal de Cantagalo","-42.3681","-21.9811",NA,NA,NA,NA,"Magnoliophyta","Laurales","Aubl.","M.-C.Pignal","NY00687225_01","Cantagalo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
