"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","monthIdentified","dayIdentified","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","eventTime","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","616140","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","grandiglandulosa","Myrcia grandiglandulosa","Kiaersk.","G. M. Barroso",NA,"C. Angeli","588","1985","01","19","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, Estr. da Vista Chinesa no Alto da pedra das gutíferas","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591172' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616140","NY00616140_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","616138","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","grandiglandulosa","Myrcia grandiglandulosa","Kiaersk.","G. M. Barroso",NA,"J. P. P. Carauta","4130","1982","01","20","Brazil","Rio de Janeiro","Rio de Janeiro","Rio de Janeiro, estrada Vista Chinesa km 3-4, Alto da Boa Vista","-43.261221","-22.96863",NA,NA,"370","370","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591170' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616138","NY00616138_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","616193","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","kauseliana","Myrcia kauseliana","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","7597","1958","11","24","Brazil","Santa Catarina","Rio do Sul","Alto Matador, Rio do Sul","-49.563988","-27.247405",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616193","NY00616193_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","616199","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","kauseliana","Myrcia kauseliana","D.Legrand","C. M. D. E. Legrand",NA,"R. M. Klein","2171","1957","01","11","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616199","NY00616199_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","616198","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","kauseliana","Myrcia kauseliana","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","3185","1956","05","03","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"450","450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432967' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616198","NY00616198_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","616197","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","kauseliana","Myrcia kauseliana","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","5168","1957","10","17","Brazil","Santa Catarina","Campo Alegre","Morro Iquererim, Campo Alegre","-49.2656","-26.1925",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432971' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616197","NY00616197_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","616195","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","kauseliana","Myrcia kauseliana","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","9727","1960","08","11","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432970' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616195","NY00616195_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","616194","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","kauseliana","Myrcia kauseliana","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","8030","1958","12","16","Brazil","Santa Catarina","Lauro Muller","Rio do Meio, Lauro Müller","-49.3967","-28.3931",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432966' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616194","NY00616194_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","616192","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","kauseliana","Myrcia kauseliana","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","10631","1960","12","24","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156",NA,NA,"800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432969' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616192","NY00616192_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","616196","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","kauseliana","Myrcia kauseliana","D.Legrand","C. M. D. E. Legrand",NA,"R. Reitz","5432","1957","10","24","Brazil","Santa Catarina","Sao José","Serra da Boa Vista, Sao José","-48.6272","-27.6156",NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=432968' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616196","NY00616196_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","616099","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","oligantha","Myrcia oligantha","O.Berg","B. S. Amorim",NA,"B. Rambo","36802","1948","02","02","Brazil","Rio Grande do Sul","Sao Francisco de Paula","Cambará","-50.143208","-29.047894",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720776' target='other'> <mi>dwc_moreinfo</mi></a>","NY00616099",NA,NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","617126","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana fenzliana","(O.Berg) D.Legrand","C. M. D. E. Legrand",NA,"G. G. Hatschbach","18180","1967","12","26","Brazil","Paraná","Campina Grande do Sul","Morro Guaricana","-49.0553","-25.3058",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=280582' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617126","NY00617126_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet","fenzliana",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1019517","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.",NA,NA,"L. Schumm","130","2005","08",NA,"Brazil","Minas Gerais","Bocaina de Minas","Parque Nacional do Itatiaia (Alto dos Brejos)","-44.3947","-22.1675",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1285937' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019517","NY01019517_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","617130","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","C. M. D. E. Legrand",NA,"R. M. Klein","2420","1960","03","11","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf","-49.136514","-27.027101",NA,NA,"650","650","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554486' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617130","NY00617130_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1522451","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","M. Sobral",NA,"B. D. Sucre","7417","1971","02","06","Brazil","Rio de Janeiro",NA,"Guanabara, Pedra da Gávea","-43.28413","-22.997622",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751715' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522451","NY01522451_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","617125","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana richardiana","(O.Berg) Kiaersk.","C. M. D. E. Legrand",NA,"G. G. Hatschbach","18655","1967","12","14","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3289","-25.3069",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617125","NY00617125_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet","richardiana",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","617138","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.",NA,NA,"M. L. Kawasaki","912","1995","12","02","Brazil","Paraná","Piraquara","Estrada para pedreira da ACO","-49.0631","-25.4419",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617138","NY00617138_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","617124","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana richardiana","(O.Berg) Kiaersk.",NA,NA,"G. G. Hatschbach","18253","1968","01","04","Brazil","Paraná","Guaratuba","Serra de Araraquara","-48.5744","-25.8831",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617124","NY00617124_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet","richardiana",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","617137","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","S. M. Silva",NA,"C. Jaster","s.n.","1993","03","06","Brazil","Paraná","Guaraqueçaba","ILha do Superagui","-48.32","-25.27",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617137","NY00617137_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1039378","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.",NA,NA,"M. C. Souza","327","2006","01","07","Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgaos. Na borda do Rio Paqueque.","-42.9656","-22.4122",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485718' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039378","NY01039378_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","617131","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","C. M. D. E. Legrand",NA,"R. Reitz","2654","1956","02","06","Brazil","Santa Catarina","Ibirama","Estaçao Florestal I.N.P., Ibirama","-49.5178","-27.0569",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554481' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617131","NY00617131_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","617133","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","C. M. D. E. Legrand",NA,"R. Reitz","2606","1956","02","04","Brazil","Santa Catarina","Ibirama","Estaçao Florestal I.N.P., Ibirama","-49.5178","-27.0569",NA,NA,"350","350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617133","NY00617133_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","617123","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","G. M. Barroso",NA,"B. D. Sucre","7826","1971","10","20","Brazil","Rio de Janeiro",NA,"Sertao, Zaquara da Tijuca",NA,NA,NA,NA,"600","600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554479' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617123","NY00617123_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","617140","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","G. G. Hatschbach",NA,"J. M. Silva","1600","1995","12","15","Brazil","Paraná","Piraquara","Serra Piramirim","-49.0631","-25.4419",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617140","NY00617140_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","617135","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","C. M. D. E. Legrand",NA,"R. Reitz","9358","1959","12","10","Brazil","Santa Catarina","Jacinto Machado","Sanga da Sreia, Jacinto Machado","-49.766476","-29.084523",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617135","NY00617135_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1522447","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","E. J. Lucas",NA,"T. S. dos Santos","3537","1980","02","27","Brazil","Bahia","Maraú","Rodovia BR-030, trecho Maraú-Ubaitaba, a 5 km de Maraú.","-39.0144","-14.1033",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1751711' target='other'> <mi>dwc_moreinfo</mi></a>","NY01522447","NY01522447_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","617129","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","C. M. D. E. Legrand",NA,"R. M. Klein","2341","1959","12","15","Brazil","Santa Catarina","Blumenau","Mata da Companhia Hering, Bom Retiro, Blumenau","-49.082834","-26.926032",NA,NA,"250","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617129","NY00617129_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","617121","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.",NA,NA,"B. D. Sucre","1202","1966","01","09","Brazil","Rio de Janeiro",NA,"Guanabara, Morro do Leme","-43.660461","-22.912719",NA,NA,"90","90","Date written as XI-I-1966 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617121","NY00617121_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","617122","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.",NA,NA,"L. R. Landrum","2435","1977","11","07","Brazil","Paraná","Contenda","Near Contenda","-49.58","-25.67",NA,NA,"900","900","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617122","NY00617122_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1039062","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","M. C. de Souza",NA,"L. J. T. Cardoso","428","2007","10","07","Brazil","Rio de Janeiro","Rio de Janeiro","Copacabana, Morro São João, vertente Sul, Parque Estadual da Chacrinha. Na base da via de escalada para a falésia, gruta e fissura São João.","-43.1794","-22.9628",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1481102' target='other'> <mi>dwc_moreinfo</mi></a>","NY01039062","NY01039062_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","617134","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","C. M. D. E. Legrand",NA,"R. M. Klein","2266","1957","11","27","Brazil","Santa Catarina","Vidal Ramos","Sabiá, Vidal Ramos","-49.3556","-27.3919",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617134","NY00617134_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","617139","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","richardiana","Myrcia richardiana","(O.Berg) Kiaersk.","M. Sobral",NA,"O. dos S. Ribas","1477","1996","08","17","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, subida ao Pico Paraná","-49.0553","-25.3058",NA,NA,"1800","1920","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=554478' target='other'> <mi>dwc_moreinfo</mi></a>","NY00617139","NY00617139_01",NA,NA,"Magnoliophyta","Myrtales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
