"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","individualCount","occurrenceRemarks","class","scientificNameAuthorship","identifiedBy","country","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordedBy","stateProvince","year","month","day","barcode","recordNumber","continentOcean","locality","imagecode","verbatimLongitude","verbatimLatitude","dayIdentified"
"11","2016-07-05 11:14:16-03","FFCLRP","LBMBP","499","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-07-05 11:14:16-03","FFCLRP","LBMBP","500","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-07-05 11:14:16-03","FFCLRP","LBMBP","501","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-07-05 11:14:16-03","FFCLRP","LBMBP","502","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-07-05 11:14:16-03","FFCLRP","LBMBP","503","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","E.R. Pansarin","Brasil",NA,NA,NA,NA,NA,"E.R. Pansarin","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-15 19:05:02-03","UESC","UESC","10598","S","Plantae","Angiospermae","Florideophycidae","Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,"Monocotyledoneae","Rchb. f., Allg. Gartenzeitung",NA,"Brasil","Itapebi","-39.5339012145996","-15.9507999420166","43726","auto","João Eduardo dos Santos","Bahia","2005","10","14","UESC0010598",NA,NA,NA,NA,NA,NA,NA
"17","2011-08-30 15:36:00-03","MO","MOBOT","2816600","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb. f.","Pabst","Brazil",NA,NA,NA,NA,NA,"George H. Pring",NA,"1910","6","13",NA,"Pring s.n.","South America","150/04",NA,NA,NA,NA
"18","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","51198",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.",NA,"Brasil","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto","A. P. Fontana","Espírito Santo","2003","11","23","MBML051198","9922",NA,"Cabeça Quebrada","MBML051198",NA,NA,NA
"19","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","16523",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,"Planta bifoliada; sépalas e pétalas marrons c/ pintas e labelo não profundamente inciso, lilás c/ estrias brancas e base amarela.",NA,"Rchb.f.","A. P. Fontana/28-12-2001","Brasil","Santa Leopoldina","-40.5297012329102","-20.1005992889404","23799","auto","A. P. Fontana","Espírito Santo","2001","12","28","MBML016523","306",NA,NA,"MBML016523",NA,NA,NA
"20","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","23238",NA,"Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,"Epífita, flores com pétalas e sépalas marrons. Labelo lilás e branco, margem do rio.",NA,"Rchb.f.","A. P. Fontana/16-10-2003","Brasil","Santa Leopoldina","-40.616111","-20.101944",NA,NA,"A. P. Fontana","Espírito Santo","2003","10","16","MBML023238","627",NA,"Rio das Farinhas","MBML023238_1 MBML023238_2","40W36'58","20S6'7",NA
"21","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.",NA,"Brazil",NA,NA,NA,NA,NA,"Schiller, S","Bahia",NA,NA,NA,NA,"s.n.(Hort.","Southern America","Habitat in prov. Bahia",NA,NA,NA,NA
"22","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.",NA,"Brazil",NA,NA,NA,NA,NA,"Van Houtte, LB","Bahia",NA,NA,NA,NA,"s.n.","Southern America","Habitat in prov. Bahia",NA,NA,NA,NA
"23","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.",NA,"Brazil",NA,NA,NA,NA,NA,"Schiller, S","Bahia",NA,NA,NA,NA,"s.n.(Hort.","Southern America","Habitat in prov. Bahia",NA,NA,NA,NA
"24","2017-09-11 17:11:33-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.",NA,"Brazil",NA,NA,NA,NA,NA,"Van Houtte, LB","Bahia",NA,NA,NA,NA,"s.n.","Southern America","Habitat in prov. Bahia",NA,NA,NA,NA
"25","2019-11-21 10:12:59-03","IBt","SP","34384","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana","2003","02",NA,NA,NA,"Rchb.f.","Cruz, DT","Brasil",NA,NA,NA,NA,NA,"Hoehne, FC","Bahia",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"14"
"26","2019-11-21 10:12:59-03","IBt","SP","36480","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","Hoehne, FC","Brasil",NA,NA,NA,NA,NA,"Mazzini, E","Espírito Santo","1936","09","28",NA,"s.n.",NA,NA,NA,NA,NA,NA
"27","2019-11-21 10:12:59-03","IBt","SP","40315","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.","Hoehne, FC","Brasil",NA,NA,NA,NA,NA,"Gehrt, A",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
"28","2019-11-21 10:12:59-03","IBt","SP","65489","S","Plantae",NA,NA,"Orchidaceae","Cattleya","schilleriana","Cattleya schilleriana",NA,NA,NA,NA,NA,"Rchb.f.",NA,"Brasil",NA,NA,NA,NA,NA,"s.col.","Espírito Santo",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
