"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","dayIdentified","individualCount"
"14","2020-09-02 16:19:17-03","Cenargen","CEN","53484","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","M. S. Marchioretto","José Floriano Barêa Pastore","532","2003","04","20",NA,"Brasil","GO","CAVALCANTE","Trilha para Ponte de Pedra.","-47.4583015441895","-13.7974996566772",NA,NA,"Exsicatas","Inflorescência branca.","CEN00053484","CEN00053484","92497","auto",NA,"2018","07",NA,NA,NA,NA,"2"
"15","2020-09-02 16:19:17-03","Cenargen","CEN","8167","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","M. S. Marchioretto","Scott Allan Mori","16957","1984","07","24",NA,"Brasil","MG","PARACATU","BR-040, km 6, na borda do Goiás.","-46.874698638916","-17.2222003936768","950","950","Exsicatas","Growing in recently burned area. Heads white.","CEN00008167","CEN00008167","72344","auto",NA,"2006","06",NA,NA,NA,NA,"1"
"16","2020-09-02 16:19:17-03","Cenargen","CEN","110338","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","B. M. T. Walter","J. Moises Mendoza F.","4177","2014","02","27",NA,"Brasil","GO","ALTO PARAISO DE GOIAS","GO-239, ca. 1.6 km de São Jorge sentido Alto Paraíso.","-47.801666","-14.176388","1017","1017","Exsicatas","Subarbusto densamente ramificado na base. Planta toda branquicenta. Plantas dispersas, lado do caminho. Encosta muito acidentada, mais árvores nos afloramentos, solo pedregoso. Crescendo entre rochas.","CEN00110338","CEN00110338",NA,NA,NA,"2019","07","-47.801666","-14.176388",NA,NA,"6"
"17","2021-03-15 18:24:20-03","USP","SPF","208316","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Zappi, DC","Zappi, DC","2278","2009","07","30",NA,"Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Rio das Pedras, Faz. do Sr. Luiz.","-43.761327","-19.02163",NA,NA,NA,"Ervas 30 cm alt., com folhas abaxialmente alvas, inflorescências creme.; Afloramento rochoso com Vellozia piresiana em rochas areníticas e quartzíticas dispostas em ângulos.","SPF00208316",NA,NA,NA,NA,"2009","08","-43.761327","-19.02163",NA,NA,NA
"18","2021-03-15 18:24:20-03","USP","SPF","74900","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Marchioretto, MS","Arbo, MM","4291","1990","05","17",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro","Rio Santo Antonio, 8 km SW de Conceição do Mato Dentro, camino a Cardeal Mota.","-43.45","-19.066667","600","600",NA,"Hierba 1 m alt, ramas flexuosas, inflorescencias blancas.; Borde de selva marginal con afloramientos rocosos.","SPF00074900",NA,NA,NA,NA,"2007","05","-43.45","-19.066667","isotype",NA,NA
"19","2019-11-13 11:14:16-03","USP","SPF","141386","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Pedersen, TM","Hatschbach, G","28884","1972","01","18",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,"SPF00141386",NA,"60318","auto",NA,NA,NA,NA,NA,"paratype",NA,NA
"20","2019-11-13 11:14:16-03","USP","SPF","143776","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Marchioretto, MS","Souza, VC","11768","1996","07","05",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,"SPF00143776",NA,"60318","auto",NA,"2004","07",NA,NA,NA,NA,NA
"21","2019-11-13 11:14:17-03","USP","SPF","21508","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Marchioretto, MS","Giulietti, AM","CFCR1754","1981","08","29",NA,"Brasil","Minas Gerais","Gouveia",NA,"-43.7407989501953","-18.4543991088867",NA,NA,NA,NA,"SPF00021508",NA,"37970","auto",NA,"2007","05",NA,NA,NA,NA,NA
"22","2019-11-13 11:14:16-03","USP","SPF","186058","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Senna, LR","Souza, VC","32922","2007","02","20",NA,"Brasil","Minas Gerais","Santana de Pirapama","Serra do Cipó","-44.043098449707","-19.0060997009277",NA,NA,NA,NA,"SPF00186058",NA,"43251","auto",NA,"2015","07",NA,NA,NA,NA,NA
"23","2019-11-13 11:14:16-03","USP","SPF","19953","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","Marchioretto, MS","Rossi, L","CFSC7263","1981","04","19",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"SPF00019953",NA,"26557","auto",NA,"2007","05",NA,NA,NA,NA,NA
"24","2019-10-07 09:18:35-03","UEFS","HUEFS","46618","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","M.S.Marchioretto","Souza, V.C.","11768","1996","07","05",NA,"Brasil","Minas Gerais","Conceição do Mato Dentro","Estrada Santana do Riacho - Serro, Km 155, próximo à ponte do rio Santo Antônio.","-43.4249992370605","-19.0372009277344",NA,NA,NA,NA,"HUEFS0046618","HUEFS0046618","60318","auto","Caryophyllanae","2008","11",NA,NA,NA,NA,NA
"25","2019-10-07 09:18:35-03","UEFS","HUEFS","147210","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen","L.Senna","Rossi, L.","CFSC7263","1981","04","19",NA,"Brasil","Minas Gerais","Santana do Riacho","km 146 ao longo da rodovia Belo Horizonte- Conceição do Mato Dentro. Beira do Santo Antonio.","-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"HUEFS0147210","HUEFS0147210 HUEFS0147210_01","26557","auto","Caryophyllanae","2015","07",NA,NA,NA,NA,NA
"26","2019-10-07 09:18:35-03","UEFS","HUEFS","147209","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Amaranthaceae","Pfaffia","minarum","Pfaffia minarum","Pedersen",NA,"Giulietti, A.M.","CFCR1754","1981","08","29",NA,"Brasil","Minas Gerais","Gouveia","Fazenda Contagem. 13 km a direita no km 65 da rodovia Curvelo-Diamantina.","-43.7407989501953","-18.4543991088867",NA,NA,NA,NA,"HUEFS0147209","HUEFS0147209","37970","auto","Caryophyllanae",NA,NA,NA,NA,NA,NA,NA
