"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","coordinatePrecision","geoFlag","continentOcean","preparationType","infraspecificEpithet","relatedCatalogItem","relationshipType","individualCount","fieldNumber","previousCatalogNumber"
"24","2019-10-09 11:28:36-03","UFBA","ALCB","032436","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","Barberena, FFVA","2016","05","12","Kummrow, R; Ribas, OS; et al.","3176","1989","08","12","Brasil","Paraná","Quatro Barras","Morro Mãe Catira","-49.066667","-25.35","-49.066667","-25.35",NA,NA,"epífita. Flores vermelhas.","ALCB008451","ALCB008451","Monocotyledon",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 08:46:55-03","NBC","NL-BOTANY","L.1528795","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.",NA,NA,NA,NA,"Hatschbach GG",NA,"1967","08","02","Brazil",NA,NA,"Pico Caratuva (Mun. Campina Grande de Sul). Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1528795 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1528795","NL-L1528795",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 08:46:55-03","NBC","NL-BOTANY","L.1528796","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1960","08","11","Brazil",NA,NA,"Plantas de Santa Catarina. Serra da Boa Vista, São José. Epífito dos capões.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1528796 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1528796","NL-L1528796",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 08:46:55-03","NBC","NL-BOTANY","L.1528797","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.",NA,NA,NA,NA,"Hatschbach GG",NA,"1961","08","06","Brazil",NA,NA,"Est. Parana. Mun. Campina Gde. do Sul. Serra de Capivary Grande.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1528797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1528797","NL-L1528797",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"28","2020-02-08 08:46:55-03","NBC","NL-BOTANY","U.1475425","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.","Pabst GFJ",NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de",NA,"1967","08","02","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475425 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1475425","NL-U1475425",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,"U 0083296",NA,NA,NA,NA
"29","2020-02-08 08:46:55-03","NBC","NL-BOTANY","WAG.1140671","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea","(Lindl.) Rchb.f.",NA,NA,NA,NA,"Hatschbach GG",NA,"1966","08","04","Brazil",NA,NA,"Parana (Brasil). Quatro Barras. Encosta Morro Mãe Catira.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1140671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1140671","NL-WAG1140671",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 08:46:55-03","NBC","NL-BOTANY","L.1528798","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","coccinea","Sophronitis coccinea mantiqueirae","Fowlie",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1962","10","25","Brazil",NA,NA,"Plantas de Santa Catarina. Campo Alto, Santa Cecilia. Epífito em capão.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1528798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1528798","NL-L1528798",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,"mantiqueirae",NA,NA,NA,NA,NA
"31","2020-02-08 08:46:55-03","NBC","NL-BOTANY","U.1475426","PreservedSpecimen","Plantae","Orchidaceae","Sophronitis","grandiflora","Sophronitis grandiflora","Lindl.",NA,NA,NA,NA,"Lindeman JC; Lindeman JC; Porto ML; Girardi AM",NA,"1971","12","04","Brazil",NA,NA,"Cabaceira do Rio das Antas, pinhal degradado.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1475426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1475426","NL-U1475426",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 12:17:29-03","ESALQ","ESA","62506","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Forster, W.","93.0","1999","08","17","Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"ESA062506",NA,"Magnoliophyta",NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 12:17:29-03","ESALQ","ESA","77464","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Farah, F.T. et al.","2083.0","2001","04","10","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,"ESA077464","ESA077464","Magnoliophyta",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 12:17:29-03","ESALQ","ESA","86048","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Forster, W. ; Romão, G.O.","744.0","2000","10","17","Brasil","Minas Gerais","Alto Caparaó","BLOQUEADO","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,"Epífita sobre hospedeiro morto na margem do Rio José Pedro.","ESA086048","ESA086048","Magnoliophyta",NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 12:17:29-03","ESALQ","ESA","69148","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Forster, W.; Passold, A.J.; Matteo, B.C.; Silva, L.N.; Fonseca, M.G.; Giarola, N.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","540.0","2000","04","25","Brasil","São Paulo","Salesópolis","BLOQUEADO","-45.8400001525879","-23.5300006866455",NA,NA,"1150","1150","Epífita a 5m alt. Sépalas e pétalas vermelhas, labelo vermelho, fauce amarela com estrias vermelhas","ESA069148","ESA069148","Magnoliophyta",NA,NA,"18032","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 12:17:29-03","ESALQ","ESA","120063","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",NA,"Koehler, S.",NA,NA,NA,"Baltazar, M.A.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Petrópolis","Fazenda do Facão.","-43.1786003112793","-22.5049991607666",NA,NA,NA,NA,NA,"ESA120063","ESA120063","Magnoliophyta",NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 12:17:29-03","ESALQ","ESA","119234","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",NA,"Koehler, S.",NA,NA,NA,"Rodrigues, J.F.",NA,"2012","04","24","Brasil","Rio Grande do Sul","Cambará do Sul","Parque Nacional da Serra Geral.","-50.1446990966797","-29.0478000640869",NA,NA,NA,NA,NA,"ESA119234","ESA119234","Magnoliophyta",NA,NA,"30776","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 12:17:29-03","ESALQ","ESA","107132","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",NA,"van den Berg, C.","2011","10","24","Romão, G.O.; Rodrigues, C.D.; Dantas, A.P.T.","1887.0","1905","06","28","Brasil","Rio Grande do Sul","São José dos Ausentes","Serra da Rocinha, próximo à divisa entre os Estados SC/RS; Mirante no alto da serra, ca. 16Km de São José dos Ausentes em direção a Timbé do Sul-SC. 1237m.s.m.","-50.0657997131348","-28.7483005523682",NA,NA,NA,NA,"Epífita; labelo laranja, demais tépalas vermelhas-vivo.","ESA107132","ESA107132","Magnoliophyta",NA,NA,"42598","auto",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 12:17:29-03","ESALQ","ESA","65078","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Forster, W. et al.","131.0","1999","10","20","Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"ESA065078",NA,"Magnoliophyta",NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 12:17:29-03","ESALQ","ESA","65085","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Forster, W.","132.0","1999","10","20","Brasil","Minas Gerais","Alto Caparaó",NA,"-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"ESA065085",NA,"Magnoliophyta",NA,NA,"21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 12:17:29-03","ESALQ","ESA","34815","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Silva, J.M. et al.","1699.0","1996","09","07","Brasil","Paraná","Campina Grande do Sul",NA,"-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,"ESA034815",NA,"Magnoliophyta",NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 12:17:29-03","ESALQ","ESA","14005","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Kummrow, R. et al.","3176.0","1989","08","12","Brasil","Paraná","Quatro Barras",NA,"-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,"ESA014005",NA,"Magnoliophyta",NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 12:17:29-03","ESALQ","ESA","118316","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",NA,"Koehler, S.","2011",NA,NA,"Koehler, S.","302.0","2008","04","01","Brasil","Rio de janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,"ESA118316","ESA118316","Magnoliophyta",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 12:17:29-03","ESALQ","ESA","118315","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",NA,"Koehler, S.","2011",NA,NA,"Koehler, S.","1630.0","2008","07","01","Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,NA,"ESA118315","ESA118315","Magnoliophyta",NA,NA,"30784","auto",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 12:17:29-03","ESALQ","ESA","118314","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea",NA,"Koehler, S.",NA,NA,NA,"Koehler, S.","1615.0","2008","07","01","Brasil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,NA,"ESA118314","ESA118314","Magnoliophyta",NA,NA,"30784","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-04 12:17:29-03","ESALQ","ESA","64587","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","coccinea","Cattleya coccinea","Lindl.","van den Berg, C.","2011","10","24","Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23432.0","2000","02","18","Brasil","Espírito Santo","Iúna","BLOQUEADO","-41.5358009338379","-20.3458003997803",NA,NA,NA,NA,"Epítita; frutos imaturos verdes. Abundante","ESA064587",NA,"Magnoliophyta",NA,NA,"32198","auto",NA,NA,NA,NA,NA,NA,NA,NA
