"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude"
"11","2019-08-27 13:25:45-03","IAP","PACA-AGP","76216","PreservedSpecimen","Plantae","Magnoliophyta","Cyperales","Gramineae","Aristida","macrophylla","Aristida macrophylla","L.","Z. Rugulo","Z. Rúgolo et alii","1716","1992","12","12",NA,"Brasil","PR",NA,"camino de Tibagi a Ventania, a 23 Km de Tibagi",NA,NA,NA,NA,NA,"comum Habitat: cerrado","PACA076216",NA,"Liliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:40:01-03","MBM","MBM","51182","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hackel","Longhi-Wagner, H.","Klein, R.","4198","1963","10","29","Southern America","Brazil","Santa Catarina","Campos Novos",NA,"-51.2249984741211","-27.4016990661621","1000","1000",NA,"Campo.","MBM051182","MBM051182",NA,"PARATYPE","1992","12","15","43319","auto",NA,NA,NA
"13","2015-11-05 06:10:00-02","MO","MOBOT","1768254","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","kleinii","Aristida kleinii","L.B. Sm.","G. Davidse","José F.M. Valls|Hilda M. Longhi-Wagner|Ana Maria P. Brcelos","Valls 25159","1974","1","8","South America","Brazil","Rio Grande do Sul",NA,"Capinzal, no campo, a 7 km SW da cidade, na stre. Capinal-Campos Novos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2012-04-05 14:30:00-03","MO","MOBOT","213777","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","kleinii","Aristida kleinii","L.B. Sm.","G. Davidse","José F.M. Valls","Valls 3099","1974","1","8","South America","Brazil","Santa Catarina",NA,"Capinzal, no campo a 7 km SW da cidade, na estr. Capinzal-Campos Novos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2010-11-13 04:25:00-02","MO","MOBOT","244754","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","kleinii","Aristida kleinii","L.B. Sm.",NA,"Roberto M. Klein","Klein 4328","1963","10","31","South America","Brazil","Santa Catarina",NA,"San Jose do Cerrito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2011-10-17 18:06:00-02","MO","MOBOT","1583068","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"Zulma E. Rúgolo de Agrasar|Hilda M. Longhi-Wagner|S. Boechat|Ana María Molina","Rúgolo de Agrasar 1601","1992","12","9","South America","Brazil","Santa Catarina",NA,"Camino de Curitibanos a Lebón Régis, a 39 km de Curitibanos. Campo de Butia sp. Barranca arenosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1765627","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","T. Killeen","Timothy J. Killeen","Killeen 1805","1986","2","15","South America","Bolivia","Santa Cruz","Nuflo de Chavez","Est. Las Madres, curiche by front gate, 9 km N of Concepción. Eroded tertiary planation surface overlying precambrian shield; mosaic of semi-deciduous forest, wooded savanna and savanna marsh","-62","-16","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","1765628","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","T. Killeen","Timothy J. Killeen","Killeen 852","1985","2","4","South America","Bolivia","Santa Cruz","Nuflo de Chavez","Rancho El Carmen. Hills, precambrian shiled; wooded savanna.","-62","-16.41666","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2011-03-16 22:18:00-03","MO","MOBOT","1765629","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","H. Longhi-Wagner, 1991 (ICN)","Bernardo Rosengurtt","Rosengurtt 11919","1977","11","5","South America","Argentina","Misiones",NA,"Dept. Apóstoles; Cuatro Bocas (near Apóstoles)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","1765631","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"Émile Hassler","Hassler 9849","1907",NA,NA,"South America","Paraguay",NA,NA,"In altaplanitie et declivibus a Sierra de Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","2076417","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Tim Killeen","Timothy J. Killeen","Killeen 1995","1986","4","18","South America","Bolivia","Santa Cruz","Nuflo de Chavez","20 km SW of San Javier on road to San Ramon. Hills, precambrian shield, soils generally rocky; mosaic of low forest, wooded savanna and savanna wetland. Wooded savanna.","-62.5","-16.41666","450.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","211223","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Gerrit Davidse, 2002 (MO)","Émile Hassler","Hassler 11323","1912",NA,NA,"South America","Paraguay",NA,NA,"In altaplanitie Sierra de Amambay",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA
"23","2011-02-07 10:00:00-02","MO","MOBOT","211788","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"M. Wacket","Wacket s.n.","1902",NA,NA,"South America","Brazil","São Paulo",NA,"Río Grande between Santos and Sao Paulo",NA,NA,"750.00000000","800.00000000",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,"1",NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","214525","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","G. Davidse","Émile Hassler","Hassler 12085","1912",NA,NA,"South America","Paraguay","Amambay",NA,"In altaplanitie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2011-03-16 22:18:00-03","MO","MOBOT","214536","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Gerrit Davidse","Bernardo Rosengurtt","Rosengurtt 8980","1962","11","3","South America","Brazil","Rio Grande do Sul",NA,"Pauambi.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","214546","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Gerrit Davidse","JOLY","JOLY 511","1947","10","30","South America","Brazil","São Paulo",NA,"Campos de Butantan, Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","214568","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Gerrit Davidse","Ataujo","Ataujo 422","1939","9","29","South America","Brazil","Rio Grande do Sul",NA,"Zupocereto = Giriva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2010-01-25 20:06:00-02","MO","MOBOT","2228716","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Nicora, E. G.","Troels M. Pedersen","Pedersen 11919","1977","11","5","South America","Argentina","Misiones","Apóstoles","Cuatro Bocas","-55.81666","-27.91666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-07-06 13:59:00-03","MO","MOBOT","2248953","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Nicora, E. G.","Angel L. Cabrera","Cabrera 28467","1977","10",NA,"South America","Argentina","Misiones","Apóstoles","Apóstoles","-55.7666667","-27.9166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"30","2008-05-27 22:02:00-03","MO","MOBOT","2407025","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Nicora, E. G.","Fernando O. Zuloaga|Norma B. Deginani","Zuloaga 521","1975","10","19","South America","Argentina","Misiones","Apóstoles","Camino de Cerro Azul a Apóstoles.","-55.76666","-27.91666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2011-02-07 10:00:00-02","MO","MOBOT","244781","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"M. Wacket","Wacket s.n.","1902",NA,NA,"South America","Brazil","São Paulo",NA,"Near Pilar, not far from São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2012-04-05 14:30:00-03","MO","MOBOT","2482589","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi-Wagner, H. M., Boechat, S. C. & Molina, A. M.","José F.M. Valls","Valls 2434","1972","11","15","South America","Brazil","Rio Grande do Sul",NA,"Vacaria. BR. 116, km 205,6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2008-05-27 22:02:00-03","MO","MOBOT","2821109","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Tim Killeen","Timothy J. Killeen","Killeen 794","1985","1","29","South America","Bolivia","Santa Cruz","Nuflo de Chavez","30km S of Concepción on the road to San Antonio de Lomerido. Roadside adjacent to Hyparrhenia rufa pasture, soils sandy.","-62.0004833","-16.0004333","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2008-05-27 22:02:00-03","MO","MOBOT","2821307","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Tim Killeen","Timothy J. Killeen","Killeen 2392","1987","3","21","South America","Bolivia","Santa Cruz","Nuflo de Chavez","Est. El Recreo, 2km N of Concepción, Eroded tertiary planation surface overlying precambrian shield, mosaic of semideciduous forest, wooded savanna and savanna wetland.","-62.13333","-16.03333","480.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2008-05-27 22:02:00-03","MO","MOBOT","2821481","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Tim Killeen","Timothy J. Killeen","Killeen 1841","1986","3","20","South America","Bolivia","Santa Cruz","Nuflo de Chavez","Est. Las Madres on road to Monte Verde, Eroded tertiary planation surface overlying precambrian shield. Mosaic of semideciduous forest, wooded savanna and savanna wetland.","-62","-16","500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","2821851","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Tim Killeen","Timothy J. Killeen","Killeen 1893","1986","4","2","South America","Bolivia","Santa Cruz","Nuflo de Chavez","Est. San Josecito, 8km NW of Concepción. Eroded tertiary planation surface overlying precambrian shield, mosaic of semideciduous forest, wooded savanna and savanna wetland.","-62.08333","-16.03333","490.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-09-12 05:00:02-03","US","US","2829785","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Aristida","kleinii","Aristida kleinii","L.B. Sm.",NA,"R. M. Klein","4328","1963","10","31","South America","Brazil","Santa Catarina",NA,"San Jose do Cerrito.",NA,NA,"950","950",NA,NA,"US00405825","US00405825_01","Monocotyledonae","Holotype",NA,NA,NA,NA,NA,"1",NA,NA
"38","2020-09-12 05:00:02-03","US","US","81206","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"M. Wacket","s.n.","1902",NA,NA,"South America - Neotropics","Brazil","São Paulo",NA,"Near Pilar, not far from Sao Paulo.",NA,NA,"750","800",NA,NA,"US00405828","US00405828_01","Monocotyledonae","Type fragment",NA,NA,NA,NA,NA,"1",NA,NA
"39","2020-09-02 16:36:06-03","Cenargen","CEN","10642","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","J. F. M. Valls","Anacreonte Ávila de Araújo","422","1939","09","20",NA,"Brasil","RS","GIRUA",NA,"-54.3497009277344","-28.028299331665",NA,NA,"Exsicatas","Doação.","CEN00010642","CEN00010642",NA,NA,"2016","01",NA,"23862","auto","1",NA,NA
"40","2020-09-02 16:36:06-03","Cenargen","CEN","6269","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","J. F. M. Valls","José Francisco Montenegro Valls","1427","1970","12","30",NA,"Brasil","RS","URUGUAIANA","BR 472, perto do km 50.","-57.0882987976074","-29.7546997070312",NA,NA,"Exsicatas","Doação ICN Nº 23324","CEN00006269","CEN00006269",NA,NA,"2016","01",NA,"93142","auto","1",NA,NA
"41","2020-09-02 16:36:06-03","Cenargen","CEN","6268","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","J. F. M. Valls","José Francisco Montenegro Valls","2434","1972","11","15",NA,"Brasil","RS","VACARIA","BR 116. no km 205,6","-50.9338989257812","-28.5121994018555",NA,NA,"Exsicatas","Doação - Herb. U.F.R.G.S. - Porto Alegre. ICN: 23236","CEN00006268","CEN00006268",NA,NA,"2016","01",NA,"63451","auto","1",NA,NA
"42","2019-11-13 11:28:40-03","USP","SPF","84456","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Parodi, LR","Joly, AB","511","1947","10","31",NA,"Brasil","São Paulo","São Paulo","Campos de Butantã.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"SPF00084456","SPF00084456",NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"43","2021-02-12 15:02:23-03","UFSCar","SPSC","7231","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","I.A. Silva","I. A. Silva",NA,"2007","03",NA,NA,"Brasil","São Paulo","São Carlos","UFSCar.",NA,NA,NA,NA,NA,"Planta de aproximadamente 1,5 metros de altura.;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9999","9999"
"44","2019-11-01 15:15:51-03","UnB","UB","79124","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Philcox, D","Philcox, D","3751","1967","12","29","Southern America","Brasil","Mato Grosso","Nova Xavantina","Nova Xavantina, 20km ao S de Nova Xavantina","-52.35","-14.666667",NA,NA,NA,NA,"UB0016856","UB0016856",NA,NA,NA,NA,NA,NA,NA,NA,"-52.35","-14.666667"
"45","2020-08-20 14:59:29-03","UFSC","FLOR","63956","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi-Wagner, H.M.","Zanin, A.; Longhi-Wagner, H.M. et all","104","1988","01","08",NA,"Brasil","Rio Grande do Sul","Vacaria","Fazenda Bataglia. Estrada para o Rio Santana dentro da fazenda.","-50.9338989257812","-28.5121994018555",NA,NA,NA,"Habitat: Barranco em beira de estrada","FLOR0063956","FLOR0063956",NA,NA,"1988","09",NA,"63451","auto",NA,NA,NA
"46","2020-08-20 14:59:29-03","UFSC","FLOR","4073","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi-Wagner, H.M.","Klein, R.M.","4198","1963","10","29",NA,"Brasil","Santa Catarina","Campos Novos",NA,"-51.2249984741211","-27.4016990661621","1000","1000",NA,"Paratypus de Aristida kleinii L.B.Sm","FLOR0004073",NA,NA,"Paratypus","2011","12","07","43319","auto",NA,NA,NA
"47","2021-02-08 12:52:36-03","UFRGS","ICN","025159","S","Plantae","Monocotyledon",NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi-Wagner, HM","Valls, JFM; Longhi, H; Barcellos, A","3099","1974","01","08","América do Sul","Brasil","SC","Capinzal","Estr. Capinsal-Campos Novos no campo a 7km SO da cidade","-51.6119003295898","-27.343599319458",NA,NA,NA,NA,NA,NA,NA,NA,"1991","10","11","19949","auto",NA,NA,NA
"48","2021-02-08 12:52:36-03","UFRGS","ICN","101194","S","Plantae","Monocotyledon",NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"Rúgulo, Z; Longhi-Wagner, HM; Boechat, SC; Molina, AM","1716","1992","12","12","América do Sul","Brasil","PR",NA,"Camino de Tibagi a Ventania, a 23km de Tibagi Cerrado",NA,NA,NA,NA,NA,"Comum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-02-08 12:52:36-03","UFRGS","ICN","063079","S","Plantae","Monocotyledon",NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi-Wagner, HM","Arzivenco, L","644","1978","12","08","América do Sul","Brasil","RS","Esmeralda","Ilha no banhado da divisa","-51.190299987793","-28.0536003112793",NA,NA,NA,NA,NA,NA,NA,NA,"1991",NA,NA,"38649","auto",NA,NA,NA
"50","2021-02-08 12:52:36-03","UFRGS","ICN","023236","S","Plantae","Monocotyledon",NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi-Wagner, HM","Valls, JFM; et al.","2434","1972","11","15","América do Sul","Brasil","RS","Vacaria","BR116 no km 205 6","-50.9338989257812","-28.5121994018555",NA,NA,NA,"Frequente no local.",NA,NA,NA,NA,"1991","10","11","63451","auto",NA,NA,NA
"51","2021-02-08 12:52:36-03","UFRGS","ICN","068177","S","Plantae","Monocotyledon",NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi-Wagner, HM","Zanin, A; Longhi-Wagner, HM; Santos, A","104","1988","01","08","América do Sul","Brasil","RS","Vacaria","Fazenda Bataglia. Entrada para o rio Santanda, dentro da fazenda, barranco em beira de estrada","-50.9338989257812","-28.5121994018555",NA,NA,NA,NA,NA,NA,NA,NA,"1988","08",NA,"63451","auto",NA,NA,NA
"52","2021-02-18 17:08:45-03","FEPAGRO","BLA","14309","PreservedSpecimen","Plantae","Spermatophyta",NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.",NA,"LA","32","1977","11","15",NA,"Brasil","Rio Grande do Sul","Vacaria","BR 116, km 205,5.","-50.9338989257812","-28.5121994018555",NA,NA,NA,NA,"BLA014309",NA,NA,NA,NA,NA,NA,"63451","auto",NA,NA,NA
"53","2019-11-21 10:14:42-03","IBt","SP","318776","S","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi Wagner, HM","Valls, JFM; et al.","2434","1972","11","15",NA,"Brasil","Rio Grande do Sul","Vacaria","BR-116 no km 205,6.","-50.9338989257812","-28.5121994018555",NA,NA,NA,NA,"SP040719","SP040719",NA,NA,NA,NA,NA,"63451","auto",NA,NA,NA
"54","2019-11-21 10:14:42-03","IBt","SP","102041","S","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi Wagner, HM","Mattos, J","13979","1966","10","19",NA,"Brasil","São Paulo","Capão Bonito","14 km de Capão Bonito, na rodovia Capão Bonito-Itararé.","-48.3400001525879","-24",NA,NA,NA,NA,"SP040721","SP040721",NA,NA,"1990","02","08","39505","auto",NA,NA,NA
"55","2019-11-21 10:14:42-03","IBt","SP","66011","S","Plantae",NA,NA,"Poaceae","Aristida","macrophylla","Aristida macrophylla","Hack.","Longhi Wagner, HM","Sendulsky, T","713","1963","03","25",NA,"Brasil","São Paulo","Itirapina","along road Washington Luiz.","-47.8199996948242","-22.25",NA,NA,NA,NA,"SP040720","SP040720",NA,NA,"1990","02","08","22843","auto",NA,NA,NA
