"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","class","relatedCatalogItem","dayIdentified","coordinatePrecision","geoFlag","individualCount","typeStatus"
"11","2020-11-06 15:26:51-03","EPAMIG","PAMG","38482","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel",NA,"J.G. Kuhlmann",NA,"1935",NA,NA,NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8825","-20.754722",NA,"VIC 1580. Unicata",NA,NA,"663","663",NA,"42° 52' 57W","20° 45' 17S",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-10-22 10:34:25-03","EPAMIG","PAMG","55334","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","L.C.P. Lima","L.C.P. Lima; V.J. Pott; A.L. Sartori; A. Pott","162","2002","04","22",NA,"Brasil","Mato Grosso do Sul","Bataguassu","Rodovia MS-276","-52.428056","-21.7125",NA,"Vegetação secundária de cerrado, relevo plano. Projeto CNPq 520850-99-8. Doação do Herbário HMS, Campo Grande (HMS 6489). Unicata",NA,NA,"325","325","2002","52° 25' 41W","21° 42' 45S","10",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-06 15:26:51-03","EPAMIG","PAMG","38481","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel",NA,"J.G. Kuhlmann",NA,"1935",NA,NA,NA,"Brasil","Minas Gerais","Viçosa",NA,"-42.8825","-20.754722",NA,"VIC 1580. Unicata",NA,NA,"663","663",NA,"42° 52' 57W","20° 45' 17S",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-10-22 10:34:25-03","EPAMIG","PAMG","38819","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel",NA,"G. Hatschbach; V. Pott; J.M. Silva","60679","1994","06","04",NA,"Brasil","Mato Grosso do Sul","Aquidauana","Piraputanga","-55.786389","-20.475",NA,"Campo cerrado. Arbusto delgado, 2 m de altura, flor amarela, nervuras vinosas. Doação do Museu Botânico Municipal da Prefeitura Municipal de Curitiba. Unicata",NA,NA,"147","147",NA,"55° 47' 11W","20° 28' 30S",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-02 16:28:50-03","CPAN-UFMS","COR","9593","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Lima, L. C. P.","Lima, L. C. P.; Pott, V. J.; Sartori, A. L. B. & Pott, A.","162","2002","04","22",NA,"Brasil","Mato Grosso do Sul","Bataguassu","Rodovia estadual MS-276","-52.4225","-21.714722",NA,NA,NA,NA,NA,NA,NA,"52º25'21''W","21º42'53''S",NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970734","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel",NA,"Burchell WJ",NA,NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Porto Real to Santa Anna",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970734 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970734","NL-L1970734",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417358",NA,NA,NA,NA,NA
"17","2020-02-08 09:11:19-03","NBC","NL-BOTANY","L.1970733","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel",NA,"Ule EHG",NA,"1906","09","01","Southern America","Brazil","Bahia",NA,"Maracas",NA,NA,NA,"Felsen.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1970733 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1970733","NL-L1970733",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0417359",NA,NA,NA,NA,NA
"18","2020-02-08 09:11:19-03","NBC","NL-BOTANY","U.1254084","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel",NA,"Irwin HS; Soderstrom TR",NA,"1964","10","15","Southern America","Brazil",NA,NA,"Vicinity of Barro do Garcas, Mato Grosso. Cerrado, ca. 45km N.of Barra do Garcas on road to Xavantina.","-52.25","-15.883333",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1254084 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1254084","NL-U1254084",NA,NA,NA,"-52.25","-15.883333",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:08:11-03","ESALQ","ESA","40934","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Souza, V.C.","Souza, V.C.; Souza, J.P.; Duarte, A.R.; Miyagi, P.H.","17418.0","1997","06","08",NA,"Brasil","Mato Grosso","Tapurah","Fazenda São Jacó. Contato Floresta Estacional - Floresta Ombrófila","-56.15","-12.3",NA,"Subarbusto, ca. 1, 5 m alt.; corola alaranjada.","ESA040934","ESA040934",NA,NA,"1997","-56.15","-12.3","12",NA,NA,"26",NA,NA,NA,NA
"20","2020-11-04 11:08:11-03","ESALQ","ESA","40930","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Aeschynomene","racemosa","Aeschynomene racemosa","Vogel","Souza, V.C.","Souza, V.C.; Souza, J.P.; Duarte, A.R.; Miyagi, P.H.","17978.0","1997","06","14",NA,"Brasil","Mato Grosso","São José do Rio Claro","Fazenda Arinos. Savana Arborizada, solo arenoso","-56.29","-13.51",NA,"Erva, ca. 1 m alt.; flores alaranjadas.","ESA040930","ESA040930",NA,NA,"1997","-56.29","-13.51","12",NA,NA,"26",NA,NA,NA,NA
