"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","sex","class","relatedCatalogItem","individualCount","fieldNumber"
"11","2016-11-01 14:11:00-02","NY","NYBG","605756","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,NA,NA,NA,NA,"E. P. Heringer","1981","02","18","Brazil","Distrito Federal","Brasília","Bacia do Rio Sao Bartolomeu.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605756","NY00605756_01","Magnoliophyta","Fabales","6261","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-11-01 15:03:00-02","NY","NYBG","605740","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"F. T. Farruggia",NA,NA,NA,"A. S. Grotta","1970","10","10","Brazil","São Paulo","Mongaguá",NA,"-46.6197","-24.08",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132348' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605740","NY00605740_01","Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-11-01 14:11:00-02","NY","NYBG","605761","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"R. C. Barneby",NA,NA,NA,"K. Mizoguchi","1981","03","08","Brazil","São Paulo",NA,"Cidade Caracatatuba (coastal town).",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241249' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605761","NY00605761_01","Magnoliophyta","Fabales","1567","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-11-01 14:11:00-02","NY","NYBG","605757","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"R. C. Barneby",NA,NA,NA,"M. Schessl","1993","04","16","Brazil","Mato Grosso","Poconé","Roadside of the Transpantaneira highway appr. at km 122, Campo Jofre. Artificial highway embankment.","-56.9","-17.25",NA,NA,"Scientific cooperation between Universidade Federal de Mato Grosso, Fundaçao Estadual de Meio Ambiente, Max-Planck-Institut für Limnologie, AG. Tropenokologie. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605757","NY00605757_01","Magnoliophyta","Fabales","3277","South America","sheet","105","115",NA,NA,NA,NA,NA,NA,NA
"15","2016-11-01 14:11:00-02","NY","NYBG","605755","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,NA,NA,NA,NA,"E. P. Heringer","1981","02","18","Brazil","Distrito Federal","Brasília","Bacia do Rio Sao Bartolomeu.","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605755","NY00605755_01","Magnoliophyta","Fabales","6261","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-11-01 15:03:00-02","NY","NYBG","605739","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"F. T. Farruggia",NA,NA,NA,"A. S. Grotta","1970","10","10","Brazil","São Paulo","Mongaguá",NA,"-46.6197","-24.08",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605739","NY00605739_01","Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-11-01 14:11:00-02","NY","NYBG","605758","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"R. Monteiro",NA,NA,NA,"E. P. Heringer","1979","01","28","Brazil","Mato Grosso do Sul",NA,"Estrada Transpantaneira",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241250' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605758","NY00605758_01","Magnoliophyta","Fabales","849","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-10-28 14:48:00-02","NY","NYBG","885759","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,NA,NA,NA,NA,"D. Fernandes","2000","02","16","Brazil","Rio de Janeiro","Armaçao dos Búzios","Restinga da praia de Tucuns.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007470' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885759","NY00885759_01","Magnoliophyta","Fabales","433","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-30 02:17:00-03","NY","NYBG","1182154","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"F. T. Farruggia",NA,NA,NA,"L. C. d. S. Giordano","1986","01","01","Brazil","Rio de Janeiro","Magé","Mauá.","-43.0406","-22.6528",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399179' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182154","NY01182154_01","Magnoliophyta","Fabales","25","South America","sheet","100","200",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","605760","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","R. Monteiro",NA,NA,NA,"G. F. Ledingham","1966","01","15","Brazil","Rio de Janeiro",NA,"Grassy shore of Lagoa Rodrigo de Freitas.","-43.207919","-22.973835",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605760","NY00605760_01","Magnoliophyta","Fabales","4430","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-11-01 14:11:00-02","NY","NYBG","605763","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,"R. H. Fortunato",NA,NA,NA,"E. K. P. d. Silveira","1974","04","30","Brazil","Rio de Janeiro",NA,"Guanabara, Parque Ecológico, Jacarepaguá, em volta do Morro de Amorim.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=241248' target='other'> <mi>dwc_moreinfo</mi></a>","NY00605763","NY00605763_01","Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","04034777","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.",NA,NA,NA,NA,"P. Acevedo-Rodríguez","2017","09","03","Brazil","Mato Grosso do Sul","Corumbá","along road MS-184 north of Base de Estudo do Pantanal - UFMS","-57.0381","-19.5658",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4337958' target='other'> <mi>dwc_moreinfo</mi></a>","NY04034777",NA,"Magnoliophyta","Fabales","16668","South America","sheet","91",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1182574","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","R. Monteiro",NA,NA,NA,"C. E. O. Kuntze","1892","08",NA,"Brazil","Mato Grosso",NA,"Corumba.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1407013' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182574","NY01182574_01","Magnoliophyta","Fabales","s.n.","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-11-08 14:14:00-02","NY","NYBG","1738368","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata",NA,NA,NA,NA,NA,"P. da C. Gadelha Neto","2012","01","05","Brazil","Paraíba","João Pessoa","Jardim Botânico: Rio Jaguaribe.","-34.8630981445312","-7.11499977111816",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2007453' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738368","NY01738368_01","Magnoliophyta","Fabales","3141","South America","sheet",NA,NA,"15975","auto",NA,NA,NA,NA,NA
"25","2021-01-11 10:01:19-03","UNIVASF","HVASFW","292","S","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","D.G. Oliveira","2012","12","17","V.M. Cotarelli","2012","12","05","Brasil","Pernambuco","Ibimirim","Açude Poço da Cruz, Ilha do Muliquin","-37.644889","-8.477806","-37.644889","-8.477806","Arbusto ca. de 2m alt.. Flores zigomorfas amarelas. Legumes indeiscentes marrons.","HVASFW000292",NA,NA,NA,"2306","América do Sul",NA,"432","432",NA,NA,"U",NA,NA,NA,NA
"26","2021-02-18 09:29:51-03","UNESP-IBB","BOTU","22079","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.",NA,NA,NA,NA,"Bicudo, L.R.H.","1998","10","17","Brasil","São Paulo",NA,NA,NA,NA,"9999","9999","Arbusto 1m, flores amarelas.","BOTU022079",NA,NA,NA,"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-02-08 11:08:55-03","UNESP-IBB","BOTU","6994","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","Almeida, A.H.",NA,NA,NA,"Almeida, A.H.","1977","02","07","Brasil","São Paulo","Botucatu",NA,"-48.483333","-22.883333","48°29'w","22°53's","Árvore pequena, fruto verde sem cheiro","BOTU006994",NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-13 09:19:54-03","UFRJ","RFA","27422","PreservedSpecimen","Plantae","Fabaceae","Sesbania","marginata","Sesbania marginata","Benth.","H. C. de Lima & L. F. G. da Silva","2002","02","20","Flavio Britto Pereira","2001","04","01","Brasil","Espírito Santo","Mimoso do Sul","Fazenda Gabiroba","-41.358333","-21.208333","41º21'30''W","21º12'30''S","Arbusto, 1,5m de altura, folha e fruto verdes, flor amarela, abundante no local","RFA40445",NA,NA,NA,"24/84",NA,NA,"17","17",NA,NA,NA,NA,NA,NA,NA
"29","2020-11-13 09:19:54-03","UFRJ","RFA","33509","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","M.F. Castilhori","2019","04","19","R.C. Lopes; Tatiana U. P. Konno e Joana Caram Dias de Oliveira","2007","09","29","Brasil","Rio de Janeiro","Macaé","Restinga de Jurubatiba, Lagoa de Cabiúnas","-41.7868995666504","-22.3708000183105",NA,NA,"Arbusto, 2 m de altura; folhas coriáceas, verdes; inflorescência racemosa; flores amarelas; pouco comum no local. Odor forte, presença de látex","RFA21856",NA,NA,NA,"312",NA,NA,NA,NA,"47209","auto",NA,NA,NA,NA,NA
"30","2020-06-29 11:30:42-03","UFRJ","RFA","24558","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","M.F. Castilhori","2019","04","19","Flavio R.R. Negri","1962","10","22","Brasil","Rio de Janeiro","Rio de Janeiro","Serra dos Órgãos","-43.2075004577637","-22.9027996063232",NA,NA,NA,"RFA19511",NA,NA,NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"31","2020-06-29 11:30:42-03","UFRJ","RFA","6748","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","M.F. Castilhori","2019","04","19","Lucia J. de Moraes","1962","10","22","Brasil","Rio de Janeiro","Maricá","Lagoa de Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"Árvore pequena, flores amarelas","RFA26559",NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA
"32","2020-06-29 11:30:42-03","UFRJ","RFA","24557","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","M.F. Castilhori","2019","04","19","A.K. Suenaga","1962","10","22","Brasil","Rio de Janeiro","Maricá",NA,"-42.8185997009277","-22.9193992614746",NA,NA,"Planta arbustiva mais ou menos 2 m de altura , flor amarela","RFA19466",NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA
"33","2020-06-29 11:30:42-03","UFRJ","RFA","16107","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","M.F. Castilhori","2019","04","19","P. Occhioni","1975","02","10","Brasil","Rio de Janeiro","Maricá","Lagoa de Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"Arbusto, flor marela, frequente","RFA13823",NA,NA,NA,"6900",NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA
"34","2020-06-29 11:30:42-03","UFRJ","RFA","24559","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","M.F. Castilhori","2019","04","19","Hortencia Duran B.","1962","10","22","Brasil","Rio de Janeiro","Maricá","Mata de Capão","-42.8185997009277","-22.9193992614746",NA,NA,"Planta arbustiva; flores amarelas Habitat: Mata de capão","RFA19513",NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA
"35","2020-11-24 17:10:44-03","UTFPR","DVPR","872","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","Dias, MC","2003",NA,NA,"Ferracin, LM","2002","10","29","Brasil","Paraná","Bela Vista do Paraíso","Chácara São Judas Tadeu, prolongamento da rua Sérgio Hara","-51.190601348877","-22.9967002868652",NA,NA,"Arbusto 2m, flores amarelas, frutos maduros pretos.; Borda do lago.","DVPR000872","DVPR000872","Magnoliophyta",NA,"s.n.",NA,NA,NA,NA,"15605","auto",NA,NA,NA,NA,NA
"36","2020-11-24 17:10:44-03","UTFPR","DVPR","2926","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","Medri, C rev Tama","1999",NA,NA,"Medri, C; et al.","1998","10","10","Brasil","Paraná","Sapopema","Salto das Orquídeas","-50.5802993774414","-23.9108009338379",NA,NA,"Arvoreta 3m, flores amarelas.; Pasto do passo do meio.","DVPR002926",NA,"Magnoliophyta",NA,"726",NA,NA,NA,NA,"21990","auto",NA,NA,NA,NA,NA
"37","2020-11-24 17:10:44-03","UTFPR","DVPR","5518","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","Silva, DR","2018","02","27","Rocha Filho, JA; Piva, J; Machado, C","2018","01","19","Brasil","Paraná","Capitão Leonidas Marques","Rua Arapongas.","-53.36","-25.2923","-53.36","-25.2923","Arvoreto 3,5 m. Folhas discolores, membranáceas. Frutos tipo legumes, angulares, verdes quando imaturos e marrons-enegrecidos quando maduros. Ponto 420.; Ambiente antropizado, urbano.","DVPR005518",NA,"Magnoliophyta",NA,"536",NA,NA,"375","375",NA,NA,NA,NA,NA,NA,NA
"38","2020-11-24 17:10:44-03","UTFPR","DVPR","1587","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Pers.","Caxambu, MG","2007","08","15","Caxambu, MG; Silva, AR","2007","07","29","Brasil","Mato Grosso do Sul","Corumbá","Passo do Lontra","-57.02146","-19.34086","-57.02146","-19.34086","Arbusto heliófito ca. 3 m de altura. Flores amarelas. Legumes negros. Comum.; Beira da Estrada. Solo: arenoso. Relevo: plano.","DVPR001587","DVPR001587","Magnoliophyta",NA,"1579",NA,NA,"95","95",NA,NA,NA,NA,NA,NA,NA
"39","2020-01-20 14:40:30-03","UPM","MACK","308","PreservedSpecimen","Plantae","Fabaceae","Sesbania","marginata","Sesbania marginata","Benth.","J. A. Pastore","2003","02","25","F. S. Peres","2003","01","18","Brasil","SP","São Paulo","Parque Estadual Alberto Löfgren, viveiro de mudas.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA
"40","2020-12-29 15:41:51-03","CPAN-UFMS","COR","4911","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.",NA,NA,NA,NA,"Damasceno Jr., G.A.","1994","11","25","Brasil","Mato Grosso do Sul","Corumbá","Fazenda Rabicho.","-57.450278","-19.021111","57º27'1''W","19º1'16''S","Habito: Arbusto",NA,NA,NA,NA,"1056",NA,NA,"80","80",NA,NA,NA,NA,NA,NA,NA
"41","2020-12-29 15:41:51-03","CPAN-UFMS","COR","5293","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.","Damasceno-Júnior, G. A.",NA,NA,NA,"Bortolotto, I. M.; Santos, D. A.","1994","11","25","Brasil","Mato Grosso do Sul","Corumbá","Fazenda Rabicho; mata ciliar do rio Paraguai","-57.450278","-19.021111","57º27'1''W","19º1'16''S","Arbusto Habito: Arbusto",NA,NA,NA,NA,"659",NA,NA,"80","80",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-02 16:28:59-03","CPAN-UFMS","COR","1103","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.","Silva, R. R.","2005","08","19","Portugal","1987","08","02","Brasil","Mato Grosso do Sul","Corumbá",NA,"-57.6533012390137","-19.0091991424561",NA,NA,"Flor amarela",NA,NA,NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"43","2020-12-29 15:41:51-03","CPAN-UFMS","COR","2439","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.",NA,NA,NA,NA,"Amaral, M. A.; Temeljkovich, M. C.","1991","06","15","Brasil","Mato Grosso do Sul","Corumbá","Atrás do CPAN/UFMS; margeando o rio Paraguai","-57.6533012390137","-19.0091991424561",NA,NA,"Arbusto; flor amarela; fruto marrom Habito: Arbusto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"44","2020-12-29 15:41:51-03","CPAN-UFMS","COR","10642","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.",NA,NA,NA,NA,"Papa, F.M.; Ferreira, J.","2004","10","28","Brasil","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal. área alagada; ferroso; Plano.","-57.6533012390137","-19.0091991424561",NA,NA,"Com Flor: amarelo ouro",NA,NA,NA,NA,"28",NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"45","2020-12-29 15:41:51-03","CPAN-UFMS","COR","10562","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.",NA,NA,NA,NA,"Takahasi, A.; Campos, V.C.","2003","12","03","Brasil","Mato Grosso do Sul","Corumbá","Estrada Parque Pantanal. próximo a córrego; ;.","-57.6533012390137","-19.0091991424561",NA,NA,"Com Flor: amarelo-ouro; Com fruto:fruto maduro marrom-escuro",NA,NA,NA,NA,"424",NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"46","2021-03-02 16:28:59-03","CPAN-UFMS","COR","789","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.","Silva, R. R.","2005","08","19","Almeida Rego","1986","07","26","Brasil","Mato Grosso do Sul","Corumbá","Na ponta da lagoa do Jacadigo","-57.6533012390137","-19.0091991424561",NA,NA,"Arbusto om 2,3m de altura Habito: Arbusto",NA,NA,NA,NA,"620",NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"47","2020-12-29 15:41:51-03","CPAN-UFMS","COR","1642","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.",NA,NA,NA,NA,"Conceição, C. A.","1989","02","05","Brasil","Mato Grosso do Sul","Corumbá","Passo da Lontra","-57.6533012390137","-19.0091991424561",NA,NA,"Arbusto Habito: Arbusto",NA,NA,NA,NA,"2472",NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"48","2020-12-29 15:41:51-03","CPAN-UFMS","COR","5066","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.","Damasceno, G.",NA,NA,NA,"Baracat, L. C. H. & Vaz, F. V.","1997","10","30","Brasil","Mato Grosso do Sul","Corumbá","Passo do Lontra - Base de pesquisa da UFMS","-57.6533012390137","-19.0091991424561",NA,NA,"Árvore com 5m de altura; fruto castanho. Com folhas e frutos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"49","2021-03-02 16:28:59-03","CPAN-UFMS","COR","1085","PreservedSpecimen","Plantae","Fabaceae","Sesbania","virgata","Sesbania virgata","(Cav.) Poir.","Conceição, C. A.","1989","09","19","Mauro, R. A.","1987","08","02","Brasil","Mato Grosso do Sul","Corumbá","Porto da Manga","-57.6533012390137","-19.0091991424561",NA,NA,"Árvore; flor amarela Habito: Árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
