"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2021-04-08 17:41:24-03","EAO","IAN","23439","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Pap.","Clitoria","snethlageae","Clitoria snethlageae","Ducke",NA,"Ducke, A","10903",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN023439","IAN023439_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:11:49-03","NBC","NL-BOTANY","U.1242328","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Raes N","Raes N; Iraipi G",NA,"2003","06","10","Southern America","Bolivia","Santa Cruz",NA,NA,"-62.916667","-15.783333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1242328 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1242328","NL-U1242328",NA,NA,"Magnoliopsidae","-62.916667","-15.783333","U 0102810",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:11:49-03","NBC","NL-BOTANY","U.1242329","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Raes N","Raes N; Iraipi G",NA,"2003","06","10","Southern America","Bolivia","Santa Cruz",NA,NA,"-62.916667","-15.783333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1242329 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1242329","NL-U1242329",NA,NA,"Magnoliopsidae","-62.916667","-15.783333","U 0102811",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:11:49-03","NBC","NL-BOTANY","U.1242331","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Breteler FJ",NA,"1965","11","19","Southern America","Venezuela",NA,NA,"Fed. Terr. of Amazonas. Orinoco R. Southern part of Isla del Ratón.","-67.766667","5.033333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1242331 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1242331","NL-U1242331",NA,NA,"Magnoliopsidae","-67.766667","5.033333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 09:11:49-03","NBC","NL-BOTANY","U.1242332","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Vogl C",NA,"1931","02","01","Southern America","Venezuela",NA,NA,"in vicinitate urbis Maracay. By ravins and in thickets on hillsides.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1242332 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1242332","NL-U1242332",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 09:11:49-03","NBC","NL-BOTANY","U.1242333","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Steyermark JA",NA,"1961","02","01","Southern America","Venezuela",NA,NA,"Estado Bolivar. South-facing slopes, southeast of Cerro Pichacho, N of the Las Navies, 45 km N of Tumeremo. Altiplanticie de Nuria.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1242333 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1242333","NL-U1242333",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-02-08 09:11:49-03","NBC","NL-BOTANY","U.1242425","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Ferreira A; Bertolda J; Fonseca J",NA,"1968","04","25","Southern America","Brazil",NA,NA,"Mato Grosso. 6 km N of Base Camp of the Expedition. (Base Camp close to the Xavantina-São Felix road.).","-51.866667","-12.9",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1242425 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1242425","NL-U1242425",NA,NA,"Magnoliopsidae","-51.866667","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 09:11:49-03","NBC","NL-BOTANY","WAG.1007075","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Breteler FJ",NA,"1965","11","19","Southern America","Venezuela",NA,NA,"Fed. Terr. of Amazonas. Orinoco R. Southern part of Isla del Ratón.","-67.766667","5.033333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1007075 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1007075","NL-WAG1007075",NA,NA,"Magnoliopsidae","-67.766667","5.033333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 09:11:49-03","NBC","NL-BOTANY","WAG.1007076","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Breteler FJ",NA,"1965","11","19","Southern America","Venezuela",NA,NA,"Fed. Terr. of Amazonas. Orinoco R. Southern part of Isla del Ratón.","-67.766667","5.033333",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1007076 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1007076","NL-WAG1007076",NA,NA,"Magnoliopsidae","-67.766667","5.033333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 09:11:49-03","NBC","NL-BOTANY","L.1964466","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum andinum","Schultze-Kr. & Belalc.","Schultze-Kraft R; Belalcázar J","Schultze-Kraft R; Belalcázar J; Escobar G",NA,"1987","03","17","Southern America","Colombia",NA,NA,"Colombia Valle del Cauca","-75.966667","4.266667",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1964466 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1964466","NL-L1964466","andinum",NA,"Magnoliopsidae","-75.966667","4.266667","L 0395914",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 09:11:49-03","NBC","NL-BOTANY","U 0007380","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum andinum","Schultze-Kr. & Belalc.","Schultze-Kraft R; Belalcázar J","Schultze-Kraft E; Belalcázar J; Escobar G",NA,"1987","03","17","Southern America","Colombia","Valle del Cauca",NA,"Valle del Cauca: 7 km SO de Sevilla vía a Paila Arriba","-75.966667","4.266667",NA,NA,NA,"borde de un guadual, ecosistema bosque húmedo tropicalasociada con Desmodium axillare (Swartz) DeCandolle, Desmodium macrodesmum (S.F.Blake) Standley & Steyermark, Calopogonium careuleum (Bentham) Sauvalle, Centrosema pubescens Bentham.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200007380 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0007380","NL-U0007380","andinum","isotype","Magnoliopsidae","-75.966667","4.266667","71351",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-19 16:11:23-03","UFPI","TEPB","22080","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth e R.C. Barneby","G.P.Silva","Glocimar P. da Silva","1175","1992","07","07",NA,"Brasil","Goiás","Niquelandia","3 Km Sudoeste da sede da Fazenda Aqua Quente Região de Garimpo","-48.4597015380859","-14.4738998413086",NA,NA,NA,"Borda do estandarte roxo-escuro; tornando-se amarelado Ambiente: Mata seca de beira de rio",NA,NA,NA,NA,NA,NA,NA,NA,"1997","02","01","74171","auto",NA,NA,NA,NA
"23","2020-06-12 12:04:47-03","UFPI","TEPB","27629","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"A.M.Miranda","5985","2009","05","13",NA,"Brasil","Maranhão","Tasso Fragoso",NA,"-45.7428016662598","-8.47527980804443",NA,NA,NA,"Caule verde; folhas membranáceas; flores vistosas róseas Ambiente: Cerrado <ll>dwc_commonname:</ll> Murici",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76991","auto",NA,NA,NA,NA
"24","2021-03-19 16:11:23-03","UFPI","TEPB","22081","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Glocimar P. da Silva","3044","1995","09","10",NA,"Brasil","Mato Grosso","Guiratinga","Rodovia Guiratinga - Rondonopolis Km 35","-53.75830078125","-16.3493995666504",NA,NA,NA,"Erva trepadeira, fruto marrom Ambiente: Cerrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87205","auto",NA,NA,NA,NA
"25","2021-03-31 13:32:16-03","UFPI","TEPB","9791","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Aff","P. Cavalcante","L. Coradin","5061","1981","11","28",NA,"Brasil","Roraima","Boa Vista","Colônia do Cantá - Confiança, km 2","-60.6733016967773","2.81972002983093","210","210",NA,"Hábito volúvel, folha alternas, flor branca, substrato latossolo vermelho amarelo, independente, comum Ambiente: Mata secundária",NA,NA,NA,NA,NA,NA,NA,NA,"1905","06","02","90031","auto",NA,NA,NA,NA
"26","2014-10-02 12:40:49-03","FEMACT","MIRR","1032","S","Plantae",NA,NA,"Leguminosae-Pap","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Lewis, G. .P.","1476","1987","03","12",NA,"Brasil","Roraima","Alto Alegre","Ilha de Maracá, SEMA Estação., Campo/cerrado margin by base camp to right of estrada down to Rio Urariquera.","-61.833333","3.583333",NA,NA,NA,"Twining vine. Back of standard petal greenish-yellow, inner face pale marzipan (fide Ratter) with central green blotch surrounded by a purplish-red band; wings creamish tinged pale tangerine pink with pink blotches near tangerine pink with pink blotc",NA,NA,NA,NA,NA,"-61.833333","3.583333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-07-26 11:40:26-03","IPA","IPA","497","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ducke, A.","Vasconcellos Sobrinho","497","1937","08",NA,"Southern America","Brasil","Pernambuco","São Lourenço da Mata","Tapera, Na mata","-35.0182991027832","-8.00222015380859",NA,NA,NA,NA,"IPA0000497",NA,NA,NA,NA,NA,NA,NA,"1952","05","13","21764","auto",NA,NA,NA,NA
"28","2019-02-22 11:46:20-03","IPA","IPA","5408","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ducke, A.","Pickel, B.","2748","1931","09","04","Southern America","Brasil","Pernambuco","São Lourenço da Mata","Tapera, São Bento, mata Villa","-35.0182991027832","-8.00222015380859",NA,NA,NA,"Flor branca, depois rósea, vexilo branco com raios amarelos perto do meio, em ambos os lados, e ao redor deles uma região roxa. asas e naveta brancos com região roxa, onde ficam em contato com o repillo","IPA0005408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21764","auto",NA,NA,NA,NA
"29","2019-02-22 11:46:20-03","IPA","IPA","4044","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Ducke, A.","Pickel, B.","2794","1931","10","04","Southern America","Brasil","Pernambuco","São Lourenço da Mata","Tapera, São Bento, mata","-35.0182991027832","-8.00222015380859",NA,NA,NA,"Cipó","IPA0004044",NA,NA,NA,NA,NA,NA,NA,"1952","05","13","21764","auto",NA,NA,NA,NA
"30","2019-02-22 11:46:20-03","IPA","IPA","65471","S","Plantae","Plantae",NA,"Leguminosae-Pap.","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Lopes Barreto, K.","Giordano, L.C.","1979","1995","05","25","Southern America","Brasil","Rio de Janeiro","Magé","6º Distrito Piabetá, Parque Estrela. Portinho. Mata de baixada pertubada, próximo a um rio","-43.040599822998","-22.6527996063232",NA,NA,NA,"Tepadeira volúvel, heliófila. Folíolos membranáceos, discolores. Flores lilases com carena amarela ao centro. Frutos imaturos verdes","IPA0065471",NA,NA,NA,NA,NA,NA,NA,"2013","08","12","20531","auto",NA,NA,NA,NA
"31","2021-04-07 11:43:53-03","UFMS","CGMS","60048","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"A. Pott; V.J. Pott","16339","2012","02","13",NA,"Brasil","Mato Grosso do Sul","Ladário","Chácara, Rua 7 de Setembro 151, Bairro Mangueiral.","-57.6","-19.0163889","142","142",NA,"Papilionoideae. Flor roxa. Fruto castanho. Habitat: Quintal. Solo argiloso calcário, mal drenado. Relevo quase plano. Habito: Trepadeira. Ocasional.","CGMS1093051",NA,NA,NA,NA,"-57,6","-19,0163889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:30:08-03","UNICAMP","UEC","167966","S","Plantae","Magnoliopsida",NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Silva, GP; Schultze-Kraft, R","Silva, GP; Schultze-Kraft, R","2396","1994","07","14",NA,"Brazil","Mato Grosso",NA,"Local: Entroncamento MT 424 - BR 158 Posto da Mata - São Félix do Araguaia Km 38.&nf;Ambiente: cerrado.&nf;Substrato: solo areno-argiloso.","-51.316667","-11.65","350","350",NA,"Duplicatas: 6&nf;Mat. Coletado: exsicata, sementes.&nf;Uso: taxonômico.&nf;Frequência: ocasional.&nf;Flor: lilás.&nf;Frutos: imaturos verdes.&nf;Hábito: erva trepadeira.","UEC091706","UEC091706",NA,NA,NA,"-51.316667","-11.65",NA,"1994","07",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:30:08-03","UNICAMP","UEC","68074","S","Plantae","Magnoliopsida",NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Queiroz, LP","Tamashiro, JY; et al.","T253","1994","06","28",NA,"Brazil","São Paulo","Paulo de Faria","Estação ecológica","-49.3800010681152","-20.0300006866455",NA,NA,NA,"Trepadeira, corola rósea com guias de nectério arroxeado.; Mata","UEC158998","UEC158998",NA,NA,NA,NA,NA,NA,"1998","09",NA,"29574","auto",NA,NA,NA,NA
"34","2021-03-01 16:30:08-03","UNICAMP","UEC","82916","S","Plantae","Magnoliopsida",NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Queiroz, LP","Stranghetti, V","122","1993","06","29",NA,"Brazil","São Paulo","Paulo de Faria","Estação Ecológica de Pualo de Faria","-49.3800010681152","-20.0300006866455",NA,NA,NA,"Trepadeira, flor branca e lilás.; Beira da mata, lado direito da entrada.","UEC154458","UEC154458",NA,NA,NA,NA,NA,NA,"1998","09",NA,"29574","auto",NA,NA,NA,NA
"35","2020-12-21 16:25:43-03","MBM","MBM","413242","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","Barreto, K.L.","Snak, C.; Smiderle, C.R.; Snak, D.R.; Smiderle, C.R.; Snak, D.R.","567","2011","08","18","Southern America","Brazil","Mato Grosso do Sul","Pedro Gomes","Estância Ribeirão Preto, Comunidade Boa Vista.","-54.5518989562988","-18.1005992889404",NA,NA,NA,"Erva volúvel. Lâmina cartácea, levemente discolor. Fruto verde.","MBM413242","MBM413242",NA,NA,NA,NA,NA,NA,NA,NA,NA,"93377","auto",NA,NA,NA,NA
"36","2015-10-22 16:19:19-02","MNHN","RECOLNAT_MNHN_P","P02762789","PreservedSpecimen",NA,NA,NA,"Fabaceae","Clitoria","snethlageae","Clitoria snethlageae","Ducke",NA,"Ducke, A.",NA,"1918","8","7",NA,"Brésil",NA,NA,"Rio Xingu (Victoria). Etat de Para",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02762789' target='other'> <mi>dwc_moreinfo</mi></a>","P02762789","P02762789_01 P02762789_02",NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17171",NA,NA,NA
"37","2017-01-16 11:18:37-02","MNHN","RECOLNAT_MNHN_P","P02762790","PreservedSpecimen",NA,NA,NA,"Fabaceae","Clitoria","snethlageae","Clitoria snethlageae","Ducke",NA,"Ducke, A.",NA,"1910","8","30",NA,"Brésil",NA,NA,"Forêt à l'Est du lac Salgado, bas Trombetas (Etat de Para)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02762790' target='other'> <mi>dwc_moreinfo</mi></a>","P02762790","P02762790_01 P02762790_02",NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10903",NA,NA,NA
"38","2020-12-11 11:35:44-03","UFMG","BHCB","140352","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.",NA,"Giacomin, LL; Souza, DT; Machado Jr, P; P; Ciminelli, FS","1177","2010","05","26","Southern America","Brasil","Pará","Canaã dos Carajás","Floresta Nacional de Carajás, Serra Sul , Corpo D","-50.342831","-6.419639","674","674",NA,"Cipó, flores imaturas róseas, maduras alvas; Subbosque de mata, anexa a canga","BHCB021864",NA,NA,NA,NA,"-50.342831","-6.419639",NA,"2015","09","03",NA,NA,NA,NA,NA,NA
"39","2019-04-22 16:31:00-03","MO","MOBOT","101126329","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","fide Ståhl et al.","Robert H. Schomburgk","Schomburgk s.n.","1837",NA,NA,"South America","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"40","2008-05-27 22:02:00-03","MO","MOBOT","104887","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","T. Killeen (MO)","Alwyn H. Gentry|Lourdes Vargas|Alan Perry|M. Apuríz","Gentry 77778","1992","7","4","South America","Bolivia","Pando","Abuna","Nuevo Mundo, Campamento 18, 18 km N of airstrip.","-66.76666","-10.65","160.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"972","5",NA,NA
"41","2008-05-27 22:02:00-03","MO","MOBOT","3175076","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Fants","Henry León","León 613","1976",NA,NA,"South America","Colombia","Chocó","Riosucio","Parque Natural Nal. Los Katyos. Cacaricas, camino a Cristales.","-77.38333","7.61666","70.00000000","120.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2010-10-14 16:45:00-03","MO","MOBOT","1092331","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Centrosema","macrocarpum","Centrosema macrocarpum","Benth.","P.R. Frantz (NCSC)","Paul F. Foster|Antony Jardim|F. Moza|J. Villarroel","Foster 660","1996","7","28","South America","Bolivia","Santa Cruz","Velasco","Reserva Forestal Bajo Paraguá. Camino a El Choré 12 km al norte del arroyo Las Londras. Bosque de bejuco con ruderales como Apeiba tibourbou y Mabea fistula.","-61.1636111","-14.2980555","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA
