"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00862953","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","13196A","1966","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862953","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Distrito Federal","Ca. 10 km N.W. of Planaltina","-47.73264","-15.5528","950","950","NY00862953_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-11-01 14:12:00-02","NY","NYBG","640687","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","G. Davidse","11936","1976","04","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640687","Magnoliophyta","Poales",NA,"M. T. Stieber","Bahia","Chapada da Diamantina, along waterfall of the Rio Ferro Doido, ca. 21 km E of Morro do Chapéu",NA,NA,"850","850","NY00640687_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00862977","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","11576","1966","01","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862977","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Distrito Federal","Córrego Cavanças, near Chapada da Contagem, ca. 22 km N. E. of Brasília","-47.77152","-15.64272","1000","1000","NY00862977_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00862981","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","30280","1971","01","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949666' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862981","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Minas Gerais","Serra do Espinhaço, base of Serra da Piedade, ca. 35 km E. of Belo Horizonte, road to Caeté","-43.676328","-19.820266","1600","1600","NY00862981_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-10-28 17:54:00-02","NY","NYBG","00862985","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","G. J. Shepherd","3897","1976","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862985","Magnoliophyta","Poales",NA,"E. J. Judziewicz","Minas Gerais","Estrada Diamantina a Corinto até 20 km.",NA,NA,NA,NA,"NY00862985_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-10-28 17:54:00-02","NY","NYBG","00862983","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","M. A. Chase","8623","1925","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862983","Magnoliophyta","Poales",NA,NA,"Minas Gerais","Morro do Imperador. Juiz de Fóra",NA,NA,"800","800","NY00862983_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-10-28 17:54:00-02","NY","NYBG","00862959","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","M. A. Chase","9402","1925","04","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862959","Magnoliophyta","Poales",NA,NA,"Minas Gerais","Itacolumy (East of Ouro Preto). Upper slope.","-43.5081","-20.2878","1350","1350","NY00862959_01","Ouro Preto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","810557","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","W. W. Thomas","12861","2002","03","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=572206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00810557","Magnoliophyta","Poales","(Trin.) Döll","G. Davidse","Bahia","Base of Morro do Chapéu on S side, 8 km SW of town of Morro do Chapéu on road to Cafarnaum","-41.209783","-11.599283","1110","1110","NY00810557_01","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","640691","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","10988","1965","12","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239294' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640691","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Goiás","Ca. 5 km. S. of Corumbá de Goiás","-49","-16","1000","1000","NY00640691_01","Corumbá de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00862955","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","23501","1969","02","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862955","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Minas Gerais","Serra do Espinhaço, Rio Itacambiruçu, ca. 15 km north of Grão Mogol","-42.9786","-16.6349","950","950","NY00862955_01","Cristália",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00862956","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","29156","1971","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862956","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Minas Gerais","Serra do Espinhaço, base of Serra da Caraça","-43.4927778","-20.1263","1500","1750","NY00862956_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-10-28 17:54:00-02","NY","NYBG","00862960","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","J. A. Ratter","R3971","1976","11","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949683' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862960","Magnoliophyta","Poales",NA,NA,"Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"NY00862960_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00862952","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","11260","1965","12","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862952","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Distrito Federal","Vicinity of Paranoá","-47.8167","-15.8333","1025","1025","NY00862952_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","640689","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","R. M. Harley","15216",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239300' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640689","Magnoliophyta","Poales","(Trin.) Döll",NA,"Bahia","Serra do Rio de Contas",NA,NA,NA,NA,"NY00640689_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","764168","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","R. M. Harley","H50440","1991","12","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00764168","Magnoliophyta","Poales","(Trin.) Döll","S. A. Renvoize","Bahia","Perto do riacho da Quebrada, ao pé da Serra do Atalho","-41.83","-13.23","1100","1300","NY00764168_01","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-10-28 17:54:00-02","NY","NYBG","00862982","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","M. A. Chase","8623","1925","02","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862982","Magnoliophyta","Poales",NA,NA,"Minas Gerais","Morro do Imperador. Juiz de Fóra",NA,NA,"800","800","NY00862982_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-11-01 14:12:00-02","NY","NYBG","641435","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","R. Reiss","140","1935","11","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239299' target='other'> <mi>dwc_moreinfo</mi></a>","NY00641435","Magnoliophyta","Poales",NA,NA,"Paraná","Tibagy","-50.488585","-24.686032",NA,NA,"NY00641435_01","Tibagi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-11-01 14:12:00-02","NY","NYBG","640688","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","A. M. Amorim","780","1992","09","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640688","Magnoliophyta","Poales",NA,"G. Davidse","Bahia","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una","-39.08","-15.15",NA,NA,"NY00640688_01","Una",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00862957","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","W. R. Anderson","35892","1972","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949668' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862957","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Minas Gerais","Serra do Espinhaço, eastern slopes of Pico do Itambé","-43.392","-18.43185","1550","1550","NY00862957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-11-01 14:12:00-02","NY","NYBG","640686","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","A. F. M. Glaziou","13331","1881","02","10","South America","Brazil","sheet",NA,"Reçu le 12 mai 1881 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00640686",NA,"Poales",NA,"M. T. Stieber","Rio de Janeiro","Nova Friburgo, a la Pedra do Conego",NA,NA,NA,NA,"NY00640686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00862980","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","H. S. Irwin","25685","1970","01","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862980","Magnoliophyta","Poales","(Trin.) Döll","M. T. Stieber","Minas Gerais","Morro das Pedras, ca. 40 km N.E. of Patrocínio","-43.2485756","-19.9480039","1000","1000","NY00862980_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-19 15:45:27-03","UNEB","HUNEB","6142","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Oliveira, R.P.","7","1998","07","04",NA,"Brasil",NA,NA,NA,"HUNEB0006142","Angiospermae","Florideophycidae","(Trin.) Doell",NA,"Bahia","Mata de encosta do Rio Lençóis.","-41.3899993896484","-12.563099861145",NA,NA,NA,"Lençóis","Monocotyledoneae","47385","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-19 15:45:27-03","UNEB","HUNEB","6157","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Giulietti, A.M.","1428","1998","08","15",NA,"Brasil",NA,NA,NA,"HUNEB0006157","Angiospermae","Florideophycidae",NA,NA,"Bahia","Pico do Barbado","-41.6636009216309","-13.2496995925903","1800","2430",NA,"Abaíra","Monocotyledoneae","26531","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:53:29-03","EAO","IAN","137976","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Irwin, HS; Souza, R","10988","1965","12","03","Southern America","Brasil",NA,NA,"Culms ascending, among tree branches, to 5 m high.","IAN137976","Monocotiledônea",NA,"(Trin.) Döll","Stiebar, M","Goiás","Cerrado, ca. 5 km S of Corumbá de Goiás.",NA,NA,"1000","1000",NA,NA,NA,NA,NA,"1971",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:53:29-03","EAO","IAN","38852","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Swallen, JR","4329","1934","04","03","Southern America","Brasil",NA,NA,"Erect clump in brush brancling the branches reclining ou brush 8-12 high.","IAN038852","Monocotiledônea",NA,"(Trin.) Döll","Silva, C","Ceará","Campos Sales a Crato. (Herbario do Museu Paraense 3746).",NA,NA,NA,NA,"IAN038852 IAN038852_e",NA,NA,NA,NA,"2017","05","31",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:53:29-03","EAO","IAN","63573","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Pires, JM; Black, GA","3021","1951","01",NA,"Southern America","Brasil",NA,NA,NA,"IAN063573","Monocotiledônea",NA,"(Trin.) Döll",NA,"Minas Gerais",NA,NA,NA,NA,NA,"IAN063573 IAN063573_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:53:29-03","EAO","IAN","67019","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Glaziou, AFM","17927","1889",NA,NA,"Southern America","Brasil",NA,NA,NA,"IAN067019","Monocotiledônea",NA,"(Trin.) Döll",NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-08 17:45:20-03","EAO","IAN","67111","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Swallen, JR","4329","1934","01","13","Southern America","Brasil",NA,NA,NA,"IAN067111","Monocotiledônea",NA,"(Trin.) Döll","Boechat, SC","Ceará","Entre Campos Sales e Crato.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2001","10",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:53:29-03","EAO","IAN","70020","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Black, GA; Pires, JM","12194","1951","04","04","Southern America","Brasil",NA,NA,NA,"IAN070020","Monocotiledônea",NA,"(Trin.) Döll",NA,"Minas Gerais","Serra do Cipó, km 132.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:53:29-03","EAO","IAN","67772","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","sc","s.n.","1939","12","08","Southern America","Brasil",NA,NA,NA,"IAN067772","Monocotiledônea",NA,"(Trin.) Döll","Boechat, SC","Minas Gerais",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,"Belo Horizonte",NA,"17082","auto","2001","10",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:53:29-03","EAO","IAN","66937","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Kuhlmann, M","s.n.","1926","07","10","Southern America","Brasil",NA,NA,NA,"IAN066937","Monocotiledônea",NA,"(Trin.) Döll",NA,"Minas Gerais","Barreiras.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Belo Horizonte",NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:53:29-03","EAO","IAN","157698","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Davidse, G; Ramamoorthy, TP","11936","1976","04","04","Southern America","Brasil",NA,NA,"Growing in sand at botton of waterfall. Gums trailling.","IAN157698","Monocotiledônea",NA,"(Trin.) Döll","Stieber, HT","Minas Gerais","Along water fall of the rio Ferro Doido, ca. 21km E of Morro do Chapéu.","-43.6002998352051","-18.2493991851807","850","850",NA,"Diamantina",NA,"101169","auto","1978",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:53:29-03","EAO","IAN","63817","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Pires, JM; Black, GA","3374","1951","01","17","Southern America","Brasil",NA,NA,NA,"IAN063817","Monocotiledônea",NA,"(Trin.) Döll",NA,"Minas Gerais",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,"Ouro Preto",NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:53:29-03","EAO","IAN","63714","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Pires, JM; Black, GA","3268","1951","01","12","Southern America","Brasil",NA,NA,NA,"IAN063714","Monocotiledônea",NA,"(Trin.) Döll",NA,"Minas Gerais",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,"Ouro Preto",NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:53:29-03","EAO","IAN","63593","PreservedSpecimen","Plantae","Poaceae","Ichnanthus","bambusiflorus","Ichnanthus bambusiflorus","Pires, JM; Black, GA","3042","1951","01","13","Southern America","Brasil",NA,NA,NA,"IAN063593","Monocotiledônea",NA,"(Trin.) Döll",NA,"Minas Gerais",NA,"-42.8819007873535","-20.7539005279541",NA,NA,"IAN063593 IAN063593_e","Viçosa",NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
