"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","continentOcean","locality","coordinatePrecision","occurrenceRemarks","geoFlag","typeStatus"
"11","2019-11-13 11:17:24-03","USP","SPF","190069","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Anônimo",NA,NA,NA,"Calvente, AM","178","2005","11","17","Brasil","Rio de Janeiro","Silva Jardim","-42.324833","-22.427194","-42.324833","-22.427194","800","800","SPF00190069",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-13 11:17:24-03","USP","SPF","190072","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Calvente, AM","2005",NA,NA,"Calvente, AM","144","2005","11","20","Brasil","Rio de Janeiro","Nova Friburgo","-42.498806","-22.374","-42.498806","-22.374","1473","1473","SPF00190072",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-13 11:17:24-03","USP","SPF","190073","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Calvente, AM","2006",NA,NA,"Calvente, AM","226","2006","07","20","Brasil","Rio de Janeiro","Teresópolis","-43.007333","-22.451667","-43.007333","-22.451667","1000","2263","SPF00190073",NA,NA,NA,"Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA
"14","2019-11-13 11:17:24-03","USP","SPF","190074","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Calvente, AM","2006",NA,NA,"Calvente, AM","228","2006","07","20","Brasil","Rio de Janeiro","Teresópolis","-43.007333","-22.451667","-43.007333","-22.451667","1500","2263","SPF00190074",NA,NA,NA,"Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA
"15","2019-11-13 11:17:24-03","USP","SPF","190075","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Calvente, AM","2006",NA,NA,"Calvente, AM","229","2006","07","20","Brasil","Rio de Janeiro","Teresópolis","-43.007333","-22.451667","-43.007333","-22.451667","1500","2263","SPF00190075",NA,NA,NA,"Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA
"16","2019-11-13 11:17:24-03","USP","SPF","190076","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Calvente, AM","2006",NA,NA,"Calvente, AM","225","2006","07","20","Brasil","Rio de Janeiro","Teresópolis","-43.007333","-22.451667","-43.007333","-22.451667","1000","2263","SPF00190076",NA,NA,NA,"Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA
"17","2019-11-13 11:17:24-03","USP","SPF","190077","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Calvente, AM",NA,NA,NA,"Calvente, AM","227","2006","07","20","Brasil","Rio de Janeiro","Teresópolis","-43.007333","-22.451667","-43.007333","-22.451667","1000","2263","SPF00190077",NA,NA,NA,"Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA
"18","2019-11-13 11:17:24-03","USP","SPF","198983","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Calvente, AM","2006",NA,NA,"Calvente, AM","220","2006","07","19","Brasil","Rio de Janeiro","Teresópolis","-43.007333","-22.451667","-43.007333","-22.451667","1000","2263","SPF00198983",NA,NA,NA,"Parque Nacional da Serra dos Órgãos",NA,NA,NA,NA
"19","2019-11-13 11:17:24-03","USP","SPF","95929","PreservedSpecimen","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi","Taylor, NP","1997","03",NA,"Catharino, ELM","2039","1994","09","28","Brasil","São Paulo","Bananal","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,"SPF00095929",NA,NA,NA,"Serra da Bocaina","26795",NA,"auto",NA
"20","2020-10-22 10:12:34-03","IBt","SP","344100","S","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi",NA,NA,NA,NA,"Zappi, DC","337","1999","11","19","Brasil","Rio de Janeiro","Mauá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-02 08:39:46-03","IBt","SP","278234","S","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi",NA,NA,NA,NA,"Catharino, ELM","2039","1994","09","28","Brasil","São Paulo","Bananal","-44.3199996948242","-22.6800003051758",NA,NA,NA,NA,NA,NA,NA,NA,"Serra da Bocaina","26795",NA,"auto",NA
"22","2020-10-22 10:12:34-03","IBt","SP","344070","S","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi",NA,NA,NA,NA,"Zappi, DC","332","1999","11","18","Brasil","São Paulo","Cunha","-44.9599990844727","-23.0699996948242",NA,NA,NA,NA,NA,NA,NA,NA,"Parque Estadual da Serra do Mar","38855",NA,"auto",NA
"23","2020-07-02 08:39:46-03","IBt","SP","278229","S","Plantae","Cactaceae","Rhipsalis","olivifera","Rhipsalis olivifera","N.P.Taylor & Zappi",NA,NA,NA,NA,"Rossi, L","1580","1994","07","18","Brasil","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,NA,NA,NA,NA,"Parque Nacional da Bocaina","30784",NA,"auto",NA
