"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2020-12-21 16:22:38-03","MBM","MBM","185984","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeck.","Alves, M.","Hatschbach, G.; Pott, A.; Pott, V.; Barboza, E.; Pott, A.; Pott, V.; Barboza, E.","63787","1995","10","23","Southern America","Brazil","Mato Grosso","Barra do Bugres","Fazenda Ochsenfeld",NA,NA,NA,"Erva, 1,50m. Mata de galeria; solo brejoso","MBM185984","MBM185984",NA,NA,NA,"1999","09",NA,"-57.1810989379883","-15.0725002288818","173387","auto",NA,NA,NA,NA
"12","2015-09-19 18:52:35-03","MNHN","RECOLNAT_MNHN_P","P00270319","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"Smith, H.H.",NA,NA,NA,NA,NA,"Colombie",NA,NA,"Santa Marta",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00270319' target='other'> <mi>dwc_moreinfo</mi></a>","P00270319","P00270319_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2521",NA
"13","2015-09-04 08:43:13-03","MNHN","RECOLNAT_MNHN_P","P00270320","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"Smith, H.H.",NA,NA,NA,NA,NA,"Colombie",NA,NA,"Santa Marta",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00270320' target='other'> <mi>dwc_moreinfo</mi></a>","P00270320","P00270320_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2521",NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","1199790","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"Richard Spruce","Spruce s.n.","1857",NA,NA,"South America","Ecuador","Chimborazo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1262561","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler","C. Konraed (K)","Édouard-François André","André 3689",NA,NA,NA,"South America","Ecuador","Pichincha",NA,"San Nicholas - ad ped. occ. montis ign. Corazon","1100.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","1594310","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler","Gerrit Davidse, 1988 (MO)","Ximena Londoño|I. Quintero","Londoño 055","1987","1","27","South America","Colombia","Tolima",NA,"Km 20 de la vía Venadilo Sta. Isabel. Crece en lugar húmedo.","1580.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-04 04:40:00-03","MO","MOBOT","1995803","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler","Caldasia 24:264.","Herbert H. Smith","Smith 2521","1898",NA,NA,"South America","Colombia","Magdalena","Santa Marta","Santa Marta.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-74.2016667","11.2375",NA,NA,NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","266225","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler","E.L. Cone","Thomas B. Croat","Croat 54431","1982","8","2","South America","Venezuela","Aragua",NA,"Along Highway # 4 between La Victoria and Colonia Tovar; 3 km north of the center of Colonia Tovar; disturbed primary forest on steep slopes.","980.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-67.38333","10.4",NA,NA,NA,NA,"390","3"
"19","2013-02-14 05:40:00-02","MO","MOBOT","269708","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"L. Sodiro","Sodiro 199/53",NA,NA,NA,"South America","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2012-01-04 14:33:00-02","MO","MOBOT","2905615","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler","G. Davidse","José Bono","Bono 4953","1985","8","26","South America","Venezuela","Táchira",NA,"Arriba de Toituna-El Llanito, a Lo Largo de la carretera palo grande-El Topon; Distrito Capacho.","1400.00000000","1500.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2014-11-28 22:49:00-02","MO","MOBOT","2939653","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","L.T. Eiten","George Eiten|Sonia Machado de Campos","Eiten 1533","1959","12","4","South America","Brazil","São Paulo",NA,"Mun. de Moji-Guaçu: Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. km. of Padua Sales. (About 27 km. NW of city of Moji-Mirim): General vegetation: campo cerrado on upland (or occasionally forest). Open marsh or dense secondary forest along streams. Open marsh (brejo), a dense growth of tall grasses & sedge with scattered herbs. Near habitation.","575.00000000","625.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.11666","-22.18333",NA,NA,NA,NA,NA,NA
"22","2011-06-27 08:43:00-03","MO","MOBOT","3132267","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","C.B. Clarke","F. Sellow","Sellow s.n.","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 11:55:59-03","UFPE","UFP","42317","PreservedSpecimen","Plantae",NA,"Poales","Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","W.Thomas","Celi F.S.Muniz","178","1980","09","24",NA,"Brasil","São Paulo","Mogi-Guaçu",NA,NA,NA,NA,"Herbácea ca., 85 cm de altura, em beira de rio.; Herbácea ca., 85 cm de altura, em beira de rio.","UFP042317",NA,NA,NA,NA,"1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","600436","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"Herbert H. Smith","2521","1898",NA,NA,"South America - Neotropics","Colombia",NA,NA,"Santa Marta, United States of Colombia.",NA,NA,NA,NA,"US02099002",NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"25","2020-09-12 05:00:02-03","US","US","3123708","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"X. Londoño & I. Quintero","055","1987","1","27","South America - Neotropics","Colombia","Tolima",NA,"Tolima: km 20 de la via Venadilo [interpreted] Sta, Isabel.","1580",NA,NA,NA,"US02099001","US02099001_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"26","2020-09-12 05:00:02-03","US","US","1143174","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"E. P. Killip","11196","1922","9","14","South America - Neotropics","Colombia","Valle del Cauca",NA,"Departamento of El Valle Calima,  on Rio Calima, Cordillera Occidental. Stream border.",NA,NA,NA,NA,"US02099003","US02099003_01","Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"27","2020-09-12 05:00:02-03","US","US","2745134","PreservedSpecimen","Plantae",NA,"Cyperales","Cyperaceae","Scleria","sororia","Scleria sororia","Kunth",NA,"G. Eiten & L. T. Eiten","2361","1960","9","20","South America - Neotropics","Brazil","São Paulo",NA,"State of Sao Paulo. Municipio de Moji-Guacu: Campos das Sete Lagoas. fazenda Campininha, just north of Rio Moji-Guacu. 2.8 km. NNW. of Padua Sales (About 27 km. NW of city of Moji-Mirim).","575","625",NA,NA,"US02099334","US02099334_01","Monocotyledonae",NA,NA,NA,NA,NA,"-47.142","-22.242",NA,NA,NA,NA,NA,"1"
"28","2020-09-02 16:23:53-03","Cenargen","CEN","28713","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","L. Schneider","Regina Célia Oliveira","857","1997","08","06",NA,"Brasil","GO","MINACU","Antiga estrada de saída da entrada norte do canteiro p/ Avacanoeiros.","700","700","Exsicatas","Espiguetas marrom. Área de influência Serra da Mesa. Doação do Sistema Herbário HEPH 13256-0.","CEN00028713","CEN00028713",NA,NA,NA,"2018","11",NA,"-48.262777","-13.780833",NA,NA,"-48.262777","-13.780833",NA,"1"
"29","2020-09-02 16:23:53-03","Cenargen","CEN","68745","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","L. Schneider","Gabriel Vargas Zanatta","7","2008","08","20",NA,"Brasil","TO","GOIATINS","Roça do Capri - Aldeia Galheiros a 6 km. Terra Indígena Krahô.","274","274","Exsicatas","Touceiras; sementes escuras.","CEN00068745","CEN00068745",NA,NA,NA,"2018","11",NA,"-47.490833","-8.4858333",NA,NA,"-47.490833","-8.4858333",NA,"1"
"30","2020-09-02 16:23:53-03","Cenargen","CEN","68746","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","L. Schneider","Gabriel Vargas Zanatta","8","2008","08","20",NA,"Brasil","TO","GOIATINS","Roça do Capri - Aldeia Galheiros a 6 km. Terra Indígena Krahô.","274","274","Exsicatas","Invasora da roça.","CEN00068746","CEN00068746",NA,NA,NA,"2018","11",NA,"-47.490833","-8.4858333",NA,NA,"-47.490833","-8.4858333",NA,"1"
"31","2019-11-13 11:18:56-03","USP","SPF","170667","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","Thomas, WW","Muniz, CFS","178","1980","09","24",NA,"Brasil","São Paulo","Mogi Guaçu","Reserva Biológica de Mogi Guaçu",NA,NA,NA,NA,"SPF00170667",NA,NA,NA,NA,"1995",NA,NA,"-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA,NA
"32","2019-09-04 18:48:50-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Cyperaceae","Scleria","sororia","Scleria sororia",NA,NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledoneae","Type [status unknown]",NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA
"33","2019-01-25 15:39:38-02","IAC","IAC","3243","S","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","(Nees) Kunth","E.L. Core","A.P. Viégas","s/nº","1938","12","18",NA,"Brasil","São Paulo","Campinas","Fazenda Campo Grande",NA,NA,NA,"Conf.: celi Muniz em ago/1982",NA,NA,NA,NA,NA,"1941","05","23","-47.169767","-22.922308",NA,NA,"-47.169767","-22.922308",NA,NA
"34","2019-11-01 15:14:39-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler",NA,"Davidse, G; Pohl, RW","2219","1970","06","30","Southern America","Honduras","Santa Barba",NA,"Between Lago Yojoa & El Sauce","750","750",NA,"Culms 2 m; Broad-leaf forest, roadside","UB0011624",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-01 15:14:39-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liebm.) Boeckeler","Santana, SH; Almeida, RF","Viollati, LG; Machado, JWB; Eira, MTS","235","1991","03","03","Southern America","Brasil","Bahia","Correntina","Fazenda Jatobá. Estrada da vila da reserva, próximo a área de plantio",NA,NA,NA,"Coordenadas entre 45°15' e 46°15' W e entre 13° e 14°S; Planta com inflorescências brancas esverdeadas, ca. 80cm; Cerrado - ss","UB0011940","UB0011940",NA,NA,NA,"2011","10","21","-44.6366996765137","-13.3432998657227","182507","auto",NA,NA,NA,NA
"36","2019-11-01 15:14:42-03","UnB","UB","159447","PreservedSpecimen","Plantae","Monocotyledonae",NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","Eiten, LT","Eiten, G; Eiten, LT","2361","1960","09","20","Southern America","Brasil","São Paulo","Mogi Guaçu","Campos das sete lagoas. Fazenda Campininha, just north of Rio Moji-Guaçu. 2,8 km. NNW of Padua Sales. (About 27 km. NW of city of Moji-Mirim).","575","575",NA,"Plant in clumps, ca. 20 fl. stems per clump; fl. stems scandent.; General vegetation: campo cerrado (a type of scrubby woodland originally) on upland, or very rarely forest. Open marsh or dense secondary forest (mata) along the strea","UB0012078","UB0012078",NA,NA,NA,"1962",NA,NA,"-47.119444","-22.188333",NA,NA,"-47.119444","-22.188333",NA,NA
"37","2019-11-01 15:14:42-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth","Eiten, LT","Eiten, G; Eiten, LT","2361","1960","09","20","Southern America","Brasil","São Paulo","Mogi Guaçu","Campos das sete lagoas. Fazenda Campininha, just north of Rio Moji-Guaçu. 2,8 km. NNW of Padua Sales. (About 27 km. NW of city of Moji-Mirim).","575","575",NA,"Plant in clumps, ca. 20 fl. stems per clump; fl. stems scandent.; General vegetation: campo cerrado (a type of scrubby woodland originally) on upland, or very rarely forest. Open marsh or dense secondary forest (mata) along the strea","UB0012077","UB0012077",NA,NA,NA,"1962",NA,NA,"-47.119444","-22.188333",NA,NA,"-47.119444","-22.188333",NA,NA
"38","2021-02-08 12:51:44-03","UFRGS","ICN","159951","S","Plantae","Monocotyledon",NA,"Cyperaceae","Scleria","mexicana","Scleria mexicana","(Liemb.) Boeck.","Barros, M","Andrade-Lima, D","638","1950","08","29","América do Sul","Brasil","PE",NA,"Usina Capibaribe. Estrada para Pau Ferro",NA,NA,NA,"Doação do Herbário IPA.","ICN00010593","ICN00010593 ICN00010593_1",NA,NA,NA,"1956","08","05",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-08 12:51:46-03","UFRGS","ICN","159966","S","Plantae","Monocotyledon",NA,"Cyperaceae","Scleria","sororia","Scleria sororia","(Nees) Kunth","Araujo, AC","Muniz, CFS; et al.","177","1980","09","24","América do Sul","Brasil","SP","Mogi Guaçu","Pádua Sales Reserva Biológica de mogi-Guaçu",NA,NA,NA,"Doação do Herbário SP.; Herbácea, ca. 3,0m de altura.; Na mata.","ICN00010708","ICN00010708 ICN00010708_1",NA,NA,NA,NA,NA,NA,"-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA,NA
"40","2020-08-13 18:01:50-03","IBt","SP","296131","S","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth",NA,"Kinoshita, LS","94-63","1994","11","07",NA,"Brasil","São Paulo","Aguaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-46.9700012207031","-22.0499992370605","25812","auto",NA,NA,NA,NA
"41","2020-10-15 10:09:12-03","IBt","SP","340968","S","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth",NA,"Viégas, AP","s.n.","1938","12","18",NA,"Brasil","São Paulo","Campinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.060001373291","-22.8999996185303","23900","auto",NA,NA,NA,NA
"42","2020-09-17 08:57:51-03","IBt","SP","316761","S","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth",NA,"Eiten, G","1533","1959","12","04",NA,"Brasil","São Paulo","Mogi Guaçu","Fazenda Campininha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA,NA
"43","2020-09-24 08:24:45-03","IBt","SP","330256","S","Plantae",NA,NA,"Cyperaceae","Scleria","sororia","Scleria sororia","Kunth",NA,"Eiten, G","1533","1959","12","04",NA,"Brasil","São Paulo","Mogi Guaçu","Fazenda Campininha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA,NA
