"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem"
"19","2020-06-15 15:29:54-03","UNESP-RC","HRCB","53730","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","Lombardi, J.A.","Folli, D.A.","6413","2009","09","11",NA,"Brasil","Espírito Santo","Vila Velha","Convento da Penha","-40.2924995422363","-20.3297004699707",NA,NA,NA,"Árborea. Terrestre, forma do fuste cilíndrico; altura total 5 m; altura do fuste 2 m. CAP do fuste 29 cm; diâmetro da copa 3 m. Flor e botão verde claros, fruto maduro e iamturo marrons. Exsudação inc",NA,NA,"2009","12",NA,NA,NA,"27156","auto",NA,NA,NA
"20","2020-06-15 15:29:54-03","UNESP-RC","HRCB","49441","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","Lombardi, J.A.","Couto, A.P.L.","112","2005","06","30",NA,"Brasil","Bahia","Feira de Santana","Distrito Ipuaçu","-39.0775","-12.231111","240","240",NA,"Arbusto de 4m. Folhas coriáceas discolores. Flores esverdeadas, anteras amareladas, botão amarelado",NA,NA,"2008","04","39º4'39W","12º13'52S",NA,NA,NA,NA,NA,NA
"21","2020-06-15 15:29:54-03","UNESP-RC","HRCB","49733","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","Lombardi, J.A.","Cardoso, D.","1934","2007","05","22",NA,"Brasil","Bahia","Anguera","Fazenda Retiro","-39.183889","-12.161667","300","300",NA,"Árvore ca. 5 m alt. Folhas cartáceas. Estéril",NA,NA,"2008","04","39º11'2W","12º9'42S",NA,NA,NA,NA,NA,NA
"22","2020-06-15 15:29:54-03","UNESP-RC","HRCB","56408","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","Biral, L.","Pinto, G.C.P.","s.n.","1956",NA,NA,NA,"Brasil","Bahia","Santa Teresinha",NA,"-39.523333","-12.780278",NA,NA,NA,"Arbusto",NA,NA,"2012","01","39º31'24W","12º46'49S",NA,NA,NA,NA,NA,NA
"23","2018-08-31 12:41:43-03","UFLA","ESAL","1940","S","Plantae",NA,NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","R.M.Santos","R.M.Santos; P.F.Santos","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Monte Rei",NA,NA,NA,NA,NA,NA,"árvore; 5m; ;; caatinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-25 10:11:45-03","CVRD","CVRD","12528","PreservedSpecimen","Plantae","Magnoliophyta","Celastrales","Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata","(Schrad.) Biral","Leonardo Biral","Folli, D.A.","6413","2009","09","11","América do Sul","BRASIL","ES","Vila Velha",NA,"-40.2924995422363","-20.3297004699707",NA,NA,NA,"<ll>dwc_commonname:</ll> Espinheira da Penha","CVRD012528",NA,"2019","06",NA,NA,"05","27156","auto","Magnoliopsida",NA,NA
"25","2019-10-07 09:23:58-03","UEFS","HUEFS","178199","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.",NA,"Melo, E.","10660","2011","11","04",NA,"Brasil","Bahia","Maracás","Fazenda Canabrava.","-40.422222","-12.353889","872","872",NA,"Caatinga sobre lajedo.","HUEFS0178199","HUEFS0178199",NA,NA,"40W25'20''","12S21'14''",NA,NA,NA,"Rosanae",NA,NA
"26","2019-10-07 09:23:58-03","UEFS","HUEFS","85721","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","L.B.Santos","Melo, E.","3665","2003","11","28",NA,"Brasil","Bahia","Ibicoara","Morro da Gruta da Lapinha. Próximo a BR 242 ca. 60 Km de Lençóis.","-40.980556","-12.465556",NA,NA,NA,"Caatinga arbóreo/arbustiva sobre solo calcário.","HUEFS0085721","HUEFS0085721","2009","06","40W58'50''","12S27'56''",NA,NA,NA,"Rosanae",NA,NA
"27","2019-10-07 09:23:58-03","UEFS","HUEFS","100812","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","L.P.de Queiroz & D.Cardoso","Cardoso, D.","789","2005","09","20",NA,"Brasil","Bahia","Rui Barbosa","Serra do Orobó. Faz. de Eduardo Alencar.","-40.472778","-12.303889","490","490",NA,"Floresta estacional semidecidual com dossel a ca. 20 m alt.","HUEFS0100812","HUEFS0100812","2006","12","40W28'22''","12S18'14''",NA,NA,NA,"Rosanae",NA,NA
"28","2019-10-07 09:23:58-03","UEFS","HUEFS","105121","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","L.P.de Queiroz","Queiroz, L.P.de","12042","2006","01","17",NA,"Brasil","Bahia","Rui Barbosa","Serra do Orobó. Trilha para o Pátio das Orquídeas.","-40.487778","-12.3025","230","230",NA,"Floresta estacional semidecídua.","HUEFS0105121","HUEFS0105121","2006","01","40W29'16''","12S18'9''",NA,NA,NA,"Rosanae",NA,NA
"29","2019-10-07 09:23:58-03","UEFS","HUEFS","118436","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.",NA,"Queiroz, L.P.de","12939","2007","04","13",NA,"Brasil","Bahia","Jequié","Morro da Torre.","-40.122222","-13.890833","671","671",NA,"Floresta estacional com caatinga na base.","HUEFS0118436","HUEFS0118436",NA,NA,"40W7'20''","13S53'27''",NA,NA,NA,"Rosanae",NA,NA
"30","2019-10-07 09:23:58-03","UEFS","HUEFS","120021","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","J.A.Lombardi","Cardoso, D.","1934","2007","05","22",NA,"Brasil","Bahia","Anguera","Fazenda Retiro, ca. 18 Km de Feira de Santana na Estrada do Feijão sentido Ipirá.","-39.183889","-12.161667","300","600",NA,"Floresta estacional semidecídua com dossel a ca. 20 m alt. e afloramentos rochosos no topo da serra.","HUEFS0120021","HUEFS0120021","2008","04","39W11'2''","12S9'42''",NA,NA,NA,"Rosanae",NA,NA
"31","2019-10-07 09:23:58-03","UEFS","HUEFS","12853","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.",NA,"Queiroz, L.P.de","3059","1993","01","28",NA,"Brasil","Bahia","Feira de Santana",NA,"-39.666667","-12.7",NA,NA,NA,NA,"HUEFS0012853","HUEFS0012853",NA,NA,"39W40'","12S42'",NA,NA,NA,"Rosanae",NA,NA
"32","2019-10-07 09:23:58-03","UEFS","HUEFS","362","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.",NA,"Noblick, L.R.","1978",NA,NA,NA,NA,"Brasil","Bahia","Cachoeira",NA,"-39.05","-12.533333",NA,NA,NA,NA,"HUEFS0000362","HUEFS0000362",NA,NA,"39W3'","12S32'",NA,NA,NA,"Rosanae",NA,NA
"33","2019-10-07 09:23:58-03","UEFS","HUEFS","6027","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","R.M.de Carvalho-Okano","Queiroz, L.P.de","965","1986","10","04",NA,"Brasil","Bahia","Ipirá",NA,"-38.683333","-12.366667",NA,NA,NA,NA,"HUEFS0006027","HUEFS0006027","1992","10","38W41'","12S22'",NA,NA,NA,"Rosanae",NA,NA
"34","2019-10-07 09:23:58-03","UEFS","HUEFS","196284","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.",NA,"Queiroz, L.P.de","15332","2012","03","12",NA,"Brasil","Bahia","Itaberaba","Fazenda Leão dos Brejos. Localidade Gameleira, ca. 6 Km N do entroncamento com a BR-242, após a Fazenda Monte Verde e a Escola Ulysses Guimarães.","-40.526667","-12.4125","570","570",NA,"Floresta Estacional Semi-decidual.","HUEFS0196284","HUEFS0196284",NA,NA,"40W31'36''","12S24'45''",NA,NA,NA,"Rosanae",NA,NA
"35","2019-10-07 09:23:58-03","UEFS","HUEFS","8175","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","L.B.Santos","Queiroz, L.P.de","1750","1987","07","21",NA,"Brasil","Bahia","Feira de Santana",NA,"-39.183333","-12.066667","320","320",NA,NA,"HUEFS0008175","HUEFS0008175","2009","06","39W11'","12S4'",NA,NA,NA,"Rosanae",NA,NA
"36","2019-10-07 09:23:58-03","UEFS","HUEFS","97230","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","J.A.Lombardi","Couto, A.P.L.","112","2005","06","30",NA,"Brasil","Bahia","Feira de Santana","Distrito Ipuaçu. Face oeste.","-39.0775","-12.231111","240","240",NA,NA,"HUEFS0097230","HUEFS0097230","2008","04","39W4'39''","12S13'52''",NA,NA,NA,"Rosanae",NA,NA
"37","2019-10-07 09:23:58-03","UEFS","HUEFS","18742","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","L.P.de Queiroz","Melo, E.","1097","1994","06","04",NA,"Brasil","Bahia","Feira de Santana",NA,"-38.9667015075684","-12.2666997909546",NA,NA,NA,NA,"HUEFS0018742","HUEFS0018742","1995",NA,NA,NA,NA,"46325","auto","Rosanae",NA,NA
"38","2019-10-07 09:23:58-03","UEFS","HUEFS","15253","PreservedSpecimen","Plantae","Angiospermae","Celastrales","Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","L.B.Santos","Pinto, G.C.P.","9684","1984","02","17",NA,"Brasil","Bahia","Itaberaba",NA,"-40.3069000244141","-12.5275001525879",NA,NA,NA,NA,"HUEFS0015253","HUEFS0015253","2009","06",NA,NA,NA,"39857","auto","Rosanae",NA,NA
"39","2019-09-04 18:34:52-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Celastraceae","Maytenus","acutangula","Maytenus acutangula",NA,NA,"M. A. P. Wied-Neuwied",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae","Type [status unknown]",NA
"40","2015-07-21 14:52:37-03","F","FMNH-SEEDPLANTS","V0334056F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0334056F","V0334056F_01",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"41","2020-08-18 16:12:51-03","CEPLAC","CEPEC","27003","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata",NA,"SpeciesLink/lacunas","Grupo Pedra do Cavalo","502","1980","08","13",NA,"Brasil","Bahia","CACHOEIRA","Morro Belo. Vale dos Rios Paraguaçu e Jacuipe.","-39.083333","-12.533333",NA,NA,NA,NA,NA,NA,NA,NA,"39W5'","12S32'",NA,NA,NA,NA,NA,"30/12/2011"
"42","2020-08-18 16:12:51-03","CEPLAC","CEPEC","57945","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Monteverdia","quadrangulata","Monteverdia quadrangulata",NA,"SpeciesLink/lacunas","L. P. de Queiroz","3059","1993","01","28",NA,"Brasil","Bahia","FEIRA DE SANTANA","Serra do São José, Faz. Boa Vista.","-39.666667","-12.7",NA,NA,NA,NA,NA,NA,NA,NA,"39W40'","12S42'",NA,NA,NA,NA,NA,"30/12/1993"
"43","2020-11-19 14:06:05-03","Unimontes","MCMG","405","PreservedSpecimen","Plantae",NA,NA,"Celastraceae","Maytenus","quadrangulata","Maytenus quadrangulata","(Schrad.) Loes.","Santos R.M.","Menino,G.C.O | Azevedo,I.F.P | Brandão, D.O | Rodrigues,M.P.S | Tolentino,G.","224","2008","07","30",NA,"Brasil","Minas Gerais","Janúaria","APA do Rio PandeirosLarga","-44.3616981506348","-15.4881000518799",NA,NA,NA,"Regeneração Natural",NA,NA,NA,NA,NA,NA,NA,"148972","auto",NA,NA,NA
"44","2017-09-11 17:09:12-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Celastraceae","Maytenus","acutangula","Maytenus acutangula","Reissek",NA,"Wied-Neuwied, MAP Prince","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in silvis Brasiliae orientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
