"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","class","order","monthIdentified","dayIdentified","continentOcean","relatedCatalogItem","imagecode","phylum","minimumElevationInMeters","maximumElevationInMeters","individualCount","verbatimLongitude","verbatimLatitude","typeStatus"
"11","2021-01-14 15:26:55-03","MN","R","97840","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Hemmendorf, E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:26:55-03","MN","R","146660","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"E. Fromm; Z. A. Trinta et al.",NA,"1961","01","21","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:26:55-03","MN","R","146661","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Emmerich, M.",NA,"1973","04","15","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,"2350","2350",NA,NA,NA,NA
"14","2021-01-14 15:26:55-03","MN","R","86227","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","A. C. Brade",NA,"Lutz, B.M.J.",NA,"1947","02",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:26:55-03","MN","R","108594","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","F. G. Meyer","1971","Maria Rosária Rodrigues",NA,"1959","04","20","Brasil","Rio de Janeiro","Itatiaia","Agulhas Negras","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-01-14 15:26:55-03","MN","R","146659","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Lutz, B.M.J.; Jocelia Sampaio",NA,"1954","02","12","Brasil","Rio de Janeiro","Itatiaia","Alto Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-14 15:26:55-03","MN","R","114571","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","F. G. Meyer","1971","Lutz, B.M.J.",NA,"1950","11",NA,"Brasil","Rio de Janeiro","Itatiaia","Base das Agulhas Negras","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:26:55-03","MN","R","97850","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","O. E. Borsini","1960","Sampaio, A.J.",NA,"1926","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Planalto do Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"12",NA,NA,NA,NA,NA,"2000","2000",NA,NA,NA,NA
"19","2021-01-14 15:26:55-03","MN","R","97855","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","F. G. Meyer","1971","Hemmendorf, E.",NA,"1901","07",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-01-14 15:26:55-03","MN","R","97784","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","O. E. Borsini","1960","Ule,",NA,"1894","03",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"12",NA,NA,NA,NA,NA,"2000","2000",NA,NA,NA,NA
"21","2021-01-14 15:26:55-03","MN","R","97848","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","O. E. Borsini","1960","Sampaio, A.J.",NA,"1926","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"12","15",NA,NA,NA,NA,"2000","2000",NA,NA,NA,NA
"22","2021-01-14 15:26:55-03","MN","R","97849","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","O. E. Borsini","1960","Sampaio, A.J.",NA,"1926","05",NA,"Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"12","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-01-14 15:26:55-03","MN","R","109071","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","F. G. Meyer","1971","Léia Scheinvar",NA,"1959","04","19","Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:26:55-03","MN","R","97783","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","O. E. Borsini","1960","P. Dusén",NA,"1902","05","20","Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"12",NA,NA,NA,NA,NA,"2100","2100",NA,NA,NA,NA
"25","2021-01-14 15:26:55-03","MN","R","97781","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","O. E. Borsini","1960","Hemmendorf, E.",NA,"1901","07","26","Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"12",NA,NA,NA,NA,NA,"2300","2300",NA,NA,NA,NA
"26","2021-01-14 15:26:55-03","MN","R","22892","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","O. E. Borsini","1960","Brade, A.C.",NA,"1930","06","22","Brasil","Rio de Janeiro","Itatiaia","Serra de Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,"12",NA,NA,NA,NA,NA,"2100","2100",NA,NA,NA,NA
"27","2021-01-14 15:26:55-03","MN","R","146674","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Emmerich, M.",NA,"1958","02","16","Brasil","Rio de Janeiro","Itatiaia","Vale das Flores","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-14 15:26:55-03","MN","R","196696","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","M. Sobral","2002","A. G. S.",NA,"1959","04","20","Brasil","Rio de Janeiro","Itatiaia","Vale das Flores","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-01-14 15:26:55-03","MN","R","146658","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Carlos Peres B.",NA,"1959","04","20","Brasil","Rio de Janeiro","Itatiaia","Várzea das Flores","-44.5633010864258","-22.4960994720459","19648",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:37:26-03","IAP","PACA-AGP","54161","PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","A. C. Brade",NA,"Brade, A.C.",NA,"1938","11","28","Brasil","RJ","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648","Herb. Jardim Bot. Rio 39583","PACA054161","auto","Magnoliopsida","Dipsacales",NA,NA,NA,NA,NA,"Magnoliophyta","2400","2400",NA,NA,NA,NA
"31","2020-06-30 18:32:51-03","UFJF","CESJ","47789","PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii",NA,"M. Sobral","2019","F.M. Ferreira; F.R.G. Salimena; P.L. Viana","1091","2006","03","28","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455","30417","Erva, ca. 30 cm, no campo rupestre. Flores alvas. Pião.","CESJ047789","auto",NA,NA,NA,NA,"América do Sul",NA,"CESJ047789","Angiosperma",NA,NA,NA,NA,NA,NA
"32","2019-11-21 14:46:59-03","UFJF","CESJ","8624","PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii",NA,"M. Sobral","1997","L. Krieger","CESJ8624","1970","05",NA,"Brasil","Minas Gerais","Lima Duarte","Serra de Ibitipoca","-43.793098449707","-21.8425006866455","30417","Erva alta 80cm, flores esverdeadas.","CESJ008624","auto",NA,NA,NA,NA,"América do Sul",NA,NA,"Angiosperma",NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:27:43-03","UNICAMP","UEC","205847","S","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Streher, NS","2017","Streher, NS; Bergamo, PJ; Mesquita, AT","NS17","2017","01","15","Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia. Trilha para o abrigo Rebouças, parte alta do parque.","-44.8699989318848","-22.283899307251","26914","Campos de Altitude","UEC166941","auto",NA,NA,"01","15",NA,NA,"UEC166941","Magnoliopsida",NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:20:08-03","MBM","MBM","254246","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taubert","Sobral, M.",NA,"Krieger, L.","8624",NA,NA,NA,"Brazil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,"MBM254246",NA,NA,NA,NA,NA,"Southern America",NA,"MBM254246",NA,NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:20:08-03","MBM","MBM","58005","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taubert","Engel, K.",NA,"Strang, H.; et al.; et al.","739",NA,NA,NA,"Brazil","Rio de Janeiro","Itatiaia","Itatiaia, Abrigo Rebouças","-44.5633010864258","-22.4960994720459","19648",NA,"MBM058005","auto",NA,NA,NA,NA,"Southern America",NA,"MBM058005",NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:20:08-03","MBM","MBM","130140","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taubert","Sobral, M.",NA,"Lindeman, J.; Haas, H.; Haas, H.","4136",NA,NA,NA,"Brazil","Rio de Janeiro","Itatiaia","Itatiaia, Abrigo Rebouças","-44.5633010864258","-22.4960994720459","19648",NA,"MBM130140","auto",NA,NA,NA,NA,"Southern America",NA,"MBM130140",NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:20:08-03","MBM","MBM","14582","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taubert","Sobral, M.",NA,"Lindeman, J.; Haas, H.; Haas, H.","5166",NA,NA,NA,"Brazil","Rio de Janeiro","Itatiaia","Parque Itatiaia","-44.5633010864258","-22.4960994720459","19648",NA,"MBM014582","auto",NA,NA,NA,NA,"Southern America",NA,"MBM014582",NA,NA,NA,NA,NA,NA,NA
"38","2009-07-17 17:34:00-03","MO","MOBOT","3254656","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Per Dusén","Dusén s.n.","1902",NA,NA,"Brazil",NA,NA,"Serra do Itatiaia, Retiro in campo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-09-12 05:00:02-03","US","US","1055730","PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"P. K. Dusén","82","1902","5","20","Brazil",NA,NA,"Serra do Itatiaia, Retiro.",NA,NA,NA,NA,"US02784637",NA,"Dicotyledonae","Dipsacales",NA,NA,"South America",NA,"US02784637_01",NA,NA,NA,"1",NA,NA,NA
"40","2019-11-13 11:17:39-03","USP","SPF","190220","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Sobral, M","2007","Borges, R","881","2007","05","31","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Pico Peão.","-43.879167","-21.704167",NA,NA,"SPF00190220",NA,NA,NA,"07","03",NA,NA,"SPF00190220",NA,NA,NA,NA,"-43.879167","-21.704167",NA
"41","2019-09-04 19:20:10-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii",NA,NA,NA,"A. Glaziou","4847",NA,NA,NA,"Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,"South America",NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,"Type [status unknown]"
"42","2020-07-23 12:24:05-03","CEPLAC","CEPEC","137971","PreservedSpecimen","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii",NA,"J. M. A. Braga",NA,"J. M. A. Braga","3172",NA,NA,NA,"Brasil","Rio de Janeiro","ITATIAIA",NA,"-44.5633010864258","-22.4960994720459","19648","<ll>dwc_commonname:</ll>",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-02-27 14:03:42-03","UFSJ","HUFSJ","4743","S","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Sobral, M","2013","Magalhães, M","498","1940","09","19","Brasil","Minas Gerais","Lima Duarte","Alto do Pião. Serra de Ibitipoca.","-43.793098449707","-21.8425006866455","30417","Porte herbáceo. Flor alva.","HUFSJ004743","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-02-23 13:22:01-03","MN","R-TIPOS","10460","PreservedSpecimen","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Borsini, O.E.","1960","Glaziou, A.F.M.","4847","1873","01","21","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648",NA,"R000010460","auto",NA,NA,"12",NA,NA,NA,"R000010460_001",NA,NA,NA,NA,NA,NA,"Isosyntypus"
"45","2014-10-09 13:58:35-03","UHH","HBG","513381","S","Plantae","Valerianaceae","Valeriana","glaziovii","Valeriana glaziovii","Graebn. nom. illeg. hom.","Graebner",NA,"Ule, E.","3372a","1894","03",NA,"Brazil",NA,NA,"Serra do Itatiaia, auf Campos",NA,NA,NA,NA,"HBG513381",NA,NA,NA,NA,NA,"South America",NA,NA,NA,"2000","2000",NA,NA,NA,"Isosyntype ?"
"46","2021-02-08 12:39:09-03","UFRGS","ICN","123696","S","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Luederwaldt","s.n.","1906","05","01","Brasil","SP","Campo do Itatiaia",NA,NA,NA,NA,"Ex Herv. do M. Paulista, 566.","ICN00030520",NA,NA,NA,NA,NA,"América do Sul",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA
"47","2021-02-08 12:39:09-03","UFRGS","ICN","197116","S","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.","Rabuske, C","2018","Coelho, GP","211","2017","11","18","Brasil","RJ","Resende","Trilha para as Agulhas Negras, Parque Nacional de Itatiaia.","-44.673611","-22.383889",NA,"Erva, até 40 cm., flores brancas.; Em campo úmido.","ICN00032369",NA,NA,NA,"02","27","América do Sul",NA,NA,"Dicotyledon",NA,NA,NA,"-44.673611","-22.383889",NA
"48","2019-11-21 10:03:05-03","IBt","SP","14658","S","Plantae","Caprifoliaceae","Valeriana","glaziovii","Valeriana glaziovii","Taub.",NA,NA,"Loefgren, A","CGG5926","1903","03","13","Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","19648",NA,"SP035331","auto",NA,NA,NA,NA,NA,NA,"SP035331",NA,NA,NA,NA,NA,NA,NA
