"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"21","2020-02-08 09:09:30-03","NBC","NL-BOTANY","L.1062888","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1062888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1062888","NL-L1062888",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae","Uw13746",NA,NA,NA
"22","2020-02-08 09:09:30-03","NBC","NL-BOTANY","L.1062889","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1062889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1062889","NL-L1062889",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae","Uw14344a",NA,NA,NA
"23","2020-02-08 09:09:30-03","NBC","NL-BOTANY","U 0054170","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200054170 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0054170",NA,NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae","Uw 13746",NA,NA,NA
"24","2020-02-08 09:09:30-03","NBC","NL-BOTANY","U 0270414","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200270414 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0270414",NA,NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae","Uw14344a",NA,NA,NA
"25","2020-02-08 09:09:30-03","NBC","NL-BOTANY","U 0270415","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200270415 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0270415",NA,NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae","Uw13746",NA,NA,NA
"26","2020-02-08 09:09:30-03","NBC","NL-BOTANY","U.1304125","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304125","NL-U1304125",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae","U 0080422",NA,NA,NA
"27","2020-02-08 09:09:30-03","NBC","NL-BOTANY","WAG.1706147","PreservedSpecimen","Plantae","Leguminosae-Mim.","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Hatschbach GG","1966","12","13","Brazil",NA,NA,"Est. Parana. Mun. Gal. Carneiro. Entre Palmas e Gal. Carneiro.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1706147 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1706147","NL-WAG1706147",NA,"Southern America",NA,NA,NA,"Fabales",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"28","2020-11-04 11:09:34-03","ESALQ","ESA","55442","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.","Souza, V.C.","2007","04","06","Sanches, J.H.","2007","04","06","Brasil","Santa Catarina","Bocaina do Sul","Fazenda Farofa, do outro lado do morro do campo drenado.Vegetação secundária de Floresta Ombrófila Mista.","-49.9444007873535","-27.7444000244141",NA,NA,"1334","1334","Árvore, 3m. Frutos maduros amarelos.","ESA055442","ESA055442","100.0",NA,NA,NA,"Magnoliophyta",NA,"18696","auto",NA,NA,NA,NA,NA
"29","2020-11-04 11:09:34-03","ESALQ","ESA","39950","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia","Benth.",NA,NA,NA,NA,"Jarenkow, J.A. ; Sobral, M.","1996","02","27","Brasil","Santa Catarina","Urubici",NA,"-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,NA,"ESA039950","ESA039950","3083.0",NA,NA,NA,"Magnoliophyta",NA,"30102","auto",NA,NA,NA,NA,NA
"30","2020-11-04 11:09:34-03","ESALQ","ESA","125727","PreservedSpecimen","Plantae","Fabaceae","Inga","lentiscifolia","Inga lentiscifolia",NA,"Lima, H.C. & Barros, M.","1905","07","01","Vieira, C.M. ; Gurken, L.C.","1905","06","15","Brasil","Rio de Janeiro","Nova Friburgo",NA,"-42.5311012268066","-22.2819004058838",NA,NA,NA,NA,NA,"ESA125727",NA,"438.0",NA,NA,NA,"Magnoliophyta",NA,"33190","auto",NA,NA,NA,NA,NA
