"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","county","class","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","minimumElevationInMeters","fieldNumber","maximumElevationInMeters","verbatimLongitude","verbatimLatitude"
"14","2016-03-25 06:58:00-03","MO","MOBOT","2834958","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T.D. Pennington","Christopher Davidson|Josephine Jones","Davidson 9618","1979","12","6","South America","Peru","Loreto","Lower Rio Momón, tributary of Rio Nanay, near Iquitos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA
"15","2009-11-06 10:50:00-02","MO","MOBOT","100226385","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Sidney T. McDaniel|Paul E. Nace|Manuel Rimachi Y.","McDaniel 12304","1998","7","21","South America","Peru","Loreto","Dtto. Punchana. Rio Momon, en orilla inundable, caserio de Porvenir hasta el caserio de Nuevo San Antonio, en terreno arcilloso",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"1","120.00000000",NA,NA,NA,NA
"16","2013-10-02 09:40:00-03","MO","MOBOT","100634867","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Sidney T. McDaniel|Manuel Rimachi Y.","McDaniel 31251","1991","8","8","South America","Peru","Loreto","Dtto. Punchana. Río Momon, arriba de Momocillo, shore of river, alluvial soil, arriba de Porvenir.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"1","90.00000000",NA,NA,NA,NA
"17","2019-01-24 10:52:00-02","MO","MOBOT","120244","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T.D. Pennington (K)","Thomas B. Croat","Croat 19211","1972","8","16","South America","Peru","Loreto","Río Itaya above Iquitos; disturbed forest.","-73.2316667","-3.7658333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41",NA,"286",NA,NA,NA
"18","2014-07-24 11:31:00-03","MO","MOBOT","124408","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Camilo Díaz S.|Franklin Ayala|James Aronson|Hulda Osores","Díaz Santibáñez 630","1978","11","16","South America","Peru","Loreto","Río Itaya, 10 min. arriba de San Juan de Muniches, margen izquierda.","-73.4166667","-3.9666667",NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"5","130.00000000","107",NA,NA,NA
"19","2014-04-04 05:42:00-03","MO","MOBOT","125181","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","W. Palacios (QCNE)","Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 6265","1985","3","22","South America","Peru","Loreto","Pto. Almendras, (Río Nanay). Bosque inundable estacional.","-73.35","-3.8",NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"6","122.00000000","85-12",NA,NA,NA
"20","2012-05-24 05:04:00-03","MO","MOBOT","125546","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","R.E. Gereau (MO)","Juan Revilla","Revilla Cardenas 1077","1976","8","11","South America","Peru","Loreto","Distrito Petropolis. Rio Yavari, trocha posterior al pueblo.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"3",NA,"25",NA,NA,NA
"21","2008-05-27 22:02:00-03","MO","MOBOT","125694","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","R.E. Gereau (MO)","James C. Solomon","Solomon 3519","1977","7","13","South America","Peru","Loreto","Mishana, Rio Nanay.","-73.5","-3.83333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","120.00000000","252",NA,NA,NA
"22","2014-04-04 05:42:00-03","MO","MOBOT","126358","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","R.E. Gereau (MO)","Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 5488","1984","9","5","South America","Peru","Loreto","Pto. Almendras, (Río Nanay). Bosque inundable estacional (Tahuampa).","-73.41666","-3.8",NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"9","122.00000000","84-26",NA,NA,NA
"23","2014-04-04 05:42:00-03","MO","MOBOT","126476","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","W. Palacios (QCNE)","Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 13190","1989","12","7","South America","Peru","Loreto","Dtto. Iquitos, Puerto Almendras (Río Nanay). Bosque inundable estacional.","-73.41666","-3.8",NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"8","122.00000000","154",NA,NA,NA
"24","2014-04-04 05:42:00-03","MO","MOBOT","126874","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","R.E. Gereau","Rodolfo Vásquez","Vásquez Martínez 2903","1982","2","14","South America","Peru","Loreto","28 de Julio (Río Itaya). Bosque secundario inundable.","-73.33333","-3.83333",NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"7","120.00000000","82-3",NA,NA,NA
"25","2015-01-28 05:47:00-02","MO","MOBOT","127897","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","W. Palacios (QCNE)","Agustin Rudas L.|Benito Letuama|et al.","Rudas Lleras 1149","1990","11","13","South America","Colombia","Amazonas","Inspección de Santa Isabel; Parque Nacional Natural Cahuinarí; Estación Biológica Puerto Barbados. Zona 1: Al final del estirón del Río Cahuinarí entre la Estación y el Brazuelo de Boa, en dirección 270 grados desde el río hacia el brazuelo, en zona de rebalse bajo. Transecto E3.","-70.76666","-1.46666",NA,NA,NA,NA,NA,"La Pedrera",NA,NA,NA,NA,"4","200.00000000","7",NA,NA,NA
"26","2008-05-27 22:02:00-03","MO","MOBOT","127919","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T.D. Pennington (K) & Styles","Thomas B. Croat","Croat 19004","1972","8","8","South America","Peru","Loreto","Río Itaya, ca 5 km above Iquitos.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,"277",NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","128348","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Feliz Domínguez Peña","Domínguez Peña 109","1979","8","21","South America","Peru","Amazonas","Banda oeste del Río Santiago, 1 km bajo de La Poza, monte virgen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","180.00000000","7",NA,NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","1439105","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Alwyn H. Gentry|et al.","Gentry 25357","1979","3","3","South America","Peru","Loreto","Seasonally inundated tahuampa forest across Río Nanay from Puerto Almendras. Tahuampa Transect Line 10.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"4",NA,"1770",NA,NA,NA
"29","2008-05-27 22:02:00-03","MO","MOBOT","168384","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","W. Palacios (QCNE)","Juan Celedonia Ruiz M.","Ruiz M. 1414","1990","2","19","South America","Peru","Loreto","Mishana, Río Nanay. Bosque de tahuampa.","-73.58333","-3.91666",NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"5","150.00000000","38",NA,NA,NA
"30","2011-06-08 12:20:00-03","MO","MOBOT","2834787","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Manuel Rimachi Y.","Rimachi Y. 10254","1992","9","2","South America","Peru","Loreto","Dtto. Punchana. Río Momón, afluente de Río Nanay, en orilla inundable, ca 20 minutos de Iquitos, cerca al caserio de Balcón,.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,"90.00000000",NA,NA,NA,NA
"31","2011-06-08 12:20:00-03","MO","MOBOT","2834823","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T.D. Pennington (K)","Manuel Rimachi Y.","Rimachi Y. 10679","1993","8","10","South America","Peru","Loreto","Dtto. Punchana. Río Nanay, orilla inundable, del puerto de Bellavista hasta el caserio de Manacamiri.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2012-05-24 05:04:00-03","MO","MOBOT","2835087","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","R.E. Gereau","Juan Revilla","Revilla Cardenas 422","1976","3","28","South America","Peru","Loreto","Distrito: Iquitos; Río Momón, a 3 km. de la boca del Rio Nanay y 2 km. a la quebrada de Momoncillo.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2011-06-08 12:20:00-03","MO","MOBOT","2835359","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Manuel Rimachi Y.","Rimachi Y. 3261","1977","11","22","South America","Peru","Loreto","Dtto. Iquitos. Río Momón (trib. Río Nanay), lowland.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2011-06-08 12:20:00-03","MO","MOBOT","2835574","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Manuel Rimachi Y.","Rimachi Y. 4694","1979","11","29","South America","Peru","Loreto","Dtto. Iquitos. Río Momon, lowland forest over clay freq. inundated, near mouth of Quebrada de Momoncillo.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,"100.00000000",NA,NA,NA,NA
"35","2011-06-08 12:20:00-03","MO","MOBOT","3120390","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Manuel Rimachi Y.","Rimachi Y. 10679","1993","8","10","South America","Peru","Loreto","Dtto. Punchana. Río Nanay, orilla inundable, del puerto de Bellavista hasta el caserio de Manacamiril.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,"90.00000000",NA,NA,NA,NA
"36","2011-06-08 12:20:00-03","MO","MOBOT","3120602","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Manuel Rimachi Y.","Rimachi Y. 12304","1998","7","21","South America","Peru","Loreto","Dtto. Punchana. Río Momón, en orilla inundable caserio de Nuevo San Antonio al caserio de Gengén, en terreno arcilloso.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"1","95.00000000",NA,NA,NA,NA
"37","2011-06-08 12:20:00-03","MO","MOBOT","3183770","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Manuel Rimachi Y.","Rimachi Y. 7710","1985","1","30","South America","Peru","Loreto","Dtto. Iquitos. Río Momón, afluente del Rio Nanay, un poco arriba del caserio de ''San Andres'', terreno bajo.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,"95.00000000",NA,NA,NA,NA
"38","2009-07-17 06:11:00-03","MO","MOBOT","3258395","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Sidney T. McDaniel|Manuel Rimachi Y.","McDaniel 25626","1982","3","6","South America","Peru","Loreto","Dtto. Iquitos. Río Nanay, Pampa Chica to Santa Clara.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,"90.00000000",NA,"95.00000000",NA,NA
"39","2009-07-17 06:11:00-03","MO","MOBOT","3263078","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Sidney T. McDaniel|Manuel Rimachi Y.","McDaniel 26287","1982","8","14","South America","Peru","Loreto","Dtto. Iquitos. Río Momón, above Balcon. On bank of river.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,"95.00000000",NA,NA,NA,NA
"40","2009-07-17 06:11:00-03","MO","MOBOT","3263639","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Sidney T. McDaniel|Manuel Rimachi Y.","McDaniel 27875","1984","7","27","South America","Peru","Loreto","Dtto. Iquitos. Río Itaya, Nueva Esperanza, tahuampa.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2011-06-08 12:20:00-03","MO","MOBOT","3274554","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"Manuel Rimachi Y.","Rimachi Y. 3164","1977","7","26","South America","Peru","Loreto","Dtto. Iquitos. Río Momón (trib. Río Nanay), riparian forest freq. inundated.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2011-06-08 12:20:00-03","MO","MOBOT","3400818","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","S. McDaniel, VI-","Manuel Rimachi Y.","Rimachi Y. 7624","1984","8","7","South America","Peru","Loreto","Iquitos. Rìo Nanay, Quebrada de Momón, un poco arriba del caserio de San José, en terreno bajo, tahuampa.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,NA,"90.00000000",NA,NA,NA,NA
"43","2015-02-18 11:07:00-02","MO","MOBOT","785262","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T.D. Pennington (K)","Thomas B. Croat","Croat 19907","1972","9","1","South America","Peru","Loreto","Río Mamón near Río Nanay.","-73.2655556","-3.6908333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,"302",NA,NA,NA
"44","2012-05-24 05:04:00-03","MO","MOBOT","997054","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T. Pennington","Alwyn H. Gentry|Juan Revilla","Gentry 21152","1977","12","4","South America","Peru","Loreto","Lower Río Nanay between entrance to Morona Cocha and Bellavista, seasonally inundated tahuampa forest. Puerto Almendras, Río Nanay.",NA,NA,NA,NA,NA,NA,NA,"Maynas",NA,NA,NA,NA,"10","120.00000000","1383",NA,NA,NA
"45","2011-04-17 12:04:00-03","MO","MOBOT","3228872","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.","T.D. Pennington","Pedro Acevedo-Rodríguez|J.A. Cedeño","Acevedo-Rodríguez 7409","1995","6","19","South America","Ecuador","Napo","Yasuni Forest Reserve; hill of E of Pontíficia Universidad Católica del Ecuador Scientific Station. Non-flooded forest hillside.","-76.38333","0.66666",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"225.00000000",NA,NA,NA,NA
"46","2020-08-31 09:09:41-03","INPA","INPA","113555","S","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.","Pennington, TD; Styles, BT","Croat, TB","19907","1972","09","01","Southern America","Peru","Loreto","Río Momón near Río Nanay",NA,NA,NA,NA,"INPA0113555","INPA0113555 INPA0113555_e","1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-01-10 20:47:45-03","INPA","INPA","12101","S","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.","Pennington, TD","Ducke, A","MG12250","1912","11","14","Southern America","Colômbia","Amazonas","Rio Caquetá, boca do Mirity, Parná, Rio Caquetá, boca do Mirity, Parná.",NA,NA,NA,NA,"INPA0012101","INPA0012101 INPA0012101_e INPA0012101_e1","1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-08-31 09:09:41-03","INPA","INPA","62813","S","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D.Penn.","Pennington, TD","Pennington, TD","10062","1976","10","15","Southern America","Brasil","Amazonas","Rio Javari, 130 km from Tabatinga, Rio Javari from Tabatinga","-69.945869","-4.242527",NA,NA,"INPA0062813","INPA0062813 INPA0062813_e INPA0062813_nd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-69.945869","-4.242527"
"49","2020-09-12 05:00:02-03","US","US","1662752","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"B. A. Krukoff","4863","1933","6","14","South America - Neotropics","Brazil",NA,"Near mouth of Rio Embira (tributary of Rio Tarauaca)","-70.25","-7.5",NA,NA,"US01868322","US01868322_01 US01868322_02",NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA,NA,NA,NA
"50","2020-09-12 05:00:02-03","US","US","3177375","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"M. Rimachi Y.","7710","1985","1","30","South America - Neotropics","Peru","Loreto","Maynas. Dtto. Iquitos. Río Momón, afluente de Río Nanay, un poco arriba del caserio de San Andres.",NA,NA,NA,NA,"US03322953",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1","95",NA,NA,NA,NA
"51","2020-09-12 05:00:02-03","US","US","2982434","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"T. B. Croat","19907","1972","9","1","South America - Neotropics","Peru","Loreto","Río Momón near Río Nanay.",NA,NA,NA,NA,"US03322955","US03322955_01",NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA,NA,NA,NA
"52","2020-09-12 05:00:02-03","US","US","3514131","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"S. McDaniel & M. Rimachi Y.","31251","1991","8","8","South America - Neotropics","Peru","Loreto","Maynas. Dtto. Punchana. Río Momon, arriba de Momocillo, shore of river, arriba de Porvenir.",NA,NA,NA,NA,"US03322954",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1","90",NA,NA,NA,NA
"53","2020-09-12 05:00:02-03","US","US","3514154","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"M. Rimachi Y.","10679","1993","8","10","South America - Neotropics","Peru","Loreto","Maynas. Dtto. Punchana. Río Nanay, orilla inundable, del puerto de Bellavista hasta el caserio de Manacamiri.",NA,NA,NA,NA,"US03322951","US03322951_01",NA,NA,"Dicotyledonae",NA,NA,NA,"1","90",NA,NA,NA,NA
"54","2020-09-12 05:00:02-03","US","US","3502978","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"M. Rimachi Y.","10254","1992","9","2","South America - Neotropics","Peru","Loreto","Maynas. Dtto. Puchana. Río Momón, afluente de Río Nanay, ca 20 minutos de Iquitos, cerca al caserio de Balcón.",NA,NA,NA,NA,"US03322952","US03322952_01",NA,NA,"Dicotyledonae",NA,NA,NA,"1","90",NA,NA,NA,NA
"55","2020-09-12 05:00:02-03","US","US","1988468","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"R. E. Schultes","6114","1944","9",NA,"South America - Neotropics","Colombia","Amazônas","Trapecio amazónico, Loretoyacu River.",NA,NA,NA,NA,"US03322958",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1","100",NA,NA,NA,NA
"56","2020-09-12 05:00:02-03","US","US","3032960","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Trichilia","hispida","Trichilia hispida","T.D. Penn.",NA,"S. McDaniel & M. Rimachi Y.","27875","1984","7","27","South America - Neotropics","Peru","Loreto","Maynas. Dtto. Iquitos. Río Itaya, Nueva Esperanza.",NA,NA,NA,NA,"US03322956",NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1","90",NA,NA,NA,NA
