"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount","typeStatus"
"13","2019-08-20 10:24:16-03","UNICAMP","UEC","148873","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Jung-Mendaçolli, SL","Aranha, BA","453","2007","01","17",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela J","-45.084167","-23.366389",NA,NA,"UEC156781","UEC156781","Müll.Arg.","2008","10",NA,"-45.084167","-23.366389","380","380",NA,NA,NA,NA,NA
"14","2021-03-01 16:39:14-03","UNICAMP","UEC","160932","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Cavalin, PO","Cavalin, PO","44","2009","11","12",NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio","-45.092778","-23.396667",NA,"Indivíduo juvenil, 1-2 m de altura.; Sub-bosque Floresta Ombrófila Densa.","UEC039347","UEC039347","Müll.Arg.","2010","06",NA,"-45.092778","-23.396667","348","395",NA,NA,NA,NA,NA
"15","2021-03-01 16:39:14-03","UNICAMP","UEC","166926","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens",NA,"Stefani, EJF; Belinello, R; Galvão, JC","18","2010","05","25",NA,"Brazil","São Paulo","Caraguatatuba","Parque estadual da Serra do Mar.","-45.503333","-23.630556",NA,"Árvore com 6m; Mata atlântica.","UEC172210","UEC172210","Müll.Arg.",NA,NA,NA,"-45.503333","-23.630556","50","90",NA,NA,NA,NA,NA
"16","2021-03-01 16:39:14-03","UNICAMP","UEC","170087","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Jung-Mendaçolli, SL","Rochelle, ALC","J777",NA,NA,NA,NA,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio - Bairro Taquaral, Floresta Ombrófila Densa Submontana.","-45.084167","-23.366667",NA,"Indivíduo J777 da parcela J do Projeto Temático BIOTA-Gradiente Funcional.","UEC041781","UEC041781","Müll.Arg.","2008","03",NA,"-45.084167","-23.366667","450","450",NA,NA,NA,NA,NA
"17","2021-03-01 16:39:14-03","UNICAMP","UEC","191506","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Gomes, M","Martinelli, G; Rosa, P; Maurenza, D","19303","2016","08","09",NA,"Brazil","Rio de Janeiro","Silva Jardim","Área de Proteção Ambiental de Macaé de Cima. Serra dos Pirineus, próximo a divisa com Município de Nova Friburgo, picada para o Vale do Paiá.","-42.509444","-22.441111",NA,"Arbusto 4m, ciófila; folhas verdes, discolores; frutos imaturos de cor verde claro.; Mata Atlântica de altitude com afloramentos rochosos.","UEC137345","UEC137345","Müll.Arg.","2016","11","01","-42.509444","-22.441111","950","950",NA,NA,NA,NA,NA
"18","2021-03-01 16:39:14-03","UNICAMP","UEC","67890","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Gomes, M","Toniato, MTZ; et al.","30178","1993","11","10",NA,"Brazil","São Paulo","Ubatuba","Trilha do Corisco.","-44.816667","-23.333333",NA,"Árvore de encosta, 3m de altura, flores brancas.; Interior da mata.","UEC172208","UEC172208","Müll.Arg.","1998","12","16","-44.816667","-23.333333",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:39:14-03","UNICAMP","UEC","60097","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Vieira, AOS; Yamamoto, K","26199","1992","05","01",NA,"Brazil","Rio de Janeiro","Magé","Subida ao Dedo de Deus. Beira de estrada.","-43.040599822998","-22.6527996063232",NA,"Árvore ca. 4 metros, frutos imaturos verdes.","UEC172215","UEC172215","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"20531","auto",NA,NA,NA
"20","2021-03-01 16:39:14-03","UNICAMP","UEC","92020","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31283","1992","11","07",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore 13m de altura, frutos maduros brancos.","UEC172219","UEC172219","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"21","2021-03-01 16:39:14-03","UNICAMP","UEC","92021","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31284","1992","07","11",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore 8m de altura, frutos maduros brancos.","UEC172218","UEC172218","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"22","2021-03-01 16:39:14-03","UNICAMP","UEC","92022","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31285","1992","07","04",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore de 9m de altura, frutos imaturos verdes e maduros brancos.","UEC172214","UEC172214","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"23","2021-03-01 16:39:14-03","UNICAMP","UEC","92027","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31290","1991","12","02",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore de 5m de altura, botões em início de desenvolvimento de cor creme.","UEC172217","UEC172217","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"24","2021-03-01 16:39:14-03","UNICAMP","UEC","92028","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31291","1991","12","03",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore de 5m de altura, botões em início de desenvolvimento.","UEC172213","UEC172213","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"25","2021-03-01 16:39:14-03","UNICAMP","UEC","92023","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31286","1992","08","16",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore 7m de altura, frutos imaturos verdes e maduros brancos.","UEC172216","UEC172216","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"26","2021-03-01 16:39:14-03","UNICAMP","UEC","92025","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31288","1992","07","04",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore de 5m de altura, frutos imaturos verdes.","UEC172211","UEC172211","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"27","2019-08-20 10:24:16-03","UNICAMP","UEC","92024","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31287","1992","07","04",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba, margem do rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,NA,"UEC172212","UEC172212","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"28","2021-03-01 16:39:14-03","UNICAMP","UEC","92026","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","31289","1991","12","03",NA,"Brazil","São Paulo","Ubatuba","Núcleo Picinguaba. Margem do Rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"Árvore de 5m de altura, botões em início de desenvolvimente de cor creme.","UEC172209","UEC172209","Müll.Arg.","2006","01","27",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"29","2020-04-22 16:23:54-03","UFPB","JPB","18646","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens",NA,"Felix, LP; Moura, OT","4698","1992","01","16","Southern America","Brasil","Paraíba","João Pessoa","Jacarapé, Terrestre.","-34.8630981445312","-7.11499977111816",NA,"; DESC: Erva aromática. Ocasional em terrenos baixos e umidos, próximo a um mangue.",NA,NA,"Müll.Arg.",NA,NA,NA,NA,NA,NA,NA,"15975","auto",NA,NA,NA
"30","2020-04-22 16:23:54-03","UFPB","JPB","38171","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Gomes, M","Ronaldo Marquete","1622","1994","04","14","Southern America","Brasil","Rio de Janeiro","Parati","APA Cairuçu, Vargem Grande. Trilha para a Pedra da Jamanta. Altitude de 60 m.s.m. (Ponta Negra).","-44.7131004333496","-23.2178001403809",NA,"; DESC: Semi-ciófilo. Ambiente úmido. Arvoreta com cerca de 4 metros de altura; tronco com casca enrrugada de cor cinza, córtex marrom, folhas cartáceas, discolores verdes; frutos carnosos, indeiscentes; maturas de cor verde. (Material em álcool).",NA,NA,"Müll.Arg.","1998","12","18",NA,NA,NA,NA,"34470","auto",NA,NA,NA
"31","2020-04-22 16:23:54-03","UFPB","JPB","38181","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Gomes, M","Ronaldo Marquete","1981","1994","04","18","Southern America","Brasil","Rio de Janeiro","Parati","Morro do Curalinho. 600 m.s.m.","-44.7131004333496","-23.2178001403809",NA,"; DESC: Semi-ciófilo. Arbusto com cerca de 2 metros de altura; tronco com casca lisa cinza; folhas cartáceas, discolores verdes; frutos carnosos, indeiscentes de cor verde com mácula alvas.",NA,NA,"Müll.Arg.","1998","12","18",NA,NA,NA,NA,"34470","auto",NA,NA,NA
"32","2020-04-22 16:23:54-03","UFPB","JPB","61760","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Araujo, RC; Rajão, PHM","Araujo, RC; Rajão, PHM","18","2013","04","17","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca, Campus Fiocruz","-43.2075004577637","-22.9027996063232",NA,"; HABITAT: Mata Atlântica; Floresta Ombrófila Densa Submontana; Interior da Floresta.; DESC: Fuste 4. Altura 8m. Arboreo - arbustivo.","JPB0061760",NA,"Müll.Arg.","2013","08","03",NA,NA,NA,NA,"57442","auto",NA,NA,NA
"33","2020-04-22 16:23:54-03","UFPB","JPB","38148","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","24","1992","07","11","Southern America","Brasil","São Paulo","Ubatuba","Parque Estadual Serra do Mar, Margens do Rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"; DESC: Árvore nº 156. 8m de altura, CAP. 40cm. Frutos imaturos verdes e maduros brancos.",NA,NA,"Müll.Arg.","2007","05",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"34","2020-04-22 16:23:54-03","UFPB","JPB","38150","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Gomes, M","Garcia, FCP; et al.","558","1990","01","15","Southern America","Brasil","São Paulo","Ubatuba","Parque Estadual Serra do Mar, Trilha de Paraty até a cachoeira da Rasa.","-45.0699996948242","-23.4300003051758",NA,"; DESC: Árvore 6m de altura. Botões esverdeados, flores brancas.",NA,NA,"Müll.Arg.","1998",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"35","2020-04-22 16:23:54-03","UFPB","JPB","38162","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Sanchez, M; Pedroni, F","24A","1991","12","02","Southern America","Brasil","São Paulo","Ubatuba","P.E. Serra do Mar, Picinguaba. Margens do Rio da Fazenda.","-45.0699996948242","-23.4300003051758",NA,"; DESC: Árvore nº 27. 7m de alt. CAP 45cm. Botões jovens.",NA,NA,"Müll.Arg.","2007","05",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"36","2020-04-22 16:23:54-03","UFPB","JPB","38145","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Takahasi, A","262","1996","03","26","Southern America","Brasil","São Paulo","Ubatuba","Picinguaba","-45.0699996948242","-23.4300003051758",NA,"; DESC: Árvore nº 290, frutos imaturos.",NA,NA,"Müll.Arg.","2007","05",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"37","2020-04-22 16:23:54-03","UFPB","JPB","38172","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Takahasi, A","202","1996","01","23","Southern America","Brasil","São Paulo","Ubatuba","Picinguaba, Mata de encosta, Trilha do Corisco.","-45.0699996948242","-23.4300003051758",NA,"; DESC: Arbusto cerca de 2,30m, botões e flores brancas, cheiro doce agradável.",NA,NA,"Müll.Arg.","2007",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"38","2020-04-22 16:23:54-03","UFPB","JPB","38161","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Furlan, A","1236","1990","08","27","Southern America","Brasil","São Paulo","Ubatuba","Picinguaba, Trilha atras do alojamento ........","-45.0699996948242","-23.4300003051758",NA,"; DESC: Árvore 8m de altura. Frutos imaturos verdes e maduros brancos.",NA,NA,"Müll.Arg.","2007",NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"39","2020-04-22 16:23:54-03","UFPB","JPB","38141","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Takahasi, A; Morellato, LPC; Fernandes, GD; Mantovani, A; Vieira, DLM; Gajardo, ISM","295","1996","06","07","Southern America","Brasil","São Paulo","Ubatuba","Picinguaba, Trilha do Corisco","-45.0699996948242","-23.4300003051758",NA,"; HABITAT: Mata de encosta.; DESC: Árvore n.303, 8m, pap=24cm, frutos esverdeados começando a ficar amarelados.",NA,NA,"Müll.Arg.","2007","05",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"40","2020-04-22 16:23:54-03","UFPB","JPB","38128","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Takahasi, A; Zipparro, VB","239","1996","02","26","Southern America","Brasil","São Paulo","Ubatuba","Picinguaba, Trilha do Corisco","-45.0699996948242","-23.4300003051758",NA,"; DESC: Mata de Encosta.",NA,NA,"Müll.Arg.","2007","05",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"41","2020-04-22 16:23:54-03","UFPB","JPB","38149","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens","Pereira, MS","Romero, R","454","1991","12","29","Southern America","Brasil","São Paulo","Ubatuba","Picinguaba, Trilha do Palmital (atras do alojamento)","-45.0699996948242","-23.4300003051758",NA,"; DESC: Arbusto 2m de altura. Flores brancas.",NA,NA,"Müll.Arg.","2007","05",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"42","2020-04-22 16:23:54-03","UFPB","JPB","56099","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Rubiaceae","Coussarea","accedens","Coussarea accedens",NA,"Campos, MCR; Assis, MA; Guaraldo, A; Belinello, R","459","2006","05","08","Southern America","Brasil","São Paulo","Ubatuba","Trilha da casa da Farinha, parcela E, subparcela 48.","-45.0699996948242","-23.4300003051758",NA,"Individuo E0618, altura 6m.","JPB0056099",NA,"Müll.Arg.",NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"43","2019-06-27 10:26:34-03","UFES","VIES","12837","S","Plantae",NA,NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens",NA,"Campos, M.C.R.; Guilherme, F.A.G.; Assis, M.A. & Mania, L.","53","2006","03","27",NA,"Brasil","São Paulo","Ubatuba","Núcleo Picinguaba.","-45.0699996948242","-23.4300003051758",NA,NA,"VIES012837","VIES012837","Müll.Arg.",NA,NA,NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA
"44","2020-06-29 09:31:57-03","UFRRJ","RBR","38273","S","Plantae",NA,NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","M. Gomes","R.F. Svorc; R.R. Oliveira","46","2006","06","11",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Parque Nacional Serra da Bocaina","-44.3180999755859","-23.0067005157471",NA,NA,"RBR00038273",NA,"Müll.Arg.","2006","08","07",NA,NA,NA,NA,"32988","auto",NA,NA,NA
"45","2020-06-29 09:31:57-03","UFRRJ","RBR","42780","S","Plantae",NA,NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens","T.P.P. Alverga","T.P.P. Alverga",NA,"2015","05","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Inventário Carbono - Rio de Janeiro. Inventário complementar F43/88.","-43.22","-22.934444",NA,NA,"RBR00042780",NA,"Müll.Arg.",NA,NA,NA,"43º13'12''W","22º56'4''S",NA,NA,NA,NA,NA,NA,NA
"46","2020-06-29 09:31:57-03","UFRRJ","RBR","38272","S","Plantae",NA,NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens",NA,"R.F. Svorc; R.R. Oliveira","76","2006","11","25",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande, Parque Estadual da Ilha Grande","-44.3180999755859","-23.0067005157471",NA,NA,"RBR00038272",NA,"Müll.Arg.",NA,NA,NA,NA,NA,NA,NA,"32988","auto",NA,NA,NA
"47","2020-10-01 14:21:04-03","JBB","HEPH","30433","S","Plantae","Dicotyledon","Gentianales","Rubiaceae","Coussarea","accedens","Coussarea accedens","Campos, MCR","Campos, MCR; Belinello, R","681","2006","07","16","Southern America","Brasil","São Paulo","Ubatuba","Núcleo Picinguaba/PESM; Trilha da casa da Farinha, parcela E subparcela 71","-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"Müll.Arg.","2006","07","16",NA,NA,NA,NA,"34265","auto",NA,NA,NA
"48","2020-06-24 22:04:58-03","UNESP-IBILCE","SJRP","31346","PreservedSpecimen","Plantae","Tracheophyta","Gentianales","Rubiaceae","Coussarea","accedens","Coussarea accedens",NA,"Campos, M.C.R. ; Belinello, R.","767.0","2006","07","17","América do Sul","Brasil","São Paulo","Ubatuba","Núcleo de Picinguaba/PESM; trilha da Casa da Farinha, parcela E, subparcela 80","-45.0699996948242","-23.4300003051758",NA,"Indivíduo E1019, altura 4m.",NA,NA,"Müll.Arg.",NA,NA,NA,NA,NA,NA,NA,"34265","auto","Magnoliopsida",NA,NA
"49","2020-09-16 13:16:23-03","MBML","MBML-HERBARIO","45143",NA,"Plantae",NA,NA,"Rubiaceae","Coussarea","accedens","Coussarea accedens",NA,"M.C.R. Campos; R. Belinello","802","2006","07","18",NA,"Brasil","São Paulo","Ubatuba","Núcleo Picinguaba/PESM, trilha da Casa da Farinha, parcela E, subparcela 84","-44.832006","-23.334133",NA,"Indivíduo E1061, altura 5m","MBML045143",NA,"Müll. Arg.",NA,NA,NA,"44W49'55,22","23S20'2,88",NA,NA,NA,NA,NA,NA,NA
