"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount"
"11","2021-03-31 13:40:49-03","MN","R","35677","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb. f. & Warm.",NA,"Dusén, P.K.H.","3203","1903","12","14",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-31 13:40:49-03","MN","R","56392","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb. f. & Warm.","Sánchez, M.I.","Dusén, P.K.H.","3204","1903","12","14",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:40:49-03","MN","R","140811","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb. f. & Warm.","Batista, J.A.N.","Fromm-Trinta, E.; Santos, E.A.A. 422, Flaster, B. 380, Pabst, G.F.J. 5994 & Pereira, E. 6167","390","1961","10","18",NA,"Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,NA,NA,"2002","06","24",NA,NA,"46557","auto",NA,NA,NA,NA
"14","2019-08-20 10:00:41-03","UNICAMP","UEC","22761","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Batista, JAN","Stubblebine, WH; et al.","552","1980","11","19",NA,"Brazil","Minas Gerais","Poços de Caldas","Campo do Saco","-46.564722","-21.838889",NA,"Erva terrestre áfila, infloresc. 50 cms de alt. flores de cor creme com manchas castanhas.","UEC064357","UEC064357",NA,NA,"1999","10",NA,"-46.564722","-21.838889",NA,NA,NA,NA,NA,NA
"15","2019-08-20 10:00:41-03","UNICAMP","UEC","25615","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Bianchetti, LB; Patzernheim, M","Tamashiro, JY; et al.","1294","1981","10","28",NA,"Brazil","Minas Gerais","Poços de Caldas","Campo do Saco","-46.564722","-21.838889",NA,"Erva de 30 cm, escapo floral até 60 cm, labelo lilaz, com borda branca, tépalas lilaz-escuro com bordo encarnado.","UEC064360","UEC064360",NA,NA,"1999","02",NA,"-46.564722","-21.838889",NA,NA,NA,NA,NA,NA
"16","2019-08-20 10:00:41-03","UNICAMP","UEC","71971","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Bianchetti, LB; Patzernheim, M","Tamashiro, JY; et al.","1294","1981","10","28",NA,"Brazil","Minas Gerais","Poços de Caldas","Campo do Saco","-46.564722","-21.838889",NA,"Erva de 30 cm, escapo floral até 60 cm, labelo lilaz, com borda branca, tépalas lilaz-escuro com bordo encarnado.","UEC061156","UEC061156",NA,NA,"1999","02",NA,"-46.564722","-21.838889",NA,NA,NA,NA,NA,NA
"17","2020-03-12 10:29:23-03","UFOP","OUPR","32564","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Pedrosa, L.G.","Pedrosa, L.G.","1177","2018","12","02",NA,"Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi",NA,NA,NA,"Erva, ca. 25cm. Flores de tonalidade rósea/vinácea. Crescendo em solo raso de canga.",NA,NA,NA,NA,"2020","03","10",NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-06 09:56:50-03","UFOP","OUPR","9675","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Batista, J.A.N.","Badini, J.","s.n.","1974","11","23",NA,"Brasil","Minas Gerais","Ouro Preto","Falcão","-43.5080986022949","-20.2875003814697",NA,"Campo. Erva. Flores vermelhas",NA,NA,NA,NA,"2004","01",NA,NA,NA,"44599","auto",NA,NA,NA,NA
"19","2020-03-12 10:29:23-03","UFOP","OUPR","34838","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Pedrosa, L.G.","Pedrosa, L.G.","2294","2019","12","08",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi","-43.5080986022949","-20.2875003814697",NA,"Erva, ca. 40cm, flores róseo-amareladas. Campo rupestre",NA,NA,NA,NA,"2019","12",NA,NA,NA,"44599","auto",NA,NA,NA,NA
"20","2020-03-12 10:29:23-03","UFOP","OUPR","34694","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Pedrosa, L.G.","Pedrosa, L.G.","2163","2019","11","10",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Calais","-43.5080986022949","-20.2875003814697",NA,"Erva, ca. 30cm, flor marrom com manchas róseo-amareladas",NA,NA,NA,NA,"2019","11",NA,NA,NA,"44599","auto",NA,NA,NA,NA
"21","2019-08-16 08:40:23-03","UTFPR","HCF","1593","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","J. Cordeiro & E. Barboza","M.G. Caxambu","657","2004","11","07",NA,"Brasil","PR","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"Herbácea, ereta, com pseudo-bulbos, terrestre, próxima a afloramento de arenito. Flores marrom-avermelhadas.",NA,NA,NA,NA,"2005","05",NA,NA,NA,"35166","auto",NA,NA,NA,NA
"22","2020-12-21 16:38:23-03","MBM","MBM","68206","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb. & Warm.","Barros, F. de","Hatschbach, G.","43409","1980","11","26","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda Cajuru","-49.7057991027832","-24.2511005401611",NA,NA,"MBM068206","MBM068206",NA,NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA
"23","2020-12-21 16:38:23-03","MBM","MBM","91615","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb. & Warm.","Hoehne, W.","Hoehne, W.","s.n.","1946","12","13","Southern America","Brazil","São Paulo","São Paulo","Caieiras","-46.6300010681152","-23.5400009155273",NA,NA,"MBM091615","MBM091615",NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA
"24","2020-12-21 16:38:23-03","MBM","MBM","49020","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb. & Warm.","Pabst, G.","Hatschbach, G.","9621","1962","12","21","Southern America","Brazil","Paraná","Ponta Grossa","Parque Vila Velha, Arroio Quebra Perna","-50.1618995666504","-25.0949993133545",NA,NA,"MBM049020","MBM049020",NA,NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA
"25","2015-09-03 19:54:04-03","MNHN","RECOLNAT_MNHN_P","P00436913","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Batista","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Prov. de Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436913' target='other'> <mi>dwc_moreinfo</mi></a>","P00436913","P00436913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2 2280",NA,NA
"26","2015-09-24 10:32:45-03","MNHN","RECOLNAT_MNHN_P","P00436914","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Batista","Smith, L.B.|Klein, R.M.",NA,"1964","11","15",NA,"Brésil",NA,NA,"Santa Catarina : municipalite Abelardo Luz : Campo 8 - 12 km N of Abelardo Luz","-52.33333","-26.53333","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436914' target='other'> <mi>dwc_moreinfo</mi></a>","P00436914","P00436914_01","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,"13337",NA,NA
"27","2015-09-03 19:54:04-03","MNHN","RECOLNAT_MNHN_P","P00436915","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Sanchez","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Lagoa Santa",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436915' target='other'> <mi>dwc_moreinfo</mi></a>","P00436915","P00436915_01 P00436915_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA
"28","2020-10-01 14:25:53-03","JBB","HEPH","6849","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb.f. & Warm.","Salles, AEH","Salles, AEH","333","1985","10","31","Southern America","Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,NA,"1985","10","31",NA,NA,"70570","auto",NA,NA,NA,NA
"29","2020-12-11 11:44:26-03","UFMG","BHCB","177755","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Ribeiro, OBC","677","2014","11","01","Southern America","Brasil","Minas Gerais","Itabirito","Serra de Capanema","-43.434278","-18.892167",NA,"Arbusto.; Campo ferruginoso","BHCB026761",NA,"1254","1254","2014",NA,NA,"-43.434278","-18.892167",NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:44:26-03","UFMG","BHCB","151324","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Batista, JAN; Hattori, EKO; Fernandes, AC","3051","2010","12","15","Southern America","Brasil","Minas Gerais",NA,"Nova Lima, Jardim Canadá; campos do lado direito da BR- 040, sentido Jardim Canadá para Belo Horizonte, campos acima do lado do balão de retorno para Belo Horizonte.",NA,NA,NA,"Erva terrestre, em campo limpo seco. Área queimada durante a seca. Comum.",NA,NA,"1370","1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-11 11:44:26-03","UFMG","BHCB","168746","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Ramalho, AJ; Fernandes, AC; Vale, AA; Batista, JAN","110","2010","12","09","Southern America","Brasil","Minas Gerais","Diamantina","Km 446. Entroncamento Gouveia - Datas - Diamantina indo para Gouveia","-43.690942","-18.419167",NA,"Presença de Cyrtopodium brandonianum no mesmo material.; Campo sujo e seco","BHCB028187",NA,"1329","1329","2015","09","08","-43.690942","-18.419167",NA,NA,NA,NA,NA,NA
"32","2020-12-11 11:44:26-03","UFMG","BHCB","119913","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Batista, JAN; Martins, CAN","2232","2007","11","14","Southern America","Brasil","Minas Gerais","Diamantina","APE Manancial Pau de Fruta, área da COPASA, área a","-43.669556","-18.257333",NA,"Erva terrestre, em campo limpo seco. Solo areno-argiloso, marrom claro. Área anteriormente queimada.",NA,NA,"1359","1359",NA,NA,NA,"-43.669556","-18.257333",NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:44:26-03","UFMG","BHCB","119934","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Batista, JAN; Martins, CAN","2253","2007","11","14","Southern America","Brasil","Minas Gerais","Gouveia","Barrancos à margem da BR-259 cerca de 35 km SO de","-43.954556","-18.596",NA,"Erva terrestre; em barrancos a margem da estrada, área antropizada","BHCB001276","BHCB001276","1114","1114","2007","11","14","-43.954556","-18.596",NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:44:26-03","UFMG","BHCB","120007","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Batista, JAN; Ramalho, AJ; Borges, KS","2326","2007","12","07","Southern America","Brasil","Minas Gerais","Moeda","Serra da Moeda, Entrada para Moeda, cerca de 33 km S de Belo Horizonte a partir do entroncamento do anel rodoviário com a BR-040. Morros a esquerda da pista em direção a Moeda, cerca de 2 km após o entroncamento com a BR-040, BR-040, campos nas encos","-43.956444","-20.277806",NA,"Erva terrestre, em campo limpo seco em encosta. Solo areno-argiloso, com cascalho sobre a superfície. Área anteriormente queimada.",NA,NA,"1331","1331",NA,NA,NA,"-43.956444","-20.277806",NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:44:26-03","UFMG","BHCB","120083","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Batista, JAN; Martins, CAN; Carvalho, BM de; Barbosa, AR","2402","2008","01","15","Southern America","Brasil","Minas Gerais","Carrancas","Serra das Bicas.","-44.584806","-21.571194",NA,"Erva terrestre, em campo limpo e campo sujo secos, local plano, no plato de encosta. Solo arenoso, seco. Superficialmente úmido em função das chuvas. Área anteriormente queimada.",NA,NA,"1223","1223",NA,NA,NA,"-44.584806","-21.571194",NA,NA,NA,NA,NA,NA
"36","2020-12-11 11:44:26-03","UFMG","BHCB","180165","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Batista, JAN; Damasceno, LPS","3306","2014","02","27","Southern America","Brasil","Minas Gerais","Moeda","Serra da Moeda, Cerca de 33 km S de Belo Horizonte a partir do entroncamento do anel rodoviário com a BR. Morros a esquerda da pista em direção a Moeda, cerca de 3 km após o entroncamento com a BR-040","-43.955","-20.286944",NA,"Erva terrestre.Ocasional. Pseudobulbos completamente enterrados. Sem flores, em desenvolvimento vegetativo; coletada para documentar as folhas da espécie.; Em campo sujo e cerrado ralo secos.","BHCB032356",NA,"1276","1276","2014","02","27","-43.955","-20.286944",NA,NA,NA,NA,NA,NA
"37","2020-12-11 11:44:26-03","UFMG","BHCB","183998","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Sousa, NL; Souza, JAM; Avelar, R","452","2016","11","29","Southern America","Brasil","Minas Gerais","Itabirito","RPPN Córrego Seco","-43.855278","-20.271111",NA,"Herbáceo, 0,6m alt. Terrestre. Pétalas verdes com manchas vinho. Folha cartácea.; Cerrado Sentido Restrito. Solo pedregoso.",NA,NA,"1234","1234","2016","12","15","-43.855278","-20.271111",NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:44:26-03","UFMG","BHCB","184182","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Sousa, NL; Souza, JAM; Avelar, R","553","2016","12","08","Southern America","Brasil","Minas Gerais","Itabirito","RPPN Córrego Seco","-43.9","-20.277778",NA,"Herbáceo, 0,55m alt. Terrestre. Flor marrom, rosa e amarelo. Folha cartácea.; Campo Rupestre Quartizito. Solo pedregoso/ argiloso/ marrom - amarelado.",NA,NA,"1361","1361","2016","12","15","-43.9","-20.277778",NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:44:26-03","UFMG","BHCB","27971","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Braga, MMN; Chaves, ALF","402","1991","12","02","Southern America","Brasil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,"Campo rupestre, herbáceo. Coletada em solo arenoso, brejo. Flores passadas, cor creme com manchas roxas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA
"40","2020-12-11 11:44:26-03","UFMG","BHCB","132434","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Batista, JAN","2720","2008","12","14","Southern America","Brasil","Minas Gerais","Lagoa Santa",NA,"-43.8897018432617","-19.6271991729736",NA,"Erva terrestre, em campo limpo seco em encosta. Solo areno-argiloso, raso, seco. Área não queimada. Pseudobulbos completamente enterrados. Comum no local. Em final de floração. Sépalas e pétalas com manchas e pintas marrons sobre fundo esbranquiçado.",NA,NA,"856","856","2008","12","14",NA,NA,"12338","auto",NA,NA,NA,NA
"41","2020-12-11 11:44:26-03","UFMG","BHCB","64284","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Magalhães, M","1337","1942","01","11","Southern America","Brasil","Minas Gerais","Ouro Preto","Manso","-43.5080986022949","-20.2875003814697",NA,"Campo pedregoso, pouco frequente, herbácea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA
"42","2020-12-11 11:44:26-03","UFMG","BHCB","4454","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Grandi, TSM; et al.","1259","1982","12","01","Southern America","Brasil","Minas Gerais","Nova Lima","Morro do Chapéu","-43.8466987609863","-19.9855995178223",NA,"Campo rupestre, herbáceo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA
"43","2020-12-11 11:44:26-03","UFMG","BHCB","31720","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Silveira, FA","28","1996","01","17","Southern America","Brasil","Minas Gerais","Belo Horizonte","Parque das Mangabeiras","-43.937801361084","-19.9207992553711",NA,"Campo cerrado, erva. Flores de tépalas rajadas de rosa e branco junto à base, grená quase marrom, e branco no ápice, labelo rosa.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA
"44","2020-12-11 11:44:26-03","UFMG","BHCB","134978","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Martins, CAN; Batista, JAN; Munhoz, ACD; Ramalho, AJ","18","2007","12","19","Southern America","Brasil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,"Dados de latitude e longitude com base na sede do município com base no bando de dados de cidades e vila IBGE 1998",NA,NA,"1239","1239","2007","12","18",NA,NA,"26557","auto",NA,NA,NA,NA
"45","2020-12-11 11:44:26-03","UFMG","BHCB","25521","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","pallidum",NA,"Cyrtopodium pallidum","Rchb & Warm.",NA,"Lombardi, JA","659","1994","11","09","Southern America","Brasil","Minas Gerais","Moeda","Serra da Moeda","-44.0527992248535","-20.3330993652344",NA,"Formando touceiras pendentes à borda do riacho, inflorescências com flores lilacíneas; foram observadas nos paredões úmidos e sombreados na Faz. Do Sr. Expedito.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"14750","auto",NA,NA,NA,NA
