"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","county","locality","decimalLongitude","decimalLatitude","identifiedBy","typeStatus","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","individualCount"
"19","2021-03-15 16:37:00-03","NY","NYBG","382321","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","R. M. Harley","20011","1977","03","25","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511842' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382321","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra",NA,"Serra do Rio de Contas. 10 km E of Vila do Rio de Contas on the road to Marcolino Moura.","-41.8","-13.58","L. A. Skorupa",NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","632076","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","P. T. Sano",NA,"1994","02","25","South America","Brazil","Bahia","sheet",NA,"Specimen number may be collection number <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32210' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632076","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Abaíra","Estrada Abaíra-Catolés, próximo ao Distrito de Curralinho","-41.7506","-13.3072",NA,NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01081312","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","D. B. O. S. Cardoso","2003","2007","05","06","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224575' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081312","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Morro do Chapéu","Cachoeira do Ferro-Doido.","-40.9928","-11.6253","J. A. Kallunki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","818721","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","J. R. Pirani","3673","1996","04","02","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=887737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818721","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Santana do Riacho","Cardeal Mota, Serra do Cipó, Morro da Pedreira.","-43.67","-19.33","J. R. Pirani",NA,"NY00818721_01 NY00818721_02","860","860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","382340","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus spicatus","W. Hoehne","5930","1964","12","19","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382340","Magnoliophyta","Sapindales","spicatus","A.St.-Hil.","Rio de Janeiro","Estado da Guanabara: Rio de Janeiro, Barra da Tijuca.","-43.369099","-22.995332",NA,NA,"NY00382340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","568847","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","P. T. Sano","CFCR14568","1994","02","25","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568847","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra",NA,"Abaíra. Estrada Abaíra-Catolés, próximo ao Distrito de Curralinho.","-41.7506","-13.3072","L. A. Skorupa",NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","382327","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","J. R. Pirani","1976","1987","02","13","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382327","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra","Seabra","Seabra - Mata de Cipó perturbada em alguns trechos.","-41.7703","-12.4186","J. R. Pirani",NA,"NY00382327_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","382310","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","A. M. Amorim","2049","1997","06","18","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32203' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382310","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Higrófila Sul Baiana.","-39.08","-15.15","J. A. Kallunki",NA,"NY00382310_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","03082291","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus spicatus","A. Quinet","679","2002","08","31","South America","Brazil","Rio de Janeiro","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3313367' target='other'> <mi>dwc_moreinfo</mi></a>","NY03082291","Magnoliophyta","Sapindales","spicatus","A.St.-Hil.","Armação dos Búzios","Alto da Serra das Emerenças, vertente voltada para a mata do Pau-Brasil.",NA,NA,NA,NA,"NY03082291_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","382333","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus spicatus","L. Coradin","6545","1983","07","06","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=272854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382333","Magnoliophyta","Sapindales","spicatus","A.St.-Hil.","Boninal","Estrada Boninal - Piata km 4.","-41.83","-13.22",NA,NA,"NY00382333_01","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","382378","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","J. A. Kallunki","395","1993","01","29","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=89424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382378","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Ruy Barbosa","8.5 km from Rui Barbosa along right side of old road going via Povoado Alagoas to Itaberaba.","-40.38","-12.25","J. R. Pirani",NA,"NY00382378_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","382316","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","M. Kuhlmann","3825","1956","06","28","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382316","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Ubatuba","Sao Paulo, Ubatuba.","-45.0697","-23.4303","J. A. Kallunki",NA,"NY00382316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","382312","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","S. A. Mori","9591","1978","03","17","South America","Brazil","Bahia","sheet",NA,"Flores em álcool. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32198' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382312","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Alcobaça","Rod. BA 001, a 5 km ao Sul de Alcobaça. Folha SE - 24 (18-39a).","-39.2093897","-17.568634","J. A. Kallunki",NA,NA,"10","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","382311","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","A. M. Amorim","2185","1998","01","27","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382311","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Seabra","Distrito de Bebedouro. Coletas ca. 12 km a partir do ramal que leva ao Distrito.","-41.7703","-12.4186","J. A. Kallunki",NA,"NY00382311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","632075","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","P. T. Sano",NA,"1994","02","25","South America","Brazil","Bahia","sheet",NA,"Spectnumber may be collection number. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32209' target='other'> <mi>dwc_moreinfo</mi></a>","NY00632075","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Abaíra","Estrada Abaíra-Catolés, próximo ao Distrito de Curralinho","-41.7506","-13.3072",NA,NA,NA,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","382309","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","A. M. Amorim","1054","1993","02","23","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382309","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Saúde","Cachoeira do Paulista. Entrada no Km 10 da estrada Saúde/Jacobina. Ca 6 Km a partir da entrada. Mata de Galeria.","-40.4189","-10.9411","J. A. Kallunki",NA,"NY00382309_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","382307","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","J. A. Kallunki","334","1993","01","18","South America","Brazil","Espírito Santo","sheet",NA,"Voucher for chemical study. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32207' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382307","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Piúma","Roadside at base of Morro do Agá, ca. 5 km S of Piuma on Rod. ES-60.","-40.77","-20.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","382318","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","J. G. Jardim","675","1995","07","29","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32193' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382318","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Una","Estaçao Experimental Lemos Maia (ESMAI/CEPLAC). Area de Primatas, próximo da cidade lado N. Mata Higrófila Sul Baiana.","-39.0753","-15.2933","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01112777","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus","L. J.-C. Kollmann","10536","2008","02","01","South America","Brazil","Espírito Santo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112777","Magnoliophyta","Sapindales",NA,"A.St.-Hil.","Pinheiros","Santa Rita.","-40.2131","-18.3706","J. A. Kallunki",NA,NA,"130","130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","382323","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","R. M. Harley","15249","1972","01","18","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382323","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra",NA,"Serra do Rio de Contas. On road to Abaira ca. 8 km to N of the town of Rio de Contas.","-41.78","-13.55","R. C. Kaastra",NA,NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","382324","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","R. M. Harley","16737","1974","03","05","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511837' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382324","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra",NA,"Serra do Curral Feio. 3 km N.W. of Lagoinha (5.5 km S.W. of Delfino) on the side road to Minas do Mimoso.","-41.27","-10.45","R. C. Kaastra",NA,NA,"640","640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","382326","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","A. M. V. de Carvalho","2394","1986","04","03","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382326","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra","Jacobina","20 km na estrada Jacobina/Capim Grosso. Fazenda Pau d'alho.","-40.5181","-11.1808","L. A. Skorupa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","382325","PreservedSpecimen","Plantae","Rutaceae","Pilocarpus","spicatus","Pilocarpus spicatus longeracemosus","R. M. Harley","24227","1987","02","14","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=511841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00382325","Magnoliophyta","Sapindales","longeracemosus","(Mart. ex Engl.) Kaastra","Piata","Estrada à direita da Via Piata-Boninal, Mata de Cipó.","-41.7728","-13.1519","J. R. Pirani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
