"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag"
"11","2021-03-15 16:37:00-03","NY","NYBG","01252039","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","B. V. Rabelo","3222","1985","01","06","South America","Brazil","Amapá","packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1494597' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252039","NY01252039_01 NY01252039_02","Road from Cupixi to rio Vila Nova, 8 km SSW of Cupixi","-51.87","0.53","Macapá",NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01201262","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","B. V. Rabelo","3222","1985","01","06","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452515' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201262","NY01201262_01","Road from Cupixi to rio Vila Nova, 8 km SSW of Cupixi","-51.87","0.53","Macapá",NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01201263","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.","T. D. Pennington","B. V. Rabelo","3222","1985","01","06","South America","Brazil","Amapá","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452518' target='other'> <mi>dwc_moreinfo</mi></a>","NY01201263",NA,"Road from Cupixi to rio Vila Nova, 8 km SSW of Cupixi","-51.87","0.53","Macapá",NA,NA,NA,NA
"14","2021-03-30 12:49:27-03","EAO","IAN","131412","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D. Penn.",NA,"New York Botanical Garden","51387","1961","09","30","Southern America","Brasil","Amapá",NA,"Calyx brown, petals brownish-yellow, bark flakes if with ease due to many cracks milk white, 12 m high x 20 cm diameter. Upland plant.","IAN131412",NA,"Rio Amaparí, Rancho Santa Ana.","-52.916667","-0.916667",NA,"-52.916667","-0.916667",NA,NA
"15","2021-03-30 12:49:27-03","EAO","IAN","92351","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D. Penn.",NA,"Chagas, JC","3468","1956","02","20","Southern America","Brasil","Amazonas",NA,"Arbusto de 3m de altura; frutos verde-claros. Látex alvo.","IAN092351",NA,"Margem do Igarapé do Franco. Terreno arenoso, úmido, capoeira fechada.","-60.0250015258789","-3.10193991661072","Manaus",NA,NA,"138090","auto"
"16","2012-08-18 05:19:00-03","MO","MOBOT","3430818","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D. Penn.","T. Pennington","João Murça Pires","Pires 51387","1961","9","30","South America","Brazil","Amapá",NA,NA,NA,NA,"Rio Araguari. Frequent upland plant, vicinity Camp 12.","-52.13333","1.18333",NA,NA,NA,NA,NA
"17","2012-08-18 05:19:00-03","MO","MOBOT","3430915","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D. Penn.",NA,"João Murça Pires","Pires 51428","1961","10","1","South America","Brazil","Amapá",NA,NA,NA,NA,"Rio Araguari. Vic. Camp 12.","-52.13333","1.18333",NA,NA,NA,NA,NA
"18","2020-08-31 08:54:48-03","INPA","INPA","18231","S","Plantae","Dicotyledon Asterids","Ericales","Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora","Pires & T.D.Penn.",NA,"Prance, GT","2685","1966","10","18","Southern America","Brasil","Amazonas",NA,NA,"INPA0018231",NA,"Tarumã, Cachoeira alta Taruma","-60.03","-2.87","Manaus","-60.03","-2.87",NA,NA
"19","2020-08-07 17:12:11-03","IEPA","HAMAB",NA,"PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora",NA,NA,"Mori, SA","1772","1985","01","06",NA,"Brasil","Amapá",NA,NA,NA,NA,"Cupixi","-51.866667","0.533333","Macapá","-51.866667","0.533333",NA,NA
"20","2020-08-07 17:12:11-03","IEPA","HAMAB",NA,"PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora",NA,NA,"Rabelo, BV","3078","1984","12","29",NA,"Brasil","Amapá",NA,NA,NA,NA,"Fazenda Sucupira","-53.5","1.5","Macapá","-53.5","1.5",NA,NA
"21","2020-08-07 17:12:11-03","IEPA","HAMAB",NA,"PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Pouteria","crassiflora","Pouteria crassiflora",NA,NA,"Rabelo, BV","3222","1985","01","06",NA,"Brasil","Amapá",NA,NA,NA,NA,NA,"-51.866667","0.533333","Macapá","-51.866667","0.533333",NA,NA
