"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","coordinatePrecision","geoFlag","class","individualCount"
"11","2020-12-21 16:30:44-03","MBM","MBM","340181","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.; et al.; et al.","15","2007","03","30","Southern America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Arvoreta ca. 2m de altura, fruto maduro preto. Floresta Ombrófila Densa Altomontana","MBM340181","MBM340181","Brotto, M.L.","2007","05","08",NA,NA,NA,NA,"41937","auto",NA,NA
"12","2020-12-21 16:30:44-03","MBM","MBM","165301","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Kummrow, R.; Silva, J.M.; Cordeiro, J.; Silva, J.M.; Cordeiro, J.","3354","1994","01","21","Southern America","Brazil","Paraná","Guaratuba","Morro do Araçatuba","-48.5746994018555","-25.8827991485596",NA,"Arbusto, 2,50m, flor creme. Matinha nebular.","MBM165301","MBM165301","Brotto, M.L.","2007","06","01","1400",NA,NA,"1400","41937","auto",NA,NA
"13","2020-12-21 16:30:44-03","MBM","MBM","340180","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.; et al.; et al.","8","2007","01","25","Southern America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Arvoreta ca. 3m de altura, flor creme. Florestaa Ombrófila Densa Altomontana","MBM340180","MBM340180","Brotto, M.L.","2007","05","08",NA,NA,NA,NA,"41937","auto",NA,NA
"14","2020-12-21 16:30:44-03","MBM","MBM","340178","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.; et al.; et al.","6","2007","01","25","Southern America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Arvoreta ca. 3m de altura, flor creme. Floresta Ombrófila Densa Altomontana","MBM340178","MBM340178","Brotto, M.L.","2007","05","08","1430",NA,NA,"1430","41937","auto",NA,NA
"15","2020-12-21 16:30:44-03","MBM","MBM","340179","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.; et al.; et al.","7","2007","01","25","Southern America","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Arvoreta ca. 3m de altura, flor creme. Floresta Ombrófila Densa Altomontana","MBM340179","MBM340179","Brotto, M.L.","2007","05","08","1430",NA,NA,"1430","41937","auto",NA,NA
"16","2020-12-21 16:30:44-03","MBM","MBM","340182","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.; et al.; et al.","111","2008","03","21","Southern America","Brazil","Santa Catarina","Garuva","Serra do Quiriri, Pico Garuva","-48.8549995422363","-26.0266990661621",NA,"Arvoreta 2m de altura, frutos pretos com cúpula vermelha. Floresta Ombrófila Densa Altomontana","MBM340182","MBM340182","Brotto, M.L.","2008","04","14","950",NA,NA,"950","22441","auto",NA,NA
"17","2021-02-11 17:19:19-03","UFPR","UPCB","56529","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","6","2007","01","25",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-49.05","-25.75",NA,"Arvoreta ca. 3m de altura, flor creme . Floresta Ombrófila Densa Altomontana..",NA,NA,"Brotto, M.L.","2007","05","08",NA,"-49.05","-25.75",NA,NA,NA,NA,NA
"18","2021-02-11 17:19:19-03","UFPR","UPCB","56535","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","15","2007","03","30",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-49.05","-25.75",NA,"Arvoreta ca. 2m de altura, fruto maduro preto. Floresta Ombrófila Densa Altomontana..",NA,NA,"Brotto, M.L.","2007","05","08",NA,"-49.05","-25.75",NA,NA,NA,NA,NA
"19","2021-02-11 17:19:19-03","UFPR","UPCB","67049","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","340","2009","04","19",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos.","-48.956111","-25.884444",NA,"Arbusto de 3 m de alt., fruto maduro preto com cúpula vermelha. Campo de altitude..",NA,NA,"Brotto, M.L.","2009","04","19","1400","-48.956111","-25.884444","1400",NA,NA,NA,NA
"20","2021-02-11 17:19:19-03","UFPR","UPCB","68144","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","448","2010","05","07",NA,"Brasil","Paraná","Morretes","Serra da Prata, Torre da Prata.","-48.692222","-25.623056",NA,"Árvore de 2,5 m de alt., estéril. Floresta Ombrófila Densa Altomontana..",NA,NA,"Brotto, M.L.","2010","05","07","1300","-48.692222","-25.623056","1300",NA,NA,NA,NA
"21","2021-02-11 17:19:19-03","UFPR","UPCB","68145","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","449","2008","08","27",NA,"Brasil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, rio Forquilha.","-48.844167","-25.299444",NA,"Árvore de 3 m de alt., estéril. Floresta Ombrófila Densa Altomontana..",NA,NA,"Brotto, M.L.","2010","05","10","1075","-48.844167","-25.299444","1075",NA,NA,NA,NA
"22","2021-02-11 17:19:19-03","UFPR","UPCB","68146","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","450","2009","04","11",NA,"Brasil","Paraná","Antonina","Serra do Ibitiraquire, pico Ciririca.","-48.835278","-25.290556",NA,"Árvore de 3,5 m de alt., estéril. Floresta Ombrófila Densa Altomontana..",NA,NA,"Brotto, M.L.","2010","05","10","1330","-48.835278","-25.290556","1330",NA,NA,NA,NA
"23","2021-02-11 17:19:19-03","UFPR","UPCB","56531","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","8","2007","01","25",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-49.05","-25.75",NA,"Arvoreta ca. 3m de altura, flor creme . Floresta Ombrófila Densa Altomontana..",NA,NA,"Brotto, M.L.","2007","05","08",NA,"-49.05","-25.75",NA,NA,NA,NA,NA
"24","2021-02-11 17:19:19-03","UFPR","UPCB","56530","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","7","2007","01","25",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-49.05","-25.75",NA,"Arvoreta ca. 3m de altura, flor creme . Floresta Ombrófila Densa Altomontana..",NA,NA,"Brotto, M.L.","2007","05","08",NA,"-49.05","-25.75",NA,NA,NA,NA,NA
"25","2021-02-11 17:19:19-03","UFPR","UPCB","43361","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Santos, E.P.","874","2001","03","30",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Árvore de ± 3 m, flor esverdeada. Interior de floresta ombrófila densa altomontana, 1320 m de altitude.",NA,NA,"Socher, L.G. & Santos, E.P.","2001","05",NA,NA,NA,NA,NA,"41937","auto",NA,NA
"26","2021-02-11 17:19:19-03","UFPR","UPCB","38822","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Santos, E.P.","779","1999","04","23",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,"Arvoreta de ± 3 m, frutos imaturos. Interior de floresta ombrófila densa alto-montana..",NA,NA,"Baitello, J.B.","2001","04","23","1300",NA,NA,"1300","41937","auto",NA,NA
"27","2021-02-11 17:19:19-03","UFPR","UPCB","60197","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.","111","2008","03","21",NA,"Brasil","Santa Catarina","Garuva","Serra do Quiriri, Pico Garuva","-48.8549995422363","-26.0266990661621",NA,"Arvoreta 2m de altura, frutos pretos com cúpula vermelha. Floresta Ombrófila Densa Altomontana..",NA,NA,"Brotto, M.L.","2008","04","14","950",NA,NA,"950","22441","auto",NA,NA
"28","2008-05-27 22:02:00-03","MO","MOBOT","1875608","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"R. Kummrow","Kummrow 3354","1994","1","21","South America","Brazil","Paraná",NA,"Morro do Araçatuba (mun. Guaratuba). Matinha nebular.",NA,NA,NA,NA,NA,NA,"F.G. Lorea-Hernández (MO)",NA,NA,NA,"1400.00000000",NA,NA,NA,NA,NA,NA,NA
"29","2020-08-31 09:11:04-03","INPA","INPA","147864","S","Plantae","Dicotyledon Magnoliids","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Hatschbach, GG","17324","1967","10","05","Southern America","Brasil","Sul",NA,NA,NA,NA,NA,NA,"INPA0147864","INPA0147864 INPA0147864_e","Werff, HH van der",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","3493692","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo",NA,"J. M. Silva & J. Cordeiro","526","1988","4","12","South America","Brazil","Paraná","Quatro Barras","Morro Mãe Catira","-49.0769004821777","-25.3656005859375",NA,NA,"US01348142","US01348142_01",NA,NA,NA,NA,"1300",NA,NA,NA,"17116","auto","Dicotyledonae","1"
"31","2020-09-12 05:00:02-03","US","US","2706477","PreservedSpecimen","Plantae",NA,"Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo","Isotype","G. Hatschbach","6682","1960","1","31","South America","Brazil","Paraná","Guaratuba","Serra de Aracatuba.","-48.5746994018555","-25.8827991485596",NA,NA,"US00051082","US00051082_01",NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto","Dicotyledonae","1"
"32","2020-10-15 09:53:52-03","UFPR","EFC","15634","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Souza, I.",NA,"2017","04","20",NA,"Brasil","Paraná","Tijucas do Sul","Morro dos Perdidos","-48.9929","-25.9022",NA,"Arbusto 80cm, frutos roxos. Sob organossolo. Estepe Gramíneo-Lenhosa ","EFC015634",NA,"Souza, I.","2017","04","21","1400","-48.9929","-25.9022","1400",NA,NA,NA,NA
"33","2019-12-09 17:30:05-03","UFPR","EFC","10736","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Roderjan, C.V.","1830","2009","04","09",NA,"Brasil","Paraná","Guaratuba","Morro dos Perdidos","-48.9562","-25.8893",NA,"Árvore 2m pouco comum em floresta altomontana, 1500m s.n.m. Estéril. __COMMOM_NAME__: Canela","EFC010736",NA,"Brotto, M.L.","2012","11","06","1500","-48.9562","-25.8893","1500",NA,NA,NA,NA
"34","2019-12-09 17:30:05-03","UFPR","EFC","10630","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Brotto, M.L.; Santos, E.P.; Dorneles, R.C.","6","2007","01","25",NA,"Brasil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos","-48.9965","-25.9031",NA,"Arvoreta ca. 3m de altura, flor creme.","EFC010630",NA,NA,"2010","04","05",NA,"-48.9965","-25.9031",NA,NA,NA,NA,NA
"35","2021-03-25 13:52:21-03","UNIVILLE","JOI","18399","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Vieira, F.C.S.","2591","2019","04","11",NA,"Brasil","Santa Catarina","Joinville","Pico central do Jurapê.","-49.014444","-26.2675",NA,NA,"JOI018399",NA,"Vieira, F.C.S.","2019","05","20","1000","49º0'52''W","26º16'3''S","1000",NA,NA,NA,NA
"36","2020-11-12 17:00:37-03","UEL","FUEL","48010","PreservedSpecimen","Plantae","Tracheophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"Kummrow, R; Silva, JM; Cordeiro, J","3384","1994","01","21",NA,"Brasil","Paraná","Guaratuba","Serra do Araçatuba, mantinha nebular, próximo ao cume","-48.5746994018555","-25.8827991485596",NA,NA,"FUEL004384",NA,"Brotto, ML","2017","08","15","1400",NA,NA,"1400","41937","auto",NA,NA
"37","2021-03-04 15:43:52-03","IF","SPSF","44130","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"M.L.Brotto & E.P.Santos","15","2007","03","30","América do Sul","Brasil","PR","Guaratuba","Serra de Araçatuba","-49.05","-25.75",NA,"COLETA: Floresta Ombrófila Densa Altomontana.&nf;Arvoreta 2m. Altura, frutos maduros negros.; GEOGRAFIA: Morro dos Perdidos.;",NA,NA,"M.L.Brotto","2007","05","08","1270",NA,NA,"1270",NA,NA,"Magnoliopsida",NA
"38","2021-03-04 15:43:52-03","IF","SPSF","44136","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"M.L.Brotto & E.P.Santos & R.C.Dorneles","07","2007","01","25","América do Sul","Brasil","PR","Guaratuba","Serra de Araçatuba","-49.05","-25.75",NA,"COLETA: Floresta Ombrófila Densa Altomontana.&nf;Arvoreta 3m altura; flores cor creme.; GEOGRAFIA: Morro dos Perdidos&nf;EX UPCB;",NA,NA,"M.L.Brotto","2007","05","08","1430",NA,NA,"1430",NA,NA,"Magnoliopsida",NA
"39","2021-03-04 15:43:52-03","IF","SPSF","44631","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"M.L.Brotto","484","2010","11","02","América do Sul","Brasil","PR","Morretes","Serra da Prata","-48.692778","-25.623056",NA,"COLETA: Floresta Ombrófila Densa Altomontana&nf;Árvore 3m altura; flores esverdeadas; GEOGRAFIA: Torre da Prata;",NA,NA,NA,NA,NA,NA,"1250",NA,NA,"1250",NA,NA,"Magnoliopsida",NA
"40","2021-03-04 15:43:52-03","IF","SPSF","44148","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii","Vattimo-Gil",NA,"M.L.Brotto & E.P.Santos & R.C.Dorneles","08","2007","01","25","América do Sul","Brasil","PR","Guaratuba","Serra de Araçatuba","-49.05","-25.75",NA,"COLETA: Floresta Ombrófila Densa Altomontana&nf;Arvoreta 3m altura; flores cor creme.; GEOGRAFIA: Morro dos Perdidos.&nf;EX UPCB;",NA,NA,"M.L.Brotto","2007","05","08","1430",NA,NA,"1430",NA,NA,"Magnoliopsida",NA
"41","2021-03-04 15:43:52-03","IF","SPSF","27956","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Cinnamomum","hatschbachii","Cinnamomum hatschbachii",NA,NA,"E.P.Santos","779","1999","04","23","América do Sul","Brasil","PR","Guaratuba","Serra de Araçatuba","-48.5746994018555","-25.8827991485596",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: floresta umbrofila densa alto montana&nf;;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto","Magnoliopsida",NA
