dataset,lines,cols
Aspidosperma quirandy splink,109,34
Aspidosperma riedelii gbif,167,51
Aspidosperma riedelii splink,149,34
Aspilia espinhacensis gbif,4,40
Aspilia espinhacensis splink,4,30
Aspilia floribunda gbif,354,55
Aspilia floribunda splink,289,33
Asplenium austrobrasiliense gbif,149,48
Asplenium austrobrasiliense splink,102,33
Asplenium bradeanum gbif,8,42
Asplenium bradeanum splink,7,32
Asplundia brachypus gbif,193,51
Asplundia brachypus splink,166,34
Asterostigma colubrinum gbif,176,49
Asterostigma colubrinum splink,5,32
Asterostigma cubense gbif,3,33
Asterostigma cubense splink,3,30
Asterostigma tweedianum gbif,32,43
Asterostigma tweedianum splink,40,32
Astronium urundeuva gbif,2116,56
Astronium urundeuva splink,2071,34
Athenaea fasciculata gbif,36183,58
Athenaea fasciculata splink,2717,34
Athenaea sellowiana gbif,27,46
Athenaea sellowiana splink,25,32
Atractylocarpus brasiliensis gbif,32,47
Atractylocarpus brasiliensis splink,21,33
Aulonemia setosa gbif,24,48
Aulonemia setosa splink,17,30
Austrocritonia angulicaulis gbif,84,49
Austrocritonia angulicaulis splink,41,33
Austroeupatorium rosmarinaceum gbif,29,49
Austroeupatorium rosmarinaceum splink,15,32
Avena strigosa gbif,1901,57
Avena strigosa splink,124,33
Axonopus argentinus gbif,428,51
Axonopus argentinus splink,294,34
Axonopus carajasensis gbif,2135,54
Axonopus carajasensis splink,17,32
Axonopus comans gbif,180,47
Axonopus comans splink,92,32
Axonopus monticola gbif,2135,54
Axonopus monticola splink,10,32
Axonopus uninodis gbif,180,47
Axonopus uninodis splink,19,32
Baccharis aracatubensis gbif,69217,58
Baccharis aracatubensis splink,142,32
Baccharis elliptica gbif,240,50
Baccharis elliptica splink,214,33
Baccharis pseudoalpestris gbif,69536,58
Baccharis pseudoalpestris splink,779,34
Baccharis sphenophylla gbif,308,52
Baccharis sphenophylla splink,193,33
Bacopa congesta gbif,108,47
Bacopa congesta splink,74,34
Balfourodendron riedelianum gbif,1176,54
Balfourodendron riedelianum splink,1086,33
Banisteriopsis parviflora gbif,77,53
Banisteriopsis parviflora splink,52,34
Barbosella dusenii gbif,86,50
Barbosella dusenii splink,66,33
Barnebya dispar gbif,74,48
Barnebya dispar splink,47,32
Begonia brevilobata gbif,4,37
Begonia brevilobata splink,6,29
Begonia coccinea gbif,87889,58
Begonia coccinea splink,49,34
Begonia dentatiloba gbif,226,54
Begonia dentatiloba splink,32,33
Begonia handroi gbif,19,37
Begonia handroi splink,15,28
Begonia itatinensis gbif,101,45
Begonia itatinensis splink,96,32
Begonia paranaensis gbif,53,47
Begonia paranaensis splink,44,32
Begonia paulensis gbif,21,47
Begonia paulensis splink,19,33
Begonia piresiana gbif,12,38
Begonia piresiana splink,11,28
Begonia salesopolensis gbif,57,41
Begonia salesopolensis splink,50,32
Begonia santoslimae gbif,68,42
Begonia santoslimae splink,58,32
Begonia toledoana gbif,39,43
Begonia toledoana splink,41,33
Beilschmiedia fluminensis gbif,36,44
Beilschmiedia fluminensis splink,35,32
Bernardia pulchella gbif,1523,56
Bernardia pulchella splink,1228,34
Bertolonia hoehneana gbif,14,46
Bertolonia hoehneana splink,11,33
Bidens bipinnata gbif,5349,58
Bidens bipinnata splink,604,34
Bifrenaria racemosa gbif,31,45
Bifrenaria racemosa splink,25,30
Bifrenaria tyrianthina gbif,95,48
Bifrenaria tyrianthina splink,84,33
Billbergia nutans gbif,782,57
Billbergia nutans splink,660,34
Billbergia pyramidalis gbif,6318,58
Billbergia pyramidalis splink,238,34
Blumenbachia scabra gbif,1672,58
Blumenbachia scabra splink,525,34
Bowdichia virgilioides gbif,3522,55
Bowdichia virgilioides splink,3127,34
Brachionidium restrepioides gbif,20,46
Brachionidium restrepioides splink,17,33
Brosimum glaziovii gbif,239,49
Brosimum glaziovii splink,194,33
Brugmansia suaveolens gbif,2006,58
Brugmansia suaveolens splink,858,34
Butia eriospatha gbif,123,52
Butia eriospatha splink,102,33
Byttneria scabra gbif,706,54
Byttneria scabra splink,635,34
Calea acaulis gbif,103,48
Calea acaulis splink,65,31
Calea gentianoides gbif,59,46
Calea gentianoides splink,47,33
Calea heteropappa gbif,47,43
Calea heteropappa splink,40,33
Calea polycephala gbif,65,46
Calea polycephala splink,52,32
Calibrachoa humilis gbif,7242,58
Calibrachoa humilis splink,26,32
Callianthe latipetala gbif,23,42
Callianthe latipetala splink,22,32
Callisthene castellanosii gbif,65,46
Callisthene castellanosii splink,48,32
Camarea hirsuta gbif,166,50
Camarea hirsuta splink,143,33
Cambessedesia glaziovii gbif,106,49
Cambessedesia glaziovii splink,95,33
Campomanesia hirsuta gbif,71,49
Campomanesia hirsuta splink,53,33
Campomanesia neriiflora gbif,260,50
Campomanesia neriiflora splink,242,33
Campomanesia phaea gbif,174,52
Campomanesia phaea splink,164,34
Campomanesia reitziana gbif,156,49
Campomanesia reitziana splink,139,34
Campylocentrum spannagelii gbif,81,45
Campylocentrum spannagelii splink,56,32
Capanemia therezae gbif,867,55
Capanemia therezae splink,80,33
Cariniana legalis gbif,582,53
Cariniana legalis splink,487,33
Casearia lasiophylla gbif,919,50
Casearia lasiophylla splink,821,33
Casearia paranaensis gbif,115,53
Casearia paranaensis splink,99,33
Catasetum atratum gbif,4358,57
Catasetum atratum splink,46,33
Cattleya bicolor gbif,109,52
Cattleya bicolor splink,116,34
Cattleya crispa gbif,26,44
Cattleya crispa splink,27,33
Cattleya intermedia gbif,59720,58
Cattleya intermedia splink,216,34
Cattleya jongheana gbif,34,44
Cattleya jongheana splink,10,31
Cattleya labiata gbif,59657,58
Cattleya labiata splink,225,34
Cattleya pumila gbif,5923,57
Cattleya pumila splink,61,32
Cattleya purpurata gbif,96,53
Cattleya purpurata splink,54,34
Cattleya tigrina gbif,59707,58
Cattleya tigrina splink,72,33
Cattleya wittigiana gbif,535,53
Cattleya wittigiana splink,61,33
Cayaponia bonariensis gbif,13820,58
Cayaponia bonariensis splink,672,35
Cayaponia trilobata gbif,83,52
Cayaponia trilobata splink,54,33
Cedrela fissilis gbif,2534,58
Cedrela fissilis splink,2187,34
Cedrela odorata gbif,4762,58
Cedrela odorata splink,1512,34
Centrosema jaraguaense gbif,5,38
Centrosema jaraguaense splink,4,30
Chaetogastra versicolor gbif,267,50
Chaetogastra versicolor splink,247,34
Chaetostoma glaziovii gbif,198,51
Chaetostoma glaziovii splink,122,34
Chamaecrista aristata gbif,20522,59
Chamaecrista aristata splink,65,33
Chamaecrista choriophylla gbif,109,51
Chamaecrista choriophylla splink,192,34
Chamaecrista trachycarpa gbif,80,49
Chamaecrista trachycarpa splink,61,33
Chascolytrum brasilense gbif,9330,57
Chascolytrum brasilense splink,15,30
Chaubardia gehrtiana gbif,6,39
Chaubardia gehrtiana splink,5,30
Cheilanthes regnelliana gbif,72,47
Cheilanthes regnelliana splink,48,33
Chionanthus filiformis gbif,455,50
Chionanthus filiformis splink,417,33
Chionanthus subsessilis gbif,25,46
Chionanthus subsessilis splink,19,32
Chiropetalum tricoccum gbif,272,52
Chiropetalum tricoccum splink,179,34
Chloroleucon tortum gbif,264,57
Chloroleucon tortum splink,141,34
Chomelia brasiliana gbif,595,51
Chomelia brasiliana splink,453,33
Chomelia obtusa gbif,2229,55
Chomelia obtusa splink,1929,34
Christiana macrodon gbif,28,44
Christiana macrodon splink,27,32
Chromolaena elliptica gbif,579,57
Chromolaena elliptica splink,98,33
Chromolaena latisquamulosa gbif,62,43
Chromolaena latisquamulosa splink,57,32
Chromolaena paraguariensis gbif,817,52
Chromolaena paraguariensis splink,51,34
Chromolaena rhinanthacea gbif,52,49
Chromolaena rhinanthacea splink,27,33
Chrysophyllum flexuosum gbif,27287,59
Chrysophyllum flexuosum splink,717,34
Chrysophyllum imperiale gbif,68,49
Chrysophyllum imperiale splink,34,33
Chrysophyllum inornatum gbif,673,50
Chrysophyllum inornatum splink,605,34
Chrysophyllum paranaense gbif,101,50
Chrysophyllum paranaense splink,83,33
Chrysophyllum viride gbif,203,50
Chrysophyllum viride splink,240,33
Chusquea anelythra gbif,152,48
Chusquea anelythra splink,117,33
Chusquea attenuata gbif,125,48
Chusquea attenuata splink,107,32
Chusquea erecta gbif,10,47
Chusquea erecta splink,8,32
Chusquea pinifolia gbif,320,49
Chusquea pinifolia splink,257,32
Chusquea pulchella gbif,24,47
Chusquea pulchella splink,20,32
Chusquea tenuiglumis gbif,59,45
Chusquea tenuiglumis splink,57,33
Cinnamodendron occhionianum gbif,13,42
Cinnamodendron occhionianum splink,8,31
Cinnamomum erythropus gbif,173,50
Cinnamomum erythropus splink,101,34
Cirrhaea fuscolutea gbif,49,46
Cirrhaea fuscolutea splink,19,33
Cirrhaea loddigesii gbif,136,49
Cirrhaea loddigesii splink,16,30
Cirrhaea longiracemosa gbif,8,42
Cirrhaea longiracemosa splink,12,29
Cissus serroniana gbif,60,46
Cissus serroniana splink,42,33
Clematis campestris gbif,1307,56
Clematis campestris splink,431,34
Cnidoscolus froesii gbif,26406,58
Cnidoscolus froesii splink,79,34
Codonanthe carnosa gbif,8186,58
Codonanthe carnosa splink,44,33
Coffea arabica gbif,15634,58
Coffea arabica splink,1557,34
Colanthelia macrostachya gbif,4181,57
Colanthelia macrostachya splink,13,27
Comanthera elegans gbif,178,51
Comanthera elegans splink,142,34
Cordia silvestris gbif,303,53
Cordia silvestris splink,264,34
Cordia trichoclada gbif,479,52
Cordia trichoclada splink,376,33
Couepia meridionalis gbif,7,39
Couepia meridionalis splink,1,20
Coussarea accedens gbif,116,45
Coussarea accedens splink,78,32
Cratylia isopetala gbif,308,52
Cratylia isopetala splink,231,33
Crinum americanum gbif,8569,58
Crinum americanum splink,251,33
Croton hemiargyreus gbif,89,51
Croton hemiargyreus splink,67,34
Croton priscus gbif,68,48
Croton priscus splink,52,33
Croton serratifolius gbif,560,54
Croton serratifolius splink,361,34
Croton sphaerogynus gbif,199,50
Croton sphaerogynus splink,115,33
Cryptanthus minarum gbif,5,42
Cryptanthus minarum splink,4,29
Cryptocarya botelhensis gbif,86,46
Cryptocarya botelhensis splink,73,33
Cryptocarya micrantha gbif,149,49
Cryptocarya micrantha splink,111,33
Ctenium brevispicatum gbif,232,49
Ctenium brevispicatum splink,185,33
Ctenium cirrosum gbif,277,48
Ctenium cirrosum splink,112,34
Cupania concolor gbif,74,49
Cupania concolor splink,66,33
Cupania furfuracea gbif,118,48
Cupania furfuracea splink,108,33
Cuphea arenarioides gbif,50,46
Cuphea arenarioides splink,45,33
Cuphea lindmaniana gbif,359,51
Cuphea lindmaniana splink,297,34
Curtia tenuifolia gbif,1591,54
Curtia tenuifolia splink,1598,34
Cuscuta obtusiflora gbif,253,57
Cuscuta obtusiflora splink,47,34
Cyathea poeppigii gbif,62295,59
Cyathea poeppigii splink,317,33
Cyrtopodium hatschbachii gbif,57,47
Cyrtopodium hatschbachii splink,44,33
Cyrtopodium lissochiloides gbif,11,45
Cyrtopodium lissochiloides splink,11,33
Cyrtopodium palmifrons gbif,52,51
Cyrtopodium palmifrons splink,39,33
Cyrtopodium parviflorum gbif,211,54
Cyrtopodium parviflorum splink,168,33
Dahlstedtia muehlbergiana gbif,679,51
Dahlstedtia muehlbergiana splink,596,34
Dalbergia nigra gbif,958,55
Dalbergia nigra splink,841,33
Dalechampia leandrii gbif,91,50
Dalechampia leandrii splink,114,33
Dasyphyllum lanceolatum gbif,117,49
Dasyphyllum lanceolatum splink,95,33
Declieuxia cordigera gbif,538,54
Declieuxia cordigera splink,895,34
Declieuxia oenanthoides gbif,67,44
Declieuxia oenanthoides splink,610,34
Dendropanax nebulosus gbif,29,44
Dendropanax nebulosus splink,25,32
Desmodium subsecundum gbif,720,53
Desmodium subsecundum splink,681,34
Dichaea mosenii gbif,15,39
Dichaea mosenii splink,13,32
Dicksonia sellowiana gbif,1920,57
Dicksonia sellowiana splink,1030,34
Digitaria corynotricha gbif,231,50
Digitaria corynotricha splink,149,34
Dimorphandra wilsonii gbif,69,44
Dimorphandra wilsonii splink,68,32
Dioscorea asperula gbif,10,46
Dioscorea asperula splink,10,31
Dioscorea sanpaulensis gbif,31,41
Dioscorea sanpaulensis splink,27,26
Dioscorea trilinguis gbif,63,50
Dioscorea trilinguis splink,46,34
Diplusodon villosissimus gbif,254,49
Diplusodon villosissimus splink,243,34
Dipteryx alata gbif,1261,53
Dipteryx alata splink,1090,33
Doryopteris rediviva gbif,214,50
Doryopteris rediviva splink,141,33
Dryadella auriculigera gbif,20291,57
Dryadella auriculigera splink,7,29
Duguetia salicifolia gbif,61,48
Duguetia salicifolia splink,52,32
Dyckia minarum gbif,136,50
Dyckia minarum splink,110,33
Dyckia tuberosa gbif,361,51
Dyckia tuberosa splink,318,34
Echinodorus paniculatus gbif,754,57
Echinodorus paniculatus splink,436,34
Elaphoglossum herminieri gbif,486,55
Elaphoglossum herminieri splink,72,33
Elaphoglossum itatiayense gbif,84,49
Elaphoglossum itatiayense splink,57,33
Elaphoglossum paulistanum gbif,68,47
Elaphoglossum paulistanum splink,57,33
Elaphoglossum scolopendrifolium gbif,866,55
Elaphoglossum scolopendrifolium splink,134,34
Epidendrum geniculatum splink,57,33
Epidendrum henschenii splink,30,33
Epidendrum parahybunense splink,70,33
Epidendrum saxatile splink,251,34
Eragrostis neesii splink,578,34
Eremanthus brasiliensis splink,426,33
Eremanthus praetermissus splink,25,32
Eriotheca pubescens splink,461,34
Eryngium eurycephalum splink,164,33
Eryngium koehneanum splink,58,33
Eryngium scirpinum splink,137,33
Erythroxylum catharinense splink,39,32
Erythroxylum cuneifolium splink,1654,34
Erythroxylum myrsinites splink,530,33
Escallonia chlorophylla splink,155,34
Escallonia petrophila splink,63,33
Escobedia grandiflora splink,356,34
Esenbeckia hieronymi splink,105,34
Esenbeckia leiocarpa splink,458,34
Esterhazya caesarea splink,61,34
Eubrachion ambiguum splink,252,33
Eugenia arenosa splink,66,32
Eugenia bahiensis splink,324,33
Eugenia bunchosiifolia splink,73,34
Eugenia disperma splink,497,34
Eugenia handroi splink,698,35
Eugenia hermesiana splink,15,32
Eugenia lambertiana splink,836,35
Eugenia longibracteata splink,11,32
Eugenia longipetiolata splink,5,32
Eugenia macrobracteolata splink,25,32
Eugenia malacantha splink,87,33
Eugenia nutans splink,155,34
Eugenia peruibensis splink,13,29
Eugenia pisiformis splink,601,34
Eugenia pithecocephala splink,2,28
Eugenia plicata splink,38,32
Eugenia prasina splink,650,34
Eugenia pruinosa splink,89,33
Eugenia pseudomalacantha splink,23,32
Eugenia squamiflora splink,49,33
Eugenia subundulata splink,81,33
Eugenia tenuipedunculata splink,532,35
Eugenia vattimoana splink,58,33
Eugenia zuccarinii splink,243,33
Euphorbia attastoma splink,64,33
Euplassa cantareirae splink,122,33
Euplassa hoehnei splink,35,32
Euplassa incana splink,116,34
Euterpe edulis splink,566,33
Evolvulus barbatus splink,79,34
Evolvulus chrysotrichos splink,19,31
Evolvulus riedelii splink,34,32
Faramea stipulacea splink,279,33
Ficus hirsuta splink,244,33
Ficus pulchella splink,205,33
Froelichia interrupta splink,643,34
Froelichia procera splink,247,34
Galianthe peruviana splink,411,33
Galium equisetoides splink,172,33
Galium humile splink,149,33
Gaylussacia montana splink,287,34
Gelasine coerulea splink,210,33
Genlisea repens gbif,195,52
Genlisea repens splink,169,33
Goeppertia zebrina gbif,8373,58
Goeppertia zebrina splink,311,33
Gomesa ciliata gbif,511,53
Gomesa ciliata splink,137,32
Gomesa concolor gbif,284,56
Gomesa concolor splink,349,34
Gomesa cuneata gbif,10787,58
Gomesa cuneata splink,12,32
Gomesa florida gbif,338,52
Gomesa florida splink,245,33
Gomesa jucunda gbif,55,47
Gomesa jucunda splink,42,32
Gomesa laxiflora gbif,159,52
Gomesa laxiflora splink,47,33
Gomesa majevskyae gbif,18,38
Gomesa majevskyae splink,15,31
Gomesa pectoralis gbif,184,53
Gomesa pectoralis splink,22,33
Gomesa praetexta gbif,369,53
Gomesa praetexta splink,126,33
Gomesa sarcodes gbif,86,54
Gomesa sarcodes splink,50,33
Gomesa uniflora gbif,11267,58
Gomesa uniflora splink,396,34
Gonatogyne brasiliensis gbif,83,47
Gonatogyne brasiliensis splink,478,33
Goniopteris littoralis gbif,9,37
Goniopteris littoralis splink,8,32
Gouania inornata gbif,48,49
Gouania inornata splink,43,33
Gouania ulmifolia gbif,477,51
Gouania ulmifolia splink,435,33
Grandiphyllum auricula gbif,109,53
Grandiphyllum auricula splink,71,33
Grandiphyllum hians gbif,59538,58
Grandiphyllum hians splink,47,32
Griffinia espiritensis gbif,40,47
Griffinia espiritensis splink,37,32
Griffinia liboniana gbif,55,48
Griffinia liboniana splink,58,32
Griselinia ruscifolia gbif,767,56
Griselinia ruscifolia splink,738,34
Grobya fascifera gbif,21,41
Grobya fascifera splink,22,33
Guapira nitida gbif,10665,57
Guapira nitida splink,320,33
Guettarda platyphylla gbif,2875,56
Guettarda platyphylla splink,58,32
Guzmania monostachia gbif,865,56
Guzmania monostachia splink,180,34
Gymnopogon burchellii gbif,99,48
Gymnopogon burchellii splink,73,33
Gymnopogon doellii gbif,3866,58
Gymnopogon doellii splink,17,32
Gyptis lanigera gbif,377,52
Gyptis lanigera splink,171,34
Habenaria armata gbif,47244,58
Habenaria armata splink,120,33
Habenaria brachyplectron gbif,19,48
Habenaria brachyplectron splink,17,29
Habenaria crucifera gbif,75,48
Habenaria crucifera splink,72,33
Habenaria hexaptera gbif,170,53
Habenaria hexaptera splink,144,34
Habenaria leucosantha gbif,105,50
Habenaria leucosantha splink,76,34
Habenaria novaesii gbif,7,43
Habenaria novaesii splink,7,30
Habenaria regnellii gbif,920,56
Habenaria regnellii splink,82,33
Habenaria santensis gbif,21,33
Habenaria santensis splink,3,19
Habenaria trifida gbif,47551,58
Habenaria trifida splink,461,33
Handroanthus botelhensis gbif,17,46
Handroanthus botelhensis splink,16,33
Handroanthus impetiginosus gbif,3029,58
Handroanthus impetiginosus splink,2377,34
Hatschbachiella tweedieana gbif,606,54
Hatschbachiella tweedieana splink,216,33
Hedychium coronarium gbif,2852,58
Hedychium coronarium splink,1009,34
Heisteria perianthomega gbif,15312,58
Heisteria perianthomega splink,463,34
Herbstia brasiliana gbif,62,50
Herbstia brasiliana splink,45,33
Heteranthera reniformis gbif,9323,58
Heteranthera reniformis splink,1498,34
Heteranthera zosterifolia gbif,261,54
Heteranthera zosterifolia splink,158,33
Heterocondylus amphidyctius gbif,231,52
Heterocondylus amphidyctius splink,117,34
Heteropterys brasiliensis gbif,8,43
Heteropterys brasiliensis splink,7,30
Heteropterys conformis gbif,22,46
Heteropterys conformis splink,18,33
Heteropterys patens gbif,152,49
Heteropterys patens splink,121,34
Heteropterys thyrsoidea gbif,58,45
Heteropterys thyrsoidea splink,53,32
Hibiscus diversifolius gbif,1124,57
Hibiscus diversifolius splink,123,34
Hippeastrum morelianum gbif,122,50
Hippeastrum morelianum splink,134,32
Hippeastrum psittacinum gbif,98,49
Hippeastrum psittacinum splink,65,32
Hippeastrum reginae gbif,332,58
Hippeastrum reginae splink,71,33
Hippeastrum striatum gbif,367,58
Hippeastrum striatum splink,148,34
Hippeastrum vittatum gbif,304,58
Hippeastrum vittatum splink,47,34
Hiraea macrophylla gbif,32617,58
Hiraea macrophylla splink,72,33
Hirtella angustifolia gbif,22,42
Hirtella angustifolia splink,83,33
Hirtella glaziovii gbif,30,47
Hirtella glaziovii splink,23,30
Hohenbergia ridleyi gbif,250,50
Hohenbergia ridleyi splink,105,32
Holocheilus hieracioides gbif,444,53
Holocheilus hieracioides splink,480,33
Houlletia brocklehurstiana gbif,59,47
Houlletia brocklehurstiana splink,37,32
Huberia insignis gbif,127,51
Huberia insignis splink,101,33
Huberia laurina gbif,53,52
Huberia laurina splink,43,33
Hydrocotyle exigua gbif,187,50
Hydrocotyle exigua splink,155,34
Hydrocotyle pusilla gbif,428,56
Hydrocotyle pusilla splink,217,33
Hymenachne condensata gbif,74,49
Hymenachne condensata splink,71,34
Hymenachne donacifolia gbif,32398,58
Hymenachne donacifolia splink,399,33
Hymenachne pernambucensis gbif,31905,58
Hymenachne pernambucensis splink,441,33
Hymenophyllum crispum gbif,448,57
Hymenophyllum crispum splink,226,34
Hymenophyllum elegans gbif,572,53
Hymenophyllum elegans splink,330,34
Hypericum mutilum gbif,4638,58
Hypericum mutilum splink,205,34
Hypericum piriai gbif,767,54
Hypericum piriai splink,92,33
Hypericum rigidum gbif,599,58
Hypericum rigidum splink,493,34
Hyptis lagenaria gbif,72,49
Hyptis lagenaria splink,65,33
Hyptis lobata gbif,7,40
Hyptis lobata splink,7,25
Ichnanthus bambusiflorus gbif,548,48
Ichnanthus bambusiflorus splink,448,33
Ichnanthus lancifolius gbif,131,51
Ichnanthus lancifolius splink,100,34
Ilex integerrima gbif,548,52
Ilex integerrima splink,495,34
Ilex paraguariensis gbif,2975,57
Ilex paraguariensis splink,2396,34
Inga bollandii gbif,108,46
Inga bollandii splink,86,32
Inga bullata gbif,83,48
Inga bullata splink,52,33
Inga lanceifolia gbif,103,47
Inga lanceifolia splink,65,33
Inga lenticellata gbif,130,49
Inga lenticellata splink,72,33
Inga lentiscifolia gbif,244,50
Inga lentiscifolia splink,205,33
Inga maritima gbif,315,49
Inga maritima splink,183,33
Inga praegnans gbif,21,44
Inga praegnans splink,18,31
Inga sellowiana gbif,239,50
Inga sellowiana splink,213,33
Ipomoea acutisepala gbif,149,49
Ipomoea acutisepala splink,114,33
Ipomoea aprica gbif,209,51
Ipomoea aprica splink,226,34
Ipomoea argentea gbif,38667,58
Ipomoea argentea splink,460,34
Ipomoea campestris gbif,38469,58
Ipomoea campestris splink,137,34
Ipomoea cynanchifolia gbif,134,50
Ipomoea cynanchifolia splink,155,33
Isabelia virginalis gbif,79,50
Isabelia virginalis splink,73,33
Isostigma peucedanifolium gbif,1996,58
Isostigma peucedanifolium splink,505,34
Ixora schottiana gbif,336,50
Ixora schottiana splink,22,28
Jacquemontia glabrescens gbif,14,41
Jacquemontia glabrescens splink,12,33
Joannesia princeps gbif,518,54
Joannesia princeps splink,431,33
Jungermannia decolor gbif,19,49
Jungermannia decolor splink,2,31
Justicia genuflexa gbif,2549,58
Justicia genuflexa splink,52,33
Justicia pygmaea gbif,62,49
Justicia pygmaea splink,52,32
Justicia tijucensis gbif,76,49
Justicia tijucensis splink,16,33
Kielmeyera decipiens gbif,33,41
Kielmeyera decipiens splink,30,32
Lacistema lucidum gbif,236,50
Lacistema lucidum splink,219,33
Lafoensia replicata gbif,2038,56
Lafoensia replicata splink,2268,34
Lamanonia ulei gbif,2610,56
Lamanonia ulei splink,9,32
Lantana canescens gbif,6586,58
Lantana canescens splink,953,34
Leandra amplexicaulis gbif,459,51
Leandra amplexicaulis splink,359,33
Leandra aurea gbif,2718,54
Leandra aurea splink,2438,34
Leandra brackenridgei gbif,141,48
Leandra brackenridgei splink,128,34
Leandra calvescens gbif,40,47
Leandra calvescens splink,32,32
Leandra carassana gbif,1552,54
Leandra carassana splink,1250,34
Leandra humilis gbif,7407,57
Leandra humilis splink,88,34
Leandra lapae gbif,10,43
Leandra lapae splink,7,30
Leandra limbata gbif,13,43
Leandra limbata splink,11,31
Leandra mattosii gbif,5,41
Leandra mattosii splink,4,27
Leandra quinquenodis gbif,126,49
Leandra quinquenodis splink,97,33
Leandra regnellii gbif,1495,52
Leandra regnellii splink,1324,33
Leandra salicina gbif,236,50
Leandra salicina splink,170,33
Leandra sparsisetulosa gbif,5,46
Leandra sparsisetulosa splink,4,27
Leandra strigilliflora gbif,202,52
Leandra strigilliflora splink,139,34
Leandra uliginosa gbif,17,47
Leandra uliginosa splink,12,29
Leandra umbellata gbif,6244,56
Leandra umbellata splink,98,33
Leandra xantholasia gbif,215,51
Leandra xantholasia splink,158,34
Lecythis lanceolata gbif,761,55
Lecythis lanceolata splink,1756,35
Leersia ligularis gbif,372,57
Leersia ligularis splink,66,34
Lellingeria itatimensis gbif,10,44
Lellingeria itatimensis splink,151,32
Lepanthopsis densiflora gbif,3,39
Lepanthopsis densiflora splink,4,30
Lepidaploa chamissonis gbif,246,50
Lepidaploa chamissonis splink,192,32
Lessingianthus argenteus gbif,160,52
Lessingianthus argenteus splink,118,33
Lessingianthus elegans gbif,422,50
Lessingianthus elegans splink,381,33
Lessingianthus grandiflorus gbif,654,51
Lessingianthus grandiflorus splink,472,33
Lessingianthus niederleinii gbif,365,50
Lessingianthus niederleinii splink,260,33
Lessingianthus pumillus gbif,654,51
Lessingianthus pumillus splink,74,33
Lessingianthus reitzianus gbif,44,44
Lessingianthus reitzianus splink,39,32
Lessingianthus zuccarinianus gbif,161,49
Lessingianthus zuccarinianus splink,131,33
Licania indurata gbif,15,45
Licania indurata splink,10,28
Linum carneum gbif,62,47
Linum carneum splink,50,34
Lithachne horizontalis gbif,60,48
Lithachne horizontalis splink,48,33
Lobelia anceps gbif,2876,57
Lobelia anceps splink,99,33
Lobelia hederacea gbif,517,54
Lobelia hederacea splink,396,34
Lobelia nummularioides gbif,150,50
Lobelia nummularioides splink,114,34
Lobelia xalapensis gbif,16583,58
