nome_aceito_correto,nomes_originais,elegivel_produto_1,notas_all,cat_ameaca_cr_lac,cat_ameaca_iucn,cat_ameaca_mpo_sp,cat_ameaca_br,cat_ameaca_cncflora,cat_ameaca_sp,cat_ameaca_geral,splink_t20,gbif_t20,splink_rbcv,gbif_rbcv,splink_sp,gbif_sp,sum,especialista
Widgrenia corymbosa,Widgrenia corymbosa,apta,NA,NA,NA,EX,NA,NA,EX,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Ilex integerrima,Ilex grandis-Ilex integerrima,apta,Nome original era sinônimo-NA,NA-NA,LC-VU,NA-NA,NA-NA,NA-VU,NA-NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Ilex paraguariensis,Ilex paraguariensis,apta,NA,NA,LR/nt,NA,NA,LC,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Anthurium jureianum,Anthurium jureianum,apta,NA,NA,NA,NA,VU,VU,NA,entra,TRUE,NA,FALSE,NA,TRUE,NA,2,NA
Anthurium langsdorffii,Anthurium langsdorffii,apta,NA,NA,NA,NA,EN,EN,NA,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Asterostigma cubense,Asterostigma cubense,apta,NA,NA,NA,NA,NA,DD,VU,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Asterostigma tweedianum,Asterostigma tweedianum,apta,NA,NA,NA,NA,NA,NA,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Philodendron simonianum,Philodendron simonianum,apta,NA,NA,NA,NA,NA,NA,VU,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Xanthosoma pentaphyllum,Xanthosoma pentaphyllum,apta,NA,NA,NA,EX,NA,NA,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Xanthosoma riedelianum,Xanthosoma riedelianum,apta,NA,NA,NA,NA,NA,NA,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Urospatha edwallii,Urospatha edwallii,apta,NA,NA,NA,NA,NA,NA,EX,entra,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,NA
Wolffia arrhiza,Wolffia arrhiza,apta,NA,NA,LC,NA,NA,NA,VU,entra,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA
Asterostigma colubrinum,Asterostigma colubrinum,apta,NA,NA,NA,VU,NA,NA,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Xanthosoma blandum,Xanthosoma blandum,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,NA,VU,entra,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,FBnao- OCCScruzam
Dendropanax nebulosus,Dendropanax nebulosus,apta,NA,NA,EN,NA,NA,EN,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Hydrocotyle exigua,Hydrocotyle exigua,apta,NA,NA,NA,NA,NA,DD,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Hydrocotyle pusilla,Hydrocotyle pusilla,apta,NA,NA,NA,NA,NA,LC,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Araucaria angustifolia,Araucaria angustifolia,apta,NA,NA,CR,EN,EN,EN,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Euterpe edulis,Euterpe edulis,apta,NA,NA,NA,VU,VU,VU,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Butia eriospatha,Butia eriospatha,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,FBnao- OCCScruzam
Syagrus picrophylla,Syagrus picrophylla,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,FBnao- OCCScruzam
Trithrinax brasiliensis,Trithrinax brasiliensis,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,NT,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Syagrus insignis,Lytocaryum insigne,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,NA,NA,NA,VU,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Aristolochia hypoglauca,Aristolochia hypoglauca,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Aristolochia cymbifera,Aristolochia cymbifera,apta,NA,NA,NA,VU,NA,LC,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Asplenium austrobrasiliense,Asplenium austrobrasiliense,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Asplenium bradeanum,Asplenium bradeanum,apta,NA,NA,NA,NA,EN,EN,NA,entra,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5,NA
Dasyphyllum lanceolatum,Dasyphyllum lanceolatum-Dasyphyllum synacanthum,apta,Nome original era sinônimo-NA,NA,NA,NA,NA,DD,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania biformis,Mikania biformis,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania bradei,Mikania bradei,apta,NA,NA,NA,NA,NA,NA,EX,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,NA
Mikania chlorolepis,Mikania chlorolepis,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania decumbens,Mikania decumbens,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Mikania firmula,Mikania firmula,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA,entra,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,FBnao- OCCScruzam
Mikania hastato-cordata,Mikania hastato-cordata,apta,NA,NA,NA,NA,VU,VU,NA,entra,NA,TRUE,NA,TRUE,NA,TRUE,3,NA
Mikania oreophila,Mikania oreophila,apta,NA,NA,NA,NA,EN,EN,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania rufescens,Mikania rufescens,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania smaragdina,Mikania smaragdina,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania warmingii,Mikania warmingii,apta,NA,NA,NA,NA,EN,EN,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Stifftia fruticosa,Stifftia fruticosa,apta,NA,NA,NA,NA,VU,VU,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Stifftia parviflora,Stifftia parviflora,apta,NA,NA,NA,NA,NA,DD,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Trichocline linearifolia,Trichocline linearifolia,apta,NA,NA,NA,NA,VU,VU,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Trixis glaziovii,Trixis glaziovii,apta,NA,NA,NA,NA,VU,VU,EX,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Austrocritonia angulicaulis,Austrocritonia angulicaulis,apta,NA,NA,NA,NA,NA,LC,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Eremanthus brasiliensis,Eremanthus brasiliensis,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,DD,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Stevia pohliana,Stevia pohliana,apta,NA,NA,NA,NA,NA,NT,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Senecio pohlii,Senecio pohlii,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Aspilia espinhacensis,Aspilia espinhacensis,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,NA,TRUE,NA,TRUE,NA,3,FBnao- OCCScruzam
Aspilia floribunda,Aspilia floribunda,apta,NA,NA,NA,NA,NA,LC,EN,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Baccharis elliptica,Baccharis elliptica,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Heterocondylus amphidyctius,Heterocondylus amphidyctius,apta,NA,NA,NA,NA,NA,LC,VU,entra,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,NA
Lepidaploa chamissonis,Lepidaploa chamissonis,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Lessingianthus argenteus,Lessingianthus argenteus,apta,NA,NA,NA,NA,NA,VU,NA,entra,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,NA
Lessingianthus elegans,Lessingianthus elegans,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5,NA
Lessingianthus grandiflorus,Lessingianthus grandiflorus,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5,NA
Lessingianthus niederleinii,Lessingianthus niederleinii,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,NT,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,FBnao- OCCScruzam
Lessingianthus pumillus,Lessingianthus pumillus,apta,NA,NA,NA,NA,VU,VU,NA,entra,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3,NA
Lessingianthus zuccarinianus,Lessingianthus zuccarinianus,apta,NA,NA,NA,NA,VU,VU,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania argyreiae,Mikania argyreiae,apta,NA,NA,NA,NA,VU,VU,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania capricorni,Mikania capricorni,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Mikania malacolepis,Mikania malacolepis,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,DD,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,FBnao- OCCScruzam
Praxelis grandiflora,Praxelis grandiflora,apta,NA,NA,NA,VU,NA,LC,VU,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Stomatanthes dentatus,Stomatanthes dentatus,apta,NA,NA,NA,NA,NA,LC,VU,entra,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA
Stomatanthes dictyophyllus,Stomatanthes dictyophyllus,apta,NA,NA,NA,NA,NA,LC,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Vernonanthura lindbergii,Vernonanthura lindbergii,apta,NA,NA,NA,NA,NA,DD,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Wedelia puberula,Wedelia puberula,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,NA,LC,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Symphyopappus lymansmithii,Symphyopappus lymansmithii,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Neocabreria malachophylla,Neocabreria malachophylla,apta,NA,NA,NA,NA,VU,VU,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Bidens bipinnata,Bidens bipinnata,apta,NA,NA,NA,NA,NA,LC,EN,entra,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,4,NA
Isostigma peucedanifolium,Isostigma crithmifolium-Isostigma peucedanifolium-Isostigma speciosum,apta,Nome original era sinônimo-NA,NA-NA,NA-NA,NA-NA,NA-NA,DD-LC,NA-NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Baccharis pseudoalpestris,Baccharis pseudoalpestris,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,FBnao- OCCScruzam
Baccharis sphenophylla,Baccharis sphenophylla,apta,NA,NA,NA,NA,NA,NT,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Holocheilus hieracioides,Holocheilus hieracioides,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,EN,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Lessingianthus reitzianus,Lessingianthus reitzianus,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Stenachaenium megapotamicum,Stenachaenium macrocephalum,apta,Nome original era sinônimo,NA,NA,NA,CR,CR,NA,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Stevia selloi,Stevia selloi,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,NA,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
Steyermarkina dispalata,Steyermarkina dispalata,apta,NA,NA,NA,NA,VU,VU,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Calea acaulis,Calea acaulis,apta,NA,NA,NA,NA,VU,VU,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Calea gentianoides,Calea gentianoides,apta,NA,NA,NA,EN,VU,VU,EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Calea polycephala,Calea polycephala,apta,NA,NA,NA,NA,NA,NT,VU,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Chromolaena elliptica,Chromolaena elliptica,apta,NA,NA,NA,NA,NA,LC,EX,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Chromolaena latisquamulosa,Chromolaena latisquamulosa,apta,NA,NA,NA,NA,NA,DD,VU,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,NA
Chromolaena rhinanthacea,Chromolaena rhinanthacea,apta,NA,NA,NA,NA,EN,EN,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA
Gyptis lanigera,Gyptis lanigera-Gyptis vernoniopsis,apta,Nome original era sinônimo-NA,NA-NA,NA-NA,NA-NA,EN-EN,EN-NA,EN-EN,entra,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,4,NA
Hatschbachiella tweedieana,Hatschbachiella tweediana-Hatschbachiella tweedieana,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil-A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original mal escrito,NA-NA,NA-NA,NA-NA,NA-NA,LC-NA,EN-EN,entra,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6,FBnao- OCCScruzam
Austroeupatorium rosmarinaceum,Austroeupatorium rosmarinaceum,examinar,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA,NA,NA,VU,NA,EX,entra,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,FBnao- OCCScruzam
