nome_aceito_correto,fontes,notas,nomes_originais,elegivel_originais,fontes_originais
Alstroemeria amabilis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alstroemeria amabilis,examinar,sima-Portaria 443/2014
Alstroemeria apertiflora,sima-SP_oficial-cncflora_web,NA,Alstroemeria apertiflora,apta,sima-SP_oficial-cncflora_web
Alstroemeria capixaba,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alstroemeria capixaba,examinar,sima-Portaria 443/2014
Alstroemeria caryophyllaea,sima-SP_oficial-mpoSP-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alstroemeria caryophyllaea,examinar,sima-SP_oficial-mpoSP-Portaria 443/2014
Alstroemeria foliosa,sima-SP_oficial,NA,Alstroemeria foliosa,apta,sima-SP_oficial
Alstroemeria inodora,sima-cncflora_web,NA,Alstroemeria inodora,apta,sima-cncflora_web
Alstroemeria malmeana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alstroemeria malmeana,examinar,sima-Portaria 443/2014
Alstroemeria plantaginea,sima-SP_oficial,NA,Alstroemeria plantaginea,apta,sima-SP_oficial
Alstroemeria variegata,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alstroemeria variegata,examinar,sima
Alstroemeria brasiliensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alstroemeria brasiliensis,examinar,sima-Portaria 443/2014
Alstroemeria orchidioides,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alstroemeria orchidioides,examinar,sima-Portaria 443/2014
Alstroemeria penduliflora,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alstroemeria penduliflora,examinar,sima-Portaria 443/2014
Alternanthera sessilis,sima-cncflora_web-UICN_API,NA,Alternanthera sessilis,apta,sima-cncflora_web-UICN_API
Alternanthera tenella,cncflora_web,NA,Alternanthera tenella,apta,cncflora_web
Celosia grandifolia,cncflora_web,NA,Celosia grandifolia,apta,cncflora_web
Chamissoa acuminata,cncflora_web,NA,Chamissoa acuminata,apta,cncflora_web
Chamissoa altissima,cncflora_web,NA,Chamissoa altissima,apta,cncflora_web
Gomphrena elegans,sima-SP_oficial-cncflora_web,NA,Gomphrena elegans,apta,sima-SP_oficial-cncflora_web
Gomphrena vaga,cncflora_web,NA,Gomphrena vaga,apta,cncflora_web
Hebanthe pulverulenta,cncflora_web,NA,Hebanthe pulverulenta,apta,cncflora_web
Herbstia brasiliana,sima-SP_oficial-cncflora_web-mpoSP,NA,Herbstia brasiliana,apta,sima-SP_oficial-cncflora_web-mpoSP
Lecosia oppositifolia,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Lecosia oppositifolia,examinar,sima
Pfaffia glomerata,cncflora_web,NA,Pfaffia glomerata,apta,cncflora_web
Pfaffia gnaphaloides,cncflora_web,NA,Pfaffia gnaphaloides,apta,cncflora_web
Alternanthera bahiensis,sima-SP_oficial,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alternanthera bahiensis,examinar,sima-SP_oficial
Blutaparon portulacoides,cncflora_web,NA,Blutaparon portulacoides,apta,cncflora_web
Chamissoa acuminata var. maximilianii,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Chamissoa acuminata var. maximilianii,examinar,sima
Gomphrena agrestis,sima-SP_oficial-cncflora_web,NA,Gomphrena agrestis,apta,sima-SP_oficial-cncflora_web
Gomphrena duriuscula,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Gomphrena duriuscula,examinar,sima
Gomphrena nigricans,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Gomphrena nigricans,examinar,sima-Portaria 443/2014
Pfaffia jubata,sima-cncflora_web,NA,Pfaffia jubata,apta,sima-cncflora_web
Alternanthera micrantha,sima-SP_oficial-cncflora_web,NA,Alternanthera micrantha,apta,sima-SP_oficial-cncflora_web
Celosia argentea,UICN_API,NA,Celosia argentea,apta,UICN_API
Gomphrena hatschbachiana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Gomphrena hatschbachiana,examinar,sima-Portaria 443/2014
Alternanthera januarensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alternanthera januarensis,examinar,sima-Portaria 443/2014
Froelichia interrupta,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Froelichia interrupta,examinar,sima
Froelichia procera,sima-cncflora_web,NA,Froelichia procera,apta,sima-cncflora_web
Froelichiella grisea,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Froelichiella grisea,examinar,sima-Portaria 443/2014
Gomphrena graminea,sima-cncflora_web,NA,Gomphrena graminea,apta,sima-cncflora_web
Gomphrena paranensis,sima-cncflora_web-Portaria 443/2014,NA,Gomphrena paranensis,apta,sima-cncflora_web-Portaria 443/2014
Gomphrena regeliana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Gomphrena regeliana,examinar,sima-Portaria 443/2014
Pfaffia argyrea,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Pfaffia argyrea,examinar,sima-Portaria 443/2014
Pfaffia glabrata,sima-cncflora_web,NA,Pfaffia glabrata,apta,sima-cncflora_web
Alternanthera aquatica,sima-SP_oficial,NA,Alternanthera aquatica,apta,sima-SP_oficial
Alternanthera paronychioides,sima-SP_oficial-cncflora_web-mpoSP,NA,Alternanthera paronychioides,apta,sima-SP_oficial-cncflora_web-mpoSP
Amaranthus rosengurtii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Amaranthus rosengurtii,examinar,sima-Portaria 443/2014
Pfaffia minarum,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Pfaffia minarum,examinar,sima-Portaria 443/2014
Gomphrena centrota,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Gomphrena centrota,examinar,sima-Portaria 443/2014
Gomphrena pulchella,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Gomphrena pulchella,examinar,sima-Portaria 443/2014
Gomphrena schlechtendaliana,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Gomphrena schlechtendaliana,examinar,sima
Gomphrena sellowiana,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Gomphrena sellowiana,examinar,sima
Gomphrena macrocephala,sima-cncflora_web,NA,Gomphrena macrocephala,apta,sima-cncflora_web
Alternanthera kurtzii,sima-cncflora_web-Portaria 443/2014,Nome original era sinônimo,Alternanthera decurrens,apta,sima-cncflora_web-Portaria 443/2014
Alternanthera praelonga,cncflora_web,NA,Alternanthera praelonga,apta,cncflora_web
Alternanthera puberula,sima-cncflora_web,NA,Alternanthera puberula,apta,sima-cncflora_web
Alternanthera hirtula,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alternanthera hirtula,examinar,sima-Portaria 443/2014
Alternanthera reineckii,sima-cncflora_web,NA,Alternanthera reineckii-Alternanthera reinekii,apta,sima-cncflora_web-SP_oficial
Alternanthera reineckii,SP_oficial,Nome original mal escrito,Alternanthera reineckii-Alternanthera reinekii,apta,sima-cncflora_web-SP_oficial
Quaternella glabratoides,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Quaternella glabratoides,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Alternanthera flavescens,sima-SP_oficial,NA,Alternanthera flavescens,apta,sima-SP_oficial
Alternanthera lanceolata,sima-SP_oficial,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Alternanthera lanceolata,examinar,sima-SP_oficial
Crinum americanum,sima-SP_oficial,NA,Crinum americanum,apta,sima-SP_oficial
Griffinia colatinensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia colatinensis,examinar,sima-Portaria 443/2014
Griffinia espiritensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia espiritensis,examinar,sima-Portaria 443/2014
Griffinia intermedia,UICN_API,NA,Griffinia intermedia,apta,UICN_API
Griffinia parviflora,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia parviflora,examinar,sima-Portaria 443/2014
Griffinia paubrasilica,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia paubrasilica,examinar,sima-Portaria 443/2014
Griffinia rochae,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia rochae,examinar,sima
Hippeastrum blossfeldiae,sima-SP_oficial,NA,Hippeastrum blossfeldiae,apta,sima-SP_oficial
Hippeastrum brasilianum,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hippeastrum brasilianum,examinar,sima-Portaria 443/2014
Hippeastrum breviflorum,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hippeastrum breviflorum,examinar,sima-Portaria 443/2014
Hippeastrum papilio,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hippeastrum papilio,examinar,sima-Portaria 443/2014
Hippeastrum psittacinum,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,NA,Hippeastrum psittacinum,apta,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014
Hippeastrum santacatarina,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hippeastrum santacatarina,examinar,sima-Portaria 443/2014
Hippeastrum striatum,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Hippeastrum striatum,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Zephyranthes capivarina,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Zephyranthes capivarina,examinar,sima-Portaria 443/2014
Zephyranthes paranaensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Zephyranthes paranaensis,examinar,sima-Portaria 443/2014
Griffinia aracensis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia aracensis,examinar,sima-Portaria 443/2014
Griffinia gardneriana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia gardneriana,examinar,sima-Portaria 443/2014
Griffinia liboniana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia liboniana,examinar,sima-Portaria 443/2014
Hippeastrum angustifolium,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014,NA,Hippeastrum angustifolium,apta,sima-SP_oficial-cncflora_web-mpoSP-Portaria 443/2014
Hippeastrum leucobasis,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hippeastrum leucobasis,examinar,sima-Portaria 443/2014
Hippeastrum morelianum,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Hippeastrum morelianum,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Hippeastrum reginae,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Hippeastrum reginae,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Hippeastrum vittatum,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Hippeastrum vittatum,examinar,sima-Portaria 443/2014
Worsleya procera,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Worsleya procera,examinar,sima-Portaria 443/2014
Zephyranthes americana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Zephyranthes brasiliensis,examinar,sima-Portaria 443/2014
Zephyranthes candida,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Zephyranthes candida,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Zephyranthes coerulea,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Habranthus coeruleus,examinar,sima-Portaria 443/2014
Griffinia nocturna,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Griffinia nocturna,examinar,sima-Portaria 443/2014
Hippeastrum stapfianum,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Hippeastrum goianum,examinar,sima-Portaria 443/2014
Zephyranthes irwiniana,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Habranthus irwinianus,examinar,sima-Portaria 443/2014
Griffinia hyacinthina,sima-SP_oficial-cncflora_web-Portaria 443/2014,NA,Griffinia hyacinthina,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Zephyranthes blumenavia,sima-SP_oficial-cncflora_web-Portaria 443/2014,Nome original era sinônimo,Eithea blumenavia,apta,sima-SP_oficial-cncflora_web-Portaria 443/2014
Astronium graveolens,sima-cncflora_web,NA,Astronium graveolens,apta,sima-cncflora_web
Lithraea molleoides,UICN_API,NA,Lithraea molleoides,apta,UICN_API
Schinopsis brasiliensis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Schinopsis brasiliensis var. glabra,examinar,sima
Spondias mombin,UICN_API,NA,Spondias mombin,apta,UICN_API
Tapirira guianensis,UICN_API,NA,Tapirira guianensis,apta,UICN_API
Tapirira obtusa,UICN_API,NA,Tapirira obtusa,apta,UICN_API
Anacardium humile,sima-cncflora_web,NA,Anacardium humile,apta,sima-cncflora_web
Schinus ramboi,cncflora_ckan-UICN_API,NA,Schinus ramboi,apta,cncflora_ckan-UICN_API
Astronium balansae,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo,Myracrodruon balansae,examinar,sima-Portaria 443/2014
Schinopsis balansae,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Schinopsis balansae,examinar,sima-Portaria 443/2014
Schinus engleri,cncflora_web-UICN_API,NA,Schinus engleri,apta,cncflora_web-UICN_API
Schinus spinosa,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Schinus spinosa,examinar,sima
Spondias expeditionaria,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Spondias expeditionaria,examinar,sima
Spondias venulosa,UICN_API,NA,Spondias venulosa,apta,UICN_API
Astronium urundeuva,UICN_API,NA,Astronium urundeuva-Myracrodruon urundeuva,apta,UICN_API-cncflora_web
Astronium urundeuva,cncflora_web,Nome original era sinônimo,Astronium urundeuva-Myracrodruon urundeuva,apta,UICN_API-cncflora_web
Anemia blechnoides,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Anemia blechnoides,examinar,sima-Portaria 443/2014
Anemia espiritosantensis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Anemia espiritosantensis,examinar,sima
Anemia gardneri,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Anemia gardneri,examinar,sima-Portaria 443/2014
Anemia organensis,cncflora_web,NA,Anemia organensis,apta,cncflora_web
Anemia phyllitidis,UICN_API,Nome original era sinônimo,Anemia candidoi,apta,UICN_API
Anemia trichorhiza,sima-cncflora_web-Portaria 443/2014,NA,Anemia trichorhiza,apta,sima-cncflora_web-Portaria 443/2014
Anemia dentata,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Anemia dentata,examinar,sima-Portaria 443/2014
Aneura pinguis,cncflora_web,NA,Aneura pinguis,apta,cncflora_web
Annona annonoides,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Annona annonoides,examinar,sima
Annona calcarata,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Annona calcarata,examinar,sima
Annona dolabripetala,cncflora_ckan-UICN_API,NA,Annona dolabripetala-Annona neosericea-Annona ubatubensis,apta,cncflora_ckan-UICN_API-cncflora_ckan-UICN_API-sima-SP_oficial-cncflora_web-UICN_API-Portaria 443/2014
Annona dolabripetala,cncflora_ckan-UICN_API,Nome original era sinônimo,Annona dolabripetala-Annona neosericea-Annona ubatubensis,apta,cncflora_ckan-UICN_API-cncflora_ckan-UICN_API-sima-SP_oficial-cncflora_web-UICN_API-Portaria 443/2014
Annona dolabripetala,sima-SP_oficial-cncflora_web-UICN_API-Portaria 443/2014,Nome original era sinônimo,Annona dolabripetala-Annona neosericea-Annona ubatubensis,apta,cncflora_ckan-UICN_API-cncflora_ckan-UICN_API-sima-SP_oficial-cncflora_web-UICN_API-Portaria 443/2014
Annona emarginata,cncflora_web-UICN_API,NA,Annona emarginata-Annona maritima-Annona neosalicifolia-Annona rugulosa,apta,cncflora_web-UICN_API-sima-cncflora_web-UICN_API-Portaria 443/2014-sima-UICN_API-UICN_API
Annona emarginata,sima-cncflora_web-UICN_API-Portaria 443/2014,Nome original era sinônimo,Annona emarginata-Annona maritima-Annona neosalicifolia-Annona rugulosa,apta,cncflora_web-UICN_API-sima-cncflora_web-UICN_API-Portaria 443/2014-sima-UICN_API-UICN_API
Annona emarginata,sima-UICN_API,Nome original era sinônimo,Annona emarginata-Annona maritima-Annona neosalicifolia-Annona rugulosa,apta,cncflora_web-UICN_API-sima-cncflora_web-UICN_API-Portaria 443/2014-sima-UICN_API-UICN_API
Annona emarginata,UICN_API,Nome original era sinônimo,Annona emarginata-Annona maritima-Annona neosalicifolia-Annona rugulosa,apta,cncflora_web-UICN_API-sima-cncflora_web-UICN_API-Portaria 443/2014-sima-UICN_API-UICN_API
Annona ferruginea,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Annona ferruginea,examinar,sima
Annona parviflora,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Annona parviflora,examinar,sima-Portaria 443/2014
Annona pickelii,sima-Portaria 443/2014,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Annona pickelii,examinar,sima-Portaria 443/2014
Annona sylvatica,cncflora_ckan-UICN_API,NA,Annona sylvatica,apta,cncflora_ckan-UICN_API
Annona xylopiifolia,sima-SP_oficial-cncflora_web-UICN_API,NA,Annona xylopiifolia,apta,sima-SP_oficial-cncflora_web-UICN_API
Diclinanona matogrossensis,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Diclinanona matogrossensis,examinar,sima
Duckeanthus grandiflorus,sima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,Duckeanthus grandiflorus,examinar,sima
