nome_aceito_correto,notas_all
Adiantum tetragonum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea alopecurus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea amicorum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea apocalyptica,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea azurea,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea bambusoides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea bromeliifolia,"NA"
Aechmea bromeliifolia var. albobracteata,"NA"
Aechmea candida,"NA"
Aechmea capixabae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea cariocae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea castanea,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea caudata,"NA"
Aechmea cylindrata,"NA"
Aechmea distichantha,"NA"
Aechmea echinata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea entringeri,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea fosteriana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea gamosepala,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil-A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original mal escrito
Aechmea gracilis,"NA"
Aechmea kertesziae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea kleinii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea lingulata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea macrochlamys,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea marginalis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea muricata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea mutica,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea nudicaulis,"NA"
Aechmea orlandiana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea pectinata,"NA"
Aechmea pedicellata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea pimenti-velosoi,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea podantha,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea recurvata,"NA"
Aechmea recurvata var. ortgiesii,"NA"
Aechmea roberto-seidelii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea rubrolilacina,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea setigera,"NA"
Aechmea sphaerocephala,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea triangularis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea vanhoutteana,"NA"
Aechmea werdermannii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea winkleri,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aechmea wittmackiana,"NA"
Aegiphila australis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Não foi avaliada
Aegiphila brachiata,"NA"
Aegiphila capitata,"NA"
Aegiphila duckei,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aegiphila fluminensis,"NA"
Aegiphila integrifolia,"NA"
Aegiphila mediterranea,"NA"
Aegiphila obducta,"NA"
Aegiphila verticillata,"NA"
Aegiphila vitelliniflora,"NA"
Aeschynomene ciliata,"NA"
Aeschynomene denticulata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aeschynomene fructipendula,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aeschynomene selloi,"NA"
Aeschynomene sensitiva var. hispidula,"NA"
Agalinis bandeirensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Agalinis brachyphylla,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Agalinis communis,"NA"
Agalinis itambensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Agalinis nana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Agalinis ramulifera,"NA"
Agalinis schwackeana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Agarista chlorantha,"NA"
Agarista niederleinii,"NA"
Agarista nummularia,"NA"
Agarista oleifolia,"NA"
Agarista pulchra,"NA"
Agenium leptocladum,"NA"
Agonandra brasiliensis,"NA"
Agrianthus almasensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Agrianthus giuliettiae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Agrimonia parviflora,"NA"
Agrostis lenis,"NA"
Agrostis longiberbis,"NA"
Aguiaria excelsa,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aiouea acarodomatifera,"NA"
Aiouea benthamiana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aiouea bracteata,"NA"
Aiouea glaziovii,Nome original era sinônimo-NA
Aiouea lehmannii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aiouea macedoana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aiouea piauhyensis,"NA"
Aiouea saligna,"NA"
Aiouea trinervis,"NA"
Akrosida macrophylla,"NA"
Alansmia senilis,Nome original era sinônimo-NA
Albizia burkartiana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Albizia carbonaria,"NA"
Albizia edwallii,Nome original mal escrito-NA
Albizia glabripetala,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Albizia inundata,"NA"
Albizia niopoides,"NA"
Albizia polycephala,"NA"
Alcantarea benzingii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alcantarea duarteana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alcantarea farneyi,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alcantarea geniculata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alcantarea glaziouana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alcantarea imperialis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alcantarea nahoumii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alcantarea nevaresii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alcantarea vinicolor,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alchornea glandulosa,"NA"
Alchornea triplinervia,"NA"
Aldama aspilioides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldama corumbensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldama filifolia,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldama goyazii,Nome original era sinônimo-NA
Aldama grandiflora,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Não foi avaliada
Aldama linearifolia,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldama paranensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldama pilosa,Não foi avaliada-Nome original era sinônimo/Não foi avaliada
Aldama santacatarinensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldama vernonioides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldina microphylla,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldina occidentalis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aldina polyphylla,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Algernonia brasiliensis,"NA"
Algernonia dimitrii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Algernonia kuhlmannii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Algernonia leandrii,"NA"
Algernonia riedelii,"NA"
Allagoptera arenaria,"NA"
Allagoptera brevicalyx,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Allantoma integrifolia,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Allantoma kuhlmannii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Allantoma pauciramosa,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Allantoma uaupensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Allophylus edulis,"NA"
Allophylus melanophloeus,"NA"
Allophylus membranifolius,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Allophylus puberulus,"NA"
Allophylus racemosus,"NA"
Allophylus semidentatus,"NA"
Aloysia hatschbachii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aloysia polygalifolia,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alseis floribunda,"NA"
Alseis involuta,"NA"
Alseis latifolia,"NA"
Alsophila capensis,"NA"
Alsophila capensis subsp. polypodioides,"NA"
Alstroemeria amabilis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alstroemeria apertiflora,"NA"
Alstroemeria brasiliensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alstroemeria capixaba,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alstroemeria caryophyllaea,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alstroemeria foliosa,"NA"
Alstroemeria inodora,"NA"
Alstroemeria malmeana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alstroemeria orchidioides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alstroemeria penduliflora,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alstroemeria plantaginea,"NA"
Alstroemeria variegata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alternanthera aquatica,"NA"
Alternanthera bahiensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alternanthera flavescens,"NA"
Alternanthera hirtula,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alternanthera januarensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alternanthera kurtzii,Nome original era sinônimo
Alternanthera lanceolata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Alternanthera micrantha,"NA"
Alternanthera paronychioides,"NA"
Alternanthera praelonga,"NA"
Alternanthera puberula,"NA"
Alternanthera reineckii,Nome original mal escrito-NA
Alternanthera sessilis,"NA"
Alternanthera tenella,"NA"
Altoparadisium chapadense,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Amaioua guianensis,"NA"
Amaioua monteiroi,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Amaranthus rosengurtii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Amauropelta araucariensis,Nome original era sinônimo
Amauropelta concinna,Nome original era sinônimo
Amauropelta novaeana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo
Ambrosia polystachya,Nome original era sinônimo
Amburana acreana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Amburana cearensis,"NA"
Amburana erythrosperma,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Amphilophium crucigerum,"NA"
Amphirrhox longifolia,"NA"
Anacardium humile,"NA"
Ananas fritzmuelleri,"NA"
Anathallis adenochila,"NA"
Anathallis bleyensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anathallis colnagoi,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anathallis crebrifolia,"NA"
Anathallis gehrtii,"NA"
Anathallis gerthatschbachii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Não foi avaliada
Anathallis kautskyi,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anathallis montipelladensis,"NA"
Anathallis obovata,Não foi avaliada
Anathallis pabstii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anathallis radialis,"NA"
Anathallis tigridens,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Ancistrotropis firmula,Nome original era sinônimo-NA
Andira anthelmia,"NA"
Andira fraxinifolia,"NA"
Andira humilis,"NA"
Andira ormosioides,"NA"
Andira praecox,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Andira vermifuga,"NA"
Andreadoxa flava,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Andropogon carinatus,"NA"
Andropogon glaucophyllus,"NA"
Andropogon hypogynus,"NA"
Anemia blechnoides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anemia dentata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anemia espiritosantensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anemia gardneri,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anemia organensis,"NA"
Anemia phyllitidis,Nome original era sinônimo
Anemia trichorhiza,"NA"
Anemone decapetala,Nome original era sinônimo-NA
Anemone sellowii,"NA"
Anemopaegma arvense,"NA"
Anemopaegma mirabile,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anemopaegma patelliforme,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anetanthus gracilis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aneura pinguis,"NA"
Angelonia alternifolia,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Angelonia integerrima,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aniba ferrea,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aniba firmula,"NA"
Aniba heringeri,Nome original era sinônimo-NA
Aniba santalodora,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aniba viridis,"NA"
Aniseia martinicensis,"NA"
Aniseia martinicensis var. ambigua,"NA"
Annona annonoides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Annona burchellii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Annona cacans,"NA"
Annona calcarata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Annona coriacea,"NA"
Annona crassiflora,"NA"
Annona dioica,"NA"
Annona dolabripetala,Nome original era sinônimo-NA
Annona emarginata,Nome original era sinônimo-NA
Annona ferruginea,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Annona glabra,"NA"
Annona glaucophylla,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Annona malmeana,"NA"
Annona montana,"NA"
Annona monticola,"NA"
Annona nutans,"NA"
Annona parviflora,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Annona pickelii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Annona reticulata,"NA"
Annona sylvatica,"NA"
Annona xylopiifolia,"NA"
Anomochloa marantoidea,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anomospermum reticulatum subsp. nitidum,"NA"
Anteremanthus hatschbachii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anthaenantiopsis fiebrigii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anthodon decussatus,Nome original mal escrito
Anthurium ameliae,"NA"
Anthurium bocainense,"NA"
Anthurium fontellanus,Nome original mal escrito-NA
Anthurium jureianum,"NA"
Anthurium kunthii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anthurium langsdorffii,"NA"
Anthurium longifolium,"NA"
Anthurium lucidum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anthurium luschnathianum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anthurium organense,"NA"
Anthurium parasiticum,"NA"
Anthurium parvum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anthurium radicans,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Anthurium sinuatum,"NA"
Anthurium xanthophylloides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aosa parviflora,"NA"
Aosa uleana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aparisthmium cordatum,"NA"
Apeiba tibourbou,"NA"
Aphelandra espirito-santensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aphelandra longiflora,"NA"
Aphelandra margaritae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aphelandra maximiliana,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aphelandra prismatica,"NA"
Aphelandra schottiana,"NA"
Aphelandra squarrosa,"NA"
Apinagia riedelii,Nome original era sinônimo-NA
Apium prostratum,"NA"
Apoclada simplex,"NA"
Apteria aphylla,"NA"
Apuleia leiocarpa,"NA"
Arachis villosa,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Araeococcus montanus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aralia warmingiana,"NA"
Araucaria angustifolia,"NA"
Ardisia guianensis,"NA"
Aristida brasiliensis,"NA"
Aristida circinalis,"NA"
Aristida constricta,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aristida ekmaniana,"NA"
Aristida filifolia,"NA"
Aristida laevis,"NA"
Aristida macrophylla,"NA"
Aristida oligospira,"NA"
Aristida sanctae-luciae,"NA"
Aristida subaequans,"NA"
Aristolochia curviflora,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aristolochia cymbifera,"NA"
Aristolochia hypoglauca,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aristolochia labiata,"NA"
Aristolochia odora,"NA"
Aristolochia odoratissima,"NA"
Aristolochia wendeliana,"NA"
Arrojadoa bahiensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Arrojadoa eriocaulis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Arthrocereus glaziovii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Arthrocereus melanurus,"NA"
Arthrocereus melanurus subsp. melanurus,"NA"
Arthrocereus rondonianus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Arthropogon villosus,"NA"
Arthropogon xerachne,"NA"
Arundinella deppeana,"NA"
Arundo donax,"NA"
Asclepias aequicornu,"NA"
Asclepias langsdorffii,Nome original mal escrito-NA
Asclepias mellodora,"NA"
Aspasia lunata,"NA"
Aspicarpa sericea,"NA"
Aspidogyne commelinoides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidogyne kuczynskii,"NA"
Aspidosperma album,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidosperma australe,"NA"
Aspidosperma camporum,"NA"
Aspidosperma compactinervium,"NA"
Aspidosperma cuspa,"NA"
Aspidosperma cylindrocarpon,"NA"
Aspidosperma inundatum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidosperma macrocarpon,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidosperma multiflorum,"NA"
Aspidosperma nobile,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidosperma parvifolium,Nome original era sinônimo
Aspidosperma polyneuron,"NA"
Aspidosperma pyricollum,"NA"
Aspidosperma quebracho-blanco,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidosperma quirandy,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidosperma ramiflorum,"NA"
Aspidosperma riedelii,"NA"
Aspidosperma sandwithianum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidosperma spruceanum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspidosperma subincanum,"NA"
Aspidosperma tomentosum,"NA"
Aspilia almasensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia attenuata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia belo-horizontinae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia caudata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia clausseniana,"NA"
Aspilia cordifolia,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia cylindrocephala,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia diamantinae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia diffusiflora,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia diniz-cruzeanae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia eglerii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia espinhacensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia floribunda,"NA"
Aspilia grazielae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia jugata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia ovatifolia,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo
Aspilia pereirae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia pohlii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia prostrata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia reticulata,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Aspilia silphioides,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Asplenium austrobrasiliense,"NA"
Asplenium beckeri,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Asplenium bradeanum,"NA"
Asplenium campos-portoi,"NA"
Asplenium castaneum,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Asplenium formosum,"NA"
Asplenium lacinulatum,"NA"
Asplenium muellerianum,"NA"
Asplenium praemorsum,"NA"
Asplenium schwackei,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Asplenium trindadense,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Asplenium ulbrichtii,"NA"
Asplenium wacketii,"NA"
Asplundia brachypus,Nome original era sinônimo-NA
Asterella venosa,"NA"
Asterostigma colubrinum,"NA"
Asterostigma cubense,"NA"
Asterostigma lividum,"NA"
Asterostigma lombardii,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Asterostigma tweedianum,"NA"
Astraea cincta,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Astraea lobata,"NA"
Astrocaryum aculeatissimum,"NA"
Astrocaryum minus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Astronium balansae,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil/Nome original era sinônimo
Astronium graveolens,"NA"
Astronium urundeuva,Nome original era sinônimo-NA
Athenaea cuspidata,Nome original era sinônimo
Athenaea fasciculata,Nome original era sinônimo
Athenaea sellowiana,Nome original era sinônimo
Athenaea tomentosa,Nome original era sinônimo
Athenaea wettesteiniana,Nome original era sinônimo
Atractylocarpus brasiliensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Atractylocarpus longisetus,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Attalea barreirensis,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil
Attalea compta,Nome original era sinônimo
Attalea oleifera,"NA"
Attalea phalerata,"NA"
