nome_aceito_correto,entra_revisado
Stomatanthes dictyophyllus,SIM
Vernonanthura lindbergii,SIM
Wedelia puberula,SIM
Symphyopappus lymansmithii,SIM
Neocabreria malachophylla,SIM
Bidens bipinnata,SIM
Isostigma peucedanifolium,SIM
Baccharis pseudoalpestris,NAO
Baccharis sphenophylla,SIM
Holocheilus hieracioides,NAO
Lessingianthus reitzianus,SIM
Stenachaenium megapotamicum,SIM
Stevia selloi,SIM
Steyermarkina dispalata,SIM
Calea acaulis,SIM
Calea gentianoides,SIM
Calea polycephala,SIM
Chromolaena elliptica,SIM
Chromolaena latisquamulosa,SIM
Chromolaena rhinanthacea,SIM
Gyptis lanigera,SIM
Hatschbachiella tweedieana,SIM
Austroeupatorium rosmarinaceum,SIM
Verbesina floribunda,SIM
Calea heteropappa,NAO
Aldama goyazii,SIM
Baccharis aracatubensis,NAO
Eremanthus praetermissus,SIM
Piptocarpha longipedunculata,SIM
Chromolaena paraguariensis,NAO
Vickia rotundifolia,SIM
Begonia brevilobata,SIM
Begonia dentatiloba,SIM
Begonia handroi,SIM
Begonia itatinensis,SIM
Begonia paranaensis,SIM
Begonia paulensis,SIM
Begonia piresiana,SIM
Begonia salesopolensis,SIM
Begonia santoslimae,NAO
Begonia toledoana,SIM
Begonia coccinea,SIM
Anemopaegma arvense,SIM
Lundia damazioi,SIM
Handroanthus impetiginosus,SIM
Paratecoma peroba,NAO
Tabebuia cassinoides,SIM
Zeyheria tuberculosa,SIM
Handroanthus botelhensis,SIM
Cordia silvestris,SIM
Cordia trichoclada,SIM
Acanthostachys pitcairnioides,NAO
Aechmea gamosepala,SIM
Alcantarea glaziouana,NAO
Billbergia nutans,SIM
Billbergia pyramidalis,SIM
Cryptanthus minarum,NAO
Dyckia minarum,SIM
Dyckia tuberosa,SIM
Guzmania monostachia,SIM
Hohenbergia ridleyi,SIM
Neoregelia hoehneana,SIM
Nidularium camposportoi,SIM
Nidularium corallinum,SIM
Nidularium marigoi,SIM
Nidularium minutum,SIM
Pitcairnia albiflos,NAO
Pitcairnia decidua,NAO
Tillandsia araujei,SIM
Tillandsia linearis,SIM
Tillandsia recurvifolia,SIM
Tillandsia tenuifolia,SIM
Vriesea gracilior,SIM
Vriesea minarum,NAO
Vriesea neoglutinosa,SIM
Vriesea pabstii,SIM
Vriesea pardalina,SIM
Vriesea procera,SIM
Vriesea saundersii,SIM
Vriesea schwackeana,SIM
Vriesea taritubensis,SIM
Vriesea vulpinoidea,SIM
Vriesea warmingii,NAO
Neoregelia bahiana,SIM
Vriesea flava,SIM
Vriesea sparsiflora,SIM
Alcantarea imperialis,NAO
Rhipsalis crispata,SIM
Rhipsalis dissimilis,SIM
Rhipsalis oblonga,SIM
Rhipsalis paradoxa,SIM
Rhipsalis pilocarpa,SIM
Schlumbergera opuntioides,SIM
Schlumbergera truncata,SIM
Tacinga braunii,NAO
Selenicereus undatus,SIM
Kielmeyera decipiens,SIM
Acicarpha tribuloides,SIM
Lobelia xalapensis,SIM
Siphocampylus lycioides,SIM
Lobelia hederacea,SIM
Lobelia nummularioides,SIM
Lobelia anceps,SIM
Cinnamodendron occhionianum,SIM
Salacia mosenii,SIM
Tontelea martiana,SIM
Monteverdia brasiliensis,SIM
Hirtella angustifolia,SIM
Couepia meridionalis,SIM
Hirtella glaziovii,SIM
Licania indurata,SIM
Parinari brasiliensis,SIM
Moquilea tomentosa,NAO
Tarenaya diffusa,SIM
Terminalia januariensis,SIM
Terminalia triflora,SIM
Terminalia kleinii,SIM
Terminalia parvifolia,SIM
Rourea pseudospadicea,SIM
Cuscuta obtusiflora,SIM
Evolvulus barbatus,SIM
Evolvulus chrysotrichos,SIM
Evolvulus riedelii,SIM
Ipomoea aprica,SIM
Ipomoea argentea,SIM
Ipomoea campestris,SIM
Operculina macrocarpa,SIM
Ipomoea cynanchifolia,SIM
Ipomoea acutisepala,SIM
Jacquemontia glabrescens,SIM
Cayaponia trilobata,SIM
Cayaponia bonariensis,SIM
Weinmannia paulliniifolia,SIM
Lamanonia ulei,SIM
Cyathea poeppigii,NAO
Asplundia brachypus,SIM
Rhynchospora tenuis,SIM
Rhynchospora pilulifera,SIM
Stephanopodium estrellense,SIM
Dicksonia sellowiana,SIM
Atractylocarpus brasiliensis,SIM
Dioscorea sanpaulensis,SIM
Dioscorea trilinguis,SIM
Dioscorea asperula,SIM
Elaphoglossum herminieri,SIM
Elaphoglossum itatiayense,SIM
Elaphoglossum paulistanum,SIM
Elaphoglossum scolopendrifolium,SIM
Sloanea obtusifolia,SIM
Agarista niederleinii,SIM
Agarista nummularia,SIM
Agarista pulchra,SIM
Gaylussacia montana,SIM
Comanthera elegans,NAO
Heisteria perianthomega,SIM
Erythroxylum catharinense,SIM
Erythroxylum cuneifolium,SIM
Erythroxylum myrsinites,SIM
Escallonia chlorophylla,SIM
Escallonia petrophila,SIM
Acalypha brasiliensis,SIM
Croton hemiargyreus,SIM
Joannesia princeps,SIM
Actinostemon klotzschii,SIM
Euphorbia attastoma,NAO
Algernonia brasiliensis,SIM
Algernonia riedelii,SIM
Bernardia pulchella,SIM
Chiropetalum tricoccum,SIM
Cnidoscolus froesii,NAO
Croton priscus,SIM
Croton serratifolius,SIM
Croton sphaerogynus,SIM
Dalechampia leandrii,SIM
Chloroleucon tortum,SIM
Inga bollandii,NAO
Mimosa elliptica,SIM
Apuleia leiocarpa,SIM
Dalbergia nigra,SIM
Chamaecrista aristata,NAO
Chamaecrista choriophylla,NAO
Chamaecrista trachycarpa,SIM
Melanoxylon brauna,SIM
Pterogyne nitens,SIM
Bowdichia virgilioides,SIM
Dipteryx alata,SIM
Machaerium villosum,SIM
Poecilanthe parviflora,SIM
Mimosa cubatanensis,SIM
Mimosa lanata,SIM
Mimosa orthacantha,SIM
Dimorphandra wilsonii,NAO
Abarema brachystachya,SIM
Inga lentiscifolia,SIM
Myrocarpus frondosus,SIM
Peltogyne confertiflora,SIM
Plathymenia reticulata,SIM
Rhynchosia reticulata,SIM
Pomaria stipularis,NAO
Tachigali denudata,SIM
Albizia edwallii,SIM
Inga bullata,SIM
Inga lanceifolia,SIM
Inga lenticellata,SIM
Inga maritima,SIM
Inga praegnans,SIM
Inga sellowiana,SIM
Centrosema jaraguaense,SIM
Myrocarpus leprosus,SIM
Ormosia minor,SIM
Senegalia parviceps,SIM
Arachis villosa,NAO
Desmodium subsecundum,SIM
Muellera filipes,SIM
Dahlstedtia muehlbergiana,SIM
Ancistrotropis firmula,SIM
Paubrasilia echinata,NAO
Amburana erythrosperma,NAO
Cratylia isopetala,SIM
Nanogalactia heterophylla,SIM
Voyria aphylla,SIM
Zygostigma australe,SIM
Curtia tenuifolia,SIM
Schultesia aptera,SIM
Codonanthe carnosa,SIM
Nematanthus crassifolius,SIM
Nematanthus monanthos,SIM
Nematanthus sericeus,SIM
Nematanthus strigillosus,SIM
Seemannia sylvatica,SIM
Sinningia canescens,SIM
Sinningia hirsuta,NAO
Sinningia iarae,SIM
Sinningia magnifica,SIM
Sinningia micans,SIM
Sinningia piresiana,SIM
Sinningia rupicola,SIM
Sinningia tuberosa,NAO
Sinningia villosa,NAO
Sinningia warmingii,SIM
Griselinia ruscifolia,SIM
Hymenophyllum crispum,SIM
Hymenophyllum elegans,SIM
Hypericum mutilum,SIM
Hypericum piriai,SIM
Hypericum rigidum,SIM
Gelasine coerulea,SIM
Pseudotrimezia juncifolia,SIM
Jungermannia decolor,NAO
Lacistema lucidum,SIM
Hyptis lagenaria,SIM
Rhabdocaulon gracile,SIM
Salvia campos-portoi,SIM
Hyptis lobata,SIM
Beilschmiedia fluminensis,SIM
Cryptocarya botelhensis,SIM
Cryptocarya micrantha,SIM
Nectandra barbellata,SIM
Nectandra cissiflora,SIM
Nectandra debilis,SIM
Nectandra psammophila,SIM
Ocotea aciphylla,SIM
Ocotea basicordatifolia,SIM
Ocotea beulahiae,SIM
Ocotea beyrichii,SIM
Ocotea bragai,SIM
Ocotea catharinensis,SIM
Ocotea daphnifolia,SIM
Ocotea felix,SIM
Ocotea frondosa,SIM
Ocotea lancifolia,SIM
Ocotea minarum,SIM
Ocotea odorifera,SIM
Ocotea porosa,SIM
Ocotea serrana,SIM
Ocotea tabacifolia,SIM
Ocotea curucutuensis,SIM
Ocotea puberula,SIM
Persea obovata,SIM
Aiouea trinervis,SIM
Nectandra hihua,SIM
Cinnamomum erythropus,SIM
Nectandra paranaensis,SIM
Ocotea mosenii,SIM
Persea rigida,SIM
Ocotea inhauba,SIM
Ocotea virgultosa,SIM
Nectandra angustifolia,SIM
Cariniana legalis,SIM
Lecythis lanceolata,SIM
Genlisea repens,SIM
Utricularia trichophylla,SIM
Linum carneum,SIM
Blumenbachia scabra,SIM
Strychnos gardneri,SIM
Strychnos nigricans,SIM
Strychnos trinervis,SIM
Struthanthus flexicaulis,SIM
Struthanthus marginatus,SIM
Struthanthus taubatensis,SIM
Phlegmariurus mollicomus,SIM
Cuphea arenarioides,SIM
Cuphea lindmaniana,SIM
Diplusodon villosissimus,SIM
Lafoensia replicata,SIM
Magnolia ovata,SIM
Banisteriopsis parviflora,SIM
Barnebya dispar,SIM
Heteropterys patens,SIM
Heteropterys thyrsoidea,SIM
Mezia araujoi,SIM
Lophanthera lactescens,NAO
Camarea hirsuta,SIM
Heteropterys brasiliensis,SIM
Hiraea macrophylla,SIM
Heteropterys conformis,SIM
Byttneria scabra,SIM
Hibiscus diversifolius,SIM
Pavonia distinguenda,SIM
Eriotheca pubescens,SIM
Christiana macrodon,SIM
Pachira calophylla,SIM
Abutilon venosum,SIM
Sida acrantha,SIM
Callianthe latipetala,SIM
Goeppertia zebrina,SIM
Regnellidium diphyllum,NAO
Bertolonia hoehneana,SIM
Chaetostoma glaziovii,SIM
Leandra amplexicaulis,SIM
Leandra aurea,SIM
Leandra brackenridgei,SIM
Leandra calvescens,SIM
Leandra carassana,SIM
Leandra humilis,SIM
Leandra lapae,SIM
Leandra limbata,SIM
Leandra mattosii,SIM
Leandra quinquenodis,SIM
Leandra regnellii,SIM
Leandra salicina,SIM
Leandra sparsisetulosa,SIM
Leandra strigilliflora,SIM
Leandra uliginosa,SIM
Leandra umbellata,SIM
Leandra xantholasia,SIM
Miconia castaneiflora,SIM
Miconia cinerascens,SIM
Miconia longicuspis,SIM
Miconia mendoncae,SIM
Miconia polyandra,SIM
Miconia serrulata,SIM
Miconia tentaculifera,SIM
Miconia urophylla,SIM
Miconia willdenowii,SIM
Microlicia isophylla,SIM
Rhynchanthera grandiflora,SIM
Siphanthera cordata,SIM
Trembleya calycina,SIM
Cambessedesia glaziovii,SIM
Microlicia myrtoidea,SIM
Huberia laurina,SIM
Rhynchanthera latifolia,SIM
Miconia robusta,SIM
Pleroma bergianum,NAO
Chaetogastra versicolor,SIM
Huberia insignis,SIM
Cedrela fissilis,SIM
Cedrela odorata,SIM
Trichilia emarginata,SIM
Trichilia pallens,SIM
Trichilia silvatica,SIM
Trichilia casaretti,SIM
Metzgeria hegewaldii,SIM
Macropeplus dentatus,SIM
Mollinedia argyrogyna,SIM
Mollinedia boracensis,SIM
Mollinedia clavigera,SIM
Mollinedia engleriana,SIM
Mollinedia gilgiana,SIM
Mollinedia luizae,SIM
Mollinedia pachysandra,SIM
Mollinedia salicifolia,SIM
Mollinedia schottiana,SIM
Mollinedia triflora,SIM
Brosimum glaziovii,SIM
Ficus hirsuta,SIM
Ficus pulchella,SIM
Sorocea guilleminiana,SIM
Virola bicuhyba,SIM
Campomanesia hirsuta,SIM
Campomanesia neriiflora,SIM
Campomanesia phaea,SIM
Campomanesia reitziana,SIM
Eugenia bahiensis,SIM
Eugenia bunchosiifolia,SIM
Eugenia disperma,SIM
Eugenia handroi,SIM
Eugenia hermesiana,SIM
Eugenia lambertiana,SIM
Eugenia longipetiolata,SIM
Eugenia macrobracteolata,SIM
Eugenia malacantha,SIM
Eugenia nutans,SIM
Eugenia peruibensis,SIM
Eugenia pisiformis,SIM
Eugenia plicata,SIM
Eugenia prasina,SIM
Eugenia pruinosa,SIM
Eugenia pseudomalacantha,SIM
Eugenia squamiflora,SIM
Eugenia subundulata,SIM
Eugenia tenuipedunculata,SIM
Eugenia vattimoana,NAO
Eugenia zuccarinii,SIM
Myrceugenia bracteosa,SIM
Myrceugenia campestris,SIM
Myrceugenia euosma,SIM
Myrceugenia franciscensis,SIM
Myrceugenia hoehnei,SIM
Myrceugenia kleinii,SIM
Myrceugenia miersiana,SIM
Myrceugenia myrcioides,SIM
Myrceugenia pilotantha,SIM
Myrceugenia reitzii,SIM
Myrceugenia rufescens,SIM
Myrceugenia scutellata,SIM
Myrceugenia venosa,SIM
Myrcia anomala,SIM
Myrcia bicolor,SIM
Myrcia diaphana,SIM
Myrcia dichrophylla,SIM
Myrcia eriocalyx,SIM
Myrcia eriopus,SIM
Myrcia eumecephylla,SIM
Myrcia glabra,SIM
Myrcia guianensis,SIM
Myrcia hexasticha,SIM
Myrcia isaiana,SIM
Myrcia laxiflora,SIM
Myrcia macrocarpa,SIM
Myrcia montana,NAO
Myrcia plusiantha,SIM
Myrcia pubipetala,SIM
Myrcia rupicola,SIM
Myrcia tenuivenosa,SIM
Myrcianthes pungens,SIM
Myrciaria cuspidata,SIM
Myrciaria tenella,SIM
Neomitranthes amblymitra,SIM
Neomitranthes gracilis,SIM
Neomitranthes pedicellata,SIM
Plinia edulis,SIM
Plinia hatschbachii,SIM
Plinia phitrantha,SIM
Psidium grandifolium,SIM
Psidium myrtoides,SIM
Psidium salutare,SIM
Psidium sartorianum,SIM
Siphoneugena densiflora,SIM
Siphoneugena kiaerskoviana,SIM
Siphoneugena reitzii,SIM
Myrcia vestita,SIM
Eugenia arenosa,SIM
Myrcia aethusa,SIM
Plinia coronata,SIM
Myrcia eugenioides,NAO
Myrcia retusa,SIM
Plinia pseudodichasiantha,SIM
Myrcia flagellaris,SIM
Eugenia longibracteata,SIM
Myrceugenia hamoniana,SIM
Siphoneugena crassifolia,SIM
Myrcia ferruginosa,SIM
Myrcia skortzoviana,SIM
Eugenia pithecocephala,SIM
Myrcia multipunctata,SIM
Plinia silvestris,SIM
Myrcia grammica,SIM
Myrcia lonchophylla,SIM
Myrcia legrandii,SIM
Myrcia pileata,SIM
Myrcia curta,SIM
Myrcia dryadica,SIM
Myrcia fusiformis,SIM
Myrcia styphelantha,SIM
Myrcia solitaria,SIM
Myrcia neoregeliana,SIM
Myrcia glomerata,SIM
Myrcia loranthifolia,SIM
Guapira nitida,SIM
Chionanthus filiformis,SIM
Chionanthus subsessilis,SIM
Ludwigia anastomosans,SIM
Anathallis gehrtii,SIM
Barbosella dusenii,SIM
Bifrenaria racemosa,SIM
Brachionidium restrepioides,SIM
Campylocentrum spannagelii,SIM
Catasetum atratum,SIM
Cattleya bicolor,SIM
Cattleya intermedia,SIM
Cattleya labiata,NAO
Cattleya tigrina,SIM
Cirrhaea loddigesii,SIM
Cirrhaea longiracemosa,SIM
Cyrtopodium hatschbachii,SIM
Cyrtopodium lissochiloides,SIM
Cyrtopodium palmifrons,SIM
Cyrtopodium parviflorum,SIM
Dichaea mosenii,SIM
Dryadella auriculigera,SIM
Epidendrum geniculatum,SIM
Epidendrum henschenii,SIM
Epidendrum saxatile,SIM
Gomesa laxiflora,SIM
Grandiphyllum auricula,SIM
Grandiphyllum hians,SIM
Grobya fascifera,SIM
Habenaria armata,SIM
Habenaria crucifera,SIM
Habenaria hexaptera,SIM
Habenaria leucosantha,SIM
Habenaria novaesii,SIM
Habenaria regnellii,SIM
Habenaria trifida,SIM
Habenaria brachyplectron,SIM
Isabelia virginalis,SIM
Lepanthopsis densiflora,SIM
Malaxis jaraguae,SIM
Mesadenella atroviridis,SIM
Octomeria alexandri,SIM
Octomeria decumbens,SIM
Octomeria estrellensis,SIM
Octomeria lichenicola,SIM
Octomeria praestans,SIM
Octomeria truncicola,SIM
Octomeria wawrae,SIM
Octomeria wilsoniana,SIM
Pogoniopsis schenckii,SIM
Pteroglossa macrantha,SIM
Rodriguezia obtusifolia,SIM
Rodriguezia rigida,SIM
Sarcoglottis alexandri,SIM
Sarcoglottis uliginosa,SIM
Stelis argentata,SIM
Zootrophion atropurpureum,SIM
Bifrenaria tyrianthina,SIM
Maxillaria marginata,SIM
Saundersia mirabilis,SIM
Acianthera ophiantha,NAO
Chaubardia gehrtiana,SIM
Cirrhaea fuscolutea,SIM
Epidendrum parahybunense,SIM
Habenaria santensis,SIM
Houlletia brocklehurstiana,SIM
Malaxis cogniauxiana,SIM
Maxillaria schunkeana,SIM
Miltonia russelliana,SIM
Octomeria hoehnei,SIM
Polystachya rupicola,NAO
Veyretia aphylla,SIM
Zygopetalum maculatum,SIM
Cattleya crispa,SIM
Cattleya jongheana,NAO
Cattleya pumila,NAO
Cattleya wittigiana,NAO
Pabstiella miniatolineolata,SIM
Sauroglossum elatum,SIM
Vanilla dietschiana,SIM
Zygopetalum jugosum,SIM
Zygopetalum mosenianum,SIM
Zygopetalum viride,SIM
Gomesa jucunda,SIM
Gomesa concolor,SIM
Gomesa ciliata,SIM
Gomesa cuneata,NAO
Gomesa majevskyae,SIM
Gomesa pectoralis,SIM
Gomesa praetexta,SIM
Gomesa sarcodes,SIM
Gomesa uniflora,SIM
Capanemia therezae,SIM
Maxillaria meleagris,NAO
Cattleya purpurata,SIM
Gomesa florida,SIM
Warczewiczella wailesiana,SIM
Agalinis communis,SIM
Agalinis ramulifera,SIM
Escobedia grandiflora,SIM
Melasma rhinanthoides,SIM
Esterhazya caesarea,NAO
Passiflora campanulata,SIM
Passiflora hatschbachii,SIM
Passiflora ischnoclada,SIM
Passiflora racemosa,SIM
Passiflora setulosa,SIM
Pera glabrata,SIM
Gonatogyne brasiliensis,SIM
Peperomia adsurgens,SIM
Peperomia clivicola,SIM
Peperomia diaphanoides,SIM
Peperomia emarginella,SIM
Peperomia guarujana,SIM
Peperomia hydrocotyloides,SIM
Peperomia oreophila,SIM
Peperomia quadrifolia,SIM
Peperomia rostulatiformis,SIM
Peperomia schwackei,SIM
Peperomia trinervis,SIM
Peperomia velloziana,SIM
Piper hoehnei,SIM
Piper kuhlmannii,SIM
Piper lanceolatum,SIM
Piper loefgrenii,SIM
Piper scabrellum,SIM
Piper tectoniifolium,SIM
Piper vaginans,SIM
Piper velutinibaccum,SIM
Bacopa congesta,SIM
Plantago catharinea,SIM
Agrostis longiberbis,SIM
Andropogon carinatus,SIM
Andropogon hypogynus,SIM
Aristida brasiliensis,SIM
Aristida circinalis,SIM
Aristida ekmaniana,SIM
Aristida macrophylla,SIM
Axonopus monticola,SIM
Axonopus uninodis,SIM
Chusquea anelythra,SIM
Chusquea attenuata,SIM
Chusquea erecta,SIM
Chusquea pinifolia,SIM
Chusquea pulchella,SIM
Chusquea tenuiglumis,SIM
Colanthelia macrostachya,SIM
Ctenium brevispicatum,SIM
Ctenium cirrosum,SIM
Digitaria corynotricha,SIM
Eragrostis neesii,SIM
Gymnopogon burchellii,SIM
Hymenachne donacifolia,SIM
Hymenachne pernambucensis,SIM
Ichnanthus bambusiflorus,SIM
Leersia ligularis,SIM
Lithachne horizontalis,SIM
Luziola bahiensis,SIM
Merostachys bradei,SIM
Merostachys brevigluma,SIM
Merostachys burmanii,SIM
Merostachys caucaiana,SIM
Merostachys kleinii,SIM
Merostachys neesii,SIM
Merostachys polyantha,SIM
Merostachys scandens,SIM
Merostachys skvortzovii,SIM
Mesosetum ferrugineum,SIM
Panicum peladoense,SIM
Paspalum acuminatum,SIM
Paspalum erianthoides,SIM
Paspalum erianthum,SIM
Paspalum falcatum,SIM
Paspalum flaccidum,SIM
Paspalum glaucescens,SIM
Paspalum usterii,SIM
Raddiella esenbeckii,SIM
Schizachyrium tenerum,SIM
Setaria tenacissima,SIM
Steinchisma spathellosum,SIM
Zizaniopsis microstachya,SIM
Ichnanthus lancifolius,SIM
Reimarochloa acuta,SIM
Agenium leptocladum,SIM
Arthropogon xerachne,SIM
Axonopus argentinus,SIM
Axonopus comans,SIM
Gymnopogon doellii,NAO
Paspalum cinerascens,SIM
Paspalum plenum,SIM
Sporobolus apiculatus,SIM
Axonopus carajasensis,NAO
Andropogon glaucophyllus,SIM
Polypogon chilensis,SIM
Polypogon imberbis,SIM
Arundinella deppeana,SIM
Avena strigosa,SIM
Paspalum exaltatum,SIM
Chascolytrum brasilense,SIM
Paspalum repandum,SIM
Aulonemia setosa,SIM
Aristida subaequans,SIM
Hymenachne condensata,SIM
Schizachyrium scabriflorum,SIM
Podocarpus lambertii,SIM
Podocarpus sellowii,SIM
Apinagia riedelii,SIM
Polygala molluginifolia,SIM
Polygala brasiliensis,SIM
Polygala pumila,SIM
Lellingeria itatimensis,SIM
Moranopteris perpusilla,SIM
Mycopteris taxifolia,SIM
Heteranthera reniformis,SIM
Heteranthera zosterifolia,SIM
Portulaca amilis,SIM
Portulaca halimoides,SIM
Myrsine rubra,SIM
Myrsine villosissima,SIM
Lysimachia buxifolia,SIM
Euplassa cantareirae,SIM
Euplassa hoehnei,SIM
Euplassa incana,SIM
Panopsis multiflora,SIM
Roupala sculpta,SIM
Cheilanthes regnelliana,SIM
Doryopteris rediviva,SIM
Lytoneuron crenulans,SIM
Quiina glaziovii,SIM
Clematis campestris,SIM
Ranunculus flagelliformis,SIM
Reissekia smilacina,SIM
Gouania inornata,SIM
Gouania ulmifolia,SIM
Acaena eupatoria,SIM
Chomelia brasiliana,SIM
Chomelia obtusa,SIM
Coussarea accedens,SIM
Declieuxia cordigera,SIM
Faramea stipulacea,SIM
Galianthe peruviana,SIM
Galium equisetoides,SIM
Galium humile,SIM
Guettarda platyphylla,SIM
Manettia campanulacea,SIM
Melanopsidium nigrum,SIM
Palicourea tetraphylla,SIM
Posoqueria acutifolia,SIM
Psychotria fluminensis,SIM
Psychotria glaziovii,SIM
Richardia schumannii,SIM
Richardia stellaris,SIM
Rudgea coronata,SIM
Rudgea corymbulosa,SIM
Rudgea nobilis,SIM
Rudgea sessilis,SIM
Rudgea triflora,SIM
Rudgea vellerea,SIM
Rustia angustifolia,SIM
Declieuxia oenanthoides,SIM
Coffea arabica,NAO
Simira hexandra,SIM
Simira rubra,SIM
Ixora schottiana,SIM
Schizocalyx cuspidatus,SIM
Palicourea forsteronioides,SIM
Palicourea malaneoides,SIM
Balfourodendron riedelianum,SIM
Esenbeckia hieronymi,SIM
Esenbeckia leiocarpa,SIM
Pilocarpus giganteus,SIM
Meliosma chartacea,SIM
Meliosma itatiaiae,SIM
Casearia lasiophylla,SIM
Casearia paranaensis,SIM
Xylosma glaberrima,SIM
Eubrachion ambiguum,SIM
Phoradendron dipterum,SIM
Cupania concolor,SIM
Cupania furfuracea,SIM
Urvillea glabra,SIM
Allophylus melanophloeus,SIM
Paullinia pseudota,SIM
Chrysophyllum flexuosum,NAO
Chrysophyllum imperiale,SIM
Chrysophyllum inornatum,NAO
Chrysophyllum paranaense,SIM
Chrysophyllum viride,SIM
Pouteria beaurepairei,NAO
Pouteria bullata,SIM
Pouteria gardneri,SIM
Pouteria glomerata,SIM
Pouteria oxypetala,SIM
Pouteria psammophila,SIM
Micropholis crassipedicellata,NAO
Manilkara subsericea,NAO
Selaginella valida,SIM
Smilax muscosa,SIM
Smilax spicata,SIM
Smilax subsessiliflora,SIM
Smilax lappacea,SIM
Brugmansia suaveolens,SIM
Petunia mantiqueirensis,NAO
Schwenckia curviflora,SIM
Sessea brasiliensis,SIM
Solanum arenarium,NAO
Solanum bullatum,NAO
Solanum cinnamomeum,NAO
Solanum diploconos,NAO
Solanum latiflorum,SIM
Solanum melissarum,SIM
Solanum paralum,SIM
Solanum pinetorum,SIM
Solanum pseudoquina,NAO
Solanum spissifolium,SIM
Solanum viscosissimum,SIM
Calibrachoa humilis,NAO
Petunia exserta,NAO
Athenaea fasciculata,NAO
Athenaea sellowiana,SIM
Sphagnum brasiliense,SIM
Goniopteris littoralis,SIM
Sciaphila schwackeana,SIM
Turnera hilaireana,SIM
Pilea rhizobola,SIM
Lantana canescens,SIM
Viola gracillima,SIM
Viola subdimidiata,SIM
Cissus serroniana,SIM
Callisthene castellanosii,SIM
Xyris fallax,SIM
Xyris trachyphylla,SIM
Xyris vacillans,SIM
Xyris capensis,SIM
