mun,t20,etiqueta
santo antonio do aracangua (p1),NA,TRUE
"santo antonio do aracangua, distrito de vicentinopolis (p1)",NA,TRUE
santo antonio do pinhal,NA,TRUE
santos,TRUE,TRUE
sao bento do sapucai,NA,TRUE
"sao bento do sapucai, coordenadoria de assistencia tecnica integral (cati)",NA,TRUE
sao bernado do campo,NA,TRUE
sao bernardo,NA,TRUE
sao bernardo do campo,TRUE,TRUE
sao caetano,NA,TRUE
sao caetano do sul,TRUE,TRUE
sao carlos,NA,TRUE
sao francisco,NA,TRUE
sao joao da boa vista,NA,TRUE
sao joao das laranjeiras,NA,TRUE
sao joao de iracema (g5),NA,TRUE
sao joao del-rei,NA,TRUE
sao joaquim da barra,NA,TRUE
sao jose do barreiro,NA,TRUE
sao jose do rio pardo,NA,TRUE
sao jose do rio preto,NA,TRUE
sao jose do rio preto / mirassol,NA,TRUE
sao jose do rio preto-mirassol,NA,TRUE
sao jose dos campos,TRUE,TRUE
sao lourenco da serra,TRUE,TRUE
sao luis de paraitinga,NA,TRUE
sao luis do paraitinga,NA,TRUE
sao luiz de paraitinga,NA,TRUE
sao luiz de paraitingano,NA,TRUE
sao luiz do paraitinga,NA,TRUE
sao manoel,NA,TRUE
sao manuel,NA,TRUE
sao mateus,NA,TRUE
sao migue,NA,TRUE
sao miguel,NA,TRUE
sao miguel acanjo,NA,TRUE
sao miguel aranjo,NA,TRUE
sao miguel arcanjo,NA,TRUE
sao miguel arcanjo.,NA,TRUE
sao miguel de arcanjo,NA,TRUE
sao miguel do arcanjo,NA,TRUE
sao paulo,TRUE,TRUE
sao paulo (jardim botanico),NA,TRUE
sao pedro,NA,TRUE
sao pedro do turvo,NA,TRUE
sao roque,TRUE,TRUE
sao sebastiao,NA,TRUE
sao sebastiao bertioga,NA,TRUE
sao sebastiao da grama,NA,TRUE
sao sebatiao,NA,TRUE
sao simao,NA,TRUE
sao vicente,TRUE,TRUE
sarapui,TRUE,TRUE
selesopolis,NA,TRUE
senges,NA,TRUE
serra azul,NA,TRUE
serra da bocaina,NA,TRUE
serra da cantareira,NA,TRUE
serra da mantiqueira,NA,TRUE
serra do mar,NA,TRUE
serra gaucha,NA,TRUE
serra negra,NA,TRUE
sertaozinho,NA,TRUE
sete barras,TRUE,TRUE
sete barros,NA,TRUE
silveiras,NA,TRUE
socorro,NA,TRUE
sorocaba,TRUE,TRUE
sousas,NA,TRUE
souzas,NA,TRUE
sp,NA,TRUE
sto. andre,NA,TRUE
subauma,NA,TRUE
sud mennucci,NA,TRUE
sumare,NA,TRUE
suzanapolis,NA,TRUE
suzano,TRUE,TRUE
tabapua,NA,TRUE
taboao da serra,TRUE,TRUE
taguai,NA,TRUE
talhado,NA,TRUE
tambau,NA,TRUE
tanabi,NA,TRUE
tapira,NA,TRUE
tapirai,NA,TRUE
tapiratiba,NA,TRUE
taquaritinga,NA,TRUE
taquaritinga (p8),NA,TRUE
taquarituba,NA,TRUE
taruma,NA,TRUE
tatui,NA,TRUE
taubate,NA,TRUE
teodoro samapaio,NA,TRUE
teodoro sampaio,NA,TRUE
tiete,NA,TRUE
timburi,NA,TRUE
tombos,NA,TRUE
torrinha,NA,TRUE
torrinhas,NA,TRUE
tremembe,NA,TRUE
tres fronteiras,NA,TRUE
tuiuti,TRUE,NA
tupa,NA,TRUE
tupi,NA,TRUE
tupi paulista,NA,TRUE
turiuba,NA,TRUE
turmalina,NA,TRUE
turmalina (p4),NA,TRUE
ubarana,NA,TRUE
ubatuba,NA,TRUE
ubatuba - caraguatatuba,NA,TRUE
"ubatuba, sertao da praia dura, estrada da folha seca",NA,TRUE
uberaba,NA,TRUE
uniao paulista,NA,TRUE
uniao paulista (g4),NA,TRUE
urupes,NA,TRUE
vale do ribeira,NA,TRUE
valentim gentil,NA,TRUE
valinhhos,NA,TRUE
valinhos,NA,TRUE
valparaiso,NA,TRUE
vargem,TRUE,NA
vargem grande do sul,NA,TRUE
vargem grande paulista,TRUE,NA
varzea paulista,TRUE,TRUE
vassununga,NA,TRUE
vera cruz,NA,TRUE
vila amalia,NA,TRUE
vinhedo,NA,TRUE
viracopos,NA,TRUE
viradouro,NA,TRUE
votorantim,TRUE,TRUE
votorantin,NA,TRUE
votuporanga,NA,TRUE
votuporanga (p3),NA,TRUE
zacarias,NA,TRUE
