nome_aceito_correto,nomes_originais,elegivel_produto_1,splink_t20,gbif_t20,splink_rbcv,gbif_rbcv,sum,entra,notas_all,especialista
Isabelia violacea,Isabelia violacea,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Isabelia virginalis,Isabelia virginalis,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",
Jacquiniella globosa,Jacquiniella globosa,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Koellensteinia tricolor,Koellensteinia tricolor,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,
Lankesterella ceracifolia,Lankesterella ceracifolia,apta,TRUE,TRUE,TRUE,FALSE,3,nao entra,"NA",
Lankesterella gnoma,Lankesterella gnomus,apta,FALSE,FALSE,FALSE,FALSE,0,entra,Nome original mal escrito,
Lepanthopsis densiflora,Lepanthopsis densiflora,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Lepanthopsis floripecten,Lepanthopsis floripecten,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",
Leptotes bicolor,Leptotes bicolor,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Liparis vexillifera,Liparis vexillifera,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
Loefgrenianthus blanche-amesiae,Loefgrenianthus blanche-amesiae-Loefgrenianthus blanche-amesii,apta,FALSE,FALSE,FALSE,FALSE,0,nao entra,Nome original mal escrito/Nome original era sinônimo-NA,
Lyroglossa grisebachii,Lyroglossa grisebachii,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Malaxis excavata,Malaxis excavata,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",
Malaxis jaraguae,Malaxis jaraguae,apta,TRUE,FALSE,TRUE,FALSE,2,entra,"NA",
Malaxis parthonii,Malaxis parthonii,apta,TRUE,FALSE,TRUE,FALSE,2,nao entra,"NA",
