"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","class","typeStatus","infraspecificEpithet","fieldNumber","sex"
"11","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1360","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","Nygel Taylor",NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,"1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00996969","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","coerulescens","Pilosocereus coerulescens","(Lem.) F.Ritter","D. C. Zappi",NA,NA,NA,"H. S. Irwin","1970","03","16","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, Ca. 8 km E. of Diamantina, road to Extração.","-43.601","-18.24",NA,NA,NA,"1175","1175",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140730' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"27652","South America","sheet","NY00996969","NY00996969_01",NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00996968","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","coerulescens","Pilosocereus coerulescens","(Lem.) F.Ritter","D. C. Zappi",NA,NA,NA,"H. S. Irwin","1968","02","19","Brazil","Minas Gerais",NA,"Serra do Cipó, km. 115 (ca. 140km N. of Belo Horizonte).","-43.4","-18.9",NA,NA,NA,"1250","1250",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1140719' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"20478","South America","sheet","NY00996968","NY00996968_01",NA,NA,NA,NA,NA
"14","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0180569","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","coerulescens","Pilosocereus coerulescens","(Lem.) F.Ritter","Zappi DC","1991","10","01","Ritter F","1959","01","01","Brazil","Minas Gerais",NA,"Brazil. Minas Gerais. Diamantina.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200180569 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U0180569","NL-U0180569","Magnoliopsidae","holotype",NA,NA,NA
"15","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0180571","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","coerulescens","Pilosocereus coerulescens","(Lem.) F.Ritter","Zappi DC","1991","10","01","Ritter F","1964","01","01","Brazil","Minas Gerais",NA,"Brazil. Minas Gerais. Penha da França.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200180571 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U0180571","NL-U0180571","Magnoliopsidae","holotype",NA,NA,NA
"16","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0180577","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","coerulescens","Pilosocereus coerulescens","(Lem.) F.Ritter","Zappi DC","1991","10","01","Ritter F","1964","01","01","Brazil","Minas Gerais",NA,"Brazil. Minas Gerais. Conceiþao.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200180577 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U0180577",NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0180570","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","coerulescens","Pilosocereus coerulescens aurilanatus","(F.Ritter) Zappi","Zappi DC","1991","10","01","Ritter F","1964","01","01","Brazil","Minas Gerais",NA,"Brazil. Minas Gerais. Joaquim Felicio.","-44.178309","-17.754905","-44.178309","-17.754905",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200180570 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U0180570","NL-U0180570","Magnoliopsidae","holotype","aurilanatus",NA,NA
"18","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0227561","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pseudopilocereus","werdermannianus","Pseudopilocereus werdermannianus","Buining & Brederoo",NA,NA,NA,NA,"Horst L; Uebelmann W",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200227561 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U0227561","NL-U0227561","Magnoliopsidae","holotype",NA,NA,NA
"19","2020-11-04 11:04:12-03","ESALQ","ESA","41182","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & Rowley","Aona, L.Y.S.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","1998","04","05","Brasil","Minas Gerais","Gouveia",NA,"-43.7407989501953","-18.4543991088867",NA,NA,"37970",NA,NA,NA,NA,"auto","21001.0",NA,NA,"ESA041182","ESA041182",NA,NA,NA,NA,NA
"20","2020-12-20 21:16:31-03","UFV","VIC","39933","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm) Byles & G.D.",NA,NA,NA,NA,"Santos, M.R.","2010","11","28","Brasil","Minas Gerais",NA,"Parque Estadual do Rio Preto (PERP), Campo rupestre",NA,NA,NA,NA,NA,NA,NA,NA,"colunar, sobre areia, cascalho ou rocha",NA,"30",NA,NA,"VIC039933",NA,NA,NA,"aurisetus",NA,NA
"21","2020-12-20 21:16:31-03","UFV","VIC","39921","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurilanatus","(Ritter) Zappi","Santos, M.R.","2011","07","14","Santos, M.R.","2011","07","14","Brasil","Minas Gerais","Tromba D#?#anta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colunar, sobre areia, cascalho ou rocha.",NA,"120",NA,NA,"VIC039921","VIC039921",NA,NA,"aurilanatus",NA,NA
"22","2020-12-20 21:16:31-03","UFV","VIC","39922","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurilanatus","(Ritter) Zappi",NA,NA,NA,NA,"Santos, M.R.","2011","07","15","Brasil","Minas Gerais","Itamarandiba","campo rupestre.","-42.8588981628418","-17.8572006225586",NA,NA,"39586",NA,NA,NA,"colunar, sobre areia, cascalho ou rocha","auto","128",NA,NA,"VIC039922",NA,NA,NA,"aurilanatus",NA,NA
"23","2020-12-20 21:16:31-03","UFV","VIC","39927","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurilanatus","(Ritter) Zappi","Santos, M.R.","2011","07","13","Santos, M.R.","2011","07","13","Brasil","Minas Gerais","Itamarandiba","Campo rupestre.","-42.8588981628418","-17.8572006225586",NA,NA,"39586",NA,NA,NA,"Sobre areia, casacalho ou rocha.","auto","119",NA,NA,"VIC039927","VIC039927",NA,NA,"aurilanatus",NA,NA
"24","2020-12-20 21:16:31-03","UFV","VIC","39931","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm) Byles & G.D.","Santos, M.R.","2010","11","28","Santos, M.R.","2010","11","28","Brasil","Minas Gerais","P.E do Rio Preto","Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,"Colunar, sobre areia cascalho ou rocha.",NA,"31",NA,NA,"VIC039931","VIC039931",NA,NA,"aurisetus",NA,NA
"25","2020-02-18 09:33:39-03","UNICAMP","UEC","103416","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm.) Byles & G.D.Rowley","Aona, LYS",NA,NA,NA,"Aona, LYS; Faria, AD; Mansanares, ME; Feres, FR; Belinello, R","1998","12","15","Brazil","Minas Gerais","Cardeal Mota","Serra do Cipó Fazenda do Geraldinho.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98/07",NA,NA,"UEC041083","UEC041083",NA,NA,"aurisetus",NA,NA
"26","2021-01-29 12:45:36-03","UNICAMP","UEC","103418","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm.) Byles & G.D.Rowley","Aona, LYS",NA,NA,NA,"Aona, LYS; Faria, AD; Mansanares, ME; Feres, FR; Belinello, R","1998","12","18","Brazil","Minas Gerais","Gouveia","Sentido Diamantina, MG 259, a 8 Km de Gouveia.","-43.902778","-18.614167","-43.902778","-18.614167",NA,NA,NA,NA,NA,NA,"98/31",NA,NA,"UEC041086","UEC041086",NA,NA,"aurisetus",NA,NA
"27","2020-02-18 09:33:39-03","UNICAMP","UEC","103419","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm.) Byles & G.D.Rowley","Aona, LYS","2000",NA,NA,"Aona, LYS; Faria, AD; Mansanares, ME; Feres, FR; Belinello, R","1998","12","17","Brazil","Minas Gerais",NA,"Serro-Milho Verde, a 10,4 Km do Posto de Carga Pesada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98/24",NA,NA,"UEC041081","UEC041081",NA,NA,"aurisetus",NA,NA
"28","2020-02-18 09:33:39-03","UNICAMP","UEC","103421","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm.) Byles & G.D.Rowley","Aona, LYS",NA,NA,NA,"Aona, LYS; Faria, AD; Mansanares, ME; Feres, FR; Belinello, R","1998","12","17","Brazil","Minas Gerais","Cardeal Mota","Sentido Conceição do Mato Dentro, Km 138, afloramento rochoso dentro de mata localizado atrás da casa do Carlos e Valéria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98/21",NA,NA,"UEC041082","UEC041082",NA,NA,"aurisetus",NA,NA
"29","2020-02-18 09:33:39-03","UNICAMP","UEC","103443","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm.) Byles & G.D.Rowley","Aona, LYS","2000",NA,NA,"Aona, LYS; Faria, AD; Mansanares, ME; Feres, FR; Belinello, R","1998","12","15","Brazil","Minas Gerais","Cardeal Mota","Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98/08",NA,NA,"UEC041084","UEC041084",NA,NA,"aurisetus",NA,NA
"30","2021-03-01 16:27:17-03","UNICAMP","UEC","125569","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm.) Byles & G.D.Rowley","Aona, LYS",NA,NA,NA,"Kinoshita, LS; Aona, LYS","2000","11","22","Brazil","Minas Gerais","Santana do Riacho","Parque Nacional Serra do Cipó, campo rupestre localizado acima da Fazenda Alto Palácio.","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"Flores com perianto externo avermelhado, fechadas às 16h.","auto","00/241",NA,NA,"UEC041079","UEC041079",NA,NA,"aurisetus",NA,NA
"31","2020-02-18 09:33:39-03","UNICAMP","UEC","103420","S","Plantae","Magnoliopsida",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm.) Byles & G.D.Rowley","Aona, LYS",NA,NA,NA,"Aona, LYS; Faria, AD; Mansanares, ME; Feres, FR; Belinello, R","1998","12","17","Brazil","Minas Gerais","Serro","Sentido Serro-Milho Verde, a 10,4 Km do Posto de Carga Pesada.","-43.3793983459473","-18.604700088501",NA,NA,"37754",NA,NA,NA,NA,"auto","98/22",NA,NA,"UEC041085","UEC041085",NA,NA,"aurisetus",NA,NA
"32","2020-12-21 16:19:46-03","MBM","MBM","23391","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","Werderm.Byles & Rowley","Taylor, N.P.",NA,NA,NA,"Hatschbach, G.","1972","08","10","Brazil","Minas Gerais","Serro","Rod. MG-2, próximo a Pedro Less","-43.3793983459473","-18.604700088501",NA,NA,"37754",NA,NA,NA,NA,"auto","30133","Southern America",NA,"MBM023391","MBM023391",NA,NA,NA,NA,NA
"33","2015-09-04 16:05:48-03","MNHN","RECOLNAT_MNHN_P","P04556616","PreservedSpecimen",NA,NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"S. Irwin, H.|Souza, R.|Reis dos Santos, R.","1965","11","1","Brasil","Goiás","Cristalina","Serra dps Crostaos. Estado de Goiás, 5 km S of Cristalina. Cristalina, Goiás, Centro-oeste, Brasil, América do Sul","-47.6136016845703","-16.7686004638672",NA,NA,"85457","1175",NA,NA,"Plants of the Planalto do Brasil. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04556616' target='other'> <mi>dwc_moreinfo</mi></a>","auto",NA,NA,"hb","P04556616","P04556616_01",NA,NA,NA,"9716",NA
"34","2020-12-11 11:34:16-03","UFMG","BHCB","185758","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Vidal, CV","2014","07","28","Brasil","Minas Gerais","Conceição do Mato Dentro",NA,"-43.388642","-19.404283","-43.388642","-19.404283",NA,NA,NA,NA,"Herbáceo; Floração; Flores cremes, altura 1m; Campo rupestre sobre formação ferruginosa",NA,"1263","Southern America",NA,"BHCB185758",NA,NA,NA,"aurisetus",NA,NA
"35","2020-12-11 11:34:16-03","UFMG","BHCB","68281","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Mota, RC da","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","Serra do Paiol.",NA,"-18.520411",NA,"-18.520411",NA,NA,NA,NA,"Planta coletada em fresta de paredão; arbusto; flores cremes.",NA,"1406","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-12-11 11:34:16-03","UFMG","BHCB","186467","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,"2017","02","18","Oliveira, DMG; Stehmann, JR; Fernandes, RL; Azevedo, LO","2017","02","18","Brasil","Minas Gerais","Monte Azul","Parque Estadual Caminho das Gerais","-43.018333","-15.171944","-43.018333","-15.171944",NA,"1084","1084",NA,"Espinhos alaranjados a avermelhados; Cefálio com tufo de tricomas amarelo/dourado; Frutos imaturos verdes, tricomas brancos na base do frutos.; Sobre rocha.",NA,"225","Southern America",NA,"BHCB186467",NA,NA,NA,NA,NA,NA
"37","2020-12-11 11:34:16-03","UFMG","BHCB","22551","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Braga, MMN","1993","09","27","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:34:16-03","UFMG","BHCB","22551","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Braga, MMN","1993","09","27","Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:34:16-03","UFMG","BHCB","42937","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:34:16-03","UFMG","BHCB","64899","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Ordones, L","2001","08","04","Brasil","Minas Gerais","Cocais","Pedra Pintada.",NA,NA,NA,NA,NA,"920","920",NA,"Campo rupestre. Arbusto, flores rosadas, cerdas brancas abundantes. Flores e frutos em solução. CARPOTECA",NA,"851","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-12-11 11:34:16-03","UFMG","BHCB","75416","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Mota, RC da; Viana, PL; Munhoz, ACD; Silva, CR","2002","07","07","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo.","-43.547222","-19.076667","-43.547222","-19.076667",NA,NA,NA,NA,"Planta coletada em campo rupestre; frutos imaturos verdes escuros.",NA,"1684","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-11 11:34:16-03","UFMG","BHCB","75415","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Mota, RC da","2002","07","24","Brasil","Minas Gerais","Serro","Milho Verde","-43.3793983459473","-18.604700088501",NA,NA,"37754",NA,NA,NA,"Planta coletada em campo rupestre; flores cremes, hipanto e frutos imaturos verdes escuros.","auto","1683","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-11 11:34:16-03","UFMG","BHCB","51502","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Lombardi, JA; et al.",NA,NA,NA,"Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto.","-43.3908004760742","-18.0041999816895",NA,NA,"26697",NA,NA,NA,NA,"auto","s.n.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-11 11:34:16-03","UFMG","BHCB","24273","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Lombardi, JA","1993","07","22","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, depois da Fazenda, perto da estrada-MG alto de morro entre rochas","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,NA,"auto","387","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-12-11 11:34:16-03","UFMG","BHCB","24273","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"Lombardi, JA","1993","07","22","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, depois da Fazenda, perto da estrada-MG alto de morro entre rochas","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,NA,"auto","387","Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-07-11 08:30:53-03","ICAUFMG","MCCA","2954","S","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley",NA,NA,NA,NA,"MUNHOZ, E.J.M.; SOUZA, C.L.L.; SILVA, H.I.R.","2016","09","15","Brasil","Minas Gerais","Montes Claros","Fazenda Pequi Porteirinha","-43.8616981506348","-16.7350006103516",NA,NA,"72568",NA,NA,NA,"Encontrada em afloramento calcário","auto","29",NA,NA,"MCCA03079","MCCA03079 MCCA03079_01",NA,NA,NA,NA,NA
"47","2019-12-13 08:11:31-03","ICAUFMG","MCCA","2588","S","Plantae",NA,NA,"Cactaceae","Pilosocereus","aurisetus","Pilosocereus aurisetus","(Werderm.) Byles & G.D.Rowley","FONSECA, R.S.","2016","09","15","MUNHOZ, E.J.M.; SOUZA, C.L.L.; SILVA, H.I.R.","2016","08","05","Brasil","Minas Gerais","Montes Claros","Fazenda Pequi Porteirinha","-43.8616981506348","-16.7350006103516",NA,NA,"72568",NA,NA,NA,"Crescendo sobre afloramento calcário","auto",NA,NA,NA,"MCCA02702",NA,NA,NA,NA,NA,NA
