"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","641533","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf",NA,"A. S. Hitchcock","20199","1923","06",NA,"Ecuador","Guayas",NA,"Milagro","-79.592627","-2.139095",NA,NA,"50","50","NY00641533",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505214' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"12","2016-09-30 02:18:00-03","NY","NYBG","1100003","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"E. A. Goeldi","237",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"NY01100003","NY01100003_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400261' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","630688","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf",NA,"R. Reitz","734","1953","05","13","Brazil","Santa Catarina","Florianópolis","Rio Tavares, Ilha S. Catarina","-48.4776878","-27.6525515",NA,NA,"2","2","NY00630688","NY00630688_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505210' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"14","2016-11-01 12:11:00-02","NY","NYBG","630689","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"F. C. Hoehne","2147","1918","01","01","Brazil","São Paulo","Sao Paulo","Butantan, S. Paulo","-46.724373","-23.565521",NA,NA,NA,NA,"NY00630689","NY00630689_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505209' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"15","2016-11-01 12:11:00-02","NY","NYBG","630684","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"L. Riedel","96",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"NY00630684","NY00630684_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505220' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"16","2016-11-01 12:11:00-02","NY","NYBG","763097","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"W. Hoehne","s.n.","1944",NA,NA,"Brazil","São Paulo","Sao Paulo","Parque do Estado de SP","-46.621883","-23.654505",NA,NA,NA,NA,"NY00763097","NY00763097_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505216' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","630686","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf",NA,"R. Reitz","2993","1956","04","06","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"200","200","NY00630686","NY00630686_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505211' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","630680","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf","E. J. Judziewicz","P. K. H. Dusén","17013","1915","05","08","Brazil","Paraná","Jaguariaíva","Jacarehý","-49.7056","-24.2511",NA,NA,NA,NA,"NY00630680","NY00630680_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505218' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"19","2016-11-01 12:11:00-02","NY","NYBG","630683","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"L. Riedel","s.n.",NA,NA,NA,"Brazil",NA,NA,"{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,NA,NA,"NY00630683","NY00630683_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505219' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"20","2016-09-29 14:12:00-03","NY","NYBG","630681","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,"S. M. Silva","S. M. Silva","s.n.","1995","05","26","Brazil","Paraná","Paranaguá","Praia de Fora (Farol), Ilha do Mel","-48.3","-25.5",NA,NA,NA,NA,"NY00630681","NY00630681_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505206' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","630682","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf","T. S. d. Silva","T. S. d. Silva","213","1975","11","04","Brazil","São Paulo","Sao Paulo","Parque Estadual das Fontes do Ipiranga","-46.621883","-23.654505",NA,NA,NA,NA,"NY00630682","NY00630682_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505201' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"22","2016-09-29 14:12:00-03","NY","NYBG","641534","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica",NA,NA,"M. Saldías Paz","703","1989","05","24","Bolivia","Santa Cruz",NA,"Prov. Obispo Santiestevan. Saavedra. C.I.A.T. 15 km NNE (línea recta) de Montero. Cultivada en Jardín de Variedades forrajeras de la institución","-63.22","-17.23",NA,NA,"260","260","NY00641534",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505221' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","630679","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf",NA,"S. A. Mori","10093","1978","05","12","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesq. do Cacau), km 22 rodovia Ilhéus/Itabuna - BR 415","-39.2273659","-14.771874",NA,NA,"50","50","NY00630679","NY00630679_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505217' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","630678","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf",NA,"G. Eiten","4961","1962","07","17","Brazil","Bahia","Chorrochó","Ilha de Barra, an island in the Rio Sao Francisco, near town of Barra do Tarrachil (or Tarrachil). Flat island 3 m. above present water level","-38.975","-8.775",NA,NA,"3","3","NY00630678","NY00630678_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=505213' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1174840","PreservedSpecimen","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen",NA,"L. Coradin","1008","1977","11","08","Brazil","Roraima",NA,"Along Mucajaí - Caracaraí road (BR 174), Km 6. Dry sandy soil. Introduced grass for cultivation purposes.",NA,NA,NA,NA,NA,NA,"NY01174840","NY01174840_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402056' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00861853","PreservedSpecimen","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen",NA,"G. Eiten","4899","1962","07","08","Brazil","Piauí","Floriano","Ca. 2 km upstream along Parnaíba River from Floriano.","-43.03","-6.77",NA,NA,NA,NA,"NY00861853","NY00861853_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937909' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1100004","PreservedSpecimen","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen","E. A. Lobato","R. Spruce","1251","1850","06",NA,"Brazil","Pará",NA,"In vicinibus Santarem, Prov. Parà","-54.740486","-2.449614",NA,NA,NA,NA,"NY01100004","NY01100004_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400260' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","01174842","PreservedSpecimen","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen",NA,"M. H. Nee","42704","1992","05","18","Brazil","Amazonas",NA,"Mun. de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 72, then 6 km west, Fazenda Dimona. Projeto Dinâmica Biológica de Fragmentos Florestais, camp Dimona.","-60.0917441","-2.326638",NA,NA,NA,NA,"NY01174842","NY01174842_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202366' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","01174843","PreservedSpecimen","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen",NA,"M. H. Nee","42418","1992","02","10","Brazil","Amazonas","Manaus","Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 72, then 6 km west, Fazenda Dimona. Projeto Dinâmica Biológica de Fragmentos Florestais, camp Dimona","-60.0917441","-2.326638",NA,NA,NA,NA,"NY01174843","NY01174843_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=202365' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1174841","PreservedSpecimen","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen",NA,"L. Coradin","636",NA,NA,NA,"Brazil","Roraima",NA,NA,NA,NA,NA,NA,NA,NA,"NY01174841","NY01174841_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1400993' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1174844","PreservedSpecimen","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen",NA,"T. C. Plowman","8766","1980","02","12","Brazil","Pará","Conceição do Araguaia","Range of low hills ca. 20 Km west of Redenção, near Côrrego São João and Troncamento Santa Teresa. Forming colonies on weedy roadside.","-50.166667","-8.05",NA,NA,"350","350","NY01174844","NY01174844_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1402057' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00861878","PreservedSpecimen","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen",NA,"F. E. Drouet","2406","1935","09","01","Brazil","Ceará","Quixadá","Shores of Açude Choró","-39.0153","-4.9717",NA,NA,NA,NA,"NY00861878","NY00861878_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=937912' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA
"33","2020-01-28 13:11:30-03","MCN-PUC-MINAS","HPUC-MG","ANG5458","S","Plantae","Poaceae","Urochloa","mutica","Urochloa mutica",NA,"Starling, M.F.V & Silva, A.F.","Cunha, S.P.S.",NA,NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte","Aeroporto Carlos Drummond de Andrade","-43.956733","-19.849206","43°57'24.24W","19°50'57.14S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-13 09:20:39-03","UFRJ","RFA","10978","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","Stapf","S.A. Renvoize","G.G. Hatschbach","21399","1969","04","23","Brasil","Paraná","Paranaguá","Baía de Paranaguá, Piaçanguera","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,"RFA30751",NA,"Levemente decumbente","1971",NA,NA,NA,NA,NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA
"35","2020-11-24 17:10:58-03","UTFPR","DVPR","1514","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf","Gorenstein, MR","Souza, D; et al.","s.n.","2010","01","26","Brasil","Paraná","Dois Vizinhos","Trilha ecológica do Campus da UTFPR","-53.0604","-25.413","-53.0604","-25.413",NA,NA,"DVPR001514",NA,"Erva, frutos.","2010",NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:53:07-03","EAO","IAN","112565","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf",NA,"Maitland, TD","105","1927","12",NA,"Cameron",NA,NA,"Buea.",NA,NA,NA,NA,NA,NA,"IAN112565",NA,NA,NA,NA,NA,"Africa",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:53:07-03","EAO","IAN","175429","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf","Cordeiro, MR","Menezes Neto, MA; Cordeiro, MR","MA-07-12100069","2001","01","25","Brasil","Pará","Belém","Parque Ambiental do Utinga. Solo argiloso, capoeira, luminosidade intensa, freqüência comum.","-48.444167","-1.431944","-48.444167","-1.431944","20","20","IAN175429",NA,"Erva. Inflorescência esverdeada.","2001",NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:53:07-03","EAO","IAN","68002","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf","Zuloaga, FO","Dutra, AP","613",NA,NA,NA,"Brasil","Rio Grande do Sul","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,"IAN068002",NA,NA,"1988","12",NA,"Southern America",NA,NA,"Monocotiledônea",NA,"10287","auto",NA,NA,NA,NA,NA
"39","2021-03-30 12:53:07-03","EAO","IAN","37267","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf","Zuloaga, FO","Santoro, J","9324","1948","05","31","Brasil","São Paulo","Campinas","Campo Experimental Instituto.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"IAN037267","IAN037267 IAN037267_e IAN037267_e1","Herbaceo.","1988","12",NA,"Southern America",NA,NA,"Monocotiledônea",NA,"23900","auto",NA,NA,NA,NA,NA
"40","2021-03-30 12:53:07-03","EAO","IAN","35831","PreservedSpecimen","Plantae","Poaceae","Brachiaria","mutica","Brachiaria mutica","(Forssk.) Stapf","Zuloaga, FO","Bittencourt, PVC","7177","1943","08","23","Brasil","São Paulo","Campinas","Fazenda Santa Genebra.","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"IAN035831","IAN035831 IAN035831_e IAN035831_e1","Herbaceo.","1988","12",NA,"Southern America",NA,NA,"Monocotiledônea",NA,"23900","auto",NA,NA,NA,NA,NA
"41","2021-03-30 12:53:44-03","EAO","IAN","96704","PreservedSpecimen","Plantae","Poaceae","Panicum","barbinode","Panicum barbinode","Trin.",NA,"Black, GA; Avelino","99c","1945","03","07","Brasil","Ceará","Sobral","Fazenda Salgado. Lugar sombreado e com vegetação luxuriante.","-40.3497009277344","-3.68611001968384",NA,NA,NA,NA,"IAN096704",NA,NA,NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,"84289","auto",NA,NA,NA,NA,NA
"42","2021-03-30 12:53:55-03","EAO","IAN","160635","PreservedSpecimen","Plantae","Poaceae","Panicum","purpurascens","Panicum purpurascens","Raddi","Nivaldo, S","Rodrigues, IA; Cordeiro, MR","1168","1984","10","04","Brasil","Pará","Oriximiná","Campo perto do lago Chuaca; Terra Santa. Campo de terra firme.","-55.366667","-1.75","-55.366667","-1.75",NA,NA,"IAN160635",NA,"Erva perene, com fruto.",NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:53:55-03","EAO","IAN","162001","PreservedSpecimen","Plantae","Poaceae","Panicum","purpurascens","Panicum purpurascens","Raddi",NA,"Drudi, A","03","1988","01","11","Brasil","Goiás","Araguaína","Estação Experimental de Araguaína. Solo que inunda na época das águas.",NA,NA,NA,NA,NA,NA,"IAN162001",NA,"Decumbente. Folha de cor verde-clara.",NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:53:55-03","EAO","IAN","43787","PreservedSpecimen","Plantae","Poaceae","Panicum","purpurascens","Panicum purpurascens","Raddi","Black, GA","Hitchcock, AS","16670","1919","11","04","Guiana",NA,NA,"Georgetown: Peters Hall. Low ground among bushes.",NA,NA,NA,NA,NA,NA,"IAN043787",NA,NA,"1951","06",NA,NA,NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:53:55-03","EAO","IAN","43933","PreservedSpecimen","Plantae","Poaceae","Panicum","purpurascens","Panicum purpurascens","Raddi",NA,"Swallen, JR","6993","1944","06","04","Brasil","Pará",NA,"In shallow water, margin of river. Lobata. Marajó.",NA,NA,NA,NA,NA,NA,"IAN043933",NA,NA,NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-30 12:53:55-03","EAO","IAN","54311","PreservedSpecimen","Plantae","Poaceae","Panicum","purpurascens","Panicum purpurascens","Raddi",NA,"Black, GA; Engelhard, F","8964","1950","02","19","Brasil","Pará",NA,"Ilha do Marajó; fazenda Menino Deus, Vitoria.",NA,NA,NA,NA,NA,NA,"IAN054311",NA,"Flutuante; folha menos peluda.",NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-30 12:53:55-03","EAO","IAN","54359","PreservedSpecimen","Plantae","Poaceae","Panicum","purpurascens","Panicum purpurascens","Raddi",NA,"Black, GA","9045","1950","02","24","Brasil","Pará",NA,"Ilha do Marajó; fazenda Menino Deus; em campo de juncos e capins.",NA,NA,NA,NA,NA,NA,"IAN054359",NA,"Planta com grande freqüencia. Canarana; inflorescência arroxeada.",NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-30 12:53:55-03","EAO","IAN","72597","PreservedSpecimen","Plantae","Poaceae","Panicum","purpurascens","Panicum purpurascens","Raddi",NA,"Lanjouw, J","1081","1933","10","21","Suriname",NA,NA,"Loc. Coronie W. Border of Swamp.","-56.5","3.6","-56.5","3.6",NA,NA,"IAN072597",NA,NA,NA,NA,NA,"Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
