"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","fieldNumber","individualCount","typeStatus","relatedCatalogItem"
"11","2021-03-31 13:35:23-03","MN","R","104040","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E. Fourn.) Fontella & Marquete","Marquete, N.F.S.","Mello Filho, L.E.","1464","1957","04","20",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,"19648","auto","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-07 11:41:00-03","UFMS","CGMS","70623","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","melinioides","Oxypetalum melinioides","Goyder","Rapini","A. Pott; V.J. Pott & C. Padovani","8210","1999","10","31",NA,"Brasil","Mato Grosso do Sul","Camapuã","Fazenda Santa Verônica, BR-060, 5 Km norte de Camapuã, microbacia do Córrego Barroso.","-54.0438995361328","-19.531400680542","500",NA,"Levantamento florístico. Doação do CPAP (18804). Coordenadas geográficas: 19°30#?#5'S 57°0#?#28'W Habitat: Vazante úmida (brejo) em área de ex-cerradão. Solo hidromórfico. Relevo vale. Habito: Trepadeira. Rara.","CGMS1103149",NA,"500","123887","auto","2011",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:22:11-03","UNICAMP","UEC","100583","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Rapini, A","Shepherd, GJ; Goldenberg, R; Belinello, R; Galvão, JC; Santos, MV","9730","1997","02","18",NA,"Brazil","São Paulo","Queluz","Encosta próxima a Pedra da Mina.","-44.846389","-22.408333","2500",NA,"Trepadeira com flores brancas.; Campo de altitude, dominado por <em>Chusquea sp</em>, em terreno pedregoso.","UEC053074","UEC053074","2660",NA,NA,"2008","-44.846389","-22.408333",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:22:11-03","UNICAMP","UEC","205237","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Streher, NS","Streher, NS","NS92","2017","10","17",NA,"Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia. Próximo ao estacionamento da parte alta do parque, estradinha que leva à Trilha do Couto","-44.8699989318848","-22.283899307251",NA,NA,"Campos de Altitude","UEC166806","UEC166806",NA,"26914","auto","2019",NA,NA,NA,"09","30",NA,NA,NA,NA
"15","2021-03-01 16:22:11-03","UNICAMP","UEC","81621","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Oxypetalum","melinioides","Oxypetalum melinioides","Goyder","Rapini, A","Kinoshita, LS; Sartori, A","9428","1994","11","07",NA,"Brazil","São Paulo","Aguaí",NA,"-46.9700012207031","-22.0499992370605",NA,NA,"Liana, flor esverdeada.","UEC053053","UEC053053",NA,"25812","auto","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-08-20 10:03:48-03","UNICAMP","UEC","100516","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira","Farinaccio, MA","Shepherd, GJ; Belinello, R; Galvão, JC; Santos, MV; Goldenberg, R","9748","1997","02","18",NA,"Brazil","São Paulo","Queluz","Crista da montanha vizinha à Pedra da Mi","-44.844444","-22.430556",NA,NA,"flor, Vegetação subarbustiva e hebácea sobre pedras. Treadeira, flores brancas.","UEC053071","UEC053071",NA,NA,NA,"2000","-44.844444","-22.430556",NA,"02",NA,NA,NA,NA,NA
"17","2019-08-20 10:03:48-03","UNICAMP","UEC","166516","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira","Farinaccio, MA","Shepherd, GJ; Belinello, R; Galvão, JC; Santos, MV; Goldenberg, R","9748","1997","02","18",NA,"Brazil","São Paulo","Queluz","Crista da montanha vizinha à Pedra da Mi","-44.844444","-22.430556",NA,NA,"flor, Vegetação subarbustiva e hebácea sobre pedras. Treadeira, flores brancas.",NA,NA,NA,NA,NA,"2000","-44.844444","-22.430556",NA,"02",NA,NA,NA,NA,NA
"18","2020-12-21 16:12:43-03","MBM","MBM","7486","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Melinia","glaziovii","Melinia glaziovii","Fourn.","Fontella, J.","Lindeman, J.; Haas, H.; Haas, H.","5175","1967","04","16","Southern America","Brazil","Rio de Janeiro",NA,"Parque Itatiaia",NA,NA,NA,NA,NA,"MBM007486","MBM007486",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-09-24 06:17:50-03","MNHN","RECOLNAT_MNHN_P","P00252615","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","E.Fourn.","Farinaccio","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Prov. Minas Geraes",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252615' target='other'> <mi>dwc_moreinfo</mi></a>","P00252615","P00252615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"491",NA,NA,NA
"20","2015-09-24 06:18:06-03","MNHN","RECOLNAT_MNHN_P","P00252616","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","E.Fourn.","Farinaccio","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Prov. Minas Geraes",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252616' target='other'> <mi>dwc_moreinfo</mi></a>","P00252616","P00252616_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"491",NA,NA,NA
"21","2015-09-24 06:18:20-03","MNHN","RECOLNAT_MNHN_P","P00252617","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","E.Fourn.","Farinaccio","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Prov. Minas Geraes",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252617' target='other'> <mi>dwc_moreinfo</mi></a>","P00252617","P00252617_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"491",NA,NA,NA
"22","2015-09-24 20:21:12-03","MNHN","RECOLNAT_MNHN_P","P00252618","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","E.Fourn.","Farinaccio","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Prov. Minas Geraes",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252618' target='other'> <mi>dwc_moreinfo</mi></a>","P00252618","P00252618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"491",NA,NA,NA
"23","2015-09-24 16:27:43-03","MNHN","RECOLNAT_MNHN_P","P00631897","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","E.Fourn.","Farinaccio","Glaziou, A.",NA,"1876","11","19",NA,"Brésil",NA,NA,"(Rio de Janeiro) [Morro Grande]",NA,NA,"2500","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00631897' target='other'> <mi>dwc_moreinfo</mi></a>","P00631897","P00631897_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8802",NA,NA,NA
"24","2015-09-24 06:18:43-03","MNHN","RECOLNAT_MNHN_P","P00631898","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","E.Fourn.","Farinaccio","Glaziou, A.",NA,"1876","11","19",NA,"Brésil",NA,NA,"(Rio de Janeiro) [Morro Grande]",NA,NA,"2500","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00631898' target='other'> <mi>dwc_moreinfo</mi></a>","P00631898","P00631898_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8802",NA,NA,NA
"25","2015-09-24 16:27:46-03","MNHN","RECOLNAT_MNHN_P","P00631899","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","E.Fourn.","Farinaccio","Glaziou, A.",NA,"1873","1","22",NA,"Brésil",NA,NA,"(Rio de Janeiro) de l'Itatiaia, sommet des Agulhas Negras à 2500 m environ",NA,NA,"2500","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00631899' target='other'> <mi>dwc_moreinfo</mi></a>","P00631899","P00631899_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6639",NA,NA,NA
"26","2015-09-24 16:27:50-03","MNHN","RECOLNAT_MNHN_P","P00631900","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","E.Fourn.","Farinaccio","Glaziou, A.",NA,"1873","1","22",NA,"Brésil",NA,NA,"(Rio de Janeiro) de l'Itatiaia, sommet des Agulhas Negras à 2500 m environ",NA,NA,"2500","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00631900' target='other'> <mi>dwc_moreinfo</mi></a>","P00631900","P00631900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6639",NA,NA,NA
"27","2018-02-08 13:55:57-02","MNHN","RECOLNAT_MNHN_P","P00631882","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Oxypetalum","melinioides","Oxypetalum melinioides","Goyder","Farinaccio","Glaziou, A.",NA,"1894","11","11",NA,"Brésil",NA,NA,"(Goyaz) Chico Lobo, [oum la vallée du rio Paranana]",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00631882' target='other'> <mi>dwc_moreinfo</mi></a>","P00631882","P00631882_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21734",NA,NA,NA
"28","2010-08-18 14:26:00-03","MO","MOBOT","100184854","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E. Fourn.) Fontella & Marquete","M.A. Farinaccio","M.A. Farinaccio","Farinaccio 602","2004","1","21","South America","Brazil","Rio de Janeiro","Itatiaia","Estrada para as Agulhas Negras, na altura de Pedra da Ana, próximo à Pousada Alsene.","-44.5633010864258","-22.4960994720459","2400.00000000",NA,NA,NA,NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"29","2012-03-07 16:16:00-03","MO","MOBOT","100184906","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E. Fourn.) Fontella & Marquete","M.A. Farinaccio","Renato de Mello-Silva|F.M. Ferreira","Mello-Silva 2851","2005","2","18","South America","Brazil","Minas Gerais","Aiuruoca","Serra do Papagaio. Alto da serra. Gruta próxima ao Retiro dos Pedros. Campo e afloramentos rochosos de quartzito.","-44.6713889","-22.055","2190.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"30","2009-07-17 14:12:00-03","MO","MOBOT","2566394","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","melinioides","Oxypetalum melinioides","Goyder","W.D. Stevens","Howard S. Irwin|R. Souza|R. Reis dos Santos","Irwin 8417","1965","9","18","South America","Brazil","Distrito Federal",NA,"Rio Torto, immediately N of Brasília",NA,NA,"975.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2008-05-27 22:02:00-03","MO","MOBOT","992797","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","melinioides","Oxypetalum melinioides","Goyder",NA,"Auguste F.M. Glaziou","Glaziou 21743","1894","11",NA,"South America","Brazil","Goiás",NA,"Chico Lobo in valle Rio Paranana, Nov.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA
"32","2009-10-24 06:22:00-02","MO","MOBOT","2611059","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira","M.A. Farinaccio","George Eiten|Liene T. Eiten","Eiten 6554","1965","11","3","South America","Brazil","Rio de Janeiro",NA,"Mun. Resende, Itatiáia National Park, Planalto of Mt. Itatiáia, 1/2-1 km N of shelter hous Abrigo de Rebouças","-44.68333","-22.41666","2400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2011-03-14 08:51:00-03","MO","MOBOT","992801","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","urbanianum","Oxypetalum urbanianum","Silveira",NA,"A. Saint-Hilaire","Saint-Hilaire 4911","1816",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Type",NA
"34","2020-06-15 15:28:29-03","UNESP-RC","HRCB","24057","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Farinaccio, M.A.","Parra, L.R.",NA,"1995","06","04",NA,"Brasil","São Paulo","Cruzeiro",NA,"-44.9599990844727","-22.5699996948242",NA,NA,"Trepadeira entre pedras. Látex alvo. Cálice verde. Corola alvo-esverdeada com tricomas alvos na base. Anteras verdes. Gineceu alvo com base dos estiletes lilás. Estiletes alvos",NA,NA,NA,"17702","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-06-15 15:28:29-03","UNESP-RC","HRCB","27142","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Farinaccio, M.A.","Shepherd, G.J.","97","1997","02","18",NA,"Brasil","São Paulo","Queluz",NA,"-44.846389","-22.408333","2500",NA,"Trepadeira com flores brancas",NA,NA,"2500",NA,NA,"2005","44º50'47W","22º24'30S",NA,NA,NA,NA,NA,NA,NA
"36","2020-06-15 15:28:29-03","UNESP-RC","HRCB","53752","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Farinaccio, M.A.","Mello-Silva, R.","2851","2005","02","18",NA,"Brasil","Minas Gerais","Aiuruoca","Serra do Papagaio","-44.671389","-22.055","2190",NA,"Trepadeira entre rochas. Folhas discolores, verde-claras na face abaxial. Látex branco. Flores alvo-esverdeadas. Corona verde. Ginostégio alvo-esverdeado",NA,NA,"2190",NA,NA,"2005","44º40'17W","22º03'18S",NA,NA,NA,NA,NA,NA,NA
"37","2020-06-15 15:28:29-03","UNESP-RC","HRCB","53755","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Farinaccio, M.A.","Farinaccio, M.A.","602","2004","01","21",NA,"Brasil","Rio de Janeiro","Itatiaia",NA,"-44.5633010864258","-22.4960994720459","2400",NA,"Planta prostrada a volúvel, latescente, ramos verdes a castanhos. Flores de lacínias cremes na face adaxial, verde claras na face abaxial, corona verde clara. Ginostégio amarelo. Frutos imaturos verde",NA,NA,"2400","19648","auto","2006",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-06-15 15:28:29-03","UNESP-RC","HRCB","25118","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","melinioides","Oxypetalum melinioides","Goyder","Farinaccio, M.A.","Kinoshita, L.S.","94","1994","11","07",NA,"Brasil","São Paulo","Aguaí",NA,"-46.9700012207031","-22.0499992370605",NA,NA,"Liana, flor esverdeada",NA,NA,NA,"25812","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-18 11:39:39-03","UERJ","HRJ","12746","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","I.S. Matos","I.S. Matos","142","2015","10","24",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.","-44.5633010864258","-22.4960994720459",NA,NA,NA,"HRJ00012903",NA,NA,"19648","auto","2015",NA,NA,NA,"10","24",NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","1706200","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Melinia","hilariana","Melinia hilariana","E. Fourn. in Mart.",NA,"A. F. C. P. de Saint-Hilaire","491",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"US00112298","US00112298_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1","Isotype",NA
"41","2020-09-12 05:00:02-03","US","US","2687806","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E. Fourn.) Fontella & Marquete",NA,"G. Eiten & L. T. Eiten","6554","1965","11","3","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Município de Resende: Itatiáia National Park, Planalto of Mt. Itatiáia, 1/2-1 km N of shelter house, Abrigo de Rebouças, in valley leading to the rock outcrop, Pedra do Altar.","-44.692","-22.425","2400",NA,NA,"US03266314","US03266314_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA
"42","2020-09-12 05:00:02-03","US","US","2688703","PreservedSpecimen","Plantae",NA,"Gentianales","Asclepiadaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E. Fourn.) Fontella & Marquete",NA,"G. Hatschbach","17841","1967","11","15","South America","Brazil","Paraná",NA,"Pico Caratuva (Mun. Campina Grande do Sul) P [illegible text].",NA,NA,"1950",NA,NA,"US03266313","US03266313_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA
"43","2020-09-02 16:20:11-03","Cenargen","CEN","54909","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","A. Rapini","João Bernardo de Azevedo Bringel Jr.","65","2004","01","29",NA,"Brasil","DF","BRASILIA","Reserva Ecológica do Guará-DF.","-47.9296989440918","-15.7797002792358",NA,"Exsicatas",NA,"CEN00054909","CEN00054909",NA,"70570","auto","2010",NA,NA,NA,NA,NA,NA,"2",NA,NA
"44","2019-11-13 11:15:19-03","USP","SPF","212652","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Farinaccio, MA","Lobão, AQ","1825","2012","01","12",NA,"Brasil","Rio de Janeiro","Resende","Parque Nacional do Itatiaia","-44.706889","-22.372861","2000",NA,NA,"SPF00212652",NA,"2300",NA,NA,"2012","-44.706889","-22.372861",NA,"01",NA,NA,NA,NA,NA
"45","2021-03-15 18:24:53-03","USP","SPF","122877","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Farinaccio, MA","Shepherd, GJ","9730","1997","02","18",NA,"Brasil","São Paulo","Queluz","Encosta próxima à Pedra da Mina.","-44.846389","-22.408333","2500",NA,"Trepadeira com flores brancas.; Campo de altitude, dominado por Chusquea sp, em terreno pedregoso.","SPF00122877",NA,"2660",NA,NA,"2005","-44.846389","-22.408333",NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 18:24:53-03","USP","SPF","196891","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Oxypetalum","glaziovii","Oxypetalum glaziovii","(E.Fourn.) Fontella & Marquete","Anônimo","Marquete, NFS","451","2002","12","11",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada para as Prateleiras, do lado de Registro, próximo da entrada do Parque.","-44.708611","-22.37","2380",NA,"Planta, heliófila, crescendo entre rochas, com caule prostrado. Ramos enrolando-se em Leguminosae, CAesalpinoidea, antingindo 0.5 m de alt; ramos da base de cor vinosa e do ápice de cor verde. Folhas discolores, verde-escuras na face","SPF00196891",NA,"2380",NA,NA,NA,"-44.708611","-22.37",NA,NA,NA,NA,NA,NA,NA
