"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","class","dayIdentified","typeStatus","relatedCatalogItem","infraspecificEpithet","verbatimLongitude","verbatimLatitude","minimumDepthInMeters","maximumDepthInMeters","individualCount","fieldNumber"
"20","2021-04-08 17:45:20-03","EAO","IAN","87425","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Black, GA; Avelino","88c","1945","03","12","Southern America","Brasil","Ceará","Sobral",NA,"-40.3497009277344","-3.68611001968384",NA,NA,NA,NA,"IAN087425",NA,"2002","84289","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-08 17:45:20-03","EAO","IAN","87425","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Black, GA; Avelino","88c","1945","03","12","Southern America","Brasil","Ceará","Sobral",NA,"-40.3497009277344","-3.68611001968384",NA,NA,NA,NA,"IAN087425",NA,"2002","84289","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:53:52-03","EAO","IAN","96696","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Black, GA; Branco, J","88c","1945","03","02","Southern America","Brasil","Ceará","Sobral","Beira do Rio Acaraú.","-40.3497009277344","-3.68611001968384",NA,NA,NA,NA,"IAN096696",NA,"2002","84289","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:53:52-03","EAO","IAN","96696","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Black, GA; Branco, J","88c","1945","03","02","Southern America","Brasil","Ceará","Sobral","Beira do Rio Acaraú.","-40.3497009277344","-3.68611001968384",NA,NA,NA,NA,"IAN096696",NA,"2002","84289","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-08 17:45:20-03","EAO","IAN","62688","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Pickel, BJ","3799","1935","06","03","Southern America","Brasil","Paraíba","Campina Grande",NA,"-35.8810997009277","-7.23055982589722",NA,NA,NA,NA,"IAN062688",NA,"2002","41577","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-08 17:45:20-03","EAO","IAN","62688","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Pickel, BJ","3799","1935","06","03","Southern America","Brasil","Paraíba","Campina Grande",NA,"-35.8810997009277","-7.23055982589722",NA,NA,NA,NA,"IAN062688",NA,"2002","41577","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:53:52-03","EAO","IAN","68049","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Dutra, J","1595","1935","03",NA,"Southern America","Brasil","Rio Grande do Sul","São Leopoldo","Bom Jeses, Carauma.","-51.1472015380859","-29.7602996826172",NA,NA,NA,NA,"IAN068049",NA,"2002","10287","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:53:52-03","EAO","IAN","66273","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Brade, AC","8144","1915","05",NA,"Southern America","Brasil","São Paulo","Jundiaí","Jundiaí.","-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,"IAN066273",NA,"2002","17840","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:53:52-03","EAO","IAN","66273","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Guglieri, A","Brade, AC","8144","1915","05",NA,"Southern America","Brasil","São Paulo","Jundiaí","Jundiaí.","-46.8800010681152","-23.1800003051758",NA,NA,NA,NA,"IAN066273",NA,"2002","17840","auto","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L 0044831","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard","Henrard JT","Balansa B",NA,"1883","04","03","Southern America","Paraguay",NA,NA,"Paraguari",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200044831 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0044831","NL-L0044831","1919",NA,NA,"10","Magnoliopsidae","01","type","908932087",NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L 0044832","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard","Henrard JT","Balansa B",NA,"1883","04","03","Southern America","Paraguay",NA,NA,"Paraguari",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200044832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0044832","NL-L0044832","1919",NA,NA,"10","Magnoliopsidae","01","type","90815565",NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L 0044833","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard","Henrard JT","Balansa B",NA,"1883","04","03","Southern America","Paraguay",NA,NA,"Paraguari",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200044833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0044833","NL-L0044833","1919",NA,NA,"10","Magnoliopsidae","01","type","90815563",NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L.1300220","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard",NA,"Pedersen TM",NA,"1975","02","19","Southern America","Brazil",NA,NA,"Mato Grosso, mun. Dowrados: some 20 km E of Itaúm, on road to Dowrados, Sandy grassland.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300220 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300220","NL-L1300220",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L.1300221","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard",NA,"Pedersen TM",NA,"1960","02","13","Southern America","Argentina",NA,NA,"Estancia, Rincón dex Mercedes, Dep. Santo Tomè, Prov. Corrientes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300221 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300221","NL-L1300221",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L.1300222","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard",NA,"Pedersen TM",NA,"1961","02","26","Southern America","Argentina",NA,NA,"Rincón de Luna, Dep. Concepción, Prov. Corrientes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300222 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300222","NL-L1300222",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L.1300223","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard",NA,"Balansa B",NA,"1876","10","29","Southern America","Paraguay",NA,NA,"Pentes rocailleuses et herbeuses du besso - Peron près de Paraguasi *.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300223 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300223","NL-L1300223",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L.1300224","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard",NA,"Parodi LR",NA,"1922","02","04","Southern America","Argentina",NA,NA,"Posados, Gobernación de Misiones *.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300224 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300224","NL-L1300224",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L.1300225","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard",NA,"Herzog T",NA,"1911","03","01","Southern America","Bolivia",NA,NA,"Grashängen des Cuesta de los Monos.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300225","NL-L1300225",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-02-08 10:18:58-03","NBC","NL-BOTANY","U.1501822","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard",NA,"Renvoize SA; Cope TA; Beck S",NA,"1981","03","19","Southern America","Bolivia",NA,NA,"Santa Cruz Andres Ibanez, Santa Cruz to Montero near Viru Viru.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1501822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1501822","NL-U1501822",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-02-08 10:18:58-03","NBC","NL-BOTANY","U.1501824","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense","Henrard",NA,"Renvoize SA; Cope TA; Beck S",NA,"1981","03","19","Southern America","Bolivia",NA,NA,"Santa Cruz Andres Ibanez, Santa Cruz to Montero near Viru Viru.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1501824 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1501824","NL-U1501824",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L 0044834","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense hirsuticulme","Henrard","Henrard JT","Balansa B",NA,"1876","02","17","Southern America","Paraguay",NA,NA,"Paraguari",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200044834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0044834","NL-L0044834","1942",NA,NA,"12","Magnoliopsidae","01","type","908932076","hirsuticulme",NA,NA,NA,NA,NA,NA
"41","2020-02-08 10:18:58-03","NBC","NL-BOTANY","L.1300226","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Panicum","peladoense","Panicum peladoense hirsuticulme","Henrard",NA,"Parodi LR",NA,"1926","01","28","Southern America","Argentina",NA,NA,"Concepción Gobernación de Misiones.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1300226 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1300226","NL-L1300226",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,"hirsuticulme",NA,NA,NA,NA,NA,NA
"42","2021-04-02 11:40:58-03","UFPI","TEPB","22957","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","J. L. Costa-Lima","R.T.Queiróz","913","2006","05","23",NA,"Brasil","Rio Grande do Norte","Serra Negra do Norte","Estação Ecológica do Seridó(ESEC),trilha da Lagoa do Junco.","-37.242733","-6.5931",NA,NA,NA,"Erva ereta.Solo argiloso.Flores verdes.Frutos verdes. Ambiente: Arbustiva",NA,NA,"2013",NA,NA,"07",NA,"30",NA,NA,NA,"37°14'564W","06°35'586S",NA,NA,NA,NA
"43","2016-02-02 14:38:16-02","BGBM","B","B 10 0249080","S","Plantae",NA,NA,"Gramineae","Panicum","bergii","Panicum bergii var. leiophyllum","Hack. & Lindm.",NA,"C. A. M. Lindman","A 1185","1893","02","23","Middle and South America","Brazil",NA,NA,"civit. Rio Grande do Sul, Cachoeira, in campis siccis.",NA,NA,NA,NA,NA,"Ex Herb. Brasil Regnell Musei bot. Stockholm, exped. 1 mae Regnellian. Phanerogamae no. A 1185 <a href=http://herbarium.bgbm.org/object/B100249080 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100249080","B100249080",NA,NA,NA,NA,NA,NA,"type",NA,"var. leiophyllum",NA,NA,NA,NA,NA,NA
"44","2019-02-15 11:48:07-02","IPA","IPA","9017","S","Plantae","Plantae",NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","Costa; Silva, M.B.","Pickel, B.","5795","1942","01","17","Southern America","Brasil","São Paulo","São Paulo","(linha S.Amaro-Ibirapuera). Em campo alto.","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"IPA0009017",NA,"2004","53584","auto","11",NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-04-07 11:47:35-03","UFMS","CGMS","70464","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","A. Guglieri","V.J. Pott; E. Scremin-Dias; A. Pott","8439","2005","12","08",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","Fazenda Harmonia, 200m Norte da sede, entorno do Parque Nacional da Serra da Bodoquena.","-56.7655556","-21.2125","555","555",NA,NA,"CGMS1069847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-56,7655556","-21,2125",NA,NA,NA,NA
"46","2021-04-07 11:47:35-03","UFMS","CGMS","57389","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","A. Guglieri","V.J. Pott; E. Scremin-Dias; A. Pott","8575","2005","12","12",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","Fazenda Laudejá, divisa com Fazenda Santo Antônio, entorno do Parque Nacional da Serra da Bodoquena.","-56.7813889","-21.1166667","525","525",NA,NA,"CGMS1087315",NA,"2006",NA,NA,"08",NA,"27",NA,NA,NA,"-56,7813889","-21,1166667",NA,NA,NA,NA
"47","2021-04-07 11:47:35-03","UFMS","CGMS","20296","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","A. Guglieri","A. Guglieri; F.J.M. Caporal; L.F. Lima; N.I. Matzenbacher","1036","2006","03","12",NA,"Brasil","Rio Grande do Sul","Guaíba","Cerro Branco, Fazenda São Maximiano, Morro São Maximiano.","-51.3250007629395","-30.113899230957",NA,NA,NA,NA,"CGMS1049694",NA,NA,"28343","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-04-07 11:47:35-03","UFMS","CGMS","20254","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Panicum","peladoense","Panicum peladoense","Henrard","A. Guglieri","A. Guglieri; F.J.M. Caporal; L.F. Lima","992","2006","02","27",NA,"Brasil","Rio Grande do Sul","Guaíba","Cerro Branco, Fazenda São Maximiano, Morro São Maximiano.","-51.3250007629395","-30.113899230957",NA,NA,NA,NA,"CGMS1049650",NA,NA,"28343","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
