"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","order","relatedCatalogItem"
"11","2021-02-04 10:26:52-03","UFRPE","HST","11965","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Urb.) L.B.Sm.","M.Freitas","2003",NA,NA,"A.M.Miranda; et al.","4319","2003","12","06",NA,"Brasil","Bahia","Pindobaçu",NA,"-40.3608016967773","-10.7417001724243",NA,NA,"Rupícola; base das folhas vermelhas; flores brancas.","HST011965",NA,NA,NA,"20730","auto",NA,NA,NA,NA
"12","2019-10-07 09:20:39-03","UEFS","HUEFS","105420","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.","R.B.Louzada","2009","02",NA,"Conceição, A.A.","1726","2006","01","31",NA,"Brasil","Bahia","Palmeiras","Morro da Mãe Inácia.","-41.466667","-12.45","41W28'","12S27'",NA,"HUEFS0105420","HUEFS0105420",NA,NA,NA,NA,NA,"Lilianae","Poales",NA
"13","2019-10-07 09:20:39-03","UEFS","HUEFS","105421","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.","R.B.Louzada","2009","02",NA,"Conceição, A.A.","1727","2006","01","31",NA,"Brasil","Bahia","Palmeiras","Morro da Mãe Inácia.","-41.466667","-12.45","41W28'","12S27'",NA,"HUEFS0105421","HUEFS0105421",NA,NA,NA,NA,NA,"Lilianae","Poales",NA
"14","2019-10-07 09:20:39-03","UEFS","HUEFS","105422","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.","R.B.Louzada","2009","02",NA,"Conceição, A.A.","1728","2006","01","31",NA,"Brasil","Bahia","Palmeiras","Morro da Mãe Inácia.","-41.466667","-12.45","41W28'","12S27'",NA,"HUEFS0105422","HUEFS0105422",NA,NA,NA,NA,NA,"Lilianae","Poales",NA
"15","2019-10-07 09:20:39-03","UEFS","HUEFS","94664","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.","R.B.Louzada","2008","02",NA,"Cardoso, D.","428","2005","04","15",NA,"Brasil","Bahia","Palmeiras","Parque Nacional da Chapada Diamantina, Morro Mãe Inácia.","-41.466667","-12.45","41W28'","12S27'","Campo rupestre.","HUEFS0094664","HUEFS0094664","1100","1100",NA,NA,NA,"Lilianae","Poales",NA
"16","2019-10-07 09:20:39-03","UEFS","HUEFS","2825","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.","R.B.Louzada","2008","02",NA,"Noblick, L.R.","2822","1983","11","19",NA,"Brasil","Bahia","Palmeiras","BR 242, Pai Inácio.","-41.466667","-12.45","41W28'","12S27'",NA,"HUEFS0002825","HUEFS0002825","1000","1060",NA,NA,NA,"Lilianae","Poales",NA
"17","2019-10-07 09:20:39-03","UEFS","HUEFS","70197","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.","R.B.Louzada","2009","02",NA,"Rapini, A.","1025","2003","02","23",NA,"Brasil","Bahia","Lençóis","Chapadinha, subida para mata de grotão","-41.433333","-12.45","41W26'","12S27'",NA,"HUEFS0070197","HUEFS0070197","900","900",NA,NA,NA,"Lilianae","Poales",NA
"18","2019-10-07 09:20:39-03","UEFS","HUEFS","10067","PreservedSpecimen","Plantae","Angiospermae","Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B.Sm.","R.B.Louzada","2008","02",NA,"Santos, N.N.A.",NA,"1986","06",NA,NA,"Brasil","Bahia","Palmeiras",NA,"-41.5588989257812","-12.5289001464844",NA,NA,NA,"HUEFS0010067","HUEFS0010067",NA,NA,"20767","auto",NA,"Lilianae","Poales",NA
"19","2019-07-09 12:55:34-03","F","FMNH-SEEDPLANTS","V0404172F","PreservedSpecimen","Plantae","Spermatophyta","Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum",NA,NA,NA,NA,NA,"M. G. Arraes et al.","36717","1984","12","14","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,"V0404172F","V0404172F_01",NA,NA,NA,NA,NA,"Monocotyledoneae",NA,NA
"20","2020-07-23 12:01:00-03","CEPLAC","CEPEC","35314","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum",NA,"M. das G. L. Wanderley",NA,NA,NA,"L. R. Noblick","2822","1983","11","19",NA,"Brasil","Bahia","palmeiras","Pai Inácio/Palmeiras.","-41.466667","-12.45","41W28'0","12S27'0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29/01/2006"
"21","2020-07-23 12:01:00-03","CEPLAC","CEPEC","20870","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum",NA,"M. das G. L. Wanderley",NA,NA,NA,"S. A. Mori","13293","1980","02","29",NA,"Brasil","Bahia","palmeiras","Pai Inácio. 15Km NE Palmeiras. BR-242, Km 232.","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,NA,NA,NA,"20767","auto",NA,NA,NA,"29/01/2006"
"22","2014-10-09 13:58:14-03","UHH","HBG","514401","S","Plantae",NA,"Bromeliaceae","Orthophytum","amoenum","Orthophytum amoenum","(Ule) L.B. Sm.","HBG-formal name change","2014","07","08","Ule, E.","7106","1906","11",NA,"South America","Brazil",NA,NA,"Estado de Bahia, Serra Sincora",NA,NA,NA,NA,"E. Ule: Herbarium Brasiliense (label); Bl. weiss Rosette purpurn Herbarium Hamburgense Evacuated and inaccessible 1943-1992","HBG514401",NA,"1400","1400",NA,NA,NA,NA,NA,NA
"23","2020-11-19 09:28:48-03","IBt","SP","358437","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Noblick, LR; Pinto, A","2822","1983","11","19",NA,"Brasil","Bahia","Palmeiras","Morro do Pai Inácio","-41.466667","-12.45","-41.466667","-12.45",NA,NA,NA,"1000","1600",NA,NA,NA,NA,NA,NA
"24","2020-11-19 09:28:48-03","IBt","SP","364464","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Rapini, A; Fiaschi, P","1025","2003","02","23",NA,"Brasil","Bahia","Lençóis","Chapadinha","-41.433333","-12.45","-41.433333","-12.45",NA,"SP052767","SP052767","900","900",NA,NA,NA,NA,NA,NA
"25","2020-11-19 09:28:48-03","IBt","SP","383852","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Wanderley, MGL; Conceição, AA; Martins, SE; Louzada, RB","2528","2006","01","14",NA,"Brasil","Bahia","Palmeiras","Morro da Mãe Inácia","-41.473333","-12.451944","-41.473333","-12.451944",NA,NA,NA,"1150","1150",NA,NA,NA,NA,NA,NA
"26","2020-11-19 09:28:48-03","IBt","SP","383868","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Wanderley, MGL; Conceição, AA; Martins, SE; Louzada, RB","2522","2006","01","14",NA,"Brasil","Bahia","Palmeiras","Morro da Mãe Inácia","-41.473333","-12.450833","-41.473333","-12.450833",NA,"SP052763","SP052763","1100","1100",NA,NA,NA,NA,NA,NA
"27","2020-11-19 09:28:48-03","IBt","SP","383869","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Wanderley, MGL; Conceição, AA; Martins, SE; Louzada, RB","2521","2006","01","14",NA,"Brasil","Bahia","Palmeiras","Morro da Mãe Inácia","-41.473333","-12.450833","-41.473333","-12.450833",NA,NA,NA,"1100","1100",NA,NA,NA,NA,NA,NA
"28","2020-11-19 09:28:48-03","IBt","SP","399517","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL; Moreira, BA","2018","08","27","Carvalho, AMV; Amorim, AM; Sant'Ana, SC; Jardim, JG; Souza, GR; Cruz, NB","1023","1994","10","26",NA,"Brasil","Bahia","Palmeiras","Morro do Pai Inácio","-41.470833","-12.455556","-41.470833","-12.455556",NA,NA,NA,"1080","1080",NA,NA,NA,NA,NA,NA
"29","2020-12-03 09:40:44-03","IBt","SP","383870","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Wanderley, MGL; Conceição, A; Martins, S; Louzada, RB","2545","2006","01","18",NA,"Brasil","Bahia","Andaraí","Cachoeira do Rio Garapa","-41.3314018249512","-12.8072004318237",NA,NA,NA,"SP052768","SP052768",NA,NA,"58558","auto",NA,NA,NA,NA
"30","2020-11-19 09:28:48-03","IBt","SP","234838","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Wanderley, MGL; Kral, R","1598","1988","11","09",NA,"Brasil","Bahia","Lençóis","Antena de Tranmissão. BR 242 ca. 5 km da estrada para Lençóis","-41.3899993896484","-12.563099861145",NA,NA,NA,"SP052764","SP052764",NA,NA,"47385","auto",NA,NA,NA,NA
"31","2020-11-19 09:28:48-03","IBt","SP","203635","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Wanderley, MGL; Cerati, TM; Kral, R","907","1985","07","18",NA,"Brasil","Bahia","Lençóis","Morro do Pai Inácio","-41.3899993896484","-12.563099861145",NA,NA,NA,"SP052766","SP052766","1000","1200","47385","auto",NA,NA,NA,NA
"32","2020-11-19 09:28:48-03","IBt","SP","402486","S","Plantae",NA,"Bromeliaceae","Sincoraea","amoena","Sincoraea amoena","Ule","Wanderley, MGL","2018","08","27","Louzada, RB; Wanderley, MGL; et al.","92","2008","04","08",NA,"Brasil","Bahia","Palmeiras","Morro do Pai Inácio","-41.5588989257812","-12.5289001464844",NA,NA,NA,"SP052765","SP052765",NA,NA,"20767","auto",NA,NA,NA,NA
