"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","identifiedBy","typeStatus","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"25","2020-09-12 05:00:02-03","US","US","2322839","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","J. G. Kuhlmann","2074",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,"Represa. Vicosa.",NA,NA,NA,NA,"US00170332","US00170332_01","Dicotyledonae",NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"26","2020-09-12 05:00:02-03","US","US","2322838","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C. Berg","J. G. Kuhlmann","2073","1905","4","18","South America - Neotropics","Brazil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,"US01334476","US01334476_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,"1",NA,NA
"27","2021-03-15 18:30:14-03","USP","SPF","185261","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Krieger, L","16299","1979","07","28",NA,"Brasil","Minas Gerais","Lima Duarte","Sobre areião.","-43.793098449707","-21.8425006866455",NA,"Árvore regular, folhas (novas) arroxeadas, bem como a inflorescência.","SPF00185261",NA,NA,"Gaglioti, AL",NA,NA,"2011","02","25","30417","auto",NA,NA,NA,NA,NA,NA
"28","2021-03-15 18:30:14-03","USP","SPF","185267","PreservedSpecimen","Plantae",NA,NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Valente, GE","1100","2002","12","06",NA,"Brasil","Minas Gerais","Viçosa","BR 120, Viçosa-Coimbra; mata situada no Sítio Bom Sucesso, melhor conhecida na região como Mata do Sr Nico, próximo ao trevo da UFV.","-42.8819007873535","-20.7539005279541",NA,"Árvore ca. 25 m. Inflorescência pistilada com duas a três cabeças amarelas e parcialmente fundidas. Visitada por pássaros azul-claro conhecidos na região por sanhaço","SPF00185267",NA,NA,"Valente, GE",NA,NA,"2008","12","06","13937","auto",NA,NA,NA,NA,NA,NA
"29","2018-05-14 16:28:02-03","F","FMNH-SEEDPLANTS","V0227747F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Cecropiaceae","Coussapoa","floccosa","Coussapoa floccosa",NA,"H. S. Irwin","2058",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,"-44","-18",NA,NA,"V0227747F","V0227747F_01 V0227747F_02","Dicotyledoneae","RRC ID Flag",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2058",NA,NA,NA
"30","2020-11-12 17:03:00-03","UEL","FUEL","43873","PreservedSpecimen","Plantae","Tracheophyta","Rosales","Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Valente, GE; Meira Neto, JAA; Isigler, DT; Batista, ML","855","2001","12","12",NA,"Brasil","Minas Gerais","Viçosa","BR-120: Viçosa-Coimbra. Sítio Bom Sucesso., próximo ao trevo da UFV, melhor conhecido como Mata do Sr. Nico","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"Valente, GE",NA,NA,"2001","12","12","13937","auto",NA,NA,NA,NA,NA,NA
"31","2019-11-21 10:19:41-03","IBt","SP","426181","S","Plantae",NA,NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Gaglioti, AL; et al.","104","2010","12","14",NA,"Brasil","Minas Gerais","Viçosa","Sítio Bonsucesso. Mata do Sr. Nico","-42.844722","-20.795833",NA,NA,NA,NA,NA,"Gaglioti, AL",NA,NA,"2010","12","14",NA,NA,"-42.844722","-20.795833",NA,NA,"832","832"
"32","2019-11-21 10:19:41-03","IBt","SP","53650","S","Plantae",NA,NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Heringer, EP","2060","1945","10","09",NA,"Brasil","Minas Gerais","Coronel Pacheco","Estação Experimental","-43.2655982971191","-21.5877990722656",NA,NA,NA,NA,NA,"Gaglioti, AL",NA,NA,"2007","12","05","10350","auto",NA,NA,NA,NA,NA,NA
"33","2019-11-21 10:19:41-03","IBt","SP","361774","S","Plantae",NA,NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Valente, GE; Batista, ML","1100","2002","12","06",NA,"Brasil","Minas Gerais","Viçosa","BR-120 Viçosa-Coimbra, Sítio Bom Sucesso","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA
"34","2019-11-21 10:19:41-03","IBt","SP","426180","S","Plantae",NA,NA,"Urticaceae","Coussapoa","floccosa","Coussapoa floccosa","Akkermans & C.C.Berg","Gaglioti, AL; et al.","105","2010","12","14",NA,"Brasil","Minas Gerais","Viçosa","Mata próxima à Universidade","-42.8819007873535","-20.7539005279541",NA,NA,NA,NA,NA,"Gaglioti, AL",NA,NA,"2010","12","14","13937","auto",NA,NA,NA,NA,NA,NA
