"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","yearIdentified","monthIdentified","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"11","2021-02-11 17:20:53-03","UFPR","UPCB","67290","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Richb.f. & Warm.","Mancinelli, W.S.","Mancinelli, W.S.","1129","2010","01","14",NA,"Brasil","Paraná","Sengés","Canyon do rio Itararé","-49.365","-24.125556","640","640",NA,"Epífita, flores brancas com pintas púrpuras, labelo verde, ocorrente no Cerrado..",NA,NA,"-49.365","-24.125556",NA,NA,NA,"2010","01","14",NA,NA,NA
"12","2008-05-27 22:02:00-03","MO","MOBOT","2814299","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb. f. & Warm.","F. Hamer","Lyman B. Smith","Smith 14852","1965","1","19","South America","Brazil","Paraná",NA,"Mun. Senges, dense cerrado (scrub), Fazenda Morungava, Rio Funil.","-49.36666","-24.13333","800.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-12 05:00:02-03","US","US","2573074","PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb. f. & Warm.",NA,"L. B. Smith, R. M. Klein & G. Hatschbach","14852","1965","1","19","South America","Brazil","Paraná",NA,NA,NA,NA,"800",NA,NA,NA,"US00503433","US00503433_01",NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,"1"
"14","2019-10-07 09:19:50-03","UEFS","HUEFS","128601","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","E.C.Smidt","Blanco, H.G.","4121","1939","01","03",NA,"Brasil","São Paulo","Pirapora",NA,NA,NA,NA,NA,NA,NA,"HUEFS0128601","HUEFS0128601",NA,NA,NA,NA,"Lilianae","2007","08",NA,NA,NA,NA
"15","2019-10-07 09:19:50-03","UEFS","HUEFS","86447","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Bulbophyllum","punctatum","Bulbophyllum punctatum","Barb.Rodr.",NA,"Hatschbach, G.","12324","1965","01","19",NA,"Brasil","Paraná",NA,"Norungava, Rio do Funil.",NA,NA,NA,NA,NA,NA,"HUEFS0086447",NA,NA,NA,NA,NA,"Lilianae",NA,NA,NA,NA,NA,NA
"16","2019-12-06 08:47:15-03","F","FMNH-SEEDPLANTS","V0435751F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum",NA,"RRC ID Flag","G. Hatschbach et al.","12324","1965","1","19","South America","Brazil","Paraná",NA,NA,NA,NA,"500",NA,NA,NA,"V0435751F","V0435751F_01 V0435751F_02",NA,NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,"12324",NA
"17","2019-01-25 15:43:45-02","IAC","IAC","4121","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","punctatum","Bulbophyllum punctatum","Barb.Rodr.","E.C. Smidt","H.G. Blanco","s/nº","1939","01","03",NA,"Brasil","São Paulo","Pirapora do Bom Jesus",NA,"-47.0022","-23.3969",NA,NA,NA,NA,NA,NA,"-47.0022","-23.3969",NA,NA,NA,"2007","08","03",NA,NA,NA
"18","2021-02-12 15:02:21-03","UFSCar","SPSC","7313","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","A.W.C. Ferreira","A.W.C. Ferreira",NA,"2007","11","17",NA,"Brasil","São Paulo","São Pedro","Serra de São Pedro.",NA,NA,NA,NA,NA,"Ripicola de cachoeira",NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-01 15:15:14-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb. f. & Warm.","Smidt, EC","Heringer, EP","5462","1956","12","28","Southern America","Brasil","Minas Gerais",NA,"Margem do Paraopeba",NA,NA,NA,NA,NA,"Epífita. Flores em cachos pendentes, pintalgados, pequenos, de perfume suave","UB0015689","UB0015689",NA,NA,NA,NA,NA,"2007","08",NA,NA,NA,NA
"20","2019-11-01 15:15:14-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb. f. & Warm.","Smidt, EC","Heringer, EP","5478","1957","02","24","Southern America","Brasil","Minas Gerais","Paraopeba",NA,"-44.4042015075684","-19.2744007110596",NA,NA,NA,"Epífita","UB0015688","UB0015688",NA,NA,"26090","auto",NA,"2007","08",NA,NA,NA,NA
"21","2019-05-06 12:01:20-03","UFU","HUFU","10781","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","punctatum","Bulbophyllum punctatum","Barb.Rodr.","Borba, E.L.","Romero, R.; Nakajima, J.N.; Chautems, A. & Peixoto, M.","3313","1996","01","13",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Trilha da Cachoeira da Casca D'anta.","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Epífita, ca. 0,1 m alt. Escapo floral ca. 0,15 m alt. Cálice e corola brancos com nerviras e manchas marrons. Labelo amarelado, coluna esverdeada.; Mata na beira do Rio São Francisco.","HUFU00029985","HUFU00029985",NA,NA,"57119","auto",NA,"2001","06",NA,NA,NA,NA
"22","2020-08-20 14:54:43-03","UFSC","FLOR","3191","PreservedSpecimen","Plantae",NA,"Asparagales","Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Pabst, G.","Smith, L.B.; Klein, R.M. & Hatschbach, G.","14852","1965","01","19",NA,"Brasil","Paraná","Sengés",NA,"-49.4636001586914","-24.1128005981445",NA,NA,NA,NA,"FLOR0003191",NA,NA,NA,"55682","auto",NA,"2011","09","13",NA,NA,NA
"23","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Hassler, E","5371",NA,NA,NA,"Southern America","Paraguay",NA,NA,"Etiam in Paraguay supra arbores altiplanitie et declivibus Serra de Maracayú",NA,NA,NA,NA,NA,"Floret Januario - Februario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Hassler, E","5371?",NA,NA,NA,"Southern America","Paraguay",NA,NA,"Etiam in Paraguay supra arbores altiplanitie et declivibus Serra de Maracayú",NA,NA,NA,NA,NA,"Floret Januario - Februario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in arboribus prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in sylvis supra arbores ad Lagoa Santa prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Glaziou, AFM","11617?",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in arboribus prope Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in sylvis supra arbores ad Lagoa Santa prov. Minas Geraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Berrington ?","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Berrington ?","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Glaziou, AFM","11617",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in prov. Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo","Itu","Habitat in rupibus prope Ytu prov. S. Paulo","-47.29","-23.26",NA,NA,NA,NA,NA,NA,NA,NA,"22309","auto",NA,NA,NA,NA,NA,NA,NA
"34","2017-09-11 17:11:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo","Itu","Habitat in rupibus prope Ytu prov. S. Paulo","-47.29","-23.26",NA,NA,NA,NA,NA,NA,NA,NA,"22309","auto",NA,NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","punctatum","Bulbophyllum punctatum","Barb.Rodr.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in sylvis supra arbores ad Serra do Engenho Novo prov. Rio de Janeiro",NA,NA,NA,NA,NA,"Floret Decembri - Januario",NA,"P03P5N0114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:11:29-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","punctatum","Bulbophyllum punctatum","Barb.Rodr.",NA,"Barbosa Rodrigues, J","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in sylvis supra arbores ad Serra do Engenho Novo prov. Rio de Janeiro",NA,NA,NA,NA,NA,"Floret Decembri - Januario",NA,"P03P5N0114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-21 10:12:55-03","IBt","SP","28786","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, EC","Muus, R","s.n.","1932","11","15",NA,"Brasil","São Paulo","Guarujá","Praia das Tartarugas","-46.25","-23.9899997711182",NA,NA,NA,NA,NA,NA,NA,NA,"18989","auto",NA,"2007","08",NA,NA,NA,NA
"38","2019-11-21 10:12:55-03","IBt","SP","31583","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, EC","Gehrt, A","s.n.","1934","03","07",NA,"Brasil","São Paulo","Itú",NA,"-47.2900009155273","-23.2600002288818",NA,NA,NA,NA,NA,NA,NA,NA,"22309","auto",NA,"2007","08",NA,NA,NA,NA
"39","2019-11-21 10:12:55-03","IBt","SP","266607","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, EC","Blanco, NG","s.n.","1939","01","03",NA,"Brasil","São Paulo","Pirapora do Bom Jesus",NA,"-47","-23.3899993896484",NA,NA,NA,NA,NA,NA,NA,NA,"10139","auto",NA,"2007","08",NA,NA,NA,NA
"40","2019-11-21 10:12:55-03","IBt","SP","12554","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, EC","Hoehne, FC","s.n.","1925","01",NA,NA,"Brasil","São Paulo","Pirapora do Bom Jesus","Entre Pirapora e Cabreuva","-47","-23.3899993896484",NA,NA,NA,NA,NA,NA,NA,NA,"10139","auto",NA,"2007","08",NA,NA,NA,NA
"41","2019-11-21 10:12:55-03","IBt","SP","24041","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, EC","Marques, MW","s.n.","1929","01","21",NA,"Brasil","São Paulo","Santos",NA,"-46.3300018310547","-23.9599990844727",NA,NA,NA,NA,NA,NA,NA,NA,"26836","auto",NA,"2007","08",NA,NA,NA,NA
"42","2021-02-18 08:31:02-03","IBt","SP","8135","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, EC","Hoehne, FC","s.n.","1922","12","06",NA,"Brasil","São Paulo","São Paulo","Bairro Butantã, Horto Oswaldo Cruz","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,"2007","08",NA,NA,NA,NA
"43","2019-11-21 10:12:55-03","IBt","SP","32219","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, EC","Gehrt, A","s.n.","1935","01","24",NA,"Brasil","São Paulo","São Paulo","Caminho de Porto Feliz","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,"2007","08",NA,NA,NA,NA
"44","2019-11-21 10:12:55-03","IBt","SP","26233","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","chloroglossum","Bulbophyllum chloroglossum","Rchb.f. & Warm.","Smidt, EC","s.col.","s.n.","1934","01","23",NA,"Brasil","São Paulo","São Paulo","Ipanema","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,"2007","08",NA,NA,NA,NA
"45","2019-11-21 10:12:56-03","IBt","SP","316401","S","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","punctatum","Bulbophyllum punctatum","Barb.Rodr.",NA,"Amaral Jr, A","1377","1973","01","15",NA,"Brasil","São Paulo","Botucatu","Margem do Rio Pardo, próximo à represa de abastecimento de água da prefeitura de Botucatu","-48.439998626709","-22.8799991607666","810","810",NA,NA,NA,NA,NA,NA,"40412","auto",NA,NA,NA,NA,NA,NA,NA
