"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","eventTime","fieldNumber","verbatimLongitude","verbatimLatitude","individualCount"
"15","2015-09-04 20:14:25-03","MNHN","RECOLNAT_MNHN_P","P05316230","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra de Cristaes près de Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316230' target='other'> <mi>dwc_moreinfo</mi></a>","P05316230","paratype","P05316230_01 P05316230_02","Romero",NA,NA,NA,NA,NA,NA,"19206",NA,NA,NA
"16","2015-09-04 20:14:25-03","MNHN","RECOLNAT_MNHN_P","P05316231","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,NA,"Serra de Cristaes près de Diamantina (Minas)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316231' target='other'> <mi>dwc_moreinfo</mi></a>","P05316231","paratype","P05316231_01 P05316231_02","Romero",NA,NA,NA,NA,NA,NA,"19207",NA,NA,NA
"17","2015-09-04 20:14:25-03","MNHN","RECOLNAT_MNHN_P","P05316232","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","Irwin, H.S.|dos Santos, R.R.|Souza, R.|da Fonseca, S.F.",NA,"1969","1","18",NA,"Brésil",NA,NA,"12 km SW Diamantina, Minas Geraes, Serra do Espinhaço",NA,NA,"1250",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05316232' target='other'> <mi>dwc_moreinfo</mi></a>","P05316232","paratype","P05316232_01 P05316232_02","Romero",NA,NA,NA,NA,NA,NA,"22161",NA,NA,NA
"18","2020-12-11 11:38:33-03","UFMG","BHCB","189720","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Rocha, MJR; Freitas, FS","999","2014","05","27","Southern America","Brasil","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, Campo; descida do Pico 1 em direção ao Vale.","-43.308056","-18.207778","1799","1799",NA,"Hipanto repleto de tricomas glandulares avermelhados. Ciclo antepétalos filete roxo com antera amarela, ciclo antesépalos são maiores , anteras avermelhadas com ápice branco, conectivo amarelo. Frutos maduros marrons repleto de tricom","BHCB189720",NA,NA,NA,NA,NA,"2020","02",NA,NA,NA,"-43.308056","-18.207778",NA
"19","2020-12-11 11:38:33-03","UFMG","BHCB","20933","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Stehmann, JR","s.n.","1992","11","27","Southern America","Brasil","Minas Gerais","Diamantina","Biribiri","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Com botões florais.; Campo rupestre.","BHCB032028","Paratypus",NA,NA,"101169","auto","2003","01",NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:38:33-03","UFMG","BHCB","48718","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Nogueira, MM; et al.","s.n.","1998","09","25","Southern America","Brasil","Minas Gerais","Diamantina","Campo Rupestre","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Voucher Fitoquímica.",NA,NA,NA,NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:38:33-03","UFMG","BHCB","73299","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Barreto, HLM","9623","1937","11","08","Southern America","Brasil","Minas Gerais","Diamantina","Sentinella","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arbusto, 1,5m. Flor rósea. Muito frequente.; Junto a pedras","BHCB000302","Paratypus","BHCB000302",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:38:33-03","UFMG","BHCB","73300","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Glaziou, AFM","19206","1892","04","04","Southern America","Brasil","Minas Gerais","Diamantina","Serra dos Cristais","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arbusto. Flor rosa.","BHCB000303","Paratypus","BHCB000303",NA,"101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-11 17:20:13-03","UFPR","UPCB","45693","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn.","Mello Barreto","9623","1937","11","08",NA,"Brasil","Minas Gerais","Diamantina","Sentinella","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Arbusto 1,5m, flor rósea, junto as pedras. Muito frequente..","UPCB0019078",NA,"UPCB0019078","Markgraf, F.","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2011-02-23 10:02:00-03","MO","MOBOT","3256117","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","R. Romero|J.N. Nakajima","Romero 6068","2001",NA,NA,"South America","Brazil","Minas Gerais",NA,"Município Diamantina, estrada Diamantina-Gouveia, ca. 12km SW de Diamantina, Minas Gerais, Brasil. Campo rupestre.","-43.68388","-18.29388","1451.00000000",NA,NA,NA,NA,NA,NA,"Rosana Romero, Jan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","1185362","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R. Romero","A. F. M. Glaziou","19207","1892","4","4","South America - Neotropics","Brazil","Minas Gerais","Diamantina",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"US01897273",NA,"US01897273_01 US01897273_02",NA,"101169","auto",NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"26","2019-09-04 18:54:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia",NA,"A. Glaziou","19206",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Type [status unknown]",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"27","2020-06-01 13:10:59-03","UFU","HUFU","57964","S","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Romero, R.; Nakajima, J.N.","6068","2001","03","30",NA,"Brasil","Minas Gerais","Diamantina","Estrada Diamantina-Gouveia, Cerca de 12 Km SW de Diamantina.","-43.6002998352051","-18.2493991851807","1451","1451",NA,"Paratype.; Arbusto, ca. de 0,6 metros. Frutos esverdeados-acastanhados.; Campo rupestre.","HUFU00070407","Paratype",NA,"Romero, R.","101169","auto","2003","01",NA,NA,NA,NA,NA,NA
"28","2020-11-27 11:34:08-03","UFU","HUFU","75097","S","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Romero, R.; Versiane, A.F.A.; Souza, L.P. & Pellegrini, E.H.","8981","2017","10","18",NA,"Brasil","Minas Gerais","Diamantina","Parque Estadual do Biribiri, Cachoeira Sentinela","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Subarbusto, ca. 1m. Sépalas avermelhadas, corola pink, anteras maiores vináceas, anteras menores amarelas.; Campo rupestre, beira de cachoeira.","HUFU00073027",NA,NA,"Marinho, P.","101169","auto","2017","11",NA,NA,NA,NA,NA,NA
"29","2020-06-01 13:10:59-03","UFU","HUFU","62752","S","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Almeda, F.; Martins, A.B.; Fritsch, P.W. & Belinello, R.","8478","2001","10","14",NA,"Brasil","Minas Gerais","Diamantina","Cachoeira Sentinela off of the road to Biribiri","-43.638889","-18.182778",NA,NA,NA,"Shrub to 1,5 m tall. Petals magenta. Large anthers red, small anthers and appendages yellow.; Campo rupestre on and around the waterfalls.","HUFU00041221",NA,"HUFU00041221",NA,NA,NA,NA,NA,NA,NA,NA,"-43.638889","-18.182778",NA
"30","2020-06-01 13:10:59-03","UFU","HUFU","27112","S","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Barreto, M.","9623","1937","11","08",NA,"Brasil","Minas Gerais","Diamantina","Sentinella","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Paratype.; Arbusto, 1,5 metros. Flor rósea, muito frequente.; Junto a pedras.","HUFU00070408","Paratype",NA,"Romero, R.","101169","auto","2003","01",NA,NA,NA,NA,NA,NA
"31","2021-02-23 13:22:45-03","MN","R-TIPOS","9240a","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex Romero","Glaziou, A.F.M.","19207","1892","04","04",NA,"Brasil","Minas Gerais","Serra dos Cristaes","á Diamantina",NA,NA,NA,NA,NA,NA,"R000009240a","Isoparatypus","R000009240a_001","Romero, R.",NA,NA,"2003","01",NA,NA,NA,NA,NA,NA
"32","2021-02-23 13:22:45-03","MN","R-TIPOS","9240","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex Romero","Glaziou, A.F.M.","19207","1892","04","04",NA,"Brasil","Minas Gerais","Serra dos Cristaes","á Diamantina",NA,NA,NA,NA,NA,NA,"R000009240","Paratypus","R000009240_001","Romero, R.",NA,NA,"2003","01",NA,NA,NA,NA,NA,NA
"33","2021-02-23 13:22:45-03","MN","R-TIPOS","9241","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex Romero","Glaziou, A.F.M.","19206","1892","04","04",NA,"Brasil","Minas Gerais","Diamantina","Serra dos Cristais","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"R000009241","Paratypus","R000009241_001","Romero, R.","101169","auto","2003","01",NA,NA,NA,NA,NA,NA
"34","2017-04-25 14:32:02-03","CAS","CAS-BOT","353693","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Almeda, Frank; Martins, A. B.; Fritsch, P. W.; Belinello, R.","8478","2001","10",NA,"South America","Brazil","Minas Gerais",NA,"Minas Gerais: Municipio of Diamantina. Cachoeira Sentinela off of the road to Biribiri.","-43.6188812256","-18.1827812195","1108",NA,NA,"Shrub to 1.5 m tall. Petals magenta. Large anthers red* small anthers and appendages yellow.",NA,NA,NA,"F. Almeda",NA,NA,NA,NA,"Magnoliopsida",NA,NA,"43°37'8W","18°10'58S",NA
"35","2016-09-15 10:53:27-03","CAS","CAS-BOT","520803","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Irwin, H. S.; Reis dos Santos, R.; Souza, R.; da Fonsêca, S. F.","22198","1969","1",NA,"South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, 12 km S.W. of Diamantina",NA,NA,"1370",NA,NA,"Subshrub to ca. 50cm tall. Corolla magents; stamens yellow, the connectives pink.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA
"36","2017-08-17 10:58:34-03","CAS","CAS-BOT","560500","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","obtusifolia","Microlicia obtusifolia","Cogn. ex R.Romero","Pacifico, R.; Gabani, R.; Ferreira, L.","400","2017","3",NA,"South America","Brazil","Minas Gerais","Diamantina","Serra do Pasmar. Acesso por área de mineração","-43.7181111111","-18.3128333333","1363",NA,NA,"Arbusto ca. 0,8 m alt., frutos castanhos.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,"43° 43' 05.2 W","18° 18' 46.2 S",NA
