"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","yearIdentified","monthIdentified","dayIdentified","year","month","day","individualCount","occurrenceRemarks","identifiedBy","class","scientificNameAuthorship","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","barcode","imagecode"
"42","2020-09-02 16:34:36-03","Cenargen","CEN","101390","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila","2017","09",NA,"2007","01","09","1","Doação Herbário do Departamento de Botânica - ICB - UFMG. Plantas do Brasil. BHCB 119478.","L. B. Bianchetti",NA,"Hook.","João Aguiar Nogueira Batista","Brasil","MG","SAO ROQUE DE MINAS","-46.3657989501953","-20.2453002929688","57119","auto","1805","Parque Nacional da Serra da Canastra. próximo a nascente do Rio São Francisco. Lat: 20.13.54.5 S; Long: 46.26.36.2 W",NA,NA,"1331","1331",NA,"Exsicatas","CEN00101390","CEN00101390"
"43","2019-11-01 15:15:16-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Monocotyledonae",NA,"Orchidaceae","Cattleya","pumila","Cattleya pumila","2008","07","15","1958","02","06",NA,NA,"Meneguzzo, TEC",NA,"Hook.","Heringer, EP","Brasil","Minas Gerais","Paraopeba","-44.4042015075684","-19.2744007110596","26090","auto","6219","Coletada na Serra do Cipó em março de 58 e cultivada no Horto Florestal de Paraopeba",NA,NA,NA,NA,"Southern America",NA,"UB0018724",NA
"44","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hook.) Rchb.f.","Schiller, S","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"s.n.(Hort.","in prov. S. Catharina",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"45","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hook.) Rchb.f.","Schiller, S","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"s.n.(Hort.","in prov. S. Catharina",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"46","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hook.) Rchb.f.","Incógnit","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"s.n.","in prov. S. Catharina secundum Veich, loc. cit.",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"47","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hook.) Rchb.f.","Gardner, G","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"658?","Habitat in prov. Rio de Janeiro supra arbores ad Serra dos Orgãos altit. 500-800m",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"48","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hook.) Rchb.f.","Warming, JEB","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"s.n.","in sylvis supra arbores ad Lagoa Santa prov. Minas Geraes",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"49","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,"Floret Februario - Aprili",NA,NA,"(Hook.) Rchb.f.","Boxall, R","Brazil",NA,NA,NA,NA,NA,NA,"s.n.","In Brasilia loco accurato haud indicato",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"50","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hook.) Rchb.f.","Warming, JEB","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"s.n.","in sylvis supra arbores ad Lagoa Santa prov. Minas Geraes",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"51","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,"Floret Februario - Aprili",NA,NA,"(Hook.) Rchb.f.","Boxall, R","Brazil",NA,NA,NA,NA,NA,NA,"s.n.","In Brasilia loco accurato haud indicato",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"52","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hook.) Rchb.f.","Incógnit","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"s.n.","in prov. S. Catharina secundum Veich, loc. cit.",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
"53","2017-09-11 17:11:58-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Laelia","pumila","Laelia pumila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Hook.) Rchb.f.","Gardner, G","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"658","Habitat in prov. Rio de Janeiro supra arbores ad Serra dos Orgãos altit. 500-800m",NA,NA,NA,NA,"Southern America",NA,NA,"P03P5N0052"
