"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem","previousCatalogNumber"
"17","2021-03-30 12:37:40-03","EAO","IAN","14087","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"Magalhães, MG","514","1940","09","19","Brasil","Minas Gerais","Lima Duarte","Margem do córrego no campo arenoso, Monjolinho.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Arbusto de 2-2,50m de altura.","IAN014087","IAN014087 IAN014087_e","Dicotiledônea",NA,NA,"Southern America",NA,"30417","auto",NA,NA,NA,NA,NA
"18","2021-03-30 12:37:40-03","EAO","IAN","104220","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"Magalhães, MG","514","1940","09","19","Brasil","Minas Gerais","Lima Duarte","Margem do córrego no campo arenoso, Monjolinho.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Arbusto de 2-2,50m de altura.","IAN104220",NA,"Dicotiledônea",NA,NA,"Southern America",NA,"30417","auto",NA,NA,NA,NA,NA
"19","2020-10-27 11:21:59-03","PUCPR","HUCP","10991","S","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"Roderjan, CV","1079","1992","10","22","Brasil","Paraná","Quatro Barras","Morro do Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,NA,"HUCP00010717","HUCP00010717","Eudicotiledonea",NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"20","2020-11-04 10:55:24-03","ESALQ","ESA","142081","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Santos, P.M.L.A.",NA,NA,NA,"Toledo, C. A. P.; Flores, T. B. Gayoso; Coelho, R. G. & Colleta, D. C.","250.0","2015","09","09","Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina, Pedra da Macela. Campo de altitude.","-44.813889","-23.140278","44°48'50W","23°08'25S","1800","1800","Árvore, ca. 4 m alt., botões vermelhos e flores brancas.","ESA142081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:05:30-03","ESALQ","ESA","68877","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Franco, G.A.D.C.",NA,NA,NA,"Franco, G.A.D.C.; Scalon, V.R.; Souza, S.C.; Siqueira, L.P.; Atanasio, C.; Sorreano, M.C.; Buchineri, V.; Rodrigues, R.R.; Tamashiro, J.Y.; Souza, V.C.","2996.0","2000","04","24","Brasil","São Paulo","Mogi das Cruzes","Entorno da Represa Casa Grande (Sabesp) , ao longo da Estrada Usacá. Floresta Ombrófila Densa no reverso da Serra do Mar (com perturbação). Borda de mata","-45.57","-23.39","-45.57","-23.39",NA,NA,"Árvore jovem, ca. 1m alt.; vegetativo","ESA068877","ESA068877","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:05:30-03","ESALQ","ESA","12261","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardn.","Scaramuzza, C.A.M. & Scalon, V.R.",NA,NA,NA,"Souza, V.C. et al.","4567.0","1993","10","30","Brasil","São Paulo","Bom Sucesso de Itararé",NA,"-49.1399993896484","-24.3099994659424",NA,NA,NA,NA,NA,"ESA012261","ESA012261","Magnoliophyta",NA,NA,NA,NA,"14955","auto",NA,NA,NA,NA,NA
"23","2020-11-04 11:05:30-03","ESALQ","ESA","9659","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardn.","Souza, V.C.",NA,NA,NA,"Souza, V.C. et al.","3528.0","1993","05","19","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,NA,NA,"ESA009659","ESA009659","Magnoliophyta",NA,NA,NA,NA,"27729","auto",NA,NA,NA,NA,NA
"24","2020-11-04 11:05:30-03","ESALQ","ESA","104241","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor",NA,"Aguiar, O.T.","2002","03","17","Aguiar, O.T.","1166.0","2002","03","13","Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334",NA,NA,NA,NA,NA,"ESA104241","ESA104241","Magnoliophyta",NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA,NA
"25","2021-01-14 15:27:38-03","MN","R","111479","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","De Lamare","1987",NA,NA,"Andrade, A.G. 638; Emmerich, M. 601",NA,"1961","01","14","Brasil","Rio de Janeiro",NA,"Parque do Itatiaia",NA,NA,NA,NA,NA,NA,NA,"R010064467,R010064468","R010064467 R010064468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-01-14 15:27:38-03","MN","R","129890","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","De Lamare","1987",NA,NA,"Lobo, B.","13","1921","02","24","Brasil","Rio de Janeiro",NA,"Serra do Itatiaia. Varzea das Flores.",NA,NA,NA,NA,NA,NA,NA,"R010064458","R010064458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:27:38-03","MN","R","16226","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"Schwebel, E.",NA,NA,NA,NA,"Brasil","São Paulo",NA,"Alto da Serra",NA,NA,NA,NA,NA,NA,"Serviço Florestal da Companhia Paulista de Estradas de Ferro III-102","R010063591","R010063591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-14 15:27:38-03","MN","R","186830","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Souza, A.","1994","10","10","Luetzelburg, P. von","21602","1947","10",NA,"Brasil","Roraima",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010064455,R010064456","R010064455 R010064456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-01-14 15:27:38-03","MN","R","63007","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Souza, A.","1987",NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,"Rio Grande.",NA,NA,NA,NA,NA,NA,NA,"R010064779","R010064779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-01-14 15:27:38-03","MN","R","63008","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Souza, A.","1987",NA,NA,"Gomes, I.",NA,NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"R010064780,R010065771","R010064780 R010065771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:27:38-03","MN","R","63021","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Dusén, P.K.H.","1902","06","20","Dusén, P.K.H.","580","1902","06","20","Brasil","Rio de Janeiro",NA,"Serra do Itatiaia.",NA,NA,NA,NA,NA,NA,NA,"R010065795,R010065796,R010065797","R010065795 R010065796 R010065797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-01-14 15:27:38-03","MN","R","63023","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Souza, A.","1987",NA,NA,"Widgren, J.F.",NA,"1845",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"Ex.Herb. Brasil. Regnellian. Musei bot.Stockolm.","R010065792,R010065793,R010065794","R010065792 R010065793 R010065794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-01-14 15:27:38-03","MN","R","8829","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"Glaziou, A.F.M.","1154","1868","12","19","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,"Plantas do Brasil Central","R000008829","R000008829_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-01-14 15:27:38-03","MN","R","169529","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Souza, A.","1990","10","05","Emmerich, M.","6120","1987","11","14","Brasil","São Paulo","Santos","Boraceia.","-46.3300018310547","-23.9599990844727",NA,NA,NA,NA,NA,"R010063646,R010064451","R010063646 R010064451",NA,NA,NA,NA,NA,"26836","auto",NA,NA,NA,NA,NA
"35","2021-01-14 15:27:38-03","MN","R","31010","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Cuatrecasas, J.","1995",NA,NA,"Klein, R.M.; Souza Sobrinho, R.J. & Bresolin, A.","6479","1965","12","22","Brasil","Santa Catarina","Florianópolis","Canasvieiras","-48.5491981506348","-27.596700668335",NA,NA,"2","2","Universidade Federal de Santa Catarina - Herbário do Centro de Pesquisas e Estudos Botânicos nº 4165","R010065756","R010065756",NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA
"36","2021-01-14 15:27:38-03","MN","R","63017","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"Escragnolle, G.L.H.R.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Em floresta no Pico da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"R010065776","R010065776",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"37","2021-01-14 15:27:38-03","MN","R","105642","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","De Lamare","1987",NA,NA,"Vidal, J.",NA,"1912","09","04","Brasil","Rio de Janeiro","Teresópolis","Pedra do Sino, Parque Nacional da Serra dos Órgãos","-42.9655990600586","-22.4122009277344",NA,NA,"2100","2100",NA,"R010063627","R010063627",NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"38","2021-01-14 15:27:38-03","MN","R","26687","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","De Lamare","1987",NA,NA,"Brade, A.C.","10570","1931","01","18","Brasil","Rio de Janeiro","Rio de Janeiro","Pico da Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"R010063590,R010063595","R010063590 R010063595",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA
"39","2021-01-14 15:27:38-03","MN","R","63022","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Souza, A.","1987","08","10","Magalhães, M.","514","1940","09","19","Brasil","Minas Gerais","Lima Duarte","Serra da Ibitipoca. Monjolinho.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Jardim Botânico de Bello Horizonte nº 34.414","R010065789,R010065790","R010065789 R010065790",NA,NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA
"40","2021-03-24 17:08:56-03","UFES","SAMES","6486","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner",NA,NA,NA,NA,"Korte,A.","5601",NA,NA,NA,"Brasil","Santa Catarina","Florianópolis","Praia de Jurerê Internacional","-48.5491981506348","-27.596700668335","-483027778.0","-272702778.0",NA,NA,"Flor branca Habito: Arbusto","SAMES06486",NA,NA,NA,NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA
"41","2020-06-30 18:32:07-03","UFJF","CESJ","46895","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","P.H. Cardoso","2018","07",NA,"F.M. Ferreira; P.L. Viana; F.R.G. Salimena","1020","2006","03","08","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Árvore ca. 2m em margem de curso d'água. Flores alvas. Prainha.","CESJ046895",NA,"Angiosperma",NA,NA,"América do Sul",NA,"30417","auto",NA,NA,NA,NA,NA
"42","2019-11-21 14:33:42-03","UFJF","CESJ","52167","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","P.H. Cardoso","2018","07",NA,"M.A. Clemente","30","2008","09","01","Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Árvore ca. 4m alt., flores brancas.","CESJ052167",NA,"Angiosperma",NA,NA,"América do Sul",NA,"30417","auto",NA,NA,NA,NA,NA
"43","2019-11-21 14:33:41-03","UFJF","CESJ","15561","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","P.H. Cardoso","2018","07",NA,"L. Krieger","CESJ15561","1952","06","05","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,NA,"Arbusto baixo.","CESJ015561",NA,"Angiosperma",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-06-30 18:32:07-03","UFJF","CESJ","66943","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","B. Moreira","2015","01","10","B. Moreira; F.R.G. Salimena; P.H. Nobre; M. Alvez","112","2014","12","13","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta nebular, atrás do camping","-43.901111","-21.718889","-43.901111","-21.718889","1380","1380","Árvore, ca. 3m, flores brancas. Borda de mata","CESJ066943",NA,"Angiosperma",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-09 19:01:09-03","UFJF","CESJ","25784","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","P.H. Cardoso","2018","07",NA,"M. Eiterer; G.S. Freitas","105","1992","02","26","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Na Prainha.","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,"Arbusto, próximo a curso d'água. Flores alvas.","CESJ025784",NA,"Angiosperma",NA,NA,"América do Sul",NA,"30417","auto",NA,NA,NA,NA,NA
"46","2021-04-07 11:42:32-03","UFMS","CGMS","56812","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","C.A.M. Scaramuzza; V.R. Scalon","1995","01","23","V.C. Souza","4567","1993","10","30","Brasil","São Paulo","Bonsucesso de itarare","Estrada Itararé-Bonsucesso, cerca de 500 m abaixo da bifurcação para a fazenda São Nicolau.",NA,NA,NA,NA,NA,NA,"Flores creme. Habitat: Mata latifoliada, úmida de encosta Habito: Árvore. 8 m de altura.","CGMS1086750",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-03-01 16:28:51-03","UNICAMP","UEC","76520","S","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Zickel, CS","1997","08",NA,"Souza, VC; Rodrigues, RR; Arzolla, FARDP; Ivanauskas, NM; Souza, JP; Scalon, VR","9086","1995","09","04","Brazil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Núcleo da Caverna do Diabo. Trilha para o mirante mais alto.","-48.392083","-24.646639","-48.392083","-24.646639",NA,NA,"Arvoreta, ca. 2,5m de altura; botões verdes.; Mata Atlântica com transição para o campo de altitude.","UEC044076","UEC044076","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-01 16:28:51-03","UNICAMP","UEC","4028","S","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Pirani, JR","1982","05","28","Semir, J; Sazima, M","3338","1972","09","03","Brazil","Minas Gerais","Jaboticatubas","Km 126 ao longo da rodovia Lagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"Flores esbranquiçadas, cresce na beira do riacho.","UEC044073","UEC044073","Magnoliopsida",NA,NA,NA,NA,"31264","auto",NA,NA,NA,NA,NA
"49","2020-12-04 13:19:04-03","UDESC","LUSC","6705","PreservedSpecimen","Plantae","Cunoniaceae","Weinmannia","discolor","Weinmannia discolor","Gardner","Floriani, M.M.P.",NA,NA,NA,"Floriani, M.M.P.","160","2011","12","14","Brasil","Santa Catarina","Rio Rufino","Fazenda Santo Antônio.","-49.7792015075684","-27.8605995178223",NA,NA,NA,NA,NA,"LUSC000027","LUSC000027",NA,NA,NA,NA,NA,"29300","auto",NA,NA,NA,NA,NA
