"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","typeStatus","fieldNumber","preparationType","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","individualCount"
"11","2020-12-21 16:40:11-03","MBM","MBM","194588","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Doell","Clark, L.G.; et al.; et al.","786",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Petrópolis","-43.1786003112793","-22.5049991607666","36524","MBM194588","MBM194588","auto","Clark, L.G.",NA,NA,NA,"Morro do Cuca, Distrito de Araras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-22 15:46:18-03","MNHN","RECOLNAT_MNHN_P","P00625437","PreservedSpecimen",NA,NA,"Poaceae","Chusquea","tenuis","Chusquea tenuis","Glaz. ex E.G.Camus","Glaziou, A.",NA,"1876","11","20",NA,"Brésil",NA,NA,NA,NA,NA,"P00625437","P00625437_01",NA,"Clark",NA,NA,NA,"campos de l'Itatiaia, Rio de Janeiro","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00625437' target='other'> <mi>dwc_moreinfo</mi></a>","holotype","9056","hb",NA,NA,NA,NA,NA,NA,NA
"13","2020-12-11 11:45:01-03","UFMG","BHCB","102182","PreservedSpecimen","Plantae","Monocotyledon","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Viana, PL; Leite, FSF; Lopes, LE; Ferreira, M","2451","2006","01","10","Southern America","Brasil","Minas Gerais","Rio Vermelho","-43.038889","-18.107778",NA,"BHCB045616",NA,NA,NA,"2019","02","07","Serra do Ambrósio","Colmos escandentes com sua extremidade pendente. Planta estéril.",NA,NA,NA,"-43.038889","-18.107778","1490","1490",NA,NA,NA
"14","2020-12-11 11:45:01-03","UFMG","BHCB","115486","PreservedSpecimen","Plantae","Monocotyledon","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Viana, PL; Mota, NFO; Echternacht, LA","3251","2007","11","10","Southern America","Brasil","Minas Gerais","Alagoa","-44.76","-22.210556",NA,"BHCB045602",NA,NA,NA,"2018","03","20","Parque Estadual do Papagaio, Subida para a Pedra do Garrafão.","Colmos notavelmente arqueados, em densas formações ao longo de trechos de mata ribeirinha e mata nebular. Espiguetas vináceas. Colmos verdes a castanhos ou vináceos. Aneis brancos presentes sob os nós de colmos jovens. Folhas de colmo",NA,NA,NA,"-44.76","-22.210556","1989","1989",NA,NA,NA
"15","2020-12-11 11:45:01-03","UFMG","BHCB","148550","PreservedSpecimen","Plantae","Monocotyledon","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Giacomin, LL; Viana, PL; Mota, NFO","948","2009","04","20","Southern America","Brasil","Rio de Janeiro","Nova Friburgo","-42.586389","-22.352778",NA,"BHCB045601",NA,NA,NA,"2018","03","20","Pico da Caledônia., Subida para o Pico. Região anexa ao Pico.","Colmos vináceos a verdes, folhas de colmos com lâmina caduca, ereta a patente, bainha das folhas dos ramos vináceas.",NA,NA,NA,"-42.586389","-22.352778","2256","2256",NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","1506871","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Alwyn H. Gentry|David N. Smith","Gentry 35970","1982","3","2","South America","Peru","Pasco",NA,"-75.25","-10.58333",NA,NA,NA,NA,"G. Davidse (MO)",NA,NA,NA,"Cordillera Yanachaga, 14 km E of main Oxapampa-Villa Rica road, lumber road at top of Cordillera, stunted cloud forest.",NA,NA,"2266",NA,NA,NA,"2450.00000000",NA,NA,NA,NA
"17","2011-02-07 09:41:00-02","MO","MOBOT","222456","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","J.E.B. Warming","Warming s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2009-07-27 09:38:00-03","MO","MOBOT","220564","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","tenuis","Chusquea tenuis","Glaz. ex E.G. Camus","Auguste F.M. Glaziou","Glaziou 9056","1877","11","20","South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campos de Ilatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","2874612","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll in Mart.","E. Warming","s.n.",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type fragment",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales","1"
"20","2020-09-12 05:00:02-03","US","US","1126697","PreservedSpecimen","Plantae",NA,"Poaceae","Chusquea","tenuis","Chusquea tenuis","Glaz. ex E.G. Camus","A. F. M. Glaziou","9056","1877","11","20","South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Campos de Ilatiaia.",NA,"Type fragment",NA,NA,NA,NA,NA,NA,"Monocotyledonae","Cyperales","1"
"21","2019-10-07 09:21:45-03","UEFS","HUEFS","226362","PreservedSpecimen","Plantae","Angiospermae","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Machado, A.F.P.","1193","2013","05","22",NA,"Brasil","Bahia","Boa Nova","-40.2075004577637","-14.3625001907349","31265","HUEFS0226362","HUEFS0226362 HUEFS0226362_e1","auto","K.V.A.Vidal","2019","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lilianae","Poales",NA
"22","2017-09-11 17:12:39-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","?","Herb. Warms.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"in Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-09-11 17:12:39-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","?","Herb. Warms.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"in Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-22 16:23:29-03","FEPAGRO","BLA","5361","PreservedSpecimen","Plantae","Spermatophyta","Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll",NA,NA,NA,NA,NA,NA,"Brasil","Rio Grande do Sul","São Leopoldo","-51.1472015380859","-29.7602996826172","10287","BLA005361",NA,"auto","A. S. Hitchcock",NA,NA,NA,"Ferrabraz","Exsicata sem Data de Coleta definida. Ex PACA 415.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-21 10:15:03-03","IBt","SP","252375","S","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Clark, L; et al.","786","1991","02","06",NA,"Brasil","Rio de Janeiro","Petrópolis","-43.2","-22.4",NA,"SP042263","SP042263",NA,NA,NA,NA,NA,"Dtto. Araras, Morro do Cuca",NA,NA,NA,NA,"-43.2","-22.4","1500","1500",NA,NA,NA
"26","2019-11-21 10:15:03-03","IBt","SP","490947","S","Plantae",NA,"Poaceae","Chusquea","acuminata","Chusquea acuminata","Döll","Baez, C; et al.","1157","2016","10","07",NA,"Brasil","Rio de Janeiro","Teresópolis","-42.757222","-22.347222",NA,NA,NA,NA,NA,NA,NA,NA,"Parque Estadual dos Três Picos, Morro Branca de Neve",NA,NA,NA,NA,"-42.757222","-22.347222","1541","1541",NA,NA,NA
