"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","sex"
"11","2013-12-05 16:46:00-02","MO","MOBOT","1966743","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.","E.A. Christenson","Felix Woytkowski","Woytkowski 5231","1959","3","16","South America","Peru","Huánuco","Muna.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"12","2013-08-23 04:12:00-03","MO","MOBOT","100198281","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.",NA,"Roberto Vásquez","Vásquez C. 51",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"13","2008-05-27 22:02:00-03","MO","MOBOT","2178547","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.","Fernandez, E. & Patzi, C","Erika Fernández|et al.","Fernández Terrazas 168","2003","9","4","South America","Bolivia","Cochabamba","Exposición SW, pendiente 45° Macrobosque montano de Yunga. Serie Termo-mesotropical pluviestacional húmeda de Podocarpus oleifolius – Junglans boliviana, especies diferenciales: Oreopanax cf racemosa, Hedyosmun cf racemosum Weinmannia multijuga, W. sorbifolia.","-64.68472","-17.68138",NA,NA,NA,NA,NA,NA,"Carrasco",NA,NA,NA,NA,NA,NA,"3","2000.00000000","2160.00000000",NA,NA,NA,NA
"14","2013-01-28 05:13:00-02","MO","MOBOT","2256019","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.",NA,"Andres E. Johnson","Johnson 241","1991","7","25","South America","Argentina","Misiones","Parque Nacional Iguazú, Area Reserva contra Pto. Iguazú",NA,NA,NA,NA,NA,NA,NA,NA,"Iguazú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2018-05-17 05:28:00-03","MO","MOBOT","2256032","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.","Correa, M. N.","María E. Múlgura|Manuel J. Belgrano|Silvia S. Denham|Andres E. Johnson|M.A. Romero","Múlgura 2921","2000","11","15","South America","Argentina","Misiones","Refugio Urugua-í, FVSA. En sotobosque",NA,NA,NA,NA,NA,NA,NA,NA,"General Manuel Belgrano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-05-25 15:57:00-03","MO","MOBOT","2363259","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.","C. Dodson (MO)","John L. Clark","Clark 5729","2000","12","24","South America","Ecuador","Tungurahua","Parroquia: Río Verde. Sector: Machay. Collections made on forested trail starting from Machay (Baños-Puyo road) to Río Verde. Tropical montane wet forest.","-78.2666667","-1.3666667",NA,NA,NA,NA,NA,NA,"Baños",NA,NA,NA,NA,NA,NA,"1","1800.00000000","2200.00000000",NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","3367463","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.",NA,"Saúl Altamirano","Altamirano Azurduy 785","2003","6","12","South America","Bolivia","Cochabamba","El Limbo. Ladera en exposicion noreste con 40° de pendiente. Mesobosque montano humedo, dominado por Weimannia bangii.W. microphylla, Hedyosmun angustifolium, H. racemosum, Alchornea pearcei, Alchornea cf latifolia, Didymopanax morototoni, Oreopanax cf trolli y Clethra scabra. El sotobosque dominado por Pteridophytos y Melastomataceae, presencia de muchas epifitas. Suelos poco profundos, pizarras y areniscas, se nota algunos afloramientos de rocas calizas.","-65.63027","-17.13694",NA,NA,NA,NA,NA,NA,"Tiraque",NA,NA,NA,NA,NA,NA,NA,"2260.00000000",NA,NA,NA,NA,NA
"18","2013-12-02 09:53:00-02","MO","MOBOT","636887","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.","C.H. Dodson","Alexander Hirtz","Hirtz 2578","1985","5",NA,"South America","Ecuador","Napo","Papallacta, road from Quito to Baeza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2900.00000000",NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","641058","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.",NA,"R.W. Pearce","Pearce 577",NA,NA,NA,"South America","Ecuador","Morona-Santiago","Without locality.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","643134","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.",NA,"Wendell H. Camp","Camp E-1070",NA,NA,NA,"South America","Ecuador","Morona-Santiago","Cord. Cutucu.","-78","-2.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,NA
"21","2013-12-02 09:56:00-02","MO","MOBOT","667056","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.","C.H. Dodson","Alexander Hirtz","Hirtz 2075","1984","11","5","South America","Ecuador","Napo","Papallacata, on road Quito to Baeza.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2700.00000000",NA,NA,NA,NA,NA
"22","2010-12-15 12:06:00-02","MO","MOBOT","671300","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.",NA,"F.C. Lehmann","Lehmann 7129","1876",NA,NA,"South America","Ecuador","Morona-Santiago","Bomboiza.","-78.5166667","-3.4333333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"23","2013-02-15 05:37:00-02","MO","MOBOT","3368745","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","(Poepp. & Endl.) Lindl.",NA,"César Patzi","Patzi 64B","2003","6","22","South America","Bolivia","Santa Cruz","Chua Kocha. Mesobosque montano de yunga . Serie Mesotropical pluviestacional humeda de Blepharocalyx salicifolius - Prumnopitys exigua, entre algunas especies diferenciales: Myrcianthes callicoma, Weinmannia microphylla, W. sorbifolia, Clethra scabra, Oreopanax sp. y Dicksonia sellowiana. Sotobosque denso con melastomataceas y varias familias de pteridophytas","-64.70805","-17.81944",NA,NA,NA,NA,NA,NA,"Manuel Maria Caballero",NA,NA,NA,NA,NA,NA,NA,"2220.00000000",NA,NA,NA,NA,NA
"24","2011-06-21 11:39:00-03","MO","MOBOT","3585282","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","maculata","Pelexia maculata","Rolfe","Foster's 1958 catalog notes file","Martín Cárdenas","Cárdenas Hermosa 3298",NA,NA,NA,"South America","Bolivia","Cochabamba","Sailapata","-66.9166667","-16.85",NA,NA,NA,NA,NA,NA,"Ayopaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-07-10 09:48:30-03","MBML","MBML-HERBARIO","18693",NA,"Plantae",NA,NA,"Orchidaceae","Pelexia","maculata","Pelexia maculata","Rolfe","Fraga/03-08-2000","C. N. de Fraga","605","2000","03","20",NA,"Brasil","Espírito Santo","Parque Estadual Paulo César Vinha","-40.422222","-20.605278",NA,"Mata seca de restinga.","MBML018693",NA,NA,NA,"Guarapari",NA,NA,NA,NA,NA,NA,NA,NA,NA,"40W25'20","20S36'19",NA,NA
"26","2020-09-12 05:00:02-03","US","US",NA,"PreservedSpecimen","Plantae",NA,"Orchidales","Orchidaceae","Pelexia","laxa","Pelexia laxa",NA,"Christenson, E. A.","H. D. Clarke & S. Grose","1222","1996","2","22","South America - Neotropics","Guyana","Potaro-Siparuni",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1","680","760",NA,NA,NA,NA
"27","2019-07-09 12:43:04-03","F","FMNH-SEEDPLANTS","V0434658F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa",NA,NA,"Ll. Williams","6785","1929","12","27","South America","Peru",NA,NA,"-74.14","-9.1839",NA,NA,"V0434658F","V0434658F_01","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-07-09 12:43:04-03","F","FMNH-SEEDPLANTS","V0434659F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa",NA,NA,"J. A. Steyermark","61274","1945","3","1","South America","Venezuela",NA,NA,"-65.9119","7.0758",NA,NA,"V0434659F","V0434659F_01","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-07-09 12:46:44-03","F","FMNH-SEEDPLANTS","V0434660F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa",NA,"RRC ID Flag","J. F. Macbride","5526","1923","8","10","South America","Peru","Junín",NA,NA,NA,NA,NA,"V0434660F","V0434660F_01 V0434660F_02","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5526",NA
"30","2019-07-09 12:42:12-03","F","FMNH-SEEDPLANTS","V0041594F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Orchidaceae","Spiranthes","curvicalcarata","Spiranthes curvicalcarata",NA,NA,"J. F. Macbride","5770","1923","8","27","South America","Peru",NA,NA,"-74.14","-9.1839",NA,NA,"V0041594F","V0041594F_01","Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA
"31","2017-09-11 17:12:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","laxum","Stenorrhynchos laxum","Poepp. & Endl.",NA,"Spruce, R","s.n.",NA,NA,NA,"Southern America","Peru","San Martín","prope Tarapoto",NA,NA,NA,"In Brasilia contermina forsan adhuc invenienda",NA,NA,NA,NA,"Tarapoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2017-09-11 17:12:21-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","laxum","Stenorrhynchos laxum","Poepp. & Endl.",NA,"Poeppig, EF","s.n.",NA,NA,NA,"Southern America","Peru",NA,"Tocache Peruviae",NA,NA,NA,"in sylvis primaevis paludosis ad missionem; HABITAT: in sylvis primaevis paludosis ad missionem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:12:22-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","weirii","Stenorrhynchos weirii","(Rchb.f.) Cogn.",NA,"Warming, JEB","s.n.",NA,NA,NA,"Southern America","Brazil","Minas Gerais","in sylvis ad Lagoa Santa prov. Minas Geraës","-43.8897","-19.6272",NA,"Floret Octobri-Novembri",NA,NA,NA,NA,"Lagoa Santa","12338","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-02-08 12:52:19-03","UFRGS","ICN","015196","S","Plantae","Monocotyledon",NA,"Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Krzl.) Schlt.","Pabst, GFJ","Dutra, J","1196","1937","02",NA,"América do Sul","Brasil","RS",NA,"-50.4166984558105","-28.6678009033203",NA,NA,"ICN00040824",NA,NA,NA,"Bom Jesus","55856","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-08 12:52:19-03","UFRGS","ICN","014950","S","Plantae","Monocotyledon",NA,"Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Krzl.) Schlt.","Pabst, GFJ","Dutra, J","950","1926","03","05","América do Sul","Brasil","RS","Caracol","-50.7806015014648","-29.6506004333496",NA,NA,"ICN00040826",NA,NA,NA,"Taquara","22252","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 10:13:40-03","IBt","SP","192511","S","Plantae",NA,NA,"Orchidaceae","Pelexia","lindmaniana","Pelexia lindmaniana","(Kraenzl.) Schltr.","Smidt, EC","Hatschbach, G","43373","1980","11","24",NA,"Brasil","Paraná",NA,"-49.7057991027832","-24.2511005401611",NA,NA,NA,NA,NA,NA,"Jaguariaíva","44368","auto","2004","07","12",NA,NA,NA,NA,NA,NA,NA,NA
"37","2010-08-16 16:34:59-03","AMES","HU-HERB","AMES 00104423","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pelexia","laxa","Pelexia laxa","Lindley","L. A. Garay (scripsit)","J. F. Macbride","5770","1923","9",NA,"South America","Peru","Junín","La Merced, Hacienda Schunke, ca. 1230 m",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5770","undetermined"
"38","2013-10-21 14:26:56-02","AMES","HU-HERB","AMES 00084781","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Spiranthes","curvicalcarata","Spiranthes curvicalcarata","C. Schweinfurth",NA,"J. F. Macbride","5770",NA,NA,NA,"South America","Peru","Junín","La Merced, Hacienda Schunke",NA,NA,"Microscope slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type material",NA,"1230",NA,NA,NA,"5770",NA
"39","2013-04-09 14:30:14-03","AMES","HU-HERB","AMES 00084505","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Stenorrhynchos","laxum","Stenorrhynchos laxum","Poepp. & Endl.",NA,"E. F. Poeppig","s.n.",NA,NA,NA,"South America","Peru",NA,NA,NA,NA,"Microscope slide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type material",NA,NA,NA,NA,NA,"s.n.",NA
