"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","typeStatus"
"15","2020-12-21 16:34:12-03","MBM","MBM","301256","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Scheer, M.B.","Scheer, M.B.; et al.; et al.","657","2003","12","01","Southern America","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,"MBM301256","MBM301256",NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA
"16","2021-02-11 17:19:42-03","UFPR","UPCB","85976","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Reginato, M.","Reginato, M | Meyer, F.S.","1505","2016","01","05",NA,"Brasil","Santa Catarina","Urubici","Serra do Corvo Branco.","-49.368204","-28.054908",NA,NA,NA,"Arbusto 0.5m. Frutos verdes..","UPCB0014788","UPCB0014788",NA,"2016",NA,NA,NA,NA,"-49.368204","-28.054908",NA,NA
"17","2021-02-11 17:19:42-03","UFPR","UPCB","87986","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Reginato, M.","Reginato, M.","1462","2014","01","19",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja","-49.5917015075684","-28.0149993896484",NA,NA,NA,"Arbusto 0,5m, topo de morro no campo. Pétalas alvas, anteras amarelas (róseas quando velhas)..","UPCB0023545","UPCB0023545",NA,"2014",NA,NA,"30102","auto",NA,NA,NA,NA
"18","2021-02-11 17:19:42-03","UFPR","UPCB","84292","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.",NA,"Reginato, M.","1436","2013","02","08",NA,"Brasil","São Paulo","São José do Barreiro","P. N. da Bocaina","-44.5699996948242","-22.6399993896484",NA,NA,NA,"Arbusto 30 cm. Frutos verdes, pétalas alvas, filetes alvos, anteras amarelas. Em barranco sombreado, Campo de Altitude..","UPCB0013287","UPCB0013287",NA,NA,NA,NA,"30784","auto",NA,NA,NA,NA
"19","2021-02-11 17:19:42-03","UFPR","UPCB","49451","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Scheer, M.B.","Mocochinski, A.Y.","277","2004","04","01",NA,"Brasil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire, Pico Agudo da Cotia","-49.0553016662598","-25.3055992126465",NA,NA,NA,"Arbustiva escandente, refúgio vegetacional altomontano..","UPCB0013283","UPCB0013283",NA,"2004","08",NA,"55154","auto",NA,NA,NA,NA
"20","2018-05-15 10:21:00-03","MO","MOBOT","101046150","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(O. Berg ex Triana) Cogn.","M. Reginato","Marcelo Reginato|J. B. Pereira|Paulo H. Labiak","Reginato 1436","2013","2","8","South America","Brazil","São Paulo","São José do Barreiro","P.N. da Bocaina.","-44.5699996948242","-22.6399993896484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30784","auto",NA,NA,"1",NA
"21","2010-04-15 17:18:00-03","MO","MOBOT","3226584","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(O. Berg ex Triana) Cogn.","Brade","Alexander C. Brade","Brade 20722","1951","4","24","South America","Brazil","São Paulo",NA,"Serra da Bocaina.",NA,NA,"1650.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-06-22 09:39:00-03","MO","MOBOT","101137722","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","leacalvescens","Miconia leacalvescens","R. Goldenb.","fide Michelangeli et al.","F. Sellow","Sellow 4777",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia meridionali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Isotype"
"23","2020-07-10 09:47:22-03","MBML","MBML-HERBARIO","19746",NA,"Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","Cogn.","in dupl.: Baumgratz (SP)/2015","E. L. C. Marzola; et al","150","1994","11","28",NA,"Brasil","São Paulo","São Bernardo do Campo","Parque Caminhos do Mar","-46.560001373291","-23.6900005340576",NA,NA,NA,"Arbusto 1,0m alt., botões jovens com calice verde, corola alva, androceu com filetes alvos e anteras amarelas, gineceu alvo.","MBML019746","MBML019746",NA,NA,NA,NA,"31119","auto",NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","2623622","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","Cogn.",NA,"A. C. Brade","20722","1951","4","24","South America - Neotropics","Brazil","São Paulo",NA,"Serra da Bocaina.",NA,NA,"1650",NA,NA,NA,"US02928487","US02928487_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"25","2020-09-12 05:00:02-03","US","US","3241122","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","Cogn.",NA,"J. Cordeiro & E. Barbosa","916","1992","11","19","South America","Brazil","Santa Catarina",NA,"Serra do Iquererim (mun. Campo Alegre).",NA,NA,"1300",NA,NA,NA,"US02928486","US02928486_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"26","2020-09-12 05:00:02-03","US","US","2956065","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","Cogn.",NA,"G. Shepherd & S. Shepherd","12884",NA,NA,NA,"South America - Neotropics","Brazil","São Paulo",NA,"Est. SP-Serra da Bocaina.- estr. p/S.J. do Barreiro p/Silveiras, km 24.",NA,NA,"1600",NA,NA,NA,"US02928485","US02928485_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,"1",NA
"27","2021-03-25 13:52:36-03","UNIVILLE","JOI","12994","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","R. Goldenberg","Meirelles, J.","245","2009","01","29",NA,"Brasil","Santa Catarina","Garuva","Alto Quiriri - Trilha para Cachoeira Quiriri, lado esquerdo, na sombra.","-48.8549995422363","-26.0266990661621",NA,NA,NA,"; HABITAT: ambiente de mata nebular; HABITO: erva","JOI012994",NA,NA,"2009","06","30","22441","auto",NA,NA,NA,NA
"28","2021-03-25 13:52:36-03","UNIVILLE","JOI","10441","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Meyer, F.S.","Meyer, F.S.","969","2010","11","04",NA,"Brasil","Santa Catarina","Garuva","Serra Quiriri, próximo ao caminho dos Ambrósios.","-48.8549995422363","-26.0266990661621",NA,NA,NA,"; HABITAT: entre rochas; HABITO: subarbustiva; TIPO VEGETACIONAL: Estepe Gramíneo-lenhosa","JOI010441",NA,NA,"2010","11","10","22441","auto",NA,NA,NA,NA
"29","2019-09-04 18:50:22-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens",NA,NA,"F. Sellow","4777",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]"
"30","2014-12-02 11:36:26-02","CAS","CAS-BOT","410700","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O. Berg ex Triana) Cogn.","M. Reginato","Almeda, F.; Martins, A. B.; Fritsch, P. W.; Aranha Filho, J. L.M.; Bush, C.; Belinello, R.","9839","2009","3",NA,"South America","Brazil","São Paulo",NA,"Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318","1493","1509",NA,"Shrub to 3 dm tall. Infructescences pendent. Mature berries bluish purple. Occasional.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"44.61657° W","22.73318° S",NA,NA
"31","2014-12-02 11:39:20-02","CAS","CAS-BOT","410692","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","calvescens","Leandra calvescens","(O. Berg ex Triana) Cogn.","M. Reginato","Almeda, F.; Martins, A. B.; Fritsch, P. W.; Aranha Filho, J. L.M.; Bush, C.; Belinello, R.","9832","2009","3",NA,"South America","Brazil","São Paulo",NA,"Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.","-44.61657","-22.73318","1493","1509",NA,"Shrub 0.5 m tall. Mature berries bluish purple. Uncommon.",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"44.61657° W","22.73318° S",NA,NA
"32","2019-11-21 10:09:47-03","IBt","SP","293866","S","Plantae",NA,NA,"Melastomataceae","Leandra","calvescens","Leandra calvescens","(Triana) Cogn.","Souza, MLD; Baumgratz, JF","Marzola, ELC; Silva, EL; Godoi, JV; Machado, SPM","150","1994","11","28",NA,"Brasil","São Paulo","São Bernardo do Campo","Parque Caminhos do Mar, Estrada velha do Caminho do Mar, próximo Pouso de Paranapiacaba","-46.560001373291","-23.6900005340576",NA,NA,NA,NA,NA,NA,NA,"2005",NA,NA,"31119","auto",NA,NA,NA,NA
