"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount"
"13","2021-03-31 13:37:38-03","MN","R","130405","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Smith, L.B.; Reitz, R.",NA,"1956","12","26",NA,"Brasil","Santa Catarina",NA,"900","900",NA,NA,NA,NA,NA,"-52.6183013916016","-27.096399307251",NA,NA,NA,"Chapecó","22671","auto",NA,NA,NA,NA
"14","2016-02-02 14:38:01-02","BGBM","B","B 10 0004135","S","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Humb. & Bonpl. ex Willd.",NA,"lectotype","J. E. Pohl",NA,NA,NA,NA,"Middle and South America","Brazil",NA,NA,NA,NA,NA,"Dioscorea piperifolia; Hb. Musei Palat. Vindob. <a href=http://herbarium.bgbm.org/object/B100004135 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100004135","B100004135 B100004135_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-02-15 11:39:01-02","IPA","IPA","25319","S","Plantae","Plantae",NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Araújo, D.",NA,"Andrade-Lima","71-6444","1971","09","21","Southern America","Brasil","Pernambuco","Estação Experimental.",NA,NA,NA,"Na serra, sobre arbusto.","IPA0025319",NA,NA,"-37.0539016723633","-8.41888999938965",NA,NA,"2012","Arcoverde","23066","auto","05","03",NA,NA
"16","2019-02-15 11:39:01-02","IPA","IPA","46690","S","Plantae","Plantae",NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Araújo, D.",NA,"Andrade-Lima","79-9463","1979","08","02","Southern America","Brasil","Pernambuco","Serra do Ororubá",NA,NA,NA,NA,"IPA0046690",NA,NA,"-36.6963996887207","-8.35778045654297",NA,NA,"2012","Pesqueira","36615","auto","05","03",NA,NA
"17","2019-02-15 11:39:01-02","IPA","IPA","46689","S","Plantae","Plantae",NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Araújo, D.",NA,"Andrade-Lima; et al.; et al.","79-9462","1979","08","02","Southern America","Brasil","Pernambuco","Serra do Ororubá",NA,NA,NA,NA,"IPA0046689",NA,NA,"-36.6963996887207","-8.35778045654297",NA,NA,"2012","Pesqueira","36615","auto","05","03",NA,NA
"18","2019-02-15 11:39:01-02","IPA","IPA","18836","S","Plantae","Plantae",NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Araújo, D.",NA,"Andrade-Lima","68-5402","1968","07","30","Southern America","Brasil","Pernambuco","Engenho Jundiá. Borda da mata.",NA,NA,NA,"Sobre arbusto.","IPA0018836",NA,NA,"-35.3266983032227","-7.65693998336792",NA,NA,"2012","Vicência","21084","auto","05","03",NA,NA
"19","2021-04-07 11:42:59-03","UFMS","CGMS","41382","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","D. Araújo",NA,"A.C.S. Brito","126","2011","02",NA,NA,"Brasil","Mato Grosso do Sul","Furnas do Dionísio; Parcela 8.",NA,NA,NA,"Flor. Habitat: Cerradão. Encosta de escarpa. Habito: Trepadeira.","CGMS1071363",NA,NA,"-54.5694445","-20.1475","-54,5694445","-20,1475",NA,"Jaraguari",NA,NA,NA,NA,NA,NA
"20","2021-04-07 11:42:59-03","UFMS","CGMS","53262","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","D. Araújo",NA,"A.C.S. Brito; V.A. Assunção","633","2011","01",NA,NA,"Brasil","Mato Grosso do Sul","Furnas do Dionísio, parcela 8.",NA,NA,NA,"Flor amarela. Habitat: Cerradão. Habito: Trepadeira.","CGMS1083231",NA,NA,"-54.5691667","-20.1475","-54,5691667","-20,1475",NA,"Jaraguari",NA,NA,NA,NA,NA,NA
"21","2020-11-23 12:17:41-03","UFOP","OUPR","35224","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto, R.S.",NA,"Pedrosa, L.G.","2642","2020","02","13",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas",NA,NA,NA,"Erva, trepadeira. Planta pistilada, flores esverdeadas. Capoeira em regeneração.",NA,NA,NA,"-43.5080986022949","-20.2875003814697",NA,NA,"2020","Ouro Preto","44599","auto",NA,NA,NA,NA
"22","2020-11-23 12:17:41-03","UFOP","OUPR","35223","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto, R.S.",NA,"Pedrosa, L.G.","2641","2020","02","13",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas",NA,NA,NA,"Erva, trepadeira. Planta estaminada, flores esverdeadas. Capoeira em regeneração.",NA,NA,NA,"-43.5080986022949","-20.2875003814697",NA,NA,"2020","Ouro Preto","44599","auto",NA,NA,NA,NA
"23","2020-03-12 10:29:06-03","UFOP","OUPR","35017","PreservedSpecimen","Plantae",NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Pedrosa, L.G.",NA,"Pedrosa, L.G.","2473","2020","01","24",NA,"Brasil","Minas Gerais","APA Estadual Cachoeira das Andorinhas",NA,NA,NA,"Trepadeira. Campo",NA,NA,NA,"-43.5080986022949","-20.2875003814697",NA,NA,"2020","Ouro Preto","44599","auto","01",NA,NA,NA
"24","2015-09-03 19:15:21-03","MNHN","RECOLNAT_MNHN_P","P02131556","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto",NA,"Claussen",NA,"1838","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02131556' target='other'> <mi>dwc_moreinfo</mi></a>","P02131556","P02131556_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"367",NA
"25","2015-09-03 19:15:22-03","MNHN","RECOLNAT_MNHN_P","P02131577","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02131577' target='other'> <mi>dwc_moreinfo</mi></a>","P02131577","P02131577_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2 2364",NA
"26","2015-09-03 19:15:22-03","MNHN","RECOLNAT_MNHN_P","P02131579","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto",NA,"Regnell",NA,NA,NA,NA,NA,"Brasil",NA,"Brésil",NA,NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02131579' target='other'> <mi>dwc_moreinfo</mi></a>","P02131579","P02131579_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"III 1243",NA
"27","2017-07-19 10:59:17-03","MNHN","RECOLNAT_MNHN_P","P02131767","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto",NA,"Claussen",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Brésil (Minas Geraes)",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02131767' target='other'> <mi>dwc_moreinfo</mi></a>","P02131767","P02131767_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-07-19 11:07:46-03","MNHN","RECOLNAT_MNHN_P","P02131791","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto",NA,"Regnell",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02131791' target='other'> <mi>dwc_moreinfo</mi></a>","P02131791","P02131791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-09-03 19:15:22-03","MNHN","RECOLNAT_MNHN_P","P02131586","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto",NA,"Philcox, D.|Fereira, A.",NA,"196","12","29",NA,"Brasil","Mato Grosso","4.5 Km S of Xavantina",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02131586' target='other'> <mi>dwc_moreinfo</mi></a>","P02131586","P02131586_01",NA,"-52.23333","-14.63333",NA,NA,NA,NA,NA,NA,NA,NA,"3741",NA
"30","2017-07-19 10:31:26-03","MNHN","RECOLNAT_MNHN_P","P02131585","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto",NA,"Philcox, D.|Fereira, A.",NA,"1968","1","24",NA,"Brasil","Mato Grosso","Km 241, Xavantina-Cachimbo road",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02131585' target='other'> <mi>dwc_moreinfo</mi></a>","P02131585","P02131585_01",NA,"-51.76667","-12.81667",NA,NA,NA,NA,NA,NA,NA,NA,"4182",NA
"31","2017-07-19 16:29:28-03","MNHN","RECOLNAT_MNHN_P","P02131571","PreservedSpecimen",NA,NA,NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.","Couto",NA,"Warming",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Brésil. Lagpa Sta.",NA,NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02131571' target='other'> <mi>dwc_moreinfo</mi></a>","P02131571","P02131571_01",NA,"-43.8897018432617","-19.6271991729736",NA,NA,NA,"Lagoa Santa","12338","auto",NA,NA,NA,NA
"32","2021-01-15 17:53:18-03","UFMG","BHCB","202265","PreservedSpecimen","Plantae","Monocotyledon",NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Brina, AE","s.n.","2019","10","25","Southern America","Brasil","Minas Gerais","Parque Estadual Serra do Cabral",NA,NA,NA,"Trepadeira","BHCB202265","BHCB202265",NA,"-44.233889","-17.863611","-44.233889","-17.863611",NA,"Buenópolis",NA,NA,NA,NA,NA,NA
"33","2021-01-15 17:53:18-03","UFMG","BHCB","202266","PreservedSpecimen","Plantae","Monocotyledon",NA,"Dioscoreaceae","Dioscorea","grandiflora","Dioscorea grandiflora","Mart. ex Griseb.",NA,NA,"Rezende, SG","7451","2019","10","22","Southern America","Brasil","Minas Gerais","Parque Estadual Serra do Cabral, Morro do Mole",NA,NA,NA,"Trepadeira; Campo Rupestre Quartzítico","BHCB202266","BHCB202266",NA,"-44.275278","-17.869722","-44.275278","-17.869722",NA,"Buenópolis",NA,NA,NA,NA,NA,NA
