"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","coordinatePrecision","geoFlag","class","relatedCatalogItem"
"11","2020-07-23 12:19:39-03","CEPLAC","CEPEC","112594","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor",NA,"P. H. Labiak","Labiak, P. H.","3702","2006","08","09",NA,"Brasil","Bahia","BUERAREMA","Rodovia Buerarema - São José da Vitória (BR 101), ramal à esquerda, ca. 15 Km de Buerarema. Entrada à direita, ca. 10 Km da BR. Faz. Santa Rosa, entrada ca. 500 m à direita.","-39.288889","-15.105278","150","150",NA,NA,NA,NA,NA,NA,NA,NA,"39W17'20","15S6'19",NA,NA,NA,NA,NA
"12","2020-07-23 12:19:39-03","CEPLAC","CEPEC","96675","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor",NA,"F B. Matos","P. Fiaschi","1690","2003","10","15",NA,"Brasil","Bahia","BUERAREMA","Estrada São José da Vitória/Buerarema, ramal à direita, ca. 1Km d São José-Estrada de acesso para a Pedra Branca.","-39.316667","-15.083333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W19'","15S5'",NA,NA,NA,NA,"30/08/2008"
"13","2020-07-23 12:19:39-03","CEPLAC","CEPEC","112592","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor",NA,"P. H. Labiak","Labiak, P. H.","3700","2006","08","09",NA,"Brasil","Bahia","BUERAREMA","Rodovia Buerarema - São José da Vitória (BR 101), ramal à esquerda, ca. 15 Km de Buerarema. Entrada à direita, ca. 10 Km da BR. Faz. Santa Rosa, entrada ca. 500 m à direita.","-39.288889","-15.105278","150","150",NA,NA,NA,NA,NA,NA,NA,NA,"39W17'20","15S6'19",NA,NA,NA,NA,NA
"14","2020-07-23 12:19:39-03","CEPLAC","CEPEC","121350","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor",NA,"F. B. Matos","M. L. Guedes","12079","2006","09","24",NA,"Brasil","Bahia","ITUBERÁ","Litoral Sul, Ituberá/Grapiúna, Vila 5.","-39.133333","-13.716667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W8'","13S43'",NA,NA,NA,NA,"30/08/2008"
"15","2020-07-23 12:19:39-03","CEPLAC","CEPEC","142537","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor",NA,"Sem Informação","Oliveira, N.E.","554","2014","11","10",NA,"Brasil","Bahia","MASCOTE","Conglomerado BA_1348-3-9-0","-39.420278","-15.479444",NA,NA,NA,"Duplicatas: RB",NA,NA,NA,NA,NA,NA,"39W25'13","15S28'46",NA,NA,NA,NA,NA
"16","2020-07-23 12:19:39-03","CEPLAC","CEPEC","150671","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor",NA,"L. Daneu","Oliveira, N.E.","572","2014","11","13",NA,"Brasil","Bahia","ILHÉUS","Conglomerado BA_1322-1-2-0","-39.06","-15.12",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,"39W3'36","15S7'12",NA,NA,NA,NA,NA
"17","2020-07-23 12:19:39-03","CEPLAC","CEPEC","96078","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor",NA,"P. Labiak","P. Fiaschi","1289","1997","02","06",NA,"Brasil","Bahia","BUERAREMA","Ros. Buerarema-São José da Vitória (BR-101), ramal à esq., ca. 15Km d Buerarema. Entrada á direita, ca. 9,5km da BR. Faz. Sta. Rosa, entrada ca. 500m à direita. Prop. José Elias.","-39.288889","-25.105278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39W17'20","25S6'19",NA,NA,NA,NA,"30/08/2006"
"18","2021-01-12 15:24:39-03","UFMG","BHCB-SL","87106","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor","J.Prado","Prado, J","Salino, A; Lombardi, JA; Mota, RC; Almeida, TE; Viana, PL","9399",NA,NA,NA,"América","Brasil","Minas Gerais","Almenara","Fazenda Limoeiro","-40.839611","-16.07975","720","720",NA,"Terrestre em mata","BHCB002092","BHCB002092",NA,"2004","09",NA,"-40.839611","-16.07975",NA,NA,NA,NA,NA
"19","2020-02-11 18:26:28-03","UFMG","BHCB-SL","104378","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor","J.Prado",NA,"Labiak, PH","3700","2006","08","09","América","Brasil","Bahia","Buerarema","Rodovia Burarema - São José da Vitória (BR 101), ramal à esquerda, ca. 15km de Burarema. Estrada à direita, ca. 10km da BR. Fazenda Santa Rosa, entrada ca. 500m à direita. Floresta Ombrófila Densa Sub-montana.","-39.288889","-16.041667","150","150",NA,"Terrestre no interior da mata de encosta. Rizoma ramificado.",NA,NA,NA,NA,NA,NA,"-39.288889","-16.041667",NA,NA,NA,NA,NA
"20","2019-11-21 10:17:23-03","IBt","SP","359401","S","Plantae",NA,NA,"Pteridaceae","Adiantum","discolor","Adiantum discolor","J.Prado","Prado, J","Kameyama, C; Esteves, GL","82","1993","05","22",NA,"Brasil","Bahia","Una","Rodovia de São José da Vitória para Una, ca. 7,5 km da BR 101. Fazenda Santa Maria e vizinhanças","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,"SP003743","SP003743","Holotype","2000","05","10",NA,NA,NA,"36070","auto",NA,NA
