"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"11","2020-11-04 11:06:42-03","ESALQ","ESA","79984","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O. et al.","864.0","2002","02","28",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA079984","ESA079984",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"12","2020-11-04 11:06:42-03","ESALQ","ESA","92079","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O.","908.0","2003","01","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA092079","ESA092079",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"13","2020-11-04 11:06:42-03","ESALQ","ESA","92077","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,NA,"Romão, G.O.","881.0","2003","01","10",NA,"Brasil","Minas Gerais","Santana do Riacho",NA,"-43.7144012451172","-19.1688995361328",NA,NA,NA,NA,"ESA092077","ESA092077",NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"14","2020-11-04 11:06:42-03","ESALQ","ESA","107321","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,"Romão, G.O.","Romão, G.O. ; Dantas, A.P.T.","2268.0","1905","06","29",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, rodovia Belo Horizonte-Conceição do Mato Dentro (MG-10). Topo de morro adjacente à bifurcação para o Morro do Pilar.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Subarbusto 20cm alt.; totalmente queimado. Nenhum indivíduo aparentemente vivo foi encontrado nesta população.","ESA107321",NA,NA,NA,NA,NA,NA,NA,NA,"26557","auto",NA,NA
"15","2020-11-04 11:06:42-03","ESALQ","ESA","117229","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia",NA,"Romão, G.O.","Romão, G.O.; Latvis, M.; Gissi, D.S.","2527.0","2010","04","01",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rodovia MG-10, Cardeal Mota-Conceição do Mato Dentro, bifurcação para o Morro do Pilar. Campo rupestre","-43.7144012451172","-19.1688995361328","1338","1338",NA,"Subarbusto, 10-25cm alt.; ; frutos imaturos verdes; ramos eretos, às vezes virgados. População em reboleira, com muitos indivíduos adensados, entre pedriscos. Encontrada apenas no topo de morro.","ESA117229","ESA117229",NA,"2010",NA,NA,NA,NA,NA,"26557","auto",NA,NA
"16","2021-03-01 16:29:13-03","UNICAMP","UEC","144664","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Romão, GO; Araújo, AO; Vieira, S","864","2002","02","28",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rod. Belo Horizonte - Conceição do Mato Dentro; próximo da bifurcação para o Morro do Pilar.","-43.499444","-19.2205","1250","1250",NA,"Subarbusto, ca. 30cm alt. Frutos imaturos verdes. Topo de morro com solo arenoso e poucos pedriscos. População densa.; Campo rupestre.","UEC075335","UEC075335",NA,"2002","04",NA,NA,"-43.499444","-19.2205",NA,NA,NA,NA
"17","2021-03-01 16:29:13-03","UNICAMP","UEC","164465","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Romão, GO; Souza, VC; Sampaio, D; Elias, EI; Araújo, AO","862","2002","02","28",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rodovia Belo Horizonte-Conceição do Mato Dentro; próximo da bifurcação para o Morro do Pilar.","-43.499444","-19.2205","1250","1250",NA,"Subarbusto, ca. 30 cm alt. Frutos imaturos verdes. Topo de morro com solo arenoso e poucos pedriscos. População densa.; Campo rupestre.","UEC050367","UEC050367",NA,"2002","04",NA,NA,"-43.499444","-19.2205",NA,NA,NA,NA
"18","2021-03-01 16:29:13-03","UNICAMP","UEC","186884","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Semir, J; Sazima, M","531","1971","12","14",NA,"Brazil","Minas Gerais","Jaboticatubas","km 142 ao longo da rodovia Loagoa Santa - Conceição do Mato Dentro - Diamantina.","-43.7449989318848","-19.513599395752",NA,NA,NA,"Flores salmão. Planta de até 20cm","UEC117507","UEC117507",NA,"2011","10",NA,NA,NA,NA,"31264","auto",NA,NA
"19","2021-03-01 16:29:13-03","UNICAMP","UEC","145493","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Romão, GO; Araújo, AO; Vieira, S","882","2003","01","10",NA,"Brazil","Minas Gerais","Santana do Riacho","Rodovia Belo Horizonte-Conceição do Mato Dentro; morretes próximos à bifurcação para o Município de Morro Pilar.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Subarbusto até 20 cm, frutos imaturos verdes. Solo areno-pedregoso.; Campo rupestre.","UEC075338","UEC075338",NA,"2003","01","10",NA,NA,NA,"26557","auto",NA,NA
"20","2021-03-01 16:29:13-03","UNICAMP","UEC","164464","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Romão, GO; Araújo, AO; Vieira, S","882","2003","01","10",NA,"Brazil","Minas Gerais","Santana do Riacho","Rodovia Belo Horizonte-Conceição do Mato Dentro; morretes próximos à bifurcação para o Município de Morro Pilar.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Subarbusto até 20 cm, frutos imaturos verdes. Solo areno-pedregoso.; Campo rupestre.","UEC050369","UEC050369",NA,"2003","01","10",NA,NA,NA,"26557","auto",NA,NA
"21","2021-03-01 16:29:13-03","UNICAMP","UEC","145492","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Romão, GO; Araújo, AO; Vieira, S","910","2003","01","10",NA,"Brazil","Minas Gerais","Santana do Riacho","Rodovia MG-10, Belo Horizonte-Conceição do Mat dentro, topo de morretes próximos à bifurcação para o Município de Morro do Pilar.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Subarbusto até 20cm, frutos imaturos verdes. Solo areno-pedregoso.","UEC075337","UEC075337",NA,"2003","01","10",NA,NA,NA,"26557","auto",NA,NA
"22","2021-03-01 16:29:13-03","UNICAMP","UEC","164466","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Romão, GO; Araújo, AO; Vieira, S","908","2003","01","10",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rodovia MG-10, Belo Horizonte-Conceição do Mato Dentro, topo de morretes próximos à bifurcação para o Município de Morro do Pilar.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Subarbusto até 20 cm, flores brancas, frutos imaturos verdes. Solo areno-pedregoso.; Campo rupestre, próximo a blocos de rocha.","UEC050368","UEC050368",NA,"2003","01","10",NA,NA,NA,"26557","auto",NA,NA
"23","2021-03-01 16:29:13-03","UNICAMP","UEC","173536","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Romão, GO; Gissi, DS; et al.","2527","2010","04","07",NA,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó. Rodovia MG- 10, Cardeal Mota- Conceição do Mato Dentro, bifurcação para o Morro do Pilar.&nf;1338m&nf;19º 13' 13,3'' s&nf;43º 29' 58,1'' w.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Suarbusto, 10 - 25cm, frutos imaturos verdes, ramos eretos, as vezes virgados. População em reboleira, com muitos indivíduos adensados, entre pedriscos. encontrada apenas no topo de morro.; Campo rupestre.","UEC089828","UEC089828",NA,"2010",NA,NA,NA,NA,NA,"26557","auto",NA,NA
"24","2020-12-21 16:23:25-03","MBM","MBM","391236","PreservedSpecimen","Plantae",NA,NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, G.O.","Romão, G.O.; Lalvis, M.; Gissi, D.; Lalvis, M.; Gissi, D.","2527","2010","04","07","Southern America","Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Rodovia MG-10, Cardeal Mota-Conceição do Mato Dentro, bifurcação para o Morro do Pilar","-43.499472","-19.220361","1338","1338",NA,"Subarbusto, 10-25cm alt.; frutos imaturos verdes, ramos eretos, as vezes virgados. População em reboleira, com muitos indivíduos adensados, entre pedriscos. Encontrada apenas no topo de morro.; Campo rupestre.","MBM391236","MBM391236",NA,"2010",NA,NA,NA,"-43.499472","-19.220361",NA,NA,NA,NA
"25","2016-12-09 14:59:47-02","MNHN","RECOLNAT_MNHN_P","P00647790","PreservedSpecimen",NA,NA,NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Sleumer","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province Minas Gerais, Serra da Lapa",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647790' target='other'> <mi>dwc_moreinfo</mi></a>","P00647790","P00647790_01",NA,NA,NA,NA,"holotype",NA,NA,NA,NA,"B2 2174",NA
"26","2015-09-25 21:36:43-03","MNHN","RECOLNAT_MNHN_P","P00647791","PreservedSpecimen",NA,NA,NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer",NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,NA,"Province Minas Gerais, Serra da Lapa",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00647791' target='other'> <mi>dwc_moreinfo</mi></a>","P00647791","P00647791_01",NA,NA,NA,NA,"isotype",NA,NA,NA,NA,"B2 2174",NA
"27","2020-09-12 05:00:02-03","US","US","3688013","PreservedSpecimen","Plantae",NA,"Ericales","Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer",NA,"G. O. Romão, M. Latvis & D. Gissi","2527","2010","4","7","South America - Neotropics","Brazil","Minas Gerais",NA,"Municipio de Santana do Riacho. Serra do Cipó. Rodovia MG-10, Cardeal Mota-Conceição do Mato Dentro, bifurcação para o Morro do Pilar.","-43.4995","-19.2204","1338",NA,NA,NA,"US02986783","US02986783_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"28","2019-11-13 11:19:20-03","USP","SPF","173452","PreservedSpecimen","Plantae",NA,NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Souza, VC","28657","2002","02","28",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.499444","-19.2205","1250","1250",NA,NA,"SPF00173452",NA,NA,"2003","05",NA,NA,"-43.499444","-19.2205",NA,NA,NA,NA
"29","2019-11-13 11:19:20-03","USP","SPF","173453","PreservedSpecimen","Plantae",NA,NA,"Ericaceae","Gaylussacia","centunculifolia","Gaylussacia centunculifolia","Sleumer","Romão, GO","Romão, GO","862","2002","02","28",NA,"Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.499444","-19.2205","1250","1250",NA,NA,"SPF00173453",NA,NA,"2002","04",NA,NA,"-43.499444","-19.2205",NA,NA,NA,NA
