"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","identifiedBy","locality","phylum","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","coordinatePrecision","geoFlag","class","order","typeStatus","continentOcean","imagecode"
"11","2021-03-01 16:42:49-03","UNICAMP","UEC","88732","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Souza, VC; Yamamoto, K; Stehmann, JR; Dutilh, JHA","4654","1994","11","26","Brazil","São Paulo","Itapeva","-48.8699989318848","-23.9799995422363",NA,NA,"Trepadeira. Botões avermelhados.; Área de campo alagável com cerrado adjacente. Campo.",NA,"Scaramuzza, CAMR","Rodovia Itararé-Itapeva, Próximo à ponte do Rio Verde.","Magnoliopsida","1995","01",NA,NA,"23","42926","auto",NA,NA,NA,NA,NA
"12","2014-10-14 15:57:08-03","BS","M","M-0146991","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Martius, C.F.P. von",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"M0146991",NA,"Habitat in inundatis ad rivulos prope Contendas; Provinciae Min. Ger.","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida","Vitales","NOTATYPE",NA,NA
"13","2021-03-21 19:39:15-03","UFC","EAC","35854","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Souza, E.B.; Nascimento, J.G.A.; et al.","1043","2005","03","30","Brasil","Minas Gerais","Joaquim Felício","-44.198889","-17.692778","-44.198889","-17.692778","Planta de ramos apoiantes, latescente, folha coriácea discolor, cálice verde-claro, corola branca.; Campo rupestre","EAC0035854","Lombardi, J.A.","Sa. do Cabral, ca. 8 km W de Joaquim Felício, Área de afloramento rochoso","Dicotyledon","2012","03","1018","1034",NA,NA,NA,NA,NA,NA,"Southern America",NA
"14","2020-12-21 16:47:28-03","MBM","MBM","233814","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Borba, E.L.; et al.; et al.","s.n.","1999","01","25","Brazil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,"MBM233814","Lombardi, J.A.","Serra do Cabral",NA,NA,NA,NA,NA,NA,"37503","auto",NA,NA,NA,"Southern America","MBM233814"
"15","2020-12-21 16:47:28-03","MBM","MBM","207380","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.","66338","1997","03","16","Brazil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,"MBM207380","Lombardi, J.A.","Serra do Cabral, Armazém da Laje",NA,NA,NA,NA,NA,NA,"37503","auto",NA,NA,NA,"Southern America","MBM207380"
"16","2020-12-11 11:42:54-03","UFMG","BHCB","37880","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-11 11:42:54-03","UFMG","BHCB","44918","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-12-11 11:42:54-03","UFMG","BHCB","26245","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.",NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Itabirito","-43.801399230957","-20.2532997131348",NA,NA,NA,NA,NA,"Pico do Itabirito","Dicotyledon",NA,NA,NA,NA,NA,"20553","auto",NA,NA,NA,"Southern America",NA
"19","2019-02-19 04:30:00-03","MO","MOBOT","1335462","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","C.F.P. Martius","Martius s.n.","1817",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA
"20","2019-11-13 11:33:02-03","USP","SPF","127496","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Forzza, RC","600","1998","01","11","Brasil","Minas Gerais","Joaquim Felício","-44.196944","-17.691667","-44.196944","-17.691667",NA,"SPF00127496","Lombardi, JA","Serra do Cabral",NA,"2014","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-13 11:33:02-03","USP","SPF","141074","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Fiaschi, P","196","2000","03","24","Brasil","Minas Gerais","Joaquim Felício","-44.3","-17.8","-44.3","-17.8",NA,"SPF00141074","Lombardi, JA","Serra do Cabral",NA,"2014","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-13 11:33:02-03","USP","SPF","67724","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Pirani, JR","CFCR12488","1989","12","11","Brasil","Minas Gerais","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"SPF00067724","Lombardi, JA",NA,NA,"1997",NA,"1000","1200",NA,"67219","auto",NA,NA,NA,NA,NA
"23","2019-11-13 11:33:02-03","USP","SPF","41166","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Kameyama, C","CFCR9005","1986","01","07","Brasil","Minas Gerais","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"SPF00041166","Lombardi, JA",NA,NA,"1997",NA,"950","950",NA,"67219","auto",NA,NA,NA,NA,NA
"24","2019-11-13 11:33:02-03","USP","SPF","22728","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Cordeiro, I","CFCR797","1981","04","13","Brasil","Minas Gerais","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"SPF00022728","Lombardi, JA",NA,NA,"1998",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"25","2019-11-13 11:33:02-03","USP","SPF","155881","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Pirani, JR","4578","2000","03","22","Brasil","Minas Gerais","Grão Mogol","-42.8897018432617","-16.5594005584717",NA,NA,NA,"SPF00155881","Lombardi, JA",NA,NA,"2014",NA,NA,NA,NA,"67219","auto",NA,NA,NA,NA,NA
"26","2019-11-13 11:33:02-03","USP","SPF","23005","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Rossi, L","CFCR1082","1981","04","17","Brasil","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242",NA,NA,NA,"SPF00023005","Lombardi, JA","Serra do Cabral",NA,"1993","12",NA,NA,NA,"37503","auto",NA,NA,NA,NA,NA
"27","2019-10-07 09:37:21-03","UEFS","HUEFS","93974","PreservedSpecimen","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Souza, E.B.","1043","2005","03","30","Brasil","Minas Gerais","Joaquim Felício","-44.198889","-17.692778","44W11'56''","17S41'34''","Vegetação de campo rupestre. Área de afloramento rochoso.","HUEFS0093974","J.A.Lombardi","Serra do Cabral, ca. 8 km W de Joaquim Felício.","Angiospermae","2007","05","1018","1034",NA,NA,NA,"Rosanae","Vitales",NA,NA,"HUEFS0093974"
"28","2020-08-13 18:03:04-03","IBt","SP","299213A","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Aragaki, S","318","1995","03","31","Brasil","São Paulo","Pirassununga","-47.4199981689453","-21.9899997711182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24621","auto",NA,NA,NA,NA,NA
"29","2020-08-13 18:03:04-03","IBt","SP","299214A","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Batalha, MA","77","1995","05","04","Brasil","São Paulo","Pirassununga","-47.4199981689453","-21.9899997711182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24621","auto",NA,NA,NA,NA,NA
"30","2020-08-13 18:03:04-03","IBt","SP","299212A","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Aragaki, S","205","1994","11","24","Brasil","São Paulo","Pirassununga","-47.4199981689453","-21.9899997711182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24621","auto",NA,NA,NA,NA,NA
"31","2020-09-17 08:58:30-03","IBt","SP","319974","S","Plantae","Vitaceae","Cissus","inundata","Cissus inundata","(Baker) Planch.","Batalha, MA","826","1995","11","06","Brasil","São Paulo","Santa Rita do Passa Quatro","-47.4700012207031","-21.7099990844727",NA,NA,NA,NA,NA,"ARIE Cerrado Pé-de-Gigante",NA,NA,NA,NA,NA,NA,"24893","auto",NA,NA,NA,NA,NA
