"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","imagecode","identifiedBy","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"22","2021-03-15 16:37:00-03","NY","NYBG","00909462","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","H. S. Irwin","9061","1965","10","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909462","Magnoliophyta","Malpighiales","A.Juss.","Distrito Federal","NY00909462_01",NA,"Brasília","5 km W. of Formosa, road to Brasília","-47.38","-15.57","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00957846","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","G. Eiten","8764","1968","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00957846","Magnoliophyta","Malpighiales","A.Juss.","Mato Grosso","NY00957846_01",NA,"Barra do Garças","Serra do Roncador. 250 km along new road NNE of village of Xavantina. (12 km due SW of Royal Society - Royal Geographic Society Base Camp.","-51.75","-12.85","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00909466","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","A. Macedo","5449","1988","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909466","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais","NY00909466_01",NA,"Campina Verde","Campina Verde. Faz. S. Joredo Lajeado.","-49.4864","-19.5358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00909599","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","G. G. Hatschbach","39126","1976","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909599","Magnoliophyta","Malpighiales","A.Juss.","Goiás","NY00909599_01","W. R. Anderson","Alvorada do Norte","Rod. BR 020, 25 km S de Alvorada do Norte.","-46.4919","-14.4808",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00909467","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","A. F. Regnell","III327","1862","09","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981726' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909467","Magnoliophyta","Malpighiales","A.Juss.","Minas Gerais","NY00909467_01",NA,"Caldas","Cidade de Caldas.","-46.3858","-21.9236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1856637","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","U. N. Maciel","140","1978","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2072293' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856637","Magnoliophyta","Malpighiales","A.Juss.","Pará","NY01856637_01",NA,"Santarém","Santa Terezinha, margem direita do Rio Tapajós","-54.7083","-2.44306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1856639","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","P. B. Cavalcante","2327","1970","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2072295' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856639","Magnoliophyta","Malpighiales","A.Juss.","Pará","NY01856639_01",NA,NA,"Parque Indigena do Tumucumaque, Rio Parú de Oeste, Missao Tiriyo.","-55.75","2.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","475853","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","R. M. Harley","25959","1988","11","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=619301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475853","Magnoliophyta","Malpighiales","A.Juss.","Bahia","NY00475853_01","W. R. Anderson","Rio de Contas","Pico das Almas. Vertente leste. Junco. 9-11 km ao N-O da cidade","-41.88","-13.53","1120","1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","475782","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","E. M. Nic Lughadha","H50567","1991","12","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=236606' target='other'> <mi>dwc_moreinfo</mi></a>","NY00475782","Magnoliophyta","Malpighiales","A.Juss.","Bahia","NY00475782_01",NA,"Abaíra","Brejo do Engenho","-41.8","-13.3","950","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01856635","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","eglandulosa","Heteropterys eglandulosa","R. Spruce","1092","1850","12",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2072290' target='other'> <mi>dwc_moreinfo</mi></a>","NY01856635","Magnoliophyta","Malpighiales","A.Juss.","Amazonas","NY01856635_01",NA,NA,"In vicinibus Barra [Manaus] , prov. Rio Negro","-59.9953079","-3.0673242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
