"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","barcode","imagecode","class","typeStatus","eventTime","fieldNumber","relatedCatalogItem"
"11","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG1616","S","Plantae",NA,NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus",NA,NA,NA,NA,NA,"M.F.Vasconcelos;L.N. Santos & D.L.H. Oliveira","2013","04","26","Brasil","Minas Gerais","Caeté","Serra da Piedade, vertente norte","-43.666667","-19.816667","43°40'W","19°49'S",NA,"1.7","1.7",NA,"Colora laranja com ápice amarelo.",NA,"13-281",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:30:48-03","UFRJ","RFA","11636","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Hinoohitz L. K. R.","2016","04","04","P. Occhioni; Elêna, Carmem.","1970","05","28","Brasil","Minas Gerais","Minas Gerais","Serra do Cipó, km 130-140.",NA,NA,NA,NA,NA,NA,NA,NA,"subarbusto, +/-20-30cm, flores vermelhas.",NA,NA,NA,NA,"RFA40834",NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:38:48-03","EAO","IAN","87991","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Chautems, A",NA,NA,NA,"Smith, LB","1952","04","29","Brasil","Minas Gerais","Jaboticatuba","Serra do Cipó, 6km north of Palacio.","-43.583333","-19.166667","-43.583333","-19.166667",NA,"1200","1200",NA,NA,NA,"6860","Southern America",NA,"IAN087991",NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:38:48-03","EAO","IAN","14514","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Chautems, A",NA,NA,NA,"Magalhães, MG","1942","01","15","Brasil","Minas Gerais","Ouro Preto","Nas Pedras das serras. Local: Pedra de Amolar.","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","1293","Southern America",NA,"IAN014514","IAN014514 IAN014514_e IAN014514_e1",NA,NA,NA,NA,NA
"15","2021-03-30 12:38:48-03","EAO","IAN","104318","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Chautems, A",NA,NA,NA,"Magalhães, MG","1942","01","15","Brasil","Minas Gerais","Ouro Preto","Nas Pedras das serras. Local: Pedra de Amolar.","-43.5080986022949","-20.2875003814697",NA,NA,"44599",NA,NA,NA,NA,"auto","1293","Southern America",NA,"IAN104318",NA,NA,NA,NA,NA,NA
"16","2019-12-12 15:31:44-03","UFABC","HUFABC","000315","PreservedSpecimen","Plantae","Angiospermas",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore",NA,NA,NA,NA,"Silva, WG","2015","10","03","Brasil","São Paulo","Mogi das Cruzes","Sítio Primavera, Área externa próxima à estufa.","-47.375","-23.628611","-47.375","-23.628611",NA,NA,NA,NA,"Tamanho de aproximadamente 7cm; sem odor característico; folha suculenta; possui inflorecência disposta de forma alongada; planta epífita.",NA,"01",NA,NA,"HUFABC000315","HUFABC000315 HUFABC000315_1",NA,NA,NA,NA,NA
"17","2019-12-12 15:31:44-03","UFABC","HUFABC","000316","PreservedSpecimen","Plantae","Angiospermas",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore",NA,NA,NA,NA,"Silva, WG","2015","10","17","Brasil","São Paulo","Mogi das Cruzes","Sítio Primavera, Estufa no Sítio de propriedade do Mauro Peixoto, planta em cultivo sob o número 1239, originaria de Iporanga, São Paulo, Brasil.","-46.1883010864258","-23.5228004455566",NA,NA,"28666",NA,NA,NA,"8 ramos com aproximadamente 40 cm; flores no ápice do ramo, com coloração vermelha e pontas amarelas; apresenta líquens nos ramos.","auto","02",NA,NA,"HUFABC000316","HUFABC000316",NA,NA,NA,NA,NA
"18","2020-02-08 09:31:47-03","NBC","NL-BOTANY","WAG.1826159","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Hypocyrta","hirsuta","Hypocyrta hirsuta","Mart.",NA,NA,NA,NA,"Hatschbach GG; Ferreira LF","1974","10","27","Brazil",NA,NA,"Serra do Cipó (mun. S'Ana do Riacho) Minas Gerais.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826159 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1826159","NL-WAG1826159","Magnoliopsidae",NA,NA,NA,NA
"19","2020-02-08 09:31:47-03","NBC","NL-BOTANY","WAG.1826160","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Hypocyrta","hirsuta","Hypocyrta hirsuta","Mart.",NA,NA,NA,NA,"Hatschbach GG; Smith LB; Ayensu ES","1972","01","18","Brazil",NA,NA,"Serra do Cipó, 25 Km ao Norte (mun. Jaboticatuba) Minas Gerais.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826160 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1826160","NL-WAG1826160","Magnoliopsidae",NA,NA,NA,NA
"20","2020-02-08 09:31:47-03","NBC","NL-BOTANY","WAG.1826161","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Hypocyrta","hirsuta","Hypocyrta hirsuta","Mart.",NA,NA,NA,NA,"Irwin HS; Maxwell JF; Wasshausen DC","1968","02","11","Brazil",NA,NA,"Plants of the Planalto do Brasil. Serra do Espinhaço. Itabirito, Minas Gerais, ca. 50km S.E. of Bolo Horizonte.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826161 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1826161","NL-WAG1826161","Magnoliopsidae",NA,NA,NA,NA
"21","2020-02-08 09:31:47-03","NBC","NL-BOTANY","L.2824240","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Hypocyrta","scabrida","Hypocyrta scabrida","Lem.",NA,NA,NA,NA,"Hatschbach GG","1962","08","15","Brazil",NA,NA,"Est. Parana (Brasil) Mun. Campina Gde. do Sul. Rod. BR-2, Serra do Espia.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2824240 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-L2824240","NL-L2824240","Magnoliopsidae",NA,NA,NA,NA
"22","2020-02-08 09:31:47-03","NBC","NL-BOTANY","U.1341802","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Hypocyrta","scabrida","Hypocyrta scabrida","Lem.",NA,NA,NA,NA,"Hatschbach GG","1962","08","15","Brazil",NA,NA,"Est. Parana (Brasil) Mun. Campina Gde. do Sul. Rod. BR-2, Serra do Espia.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1341802 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U1341802","NL-U1341802","Magnoliopsidae",NA,NA,NA,NA
"23","2020-02-08 09:31:47-03","NBC","NL-BOTANY","U.1341803","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Hypocyrta","scabrida","Hypocyrta scabrida","Lem.",NA,NA,NA,NA,"Hatschbach GG","1962","08","15","Brazil",NA,NA,"Est. Parana (Brasil) Mun. Campina Gde. do Sul. Rod. BR-2, Serra do Espia.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1341803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U1341803","NL-U1341803","Magnoliopsidae",NA,NA,NA,NA
"24","2020-02-08 09:31:54-03","NBC","NL-BOTANY","L.2818597","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Nematanthus","hirsutus","Nematanthus hirsutus","(Mart.) Wiehler",NA,NA,NA,NA,"Sellow F",NA,NA,NA,"Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2818597 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-L2818597","NL-L2818597","Magnoliopsidae",NA,NA,NA,NA
"25","2020-02-08 09:31:54-03","NBC","NL-BOTANY","WAG.1826575","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Nematanthus","hirsutus","Nematanthus hirsutus","(Mart.) Wiehler",NA,NA,NA,NA,"Hatschbach GG","1972","08","09","Brazil",NA,NA,"Pico Itambe (mun. S. Antonio do Itambe), Minas Gerais.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826575 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1826575","NL-WAG1826575","Magnoliopsidae",NA,NA,NA,NA
"26","2020-02-08 09:31:54-03","NBC","NL-BOTANY","WAG.1826576","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Nematanthus","hirsutus","Nematanthus hirsutus","(Mart.) Wiehler",NA,NA,NA,NA,"Irwin HS; Harley RM; Onishi E","1971","01","26","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Sera do Espinhaço. Wooded valley, base of Serra da Caraça.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826576 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1826576","NL-WAG1826576","Magnoliopsidae",NA,NA,NA,NA
"27","2020-02-08 09:31:54-03","NBC","NL-BOTANY","WAG.1826577","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Nematanthus","hirsutus","Nematanthus hirsutus","(Mart.) Wiehler",NA,NA,NA,NA,"Irwin HS; Harley RM; Onishi E","1971","01","13","Brazil",NA,NA,"Plants of the Planalto do Brasil. Estado do Minas Gerais. Serra do Espinhaço. Near summit of Serra da Piedade, ca. 25km E. of Belo Horizonte, near BR-31.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826577 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1826577","NL-WAG1826577","Magnoliopsidae",NA,NA,NA,NA
"28","2020-02-08 09:31:54-03","NBC","NL-BOTANY","U.1341800","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Skog LE",NA,NA,NA,"Maas PJM; Martinelli G","1977","10","20","Brazil",NA,NA,"Flora Brasiliensis. Hab.: Edo. Rio de Janeiro, Mun. Terezopolis, Parque Nacional da Serra dos Orgaos, Rio Beijaflor.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1341800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-U1341800","NL-U1341800","Magnoliopsidae",NA,NA,NA,NA
"29","2020-02-08 09:31:54-03","NBC","NL-BOTANY","WAG.1582977","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Skog LE",NA,NA,NA,"Maas PJM; Martinelli G","1977","10","20","Brazil",NA,NA,"Flora Brasiliensis. Hab.: Edo. Rio de Janeiro, Mun. Terezopolis, Parque Nacional da Serra dos Orgaos, Rio Beijaflor.",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1582977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Southern America",NA,"NL-WAG1582977","NL-WAG1582977","Magnoliopsidae",NA,NA,NA,NA
"30","2020-11-04 11:11:15-03","ESALQ","ESA","41244","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Araújo, A.O.","2001","11","22","Souza, V.C.; Souza, J.P.; Mazine, F.F.; Romão, G.O.","1998","04","07","Brasil","Minas Gerais","Santo Antônio do Itambé",NA,"-43.3067016601562","-18.465799331665",NA,NA,"19014",NA,NA,NA,NA,"auto","21063.0",NA,NA,"ESA041244",NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:11:15-03","ESALQ","ESA","77560","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H. E. Moore",NA,NA,NA,NA,"Souza, V.C.; Araújo, A.O.; Romão, G.O.; Elias, S.I.; Sampaio, D.","2002","02","20","Brasil","Minas Gerais","Ouro Preto","Camarinhas. 1400 m.s.m. Campo rupestre.","-43.303",NA,"-43,303","-20,368,889",NA,"1400","1400",NA,"Erva, ramificada na base, ca. 30 cm alt.; corola laranja.",NA,"28062.0",NA,NA,"ESA077560","ESA077560",NA,NA,NA,NA,NA
"32","2020-11-04 11:11:15-03","ESALQ","ESA","73574","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Araújo, A.O.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","2001","07","07","Brasil","Minas Gerais","Diamantina","Estrada entre Diamantina e Conselheiro Mata, ca. 17 km da Estrada Diamantina - Curvelo. 18o18'02S, 43o49'26W. 1230 m.s.m. Campo rupestre, com mata ciliar no fundo do vale.","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,NA,NA,"Erva, até 80 cm alt. Vegetativo.","auto","25323.0",NA,NA,"ESA073574","ESA073574",NA,NA,NA,NA,NA
"33","2020-11-04 11:11:15-03","ESALQ","ESA","82278","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H. E. Moore","Araújo, A.O.",NA,NA,NA,"Araújo, A.O.; Duarte, A.R.; Mazine, F.F.; Tsuji, R.","2002","11","09","Brasil","Minas Gerais","Diamantina","Ca. 15 km de Diamantina, na rod. Mendanha-Diamantina. 1119m.s.m.","-43.6002998352051","-18.2493991851807","-43,522,222","-18,181,111","101169",NA,NA,NA,"arbusto 1,2 m, rupicola; flores alaranjadas, lobos do cálice amarelos, cálice verde (flor em álcool; fotos digitais)","auto","131.0",NA,NA,"ESA082278","ESA082278",NA,NA,NA,NA,NA
"34","2020-11-04 11:11:15-03","ESALQ","ESA","77983","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H. E. Moore","Araújo, A.O.","2003","01","24","Souza, V.C.; Sampaio, D.; Araújo, A.O.; Romão, G.O.; Elias, S.I.","2002","02","26","Brasil","Minas Gerais","Santo Antônio do Itambé","Caminho para o Pico do Itambé. Campo rupestre. 1500-2000 m. s. m.","-43.3067016601562","-18.465799331665",NA,NA,"19014","1500","1500",NA,"Erva, ca. 30 cm alt.; corola laranja. Entre rochas.","auto","28485.0",NA,NA,"ESA077983","ESA077983",NA,NA,NA,NA,NA
"35","2020-11-04 11:11:15-03","ESALQ","ESA","94662","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus",NA,"Rossini, J.",NA,NA,NA,"Souza, V.C.","2006","01","10","Brasil","Minas Gerais","Caeté","Serra da Piedade. Campo rupestre.","-434.044","-194.907","-434,044","-194,907",NA,NA,NA,NA,"Subarbusto, ca. 0,3m alt. Corola laranja com fauce amarelada.",NA,"33809.0",NA,NA,"ESA094662","ESA094662",NA,NA,NA,NA,NA
"36","2020-11-04 11:11:15-03","ESALQ","ESA","8225","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Araújo, A.O.","2001","11","22","Souza, V.C. ; Sakuragui, C.M.","1992","10","13","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666",NA,NA,"22051",NA,NA,NA,NA,"auto","2094.0",NA,NA,"ESA008225",NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:11:15-03","ESALQ","ESA","23616","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Araújo, A.O.",NA,NA,NA,"Atkins, S. et al.","1994","01","16","Brasil","Minas Gerais","Santa Bárbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,NA,NA,"auto",NA,NA,NA,"ESA023616",NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:11:15-03","ESALQ","ESA","24233","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Araújo, A.O.","2003","01","24","Giulietti, A.M. et al.","1994","01","16","Brasil","Minas Gerais","Santa Bárbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,NA,NA,"auto",NA,NA,NA,"ESA024233",NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:11:15-03","ESALQ","ESA","71428","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H. E. Moore","Chautems, A.","1990","01","01","Mello Silva, R. et al.","1984","10","30","Brasil","Minas Gerais","São Tomé das Letras",NA,"-44.9852981567383","-21.7222003936768",NA,NA,"16076",NA,NA,NA,NA,"auto",NA,NA,NA,"ESA071428","ESA071428",NA,NA,NA,NA,NA
"40","2020-11-04 11:11:15-03","ESALQ","ESA","73573","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H.E.Moore","Araújo, A.O.",NA,NA,NA,"Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","2001","07","07","Brasil","Minas Gerais","Diamantina","Estrada entre Diamantina e Conselheiro Mata, ca. 17 km da Estrada Diamantina - Curvelo. 18o18'02S, 43o49'26W. 1230 m.s.m. Campo rupestre, com mata ciliar no fundo do vale.","-43.6002998352051","-18.2493991851807",NA,NA,"101169",NA,NA,NA,"Erva, até 80 cm alt. Vegetativo.","auto","25322.0",NA,NA,"ESA073573","ESA073573",NA,NA,NA,NA,NA
"41","2020-11-04 11:11:15-03","ESALQ","ESA","82338","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H. E. Moore","Araújo, A.O.",NA,NA,NA,"Araújo, A.O.; Duarte, A.R.; Mazine, F.F.; Tsuji, R.","2002","11","11","Brasil","Minas Gerais","Santana do Riacho","Morro das Vellozias Gigantes","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"grande população entre pedras; plantas de 0,3-1,0 m; cálice verde com riscos alaranjados, corola alaranjada com ápice e base mais claros; frutos imaturos branco-esverdeados","auto","191.0",NA,NA,"ESA082338","ESA082338",NA,NA,NA,NA,NA
"42","2020-11-04 11:11:15-03","ESALQ","ESA","71427","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Gesneriaceae","Nematanthus","strigillosus","Nematanthus strigillosus","(Mart.) H. E. Moore","Araújo, A.O.",NA,NA,NA,"Freire-Fierro, A. ; Zappi, D.C.","1990","09","11","Brasil","Minas Gerais","Santa Bárbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,NA,NA,"auto","1640.0",NA,NA,"ESA071427","ESA071427",NA,NA,NA,NA,NA
