"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","class"
"21","2019-06-27 10:25:49-03","UFES","VIES","28836","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Folli, D.A.","826","1988","12","07",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Gávea. Mata de Tabuleiro.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES028836","VIES028836","J. Luber","2016",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"22","2019-06-27 10:25:49-03","UFES","VIES","28835","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Folli, D.A.","2235","1994","03","07",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Jueirana Vermelha. Mata de Tabuleiro.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES028835","VIES028835","J. Luber","2016",NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA
"23","2019-08-30 19:31:50-03","UFES","VIES","14944","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Pereira, O.J.; et al.","5808","1997","04","27",NA,"Brasil","Espírito Santo","Presidente Kennedy","Praia das Neves.","-41.0466995239258","-21.0988998413086",NA,NA,"VIES014944","VIES014944","J. Luber","2018",NA,NA,"24088","auto",NA,NA,NA,NA,NA,NA
"24","2019-09-27 18:05:31-03","UFES","VIES","28806","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Siqueira, G.S.","919","2013","11","30",NA,"Brasil","Espírito Santo","Presidente Kennedy","Praia das Neves, direção da igreja histórica. Restinga.","-41.0466995239258","-21.0988998413086",NA,NA,"VIES028806","VIES028806","G.S. Siqueira","2013","11","30","24088","auto",NA,NA,NA,NA,NA,NA
"25","2019-09-27 18:05:31-03","UFES","VIES","28833","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Siqueira, G.S.","920","2013","11","30",NA,"Brasil","Espírito Santo","Presidente Kennedy","Praia das Neves, direção da igreja histórica. Restinga.","-41.0466995239258","-21.0988998413086",NA,NA,"VIES028833","VIES028833","G.S. Siqueira","2013","11","30","24088","auto",NA,NA,NA,NA,NA,NA
"26","2020-04-27 16:10:43-03","UFES","VIES","4417","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Vinha, P.C.","5","1990","05","07",NA,"Brasil","Espírito Santo","Vitória","Camburi.","-40.3377990722656","-20.3194007873535",NA,NA,"VIES004417","VIES004417","Luber, J.","2016","06","02","15291","auto",NA,NA,NA,NA,NA,NA
"27","2019-06-27 10:25:49-03","UFES","VIES","25148","S","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"H.C. de Lima; J. Caruso","5267","1995","11","28",NA,"Brasil","Rio de Janeiro","Casimiro de Abreu","Manguinhos, Fazenda São Pedro, Mata do Carvão, próximo a picada para área do inventário.","-42.2042007446289","-22.4806003570557",NA,NA,"VIES025148","VIES025148","M. Sobral","2014",NA,NA,"24732","auto",NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:36:19-03","MBM","MBM","251610","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","71547","2000","10","23","Southern America","Brazil","Espírito Santo","Itapemirim","Região do Gomes","-40.8339004516602","-21.011100769043",NA,NA,"MBM251610","MBM251610","Sobral, M.",NA,NA,NA,"28626","auto",NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:36:19-03","MBM","MBM","251616","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","71569","2000","10","23","Southern America","Brazil","Espírito Santo","Itapemirim","Região do Gomes","-40.8339004516602","-21.011100769043",NA,NA,"MBM251616","MBM251616","Sobral, M.",NA,NA,NA,"28626","auto",NA,NA,NA,NA,NA,NA
"30","2015-11-04 03:26:13-02","MNHN","RECOLNAT_MNHN_P","P02436209","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum","isotype","Pirani, J. R.",NA,"1994","12","8",NA,"Brasil",NA,NA,"Espíito Santo: Mun. Piúma, ca. 3 km S do Morro do Aghá, na rodovia, ES-060, ca. Floresta de restinga alta, planície arenosa.","-40.76667","-20.86667","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02436209' target='other'> <mi>dwc_moreinfo</mi></a>","P02436209","P02436209_01","Landrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3490",NA
"31","2020-12-11 11:39:03-03","UFMG","BHCB","124878","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Campomanesia","macrobracteolata","Campomanesia macrobracteolata","Landrum",NA,"Krieger, L","s.n.",NA,NA,NA,"Southern America","Brasil","Espírito Santo","Marataízes",NA,"-40.8244018554688","-21.0433006286621",NA,"Frutos comestíveis.; Arbustivo. Flores brancas.; Restinga.",NA,NA,NA,NA,NA,NA,"19311","auto",NA,NA,NA,NA,NA,NA
