"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","identifiedBy","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","yearIdentified","monthIdentified"
"11","2015-09-04 06:02:21-03","MNHN","RECOLNAT_MNHN_P","P02476723","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Claussen, P.",NA,"1841",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02476723' target='other'> <mi>dwc_moreinfo</mi></a>","P02476723","P02476723_01 P02476723_02",NA,NA,NA,"Nakajima",NA,NA,"paratype","26",NA,NA,NA
"12","2015-09-04 06:06:06-03","MNHN","RECOLNAT_MNHN_P","P02477190","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","S.N.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brésil. Brasil, América do Sul",NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02477190' target='other'> <mi>dwc_moreinfo</mi></a>","P02477190","P02477190_01",NA,NA,NA,"Nakajima",NA,NA,NA,"118",NA,NA,NA
"13","2018-04-24 14:12:45-03","MNHN","RECOLNAT_MNHN_P","P00148903","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Minas Gerais",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00148903' target='other'> <mi>dwc_moreinfo</mi></a>","P00148903","P00148903_01",NA,NA,NA,NA,NA,NA,NA,"824",NA,NA,NA
"14","2015-10-14 17:07:29-03","MNHN","RECOLNAT_MNHN_P","P02441260","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Martius, C.F. von",NA,NA,NA,NA,NA,"Brésil",NA,NA,"In campis humidis",NA,NA,"hb","Attaché avec P02476717 et P02441261 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441260' target='other'> <mi>dwc_moreinfo</mi></a>","P02441260","P02441260_01 P02441260_02",NA,NA,NA,"Nakaima",NA,NA,NA,"673",NA,NA,NA
"15","2015-12-07 13:02:14-02","MNHN","RECOLNAT_MNHN_P","P02441261","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Martius, C.F. von",NA,NA,NA,NA,NA,"Brésil",NA,NA,"In campis elevatis",NA,NA,"hb","Attaché avec P02476717 et P02441260 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02441261' target='other'> <mi>dwc_moreinfo</mi></a>","P02441261","P02441261_01 P02441261_02","3000","4000",NA,"Nakajima",NA,NA,NA,"965",NA,NA,NA
"16","2015-09-04 06:02:21-03","MNHN","RECOLNAT_MNHN_P","P02476717","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Warming, J.E.B.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,"hb","Attaché avec P02441260 et P02441261 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02476717' target='other'> <mi>dwc_moreinfo</mi></a>","P02476717","P02476717_01 P02476717_02 P02476717_03",NA,NA,NA,"Nakajima",NA,NA,NA,"383",NA,NA,NA
"17","2015-10-26 07:32:23-02","MNHN","RECOLNAT_MNHN_P","P02476718","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Lindberg",NA,"1858","1","1",NA,"Brasil",NA,NA,"In Ceara v. Min. Ger. Brasilia Min. Ger. v. Rio Jan. Brasil, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02476718' target='other'> <mi>dwc_moreinfo</mi></a>","P02476718","P02476718_01",NA,NA,NA,"Nakajima",NA,NA,NA,"100",NA,NA,NA
"18","2015-10-26 07:32:46-02","MNHN","RECOLNAT_MNHN_P","P02476719","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Regnell, A.F.",NA,NA,NA,NA,NA,"Brésil","minas gerais","caldas","Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02476719' target='other'> <mi>dwc_moreinfo</mi></a>","P02476719","P02476719_01 P02476719_02",NA,NA,NA,"Nakajima",NA,NA,"isotype","I 230",NA,NA,NA
"19","2015-09-04 06:02:21-03","MNHN","RECOLNAT_MNHN_P","P02476720","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Claussen, P.",NA,"1841",NA,NA,NA,"Brésil",NA,NA,"Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02476720' target='other'> <mi>dwc_moreinfo</mi></a>","P02476720","P02476720_01 P02476720_02",NA,NA,NA,"Nakajima",NA,NA,"paratype","26",NA,NA,NA
"20","2015-09-04 06:02:21-03","MNHN","RECOLNAT_MNHN_P","P02476721","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Sello",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilien. Brasil, América do Sul",NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02476721' target='other'> <mi>dwc_moreinfo</mi></a>","P02476721","P02476721_01",NA,NA,NA,"Nakajima",NA,NA,NA,"2533",NA,NA,NA
"21","2015-09-04 05:13:03-03","MNHN","RECOLNAT_MNHN_P","P02671422","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Riedel",NA,"1839","2","1",NA,"Brasil","Minas Gerais",NA,"Brésil. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671422' target='other'> <mi>dwc_moreinfo</mi></a>","P02671422","P02671422_01",NA,NA,NA,"Nakajima",NA,NA,NA,"88",NA,NA,NA
"22","2015-10-06 10:51:56-03","MNHN","RECOLNAT_MNHN_P","P02671423","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais",NA,"Brésil - Province de Mianas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb","Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. . No.832 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671423' target='other'> <mi>dwc_moreinfo</mi></a>","P02671423","P02671423_01",NA,NA,NA,"Nakajima",NA,NA,NA,"B2 2390",NA,NA,NA
"23","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671424","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais",NA,"Brésil - Province de Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb","Voyage d'Auguste de Saint-Hilaire, 1816 à 1821. . Catal D. nº 404 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671424' target='other'> <mi>dwc_moreinfo</mi></a>","P02671424","P02671424_01",NA,NA,NA,"Nakajima",NA,NA,NA,NA,NA,NA,NA
"24","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671425","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais",NA,"Brésil. Province de Minas Gerais. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb","Voygade d'Auguste de Saint-Hilaire de 1816 à 1821. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671425' target='other'> <mi>dwc_moreinfo</mi></a>","P02671425","P02671425_01",NA,NA,NA,"Nakajima",NA,NA,NA,"D 402",NA,NA,NA
"25","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671426","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais",NA,"Brésil - Province de Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb","Voyage d'Auguste de Saint-Hilaire, 1816 à 1821 . . nº 835. Catal. D. nº 404 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671426' target='other'> <mi>dwc_moreinfo</mi></a>","P02671426","P02671426_01",NA,NA,NA,"Nakajima",NA,NA,NA,NA,NA,NA,NA
"26","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671427","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais",NA,"Brésil - Province de Minas Geraes. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb","Voyage d'Auguste de Saint-Hilaire, 1816 à 1821 . . Nº 832. 1e. part <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671427' target='other'> <mi>dwc_moreinfo</mi></a>","P02671427","P02671427_01",NA,NA,NA,"Nakajima",NA,NA,NA,"B2 2390",NA,NA,NA
"27","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671429","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Saint-Hilaire, A. de",NA,"1816","1","1",NA,"Brésil","Minas Gerais",NA,"Brésil. Province de Minas Gerais. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb","Voyage d'Auguste de Saint-Hilaire. . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671429' target='other'> <mi>dwc_moreinfo</mi></a>","P02671429","P02671429_01",NA,NA,NA,"Nakajima",NA,NA,NA,"B2 2391",NA,NA,NA
"28","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671431","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Regnell, A.F.",NA,NA,NA,NA,NA,"Brésil","minas gerais","caldas","Minas Geraes",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671431' target='other'> <mi>dwc_moreinfo</mi></a>","P02671431","P02671431_01 P02671431_02",NA,NA,NA,"Nakajima",NA,NA,"isotype","I 230",NA,NA,NA
"29","2015-10-26 07:34:32-02","MNHN","RECOLNAT_MNHN_P","P02671432","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Glaziou, A.",NA,"1879","6","23",NA,"Brasil","Minas Gerais",NA,"Brésil (Minas) Entre le Sítio et Barbacena. Minas Gerais, Sudeste, Brasil, América do Sul",NA,NA,"hb",". . Herbier de A. Glaziou. Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671432' target='other'> <mi>dwc_moreinfo</mi></a>","P02671432","P02671432_01",NA,NA,NA,"Nakajima",NA,NA,NA,"11082",NA,NA,NA
"30","2015-09-04 10:39:19-03","MNHN","RECOLNAT_MNHN_P","P04390029","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,". Brasil, América do Sul",NA,NA,"hb",". s.d. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04390029' target='other'> <mi>dwc_moreinfo</mi></a>","P04390029","P04390029_01",NA,NA,NA,"Nakajima",NA,NA,NA,NA,NA,NA,NA
"31","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671428","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Smith, L.B.|Klein, R.M.|Hatschbach, G.",NA,"1965","1","15",NA,"Brasil","Paraná","Castro","Carambei by Rio São João. Castro, Paraná, Sul, Brasil, América do Sul","-50.03333","-24.5","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671428' target='other'> <mi>dwc_moreinfo</mi></a>","P02671428","P02671428_01","950",NA,NA,"Nakajima",NA,NA,NA,"14540",NA,NA,NA
"32","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671430","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Widgren",NA,"1845","1","1",NA,"Brasil","Minas Gerais","Caldas",". Caldas, Minas Gerais, Sudeste, Brasil, América do Sul","-46.386100769043","-21.9235992431641","hb",". . Reçu le 7 aout 1882 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671430' target='other'> <mi>dwc_moreinfo</mi></a>","P02671430","P02671430_01",NA,NA,NA,"Nakajima","25710","auto",NA,NA,NA,NA,NA
"33","2015-09-04 05:14:09-03","MNHN","RECOLNAT_MNHN_P","P02671436","PreservedSpecimen",NA,NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Regnell, A.F.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Caldas",". Caldas, Minas Gerais, Sudeste, Brasil, América do Sul","-46.386100769043","-21.9235992431641","hb",". . Herbier de A. Glaziou. Donné par Mme Simart, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02671436' target='other'> <mi>dwc_moreinfo</mi></a>","P02671436","P02671436_01",NA,NA,NA,"Nakajima","25710","auto",NA,"102",NA,NA,NA
"34","2020-09-12 05:00:02-03","US","US","2573858","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M. King & H. Rob.","L. Smith, R. M. Klein & G. Hatschbach","14540","1965","1","15","South America","Brazil","Paraná",NA,"Mun. Castro, rocky campo, Carambei by Rio Sao Joao","-50.03","-24.5",NA,NA,"US01642256","US01642256_01","950",NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA
"35","2020-09-12 05:00:02-03","US","US","3387194","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M. King & H. Rob.","G. Hatschbach, R. Spichiger, A. C. Cervi & E. L. Barbosa","69473","1999","10","21","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cabral (Mun. Joaquim Felicio) Minas Gerais",NA,NA,NA,NA,"US01642254","US01642254_01","900","1100","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA
"36","2020-09-12 05:00:02-03","US","US","1706057","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M. King & H. Rob.","M. Claussen","24",NA,NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,"Bresil (Minas- Geraes)",NA,NA,NA,NA,"US01642252","US01642252_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA
"37","2020-09-12 05:00:02-03","US","US","2454175","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M. King & H. Rob.","L. Smith & R. M. Klein","14969","1965","1","22","South America","Brazil","Paraná",NA,"Mun. Lapa, rock outcrop, Fazendinha, Rio Passa Dois, 12-15 km southwest of Lapa","-49.73","-25.8",NA,NA,"US01642255","US01642255_01","900","1000","Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA
"38","2020-09-12 05:00:02-03","US","US","3472972","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M. King & H. Rob.","G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","67239","1997","11","18","South America - Neotropics","Brazil","Minas Gerais",NA,"Serra do Cabral, proximo ao Armazem da Laje (Mun. Joaquim Felicio) Minas Gerais",NA,NA,NA,NA,"US01642253","US01642253_01",NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA
"39","2020-09-12 05:00:02-03","US","US","1401138","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M. King & H. Rob.","A. F. Regnell","230","1865","3","19","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"US00145791","US00145791_01",NA,NA,"Dicotyledonae",NA,NA,NA,"Holotype",NA,"1",NA,NA
"40","2020-11-19 09:28:47-03","IBt","SP","20755","S","Plantae",NA,NA,"Asteraceae","Grazielia","schultzii","Grazielia schultzii","R.M.King & H.Rob.","Regnell, AF","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"Tanto a foto do Holotipo de G. schultzii [Regnell 230 (US)] como a sua diagnose concordam plenamente com SP 20755 (Regnell s.n.), sendo esta exsicata um provável Isótipo (fide R.L. Esteves)","SP000522","SP000522",NA,NA,NA,"Esteves, RL",NA,NA,"Isotype",NA,NA,"1999","10"
