"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","class","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"12","2021-03-15 16:37:00-03","NY","NYBG","00941534","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","18625","1968","01","15","South America","Brazil","Goiás","Cocalzinho de Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941534","NY00941534_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00941549","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","R. P. Belém","1988","1965","12","14","South America","Brazil","Distrito Federal","Brasília","Barragem do Paranoá.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941549","NY00941549_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00941542","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","C. A. Todzia","H. S. Irwin","34184","1972","01","15","South America","Brazil","Goiás","Pirenópolis","Serra dos Pirineus, ca. 10 km E. of Pirenópolis","-48.85664","-15.85","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941542","NY00941542_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00941526","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","9931","1965","11","05","South America","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 2 km N. of Cristalina","-47.6","-16.73193","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941526","NY00941526_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00941661","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon","angustifolia","Tibouchina aegopogon angustifolia","Cogn.","F. S. Meyer","C. B. Toledo","268","1987","02","08","South America","Brazil","Goiás","Cavalcante","Parque Nacional da Chapada dos Veadeiros.","-47.4581","-13.7975",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1018149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941661","NY00941661_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00748891","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","14453","1966","04","06","South America","Brazil","Goiás","Posse","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","-46.37","-14.13","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=882918' target='other'> <mi>dwc_moreinfo</mi></a>","NY00748891","NY00748891_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","02703505","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.",NA,"R. A. Rutter Drummond","351","2012","03","22","South America","Brazil","Goiás","Alto Paraíso de Goiás","No final da estrada, antes da trilha para os Saltos do Garimpão. Parque Nacional da Chapada dos Veadeiros","-47.9325","-14.305556",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3006191' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703505","NY02703505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00941527","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","10169","1965","11","10","South America","Brazil","Distrito Federal","Brasília","Adjacent to Parque Municipal do Gama","-48","-16","1150","1150","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941527","NY00941527_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00941550","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","T. de S. Filgueiras","403","1979","01","23","South America","Brazil","Goiás","Alto Paraíso de Goiás","C. Oeste. ca. 8 km E Acampamento. Chapada dos Veadeiros.","-47","-14","1600","1600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941550","NY00941550_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00941531","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","10931","1965","12","02","South America","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 12 km S. of Corumbá de Goiás.","-48.8086","-16.03204","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941531","NY00941531_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02724101","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.",NA,"R. A. Rutter Drummond","349","2012","03","22","South America","Brazil","Goiás","Alto Paraíso de Goiás","Parque Nacional da Chapada dos Veadeiros, na trilha entre o Salto I e o Salto II, pequena população.","-47.965555","-14.174167",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3013664' target='other'> <mi>dwc_moreinfo</mi></a>","NY02724101","NY02724101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02724084","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.",NA,"R. A. Rutter Drummond","325","2012","03","20","South America","Brazil","Goiás","Alto Paraíso de Goiás","Trilha para o Abismo,lado esquerdo do final da estrada.","-47.934722","-14.307778",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3013556' target='other'> <mi>dwc_moreinfo</mi></a>","NY02724084","NY02724084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00941567","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon","angustifolia","Tibouchina aegopogon angustifolia","Cogn.","F. S. Meyer","H. S. Irwin","33016","1971","03","23","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 25 km N of Alto Paraíso","-47.5167","-13.89074","1250","1250","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941567","NY00941567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00941561","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon","angustifolia","Tibouchina aegopogon angustifolia","Cogn.","F. S. Meyer","W. R. Anderson","6695","1973","03","08","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 25 km by road N of Alto Paraíso","-47.3578","-13.9584","1700","1700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941561","NY00941561_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00941551","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","E. P. Heringer","2990","1979","12","27","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941551","NY00941551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00941548","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","G. J. Shepherd","3706","1976","11","28","South America","Brazil","Goiás","Alto Paraíso de Goiás","Estrada Alto Paraiso a Campo Belo, Km. 8.","-47.5097","-14.1325",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941548","NY00941548_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00941540","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","26624","1970","02","25","South America","Brazil","Distrito Federal","Brasília","Ca. 15 km E. of Lago Paranoá, DF-6","-47.6874","-15.73555","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016313' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941540","NY00941540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-29 22:07:00-03","NY","NYBG","00941553","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon",NA,"R. Romero","R. Romero","1443","1994","12","06","South America","Brazil","Minas Gerais","Sacramento","Próximo da guarita de Sacramento, PARNA Serra da Canastra.","-47.4397","-19.8656",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016583' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941553","NY00941553_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-30 03:25:00-03","NY","NYBG","01164750","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon",NA,"P. Guiamaraes","F. Almeda","9523","2009","02","24","South America","Brazil","Goiás","Pirenópolis","Parque Estadual da Serra dos Pirineus. Trail to Cachoeira Sonrizal and beyond the small waterfalls to top of distant ridge.","-48.85849","-15.81485","1219",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1487583' target='other'> <mi>dwc_moreinfo</mi></a>","NY01164750","NY01164750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00941538","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","26067","1970","02","05","South America","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 2 km N. of Paracatú","-46.8727","-17.22555","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016306' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941538","NY00941538_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00941552","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","E. P. Heringer","7821-15","1961","01","04","South America","Brazil","Distrito Federal","Brasília","Horto do Guará.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016581' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941552","NY00941552_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00941543","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","C. A. Todzia","H. S. Irwin","34858","1972","01","23","South America","Brazil","Goiás","Niquelândia","ca. 8 km S. of Niquelândia","-48.45","-14.5223","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941543","NY00941543_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00941530","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","H. S. Irwin","11804","1966","01","19","South America","Brazil","Goiás","Goiás","Serra Dourada, Summit of Serra Dourada, 20 km S.E. of Goiás Velho","-50.00122","-16.0611","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941530","NY00941530_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00941565","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","aegopogon","angustifolia","Tibouchina aegopogon angustifolia","Cogn.","F. S. Meyer","H. S. Irwin","24294","1969","03","13","South America","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 35 km north of Alto Paraíso de Goiás (formerly Veadeiros).","-47.5167","-13.80036","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016681' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941565","NY00941565_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-11-13 09:20:17-03","UFRJ","RFA","11025","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J.J. Wurdack","A.P. Duarte","10716","1967","12","21",NA,"Brasil","Goiás","Goiás","Chapada dos Veadeiros","-50.1403007507324","-15.9343996047974",NA,NA,NA,NA,"RFA45577",NA,NA,"1975","63502","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-06-29 11:31:26-03","UFRJ","RFA","6060","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","P. Occhioni","2150","1960","12",NA,NA,"Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"RFA45578",NA,NA,"1975","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-06-29 11:31:26-03","UFRJ","RFA","6260","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J. J. Wurdack","P. Occhioni","2181","1960","12",NA,NA,"Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,NA,"Flor rosa","RFA45576",NA,NA,"1975","70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-13 09:20:17-03","UFRJ","RFA","8547","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","J.J. Wurdack","A.P. Duarte","10716","1967","12","21",NA,"Brasil","Goiás","Goiás","Chapada dos Veadeiros","-50.1403007507324","-15.9343996047974",NA,NA,NA,NA,"RFA45575",NA,NA,"1975","63502","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:44:49-03","EAO","IAN","122967","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","Wurdack, JJ","Irwin, HS; Souza, HS","10931","1965","12","02","Southern America","Brasil","Goiás",NA,"Gallery margin. Occasional. Gallery forest and adjacent capoeira, ca. ca. 12km S. of Corumbá.",NA,NA,"1000","1000",NA,NA,"IAN122967",NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:44:49-03","EAO","IAN","122985","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","Wurdack, JJ","Irwin, HS; Souza, HS","11187","1965","12","11","Southern America","Brasil","Distrito Federal",NA,"Campo slope immediately east of Lagoa Paranoá.",NA,NA,"975","975",NA,NA,"IAN122985",NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:44:49-03","EAO","IAN","125932","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Tibouchina","aegopogon",NA,"Tibouchina aegopogon","(Naudin) Cogn.","Wurdack, JJ","Irwin, HS; Souza, HS","11804","1966","01","19","Southern America","Brasil","Goiás",NA,"Serra Dourada, 20km S.E. of Goiás. Velho.",NA,NA,"800","800",NA,NA,"IAN125932",NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
